unix_timestamp,active_power (mW)
1774540177390694,40990
1774540177433141,41100
1774540177475695,40800
1774540177518751,40830
1774540177561679,40860
1774540177604326,40780
1774540177647295,40770
1774540177689622,40700
1774540177732631,40770
1774540177775568,40800
1774540177818658,40780
1774540177861723,40820
1774540177904732,40760
1774540177950638,40840
1774540177993638,40850
1774540178036656,40850
1774540178079814,40870
1774540178122969,40690
1774540178166189,40780
1774540178209526,40700
1774540178252544,40810
1774540178295483,40830
1774540178338520,40740
1774540178381721,40870
1774540178424257,40910
1774540178470373,40800
1774540178513547,40800
1774540178556635,40780
1774540178599207,40760
1774540178641706,40710
1774540178684848,40940
1774540178727400,41280
1774540178770541,40740
1774540178813653,40880
1774540178856611,40780
1774540178899458,40800
1774540178942389,40880
1774540178985488,40800
1774540179030207,40850
1774540179073351,40830
1774540179116319,40780
1774540179159112,40800
1774540179201868,40800
1774540179244734,40750
1774540179287716,40790
1774540179330700,40810
1774540179373727,40820
1774540179416754,40890
1774540179459560,40850
1774540179502591,40840
1774540179545715,40880
1774540179590097,40790
1774540179633123,40830
1774540179676322,40830
1774540179719560,40760
1774540179762363,40840
1774540179805150,40970
1774540179848409,40800
1774540179891642,40830
1774540179934729,40790
1774540179977722,40920
1774540180020886,40830
1774540180063736,40860
1774540180109879,40770
1774540180152739,40790
1774540180195863,40890
1774540180238919,40840
1774540180281916,40840
1774540180325011,40840
1774540180367879,40860
1774540180410660,40790
1774540180453742,40760
1774540180496783,40830
1774540180539867,40790
1774540180582887,40800
1774540180629548,40800
1774540180672593,40830
1774540180715623,40970
1774540180758196,40970
1774540180801302,40980
1774540180844494,40720
1774540180887661,40840
1774540180930663,40780
1774540180973767,40930
1774540181016637,40820
1774540181059756,40840
1774540181102774,40880
1774540181145193,40810
1774540181189642,40860
1774540181232639,40850
1774540181275724,40850
1774540181318705,40850
1774540181361839,40850
1774540181404820,40820
1774540181447855,40800
1774540181490815,40760
1774540181534009,40740
1774540181577186,40830
1774540181620353,40860
1774540181662831,40790
1774540181709381,40890
1774540181752446,40830
1774540181795638,40920
1774540181838574,40830
1774540181881723,40830
1774540181924689,40840
1774540181967665,40870
1774540182010709,40800
1774540182053768,40830
1774540182097055,40820
1774540182140101,40850
1774540182183125,40850
1774540182229088,40850
1774540182272274,40780
1774540182314986,40860
1774540182358303,40880
1774540182401505,40880
1774540182444718,40870
1774540182487725,40910
1774540182530464,40870
1774540182573475,40740
1774540182616387,40850
1774540182659540,40780
1774540182702413,40810
1774540182748905,41020
1774540182792034,40760
1774540182834813,41250
1774540182877951,40860
1774540182920998,40860
1774540182963975,40810
1774540183007056,40830
1774540183050104,40760
1774540183093247,40810
1774540183136451,40780
1774540183179672,40810
1774540183222557,40790
1774540183268724,40850
1774540183311769,40800
1774540183354715,40760
1774540183397015,40760
1774540183439947,40860
1774540183483083,40830
1774540183526262,40780
1774540183569568,40820
1774540183612752,40740
1774540183655679,40800
1774540183698773,40800
1774540183741938,40850
1774540183788409,40890
1774540183831290,40800
1774540183874450,40810
1774540183917586,40880
1774540183960797,40830
1774540184003781,40820
1774540184046505,40760
1774540184089668,40870
1774540184132582,40810
1774540184175725,40830
1774540184218895,40830
1774540184262091,40850
1774540184308283,40860
1774540184351379,40900
1774540184393854,40940
1774540184436724,40900
1774540184479418,40840
1774540184522489,40840
1774540184565223,40900
1774540184608026,40840
1774540184651219,40840
1774540184694335,40800
1774540184737260,40820
1774540184780436,40890
1774540184823732,40950
1774540184867981,40980
1774540184911209,40770
1774540184954676,40840
1774540184997817,40810
1774540185040759,40810
1774540185083692,40720
1774540185126646,40750
1774540185169747,40690
1774540185212376,40750
1774540185255622,40820
1774540185298324,40800
1774540185341470,41220
1774540185387673,40600
1774540185431032,40770
1774540185474158,40840
1774540185517187,40850
1774540185560251,40720
1774540185603143,40750
1774540185646213,40800
1774540185689483,40790
1774540185732523,40810
1774540185775480,40850
1774540185818447,40730
1774540185861469,40830
1774540185907302,40820
1774540185950401,40820
1774540185993506,40820
1774540186036484,40780
1774540186079697,40910
1774540186122712,40870
1774540186165695,40880
1774540186208552,40860
1774540186251785,40760
1774540186294904,40880
1774540186337904,40770
1774540186380925,40870
1774540186427170,40800
1774540186470221,40820
1774540186513485,40770
1774540186556663,40830
1774540186599764,40690
1774540186642636,40790
1774540186685730,40890
1774540186728876,40820
1774540186771766,40810
1774540186814945,40830
1774540186858095,40800
1774540186901373,41000
1774540186946669,40790
1774540186989877,40800
1774540187032758,40820
1774540187075840,40880
1774540187118787,40880
1774540187161798,40850
1774540187205018,40840
1774540187248132,40820
1774540187291357,40870
1774540187333809,40830
1774540187376916,40850
1774540187419785,40880
1774540187466369,40740
1774540187509377,40830
1774540187552309,40870
1774540187595354,40830
1774540187638002,40900
1774540187681139,40880
1774540187724287,40860
1774540187767061,40860
1774540187810112,40960
1774540187853197,40840
1774540187896403,40930
1774540187939648,40960
1774540187986091,40820
1774540188029192,40890
1774540188072409,40910
1774540188115535,40840
1774540188158655,40940
1774540188201553,40890
1774540188244813,40850
1774540188287943,40850
1774540188330926,40900
1774540188373579,40970
1774540188416767,40890
1774540188459767,40910
1774540188505807,40870
1774540188548850,40840
1774540188594744,40830
1774540188637808,40830
1774540188680851,40810
1774540188723940,40680
1774540188766999,40780
1774540188810190,40790
1774540188853380,40760
1774540188896570,40790
1774540188939532,40980
1774540188985544,40920
1774540189028708,40790
1774540189071461,40790
1774540189114492,40780
1774540189157520,40890
1774540189200662,40770
1774540189243819,40730
1774540189286832,40770
1774540189329836,40650
1774540189372911,40720
1774540189415921,40750
1774540189459042,40790
1774540189505337,40770
1774540189548408,40830
1774540189591296,40780
1774540189633710,40800
1774540189676726,40760
1774540189719697,40850
1774540189762719,40800
1774540189805698,40810
1774540189848693,40900
1774540189891690,40810
1774540189934857,40910
1774540189978087,40830
1774540190024975,40820
1774540190067933,40760
1774540190110551,40780
1774540190153704,40820
1774540190196488,40840
1774540190239605,40710
1774540190282575,40740
1774540190325758,40750
1774540190368861,40770
1774540190411959,40790
1774540190455038,40760
1774540190498068,40800
1774540190544613,40710
1774540190587705,40830
1774540190630565,40700
1774540190673683,40840
1774540190716796,41620
1774540190759756,41200
1774540190802826,40720
1774540190845828,40830
1774540190888850,40820
1774540190931614,40820
1774540190974581,41080
1774540191017553,40860
1774540191064270,40780
1774540191107281,40870
1774540191150310,40740
1774540191193367,40780
1774540191236542,40810
1774540191279595,40880
1774540191322506,40830
1774540191365556,40880
1774540191408582,40770
1774540191451510,40860
1774540191494550,40840
1774540191537720,40830
1774540191583964,40880
1774540191626568,40870
1774540191669537,40850
1774540191712610,40900
1774540191755507,40820
1774540191797841,40980
1774540191840765,40900
1774540191883686,40840
1774540191926535,40910
1774540191969708,40800
1774540192012810,40840
1774540192055656,40810
1774540192098675,40860
1774540192143539,40800
1774540192186651,40900
1774540192229753,40770
1774540192272743,40840
1774540192315719,40870
1774540192358586,40840
1774540192401515,40920
1774540192444665,40830
1774540192487594,40850
1774540192530586,40860
1774540192573608,40820
1774540192616658,40750
1774540192663187,40880
1774540192705625,40770
1774540192748733,40730
1774540192791673,40760
1774540192834720,40730
1774540192877760,40810
1774540192920690,40840
1774540192963582,40830
1774540193006258,40900
1774540193049334,40790
1774540193092520,41200
1774540193135608,40820
1774540193178556,40750
1774540193222820,40820
1774540193265988,40740
1774540193309187,40750
1774540193352283,40760
1774540193395485,40770
1774540193438576,40760
1774540193481586,40880
1774540193524617,40870
1774540193567575,40830
1774540193610736,40890
1774540193653675,40900
1774540193696679,40870
1774540193742640,40720
1774540193785654,40820
1774540193828802,40830
1774540193871822,40810
1774540193914828,40720
1774540193957952,40810
1774540194001000,40770
1774540194044035,40680
1774540194087246,40750
1774540194130455,40770
1774540194173639,40710
1774540194216792,40840
1774540194262253,40830
1774540194304926,40750
1774540194347878,40780
1774540194390789,40800
1774540194433815,40750
1774540194476739,40780
1774540194519664,40740
1774540194562737,40820
1774540194605718,40770
1774540194648643,40790
1774540194691624,40800
1774540194734662,40860
1774540194777894,40840
1774540194822014,40760
1774540194865091,40760
1774540194907846,40870
1774540194950931,40830
1774540194993952,40790
1774540195037128,40890
1774540195079633,40830
1774540195122670,41410
1774540195165644,40700
1774540195208746,40800
1774540195251771,40760
1774540195294826,40850
1774540195341715,40740
1774540195384705,40860
1774540195427714,40830
1774540195470743,40880
1774540195513668,40800
1774540195556843,40770
1774540195599189,40800
1774540195642183,40780
1774540195685230,40860
1774540195728116,40860
1774540195771241,40860
1774540195814177,40940
1774540195861338,40840
