unix_timestamp,active_power (mW)
1774541907057152,44200
1774541907099608,33910
1774541907141816,44100
1774541907184785,44640
1774541907230928,44240
1774541907273983,44150
1774541907316831,44070
1774541907359600,44100
1774541907402524,44130
1774541907445608,44160
1774541907488737,44100
1774541907531765,44050
1774541907574540,44130
1774541907617546,44070
1774541907660393,43990
1774541907703577,44000
1774541907746364,44190
1774541907790765,44180
1774541907833810,44190
1774541907876819,44150
1774541907920036,44100
1774541907962786,44140
1774541908005929,44040
1774541908048799,44000
1774541908091654,43960
1774541908134819,44030
1774541908177954,44030
1774541908220981,43920
1774541908263961,44090
1774541908310686,44170
1774541908353663,44150
1774541908396539,44220
1774541908439356,44210
1774541908482455,44120
1774541908525651,44120
1774541908568795,44060
1774541908611773,43990
1774541908654842,44040
1774541908697606,43980
1774541908740782,43950
1774541908783871,44040
1774541908830497,44100
1774541908873573,44100
1774541908916774,44090
1774541908959851,44130
1774541909002743,44140
1774541909045813,44060
1774541909089265,44070
1774541909132460,44000
1774541909175099,43970
1774541909218161,43920
1774541909261273,44200
1774541909304502,43960
1774541909350299,44030
1774541909393361,43990
1774541909436374,44060
1774541909479120,44080
1774541909522129,44120
1774541909565205,44150
1774541909608428,48030
1774541909651477,43620
1774541909694441,44270
1774541909737626,43930
1774541909780778,44020
1774541909823738,44020
1774541909870242,43940
1774541909913340,44010
1774541909956537,44050
1774541909999400,44130
1774541910042457,44180
1774541910085357,44210
1774541910128665,44170
1774541910171562,44160
1774541910214215,44160
1774541910257253,44150
1774541910300461,44180
1774541910343577,44230
1774541910390208,44100
1774541910433306,44200
1774541910476456,44190
1774541910519204,44170
1774541910562272,44110
1774541910605362,44110
1774541910648447,44060
1774541910691396,43920
1774541910734581,44020
1774541910777663,44000
1774541910820613,44030
1774541910863732,44150
1774541910909863,44180
1774541910953036,44130
1774541910995412,44200
1774541911038459,44060
1774541911081351,44100
1774541911124413,44120
1774541911167370,44060
1774541911210285,43990
1774541911253364,44180
1774541911296546,44240
1774541911339503,44000
1774541911381827,44140
1774541911424880,44150
1774541911469873,44080
1774541911513015,44090
1774541911555992,44870
1774541911598730,44560
1774541911641962,44250
1774541911684877,44300
1774541911727831,44180
1774541911771005,44190
1774541911814056,44290
1774541911856566,44270
1774541911899487,44280
1774541911941878,44320
1774541911985084,44230
1774541912029780,44340
1774541912072870,44980
1774541912115852,44360
1774541912158693,44150
1774541912201769,44020
1774541912244839,44110
1774541912287689,44140
1774541912330401,44160
1774541912373542,44120
1774541912415923,44230
1774541912458330,44240
1774541912501489,44190
1774541912544609,44170
1774541912589676,43990
1774541912632631,44040
1774541912675608,44040
1774541912718555,44030
1774541912761551,44070
1774541912804692,44040
1774541912847593,44030
1774541912890548,44120
1774541912933715,44250
1774541912976866,44200
1774541913019822,44170
1774541913062518,44210
1774541913109540,44170
1774541913152549,44140
1774541913195664,44200
1774541913238455,44230
1774541913281571,44200
1774541913324642,44320
1774541913367324,44300
1774541913410469,44170
1774541913453531,44110
1774541913496525,43990
1774541913539609,44090
1774541913582644,44020
1774541913629373,44170
1774541913672020,44230
1774541913714974,44280
1774541913757821,44190
1774541913801010,44050
1774541913844171,44090
1774541913886952,44090
1774541913929960,44030
1774541913973096,44100
1774541914016154,43970
1774541914059145,43980
1774541914101527,44080
1774541914144482,44110
1774541914189111,44090
1774541914232217,44150
1774541914274740,44070
1774541914317795,44130
1774541914360770,44220
1774541914403428,44100
1774541914446593,44060
1774541914489749,44220
1774541914532857,44200
1774541914575592,44170
1774541914618701,44310
1774541914661788,44170
1774541914704458,44170
1774541914749163,44120
1774541914792321,44050
1774541914835170,44010
1774541914877870,43990
1774541914920852,44000
1774541914963833,44000
1774541915006878,44090
1774541915049984,44010
1774541915093119,44090
1774541915136043,44180
1774541915179213,44140
1774541915221830,44140
1774541915264721,44010
1774541915309067,44130
1774541915352114,44150
1774541915395176,44300
1774541915438289,44200
1774541915480855,44170
1774541915523612,44140
1774541915566592,44240
1774541915609682,44180
1774541915652926,44560
1774541915696059,44880
1774541915739065,44440
1774541915782102,44290
1774541915828958,44220
1774541915871786,44110
1774541915915018,44140
1774541915957879,44150
1774541916001011,44150
1774541916043791,44180
1774541916086397,44160
1774541916129596,44090
1774541916172732,44190
1774541916215950,44210
1774541916258504,44210
1774541916301662,44150
1774541916344612,44270
1774541916388914,44190
1774541916431912,44090
1774541916474905,44190
1774541916518026,44080
1774541916561228,44060
1774541916604415,44030
1774541916647613,44050
1774541916690171,44030
1774541916733353,43980
1774541916776540,44060
1774541916819683,44080
1774541916862333,44070
1774541916908773,44050
1774541916951708,44180
1774541916994802,44120
1774541917037862,44020
1774541917080843,44550
1774541917123874,44050
1774541917166501,44140
1774541917209478,44170
1774541917252624,44240
1774541917295530,44240
1774541917338514,44230
1774541917381727,44110
1774541917428836,44320
1774541917471774,44220
1774541917514814,44200
1774541917557741,44200
1774541917600633,44190
1774541917643794,44290
1774541917686755,44450
1774541917729741,44160
1774541917772673,44220
1774541917815867,44190
1774541917858980,44180
1774541917901676,44200
1774541917948764,44130
1774541917991617,44090
1774541918034679,44110
1774541918077747,43930
1774541918120767,44030
1774541918163995,43960
1774541918206841,44000
1774541918249887,43940
1774541918292887,44080
1774541918336067,44050
1774541918379389,44060
1774541918421822,44020
1774541918468651,44080
1774541918511681,44060
1774541918554641,44090
1774541918597789,44120
1774541918640742,44080
1774541918683948,44100
1774541918726617,44140
1774541918769734,44040
1774541918812852,44100
1774541918855988,44120
1774541918898888,44120
1774541918941697,44150
1774541918984744,44160
1774541919028627,44080
1774541919071792,44110
1774541919114905,44090
1774541919157843,44210
1774541919200879,44130
1774541919243884,44080
1774541919287029,44090
1774541919329586,44030
1774541919372682,44020
1774541919415748,44120
1774541919458769,44020
1774541919501713,44240
1774541919548564,44190
1774541919591782,44100
1774541919634436,44080
1774541919677365,44240
1774541919719971,44100
1774541919763012,44170
1774541919806036,44220
1774541919849284,44250
1774541919892408,44160
1774541919934908,44210
1774541919977898,44280
1774541920020780,44270
1774541920063738,44250
1774541920108673,44140
1774541920151769,44150
1774541920194772,44150
1774541920237650,44160
1774541920280902,44170
1774541920323969,44160
1774541920367120,44190
1774541920410143,44190
1774541920453219,44110
1774541920496276,44180
1774541920539155,44170
1774541920582202,44100
1774541920628616,44140
1774541920671612,44090
1774541920714584,44050
1774541920757911,44070
1774541920800966,44060
1774541920844035,44050
1774541920887126,44050
1774541920930259,44050
1774541920973408,44080
1774541921016549,44050
1774541921059668,44070
1774541921102760,44080
1774541921148687,44130
1774541921191838,44100
1774541921234878,44120
1774541921277843,44200
1774541921320848,44140
1774541921363672,44170
1774541921406721,44100
1774541921449677,44190
1774541921492539,44120
1774541921535423,44320
1774541921577802,44150
1774541921620791,44200
1774541921663735,44080
1774541921708740,44250
1774541921751755,44230
1774541921794338,44170
1774541921837487,44250
1774541921880274,44180
1774541921923409,44220
1774541921966608,44240
1774541922009829,44170
1774541922052773,44250
1774541922095800,44140
1774541922138677,44170
1774541922181631,44170
1774541922228862,44060
1774541922271993,44140
1774541922315168,44130
1774541922358346,44070
1774541922400770,44030
1774541922443874,44010
1774541922486580,44110
1774541922529742,44090
1774541922572659,44020
1774541922615596,44050
1774541922658372,44030
1774541922701553,44040
1774541922744814,44060
1774541922788768,44200
1774541922831739,44100
1774541922874853,44160
1774541922917885,44080
1774541922960819,44140
1774541923003780,44120
1774541923047079,44050
1774541923090188,44110
1774541923133355,44090
1774541923176462,44140
1774541923219313,44080
1774541923261734,44120
1774541923304749,44130
1774541923349042,44130
1774541923392066,44130
1774541923434992,44220
1774541923478175,44260
1774541923521226,44210
1774541923564332,44230
1774541923607058,44360
1774541923650144,44230
1774541923693333,44190
1774541923736261,44280
1774541923779341,44120
1774541923822348,44150
1774541923869189,44180
1774541923912179,44160
1774541923955199,44160
1774541923998319,44220
1774541924041432,44220
1774541924084516,44160
1774541924127740,44220
1774541924170983,44200
1774541924213956,44230
1774541924257020,44220
1774541924300140,44160
1774541924343084,44260
1774541924389276,44190
1774541924432052,44170
1774541924474609,44210
1774541924517773,44080
1774541924560690,44260
1774541924603503,44200
1774541924646537,44170
1774541924689608,44180
1774541924732805,44170
1774541924775801,44150
1774541924818922,44120
1774541924861908,44100
1774541924905090,44180
1774541924949417,44200
1774541924992587,44260
1774541925035836,44170
1774541925078398,44170
1774541925121580,44220
1774541925164840,44170
1774541925207912,44210
1774541925250484,44210
1774541925293504,44170
1774541925336552,44200
1774541925379752,44140
1774541925422765,44200
1774541925469645,44170
1774541925512654,44220
1774541925555616,44280
1774541925598751,44250
1774541925641838,44270
1774541925684933,44420
1774541925728124,44090
1774541925771052,44160
1774541925813620,44110
1774541925856660,44140
1774541925899708,44210
1774541925942821,44230
1774541925989731,44200
