unix_timestamp,active_power (mW)
1774543501834769,42960
1774543501877162,39860
1774543501919773,43660
1774543501965384,42930
1774543502008493,42860
1774543502051561,42840
1774543502094669,42920
1774543502137671,42890
1774543502180818,42870
1774543502223748,42880
1774543502266358,42950
1774543502309613,42910
1774543502352674,42890
1774543502395840,43000
1774543502438464,42960
1774543502481604,42970
1774543502526067,42970
1774543502569324,43090
1774543502612405,43140
1774543502655432,43020
1774543502698479,43030
1774543502741312,43070
1774543502784399,43040
1774543502827448,43040
1774543502870468,43180
1774543502913590,42920
1774543502956801,43030
1774543502999700,43030
1774543503042572,42980
1774543503086783,42980
1774543503129906,43020
1774543503173054,43040
1774543503216151,42990
1774543503258971,43050
1774543503302202,43040
1774543503345461,42970
1774543503388505,42880
1774543503431492,42900
1774543503474490,42920
1774543503517691,42930
1774543503560745,42880
1774543503607166,42880
1774543503650024,42910
1774543503693087,42990
1774543503736141,42860
1774543503779366,42890
1774543503822304,43090
1774543503865316,42910
1774543503908447,42900
1774543503951686,42920
1774543503994805,42930
1774543504037940,42910
1774543504081018,42980
1774543504127770,42900
1774543504170324,42960
1774543504213221,42980
1774543504256264,42890
1774543504299430,43030
1774543504342290,42940
1774543504385419,43050
1774543504428596,43030
1774543504471435,43030
1774543504514376,43020
1774543504557350,43050
1774543504600266,43020
1774543504643306,42970
1774543504688520,43230
1774543504731440,42970
1774543504774237,42940
1774543504817260,42970
1774543504860064,43030
1774543504903013,42990
1774543504946539,42990
1774543504989501,42980
1774543505032527,43030
1774543505075535,42860
1774543505119034,43020
1774543505162068,43070
1774543505205339,42950
1774543505249285,43080
1774543505292341,42950
1774543505335236,43000
1774543505378271,43020
1774543505421178,43020
1774543505464212,43000
1774543505507345,42950
1774543505549931,43010
1774543505593154,42950
1774543505636199,42920
1774543505679336,43010
1774543505722210,42970
1774543505765506,43090
1774543505809867,42990
1774543505852818,42940
1774543505895850,42870
1774543505938931,42870
1774543505982117,43200
1774543506025327,42760
1774543506068394,42840
1774543506111307,42900
1774543506154390,42940
1774543506197345,42910
1774543506240359,42930
1774543506283259,42930
1774543506325807,42800
1774543506370592,42920
1774543506413732,42880
1774543506457014,42890
1774543506499885,42940
1774543506542500,42980
1774543506585416,42900
1774543506628476,42990
1774543506671293,42880
1774543506714521,43080
1774543506757560,42900
1774543506800446,42920
1774543506843175,42960
1774543506886099,42950
1774543506931378,42910
1774543506974573,42910
1774543507017797,42930
1774543507060841,42900
1774543507103956,42850
1774543507147105,42920
1774543507190149,42870
1774543507233206,42970
1774543507276444,42930
1774543507319303,42860
1774543507361869,42910
1774543507405018,42920
1774543507447983,42910
1774543507492032,42920
1774543507535076,42890
1774543507578138,42890
1774543507621081,42940
1774543507663987,43000
1774543507706934,43060
1774543507749624,42890
1774543507792856,42990
1774543507835780,43060
1774543507878625,43070
1774543507921636,43030
1774543507964879,43060
1774543508007911,42950
1774543508052941,43020
1774543508096107,43030
1774543508139104,42970
1774543508181781,42960
1774543508224800,43000
1774543508267724,43040
1774543508310763,42980
1774543508353740,43000
1774543508396910,42980
1774543508439374,43030
1774543508481860,43050
1774543508524896,43030
1774543508567922,43010
1774543508613709,42960
1774543508656876,43100
1774543508699857,42940
1774543508742923,43160
1774543508785994,43050
1774543508829089,42990
1774543508872219,43010
1774543508915495,42980
1774543508958648,43070
1774543509001740,43030
1774543509044359,43030
1774543509087333,43050
1774543509130223,43070
1774543509174559,42980
1774543509217731,43070
1774543509260824,43060
1774543509303842,43100
1774543509346870,43020
1774543509389623,43010
1774543509432659,43050
1774543509475706,43000
1774543509518928,43070
1774543509561742,43060
1774543509604641,42980
1774543509647595,43010
1774543509690788,43000
1774543509735337,43030
1774543509778452,42970
1774543509821533,43040
1774543509864510,43010
1774543509907192,43030
1774543509950071,43010
1774543509993096,42990
1774543510036194,43020
1774543510079255,42940
1774543510121803,43000
1774543510164825,43020
1774543510207290,43030
1774543510249935,43010
1774543510296089,42990
1774543510339199,43030
1774543510382194,42960
1774543510425169,43070
1774543510468258,43040
1774543510511196,42990
1774543510553894,43050
1774543510597010,42940
1774543510640074,43020
1774543510683132,43030
1774543510725821,43020
1774543510768796,42990
1774543510812019,43190
1774543510856696,43070
1774543510899605,43030
1774543510942332,42990
1774543510985391,43000
1774543511028065,43090
1774543511071036,43020
1774543511114202,43030
1774543511157229,42990
1774543511200395,42990
1774543511243438,42940
1774543511285906,42990
1774543511328856,43030
1774543511372015,42990
1774543511417563,43050
1774543511460299,43030
1774543511503349,43040
1774543511545984,42970
1774543511589112,43060
1774543511632087,43040
1774543511675096,43150
1774543511718212,42990
1774543511761392,43040
1774543511804330,43000
1774543511846643,43190
1774543511889853,43010
1774543511932924,43050
1774543511978355,42990
1774543512021517,43070
1774543512064055,43020
1774543512106678,42990
1774543512149886,42990
1774543512192942,43090
1774543512235774,43010
1774543512278629,43020
1774543512321634,43000
1774543512364729,43070
1774543512407684,43030
1774543512450667,43060
1774543512493747,43020
1774543512538968,42970
1774543512581659,43060
1774543512624667,43150
1774543512667740,42940
1774543512710825,42920
1774543512753961,42970
1774543512796947,42930
1774543512840065,43090
1774543512883260,45950
1774543512926275,43280
1774543512969381,42960
1774543513012309,42860
1774543513055516,42900
1774543513099535,42920
1774543513142347,42890
1774543513185412,42940
1774543513228605,43000
1774543513271520,42960
1774543513314242,42980
1774543513357367,42970
1774543513400373,42930
1774543513443419,42940
1774543513486112,43000
1774543513529086,42940
1774543513571955,43030
1774543513615278,42990
1774543513660286,43020
1774543513703224,43070
1774543513746435,43080
1774543513789379,43060
1774543513832354,43010
1774543513875228,43050
1774543513918342,43020
1774543513961357,43020
1774543514004329,43000
1774543514047344,43100
1774543514090499,43030
1774543514133748,42920
1774543514176813,43030
1774543514221088,43040
1774543514263996,43010
1774543514306833,43000
1774543514350091,42970
1774543514393277,43040
1774543514436284,42980
1774543514479251,42900
1774543514521653,43030
1774543514564939,42930
1774543514607776,42930
1774543514650794,42930
1774543514693986,42930
1774543514737125,42900
1774543514781636,42890
1774543514824827,42990
1774543514867825,43110
1774543514911024,42940
1774543514954075,42960
1774543514997254,42940
1774543515040258,43070
1774543515083387,42960
1774543515125940,43030
