unix_timestamp,active_power (mW)
1774544918301151,43730
1774544918343725,40550
1774544918388753,43820
1774544918431803,43780
1774544918474771,43930
1774544918517878,44040
1774544918560909,44030
1774544918603782,44020
1774544918646838,44000
1774544918689999,44030
1774544918733012,44020
1774544918776114,43990
1774544918819072,44030
1774544918862064,44040
1774544918905300,43980
1774544918949411,44030
1774544918992385,44040
1774544919035308,44030
1774544919078389,44000
1774544919121493,44050
1774544919164413,44010
1774544919207667,43950
1774544919250451,44140
1774544919293487,43960
1774544919336342,43980
1774544919379402,44060
1774544919422345,44010
1774544919465362,43980
1774544919509981,43910
1774544919553075,43970
1774544919596456,44030
1774544919639444,43920
1774544919682635,44090
1774544919725794,43920
1774544919768875,43960
1774544919811862,43990
1774544919854852,44330
1774544919897822,44030
1774544919940855,44060
1774544919983997,44030
1774544920030512,44050
1774544920073716,44000
1774544920116303,44010
1774544920159314,44030
1774544920202376,44010
1774544920245439,44000
1774544920288344,44060
1774544920331476,44020
1774544920373801,44010
1774544920416894,44030
1774544920459969,44110
1774544920502618,43970
1774544920545786,44050
1774544920591125,43950
1774544920633611,43980
1774544920676481,43930
1774544920719073,44090
1774544920762157,44010
1774544920805271,43980
1774544920848110,43970
1774544920891011,43990
1774544920933983,44080
1774544920977026,43950
1774544921020068,44060
1774544921063186,44040
1774544921105628,44020
1774544921151828,44020
1774544921194576,43740
1774544921237636,43770
1774544921280871,43610
1774544921323817,43720
1774544921366611,43690
1774544921409581,43730
1774544921452854,43700
1774544921495623,43700
1774544921538739,43760
1774544921581919,43690
1774544921625125,43740
1774544921668129,43790
1774544921712466,43820
1774544921755235,43760
1774544921798342,43690
1774544921841358,43740
1774544921884374,43870
1774544921927212,43700
1774544921970157,43730
1774544922013257,43750
1774544922056329,43680
1774544922099535,43700
1774544922142403,43850
1774544922185213,43860
1774544922228122,43720
1774544922272995,43770
1774544922316007,43850
1774544922358972,43790
1774544922401923,43770
1774544922444834,43790
1774544922487724,43830
1774544922530710,43790
1774544922573872,43700
1774544922616849,43710
1774544922659809,43710
1774544922702965,43860
1774544922746232,43780
1774544922789437,43710
1774544922833533,43740
1774544922876717,43720
1774544922919738,43710
1774544922962475,43650
1774544923005635,43740
1774544923048629,43780
1774544923091739,43750
1774544923134399,43710
1774544923177382,43650
1774544923220522,43610
1774544923263594,43700
1774544923306754,43760
1774544923349674,43590
1774544923393963,43640
1774544923437154,43790
1774544923480190,43680
1774544923523379,43630
1774544923566659,43650
1774544923609681,43760
1774544923652778,43660
1774544923695951,43640
1774544923739027,43710
1774544923782198,43630
1774544923825462,43660
1774544923868589,43830
1774544923914554,43830
1774544923957635,43770
1774544924000812,43720
1774544924043948,43700
1774544924086581,43610
1774544924129554,43610
1774544924172496,43720
1774544924215708,43710
1774544924258733,43690
1774544924301812,43720
1774544924344821,43650
1774544924387967,43740
1774544924430951,43760
1774544924474914,43640
1774544924518162,43680
1774544924561050,43770
1774544924603868,43760
1774544924646849,43700
1774544924690056,43730
1774544924733271,43700
1774544924776204,43700
1774544924819464,43730
1774544924862000,43750
1774544924905208,43690
1774544924948266,43600
1774544924995500,43720
1774544925038580,43780
1774544925081732,43710
1774544925124743,43660
1774544925167981,43750
1774544925210591,43830
1774544925253789,43730
1774544925296883,43610
1774544925339904,43630
1774544925383303,43660
1774544925426543,43800
1774544925469591,43860
1774544925515735,43710
1774544925558588,43790
1774544925601564,43840
1774544925644714,43860
1774544925687704,43790
1774544925730923,43830
1774544925773781,43720
1774544925816803,43810
1774544925860016,43760
1774544925902885,43740
1774544925946021,43670
1774544925989117,43840
1774544926032284,43740
1774544926076168,43770
1774544926118617,43710
1774544926161715,43650
1774544926204886,43700
1774544926248135,43690
1774544926291437,43770
1774544926334413,43660
1774544926377481,43650
1774544926420275,43740
1774544926462942,43690
1774544926505946,43750
1774544926548998,43640
1774544926592090,43660
1774544926636739,43670
1774544926679970,43720
1774544926722681,43750
1774544926765753,43720
1774544926809002,43650
1774544926851965,43680
1774544926895105,43690
1774544926937648,43650
1774544926980781,43730
1774544927023759,43600
1774544927066839,43750
1774544927109923,43700
1774544927157192,43710
1774544927200261,43660
1774544927243383,43660
1774544927285739,43740
1774544927328353,43640
1774544927371446,43670
1774544927413661,43730
1774544927456823,43700
1774544927499734,43690
1774544927542626,43730
1774544927585535,43690
1774544927628430,43690
1774544927671387,43720
1774544927717601,43680
1774544927760747,43720
1774544927803828,43750
1774544927846502,43880
1774544927889609,43640
1774544927932972,43720
1774544927976236,43730
1774544928019445,43950
1774544928062596,43740
1774544928105839,43750
1774544928148858,43620
1774544928191677,43660
1774544928237786,43750
1774544928280931,43790
1774544928323940,43650
1774544928366597,43760
1774544928409637,43670
1774544928452725,43750
1774544928495784,43760
1774544928538231,43700
1774544928581146,43760
1774544928623957,43720
1774544928666562,43700
1774544928709651,43710
1774544928752723,43740
1774544928798054,43690
1774544928841348,43640
1774544928884197,43610
1774544928927382,43720
1774544928970470,43680
1774544929013517,43610
1774544929056562,43620
1774544929099571,43600
1774544929142444,43640
1774544929185656,43580
1774544929228880,43620
1774544929271900,43670
1774544929318356,43760
1774544929361477,43640
1774544929404545,43640
1774544929447602,43680
1774544929490571,43710
1774544929533799,43740
1774544929577025,43750
1774544929620194,43700
1774544929663238,43650
1774544929706342,43690
1774544929749247,43870
1774544929792145,43610
1774544929838776,43660
1774544929881940,43630
1774544929925113,43650
1774544929967939,43700
1774544930010571,43710
1774544930053808,43790
1774544930096895,43780
1774544930139907,43710
1774544930183174,43670
1774544930226387,43660
1774544930269554,43620
1774544930312519,43660
1774544930358979,43640
1774544930402091,43670
1774544930445086,43690
1774544930488186,43700
1774544930531342,43710
1774544930574368,43740
1774544930617439,43660
1774544930660444,43650
1774544930703655,43570
1774544930746799,43610
1774544930789757,43630
1774544930832883,43620
1774544930879142,43790
1774544930922301,43650
1774544930965195,43700
1774544931008146,43590
1774544931051197,43650
1774544931093833,43740
1774544931136924,43770
1774544931180040,43690
1774544931222634,43690
1774544931265801,43560
1774544931308757,43620
1774544931351956,43670
1774544931395174,43710
1774544931439520,43700
1774544931482459,43640
1774544931525486,43620
1774544931568403,43670
1774544931610982,43680
1774544931654015,43720
1774544931697076,43670
1774544931740170,43790
1774544931783375,43710
1774544931826571,43690
1774544931869479,43860
1774544931912610,43680
1774544931955423,43660
1774544931999925,43710
1774544932043096,43680
1774544932086357,43720
1774544932129452,43870
1774544932172417,43720
1774544932215647,43610
1774544932258405,43700
1774544932301467,43730
1774544932344514,43720
1774544932387453,43730
1774544932430550,43700
1774544932473609,43670
1774544932520107,43660
1774544932563192,43580
1774544932606110,43660
1774544932649424,43640
1774544932692595,43650
1774544932735712,43770
1774544932778770,43830
1774544932821891,43720
1774544932865073,43660
1774544932908113,43640
1774544932950918,43640
1774544932994066,43790
1774544933040375,43690
1774544933083165,43690
1774544933126441,43740
1774544933169195,43660
1774544933212312,43750
1774544933255213,43620
1774544933298292,43700
1774544933341357,43700
1774544933384290,43660
1774544933427364,43640
1774544933470401,43700
1774544933513489,43640
1774544933556476,43720
1774544933600703,43690
1774544933643818,43600
1774544933686454,43650
1774544933729556,43700
1774544933772543,43640
1774544933815700,43580
1774544933858596,43730
1774544933901779,43710
1774544933944711,43730
1774544933987948,43770
1774544934030962,43770
1774544934074042,43620
