unix_timestamp,active_power (mW)
1774545606736427,44010
1774545606780899,31450
1774545606823570,45760
1774545606866087,43960
1774545606909328,43970
1774545606952573,43950
1774545606995755,43930
1774545607040831,43910
1774545607083642,43990
1774545607126915,44030
1774545607169912,44040
1774545607213047,43960
1774545607256213,44000
1774545607299332,43950
1774545607341513,44020
1774545607384605,43900
1774545607427584,43920
1774545607470592,44010
1774545607513576,43920
1774545607556767,43990
1774545607601007,44010
1774545607644236,44030
1774545607686930,44060
1774545607729513,43850
1774545607772610,43860
1774545607815833,43910
1774545607859148,44110
1774545607901731,43980
1774545607944689,44020
1774545607987733,44060
1774545608030942,43920
1774545608074083,43930
1774545608117327,43870
1774545608161545,43840
1774545608204553,43910
1774545608247762,43890
1774545608290662,43920
1774545608333896,43930
1774545608377057,43840
1774545608420442,43930
1774545608463401,43930
1774545608505655,43920
1774545608548266,43960
1774545608591041,43930
1774545608634543,43880
1774545608681511,43900
1774545608724587,43820
1774545608767438,43880
1774545608809980,43860
1774545608852989,43920
1774545608896094,43920
1774545608939319,43850
1774545608981823,43830
1774545609025049,43940
1774545609068330,43970
1774545609111170,44040
1774545609154051,43970
1774545609197227,43850
1774545609241747,43880
1774545609284866,43900
1774545609327669,43830
1774545609370872,43870
1774545609413798,43970
1774545609456923,43960
1774545609499780,43960
1774545609542369,43870
1774545609585548,43880
1774545609628177,43870
1774545609671268,43910
1774545609714480,43920
1774545609757472,44120
1774545609801714,44000
1774545609844740,43920
1774545609887788,44090
1774545609930805,44030
1774545609973795,44000
1774545610016745,44120
1774545610059542,44040
1774545610102653,43930
1774545610145537,43940
1774545610188480,43930
1774545610231634,43960
1774545610274659,43910
1774545610317893,43900
1774545610361854,43970
1774545610405054,43840
1774545610447331,43890
1774545610490395,43910
1774545610533567,43870
1774545610576382,43850
1774545610619526,43840
1774545610662551,43900
1774545610705696,43860
1774545610748696,43910
1774545610791744,43920
1774545610834620,43910
1774545610877600,43830
1774545610921960,43910
1774545610965071,43970
1774545611008272,43920
1774545611051457,43880
1774545611094046,43970
1774545611137221,43950
1774545611180198,43990
1774545611222863,43950
1774545611265909,43930
1774545611309068,43940
1774545611352328,43950
1774545611395604,43890
1774545611442069,44020
1774545611485196,43980
1774545611528345,43850
1774545611571479,43930
1774545611613820,44030
1774545611656863,43950
1774545611699802,43940
1774545611742937,44010
1774545611785990,43930
1774545611829139,43950
1774545611872344,44060
1774545611915583,43940
1774545611962119,43860
1774545612005239,43920
1774545612048410,44040
1774545612091420,43920
1774545612134425,43990
1774545612177634,43850
1774545612220682,43970
1774545612263761,43900
1774545612306544,43890
1774545612349522,43830
1774545612392697,43890
1774545612435711,43940
1774545612482194,43980
1774545612525177,43950
1774545612568205,43900
1774545612610946,43960
1774545612653958,44010
1774545612697066,43940
1774545612739907,43920
1774545612782829,43940
1774545612825919,43880
1774545612868778,44000
1774545612911723,43900
1774545612954825,43940
1774545612997901,43900
1774545613042305,43910
1774545613085426,43900
1774545613128536,43950
1774545613171634,43970
1774545613214276,43930
1774545613257486,43920
1774545613300564,43910
1774545613342982,43890
1774545613385953,43890
1774545613428954,44030
1774545613472155,43990
1774545613515029,43900
1774545613557745,43960
1774545613602213,43910
1774545613645455,43860
1774545613688577,43950
1774545613731467,44150
1774545613774644,43910
1774545613817892,43990
1774545613860814,43920
1774545613903900,43990
1774545613946510,43950
1774545613989661,43940
1774545614032456,43890
1774545614075462,43880
1774545614122188,43880
1774545614165282,43960
1774545614208357,43890
1774545614251370,43940
1774545614294617,43940
1774545614337727,43890
1774545614380813,43940
1774545614423737,43910
1774545614466827,43950
1774545614509829,43920
1774545614552822,43840
1774545614595906,43850
1774545614642098,43820
1774545614685253,43910
1774545614728251,43810
1774545614771362,43920
1774545614813858,43930
1774545614856900,43990
1774545614899986,43990
1774545614942674,43920
1774545614985835,43880
1774545615028783,43870
1774545615071656,43950
1774545615114802,43880
1774545615157731,43950
1774545615201988,43940
1774545615245128,43840
1774545615288308,43810
1774545615331527,43920
1774545615374598,43820
1774545615417712,43890
1774545615460729,43860
1774545615503882,43840
1774545615546384,43960
1774545615589530,43970
1774545615632741,43960
1774545615675611,43880
1774545615721736,43840
1774545615764642,43890
1774545615807728,43970
1774545615850845,44030
1774545615893808,43830
1774545615936813,43880
1774545615979823,43890
1774545616022742,43950
1774545616065704,43850
1774545616108889,43900
1774545616151751,44770
1774545616194596,44700
1774545616237787,44020
1774545616281746,43950
1774545616324787,43940
1774545616367850,44000
1774545616410872,43980
1774545616454157,44010
1774545616497211,43980
1774545616540246,44010
1774545616583172,43930
1774545616626189,43950
1774545616669203,43990
1774545616712149,43980
1774545616755292,43970
1774545616801419,43930
1774545616844570,44020
1774545616887584,44030
1774545616930632,44000
1774545616973782,44000
1774545617016893,44020
1774545617059932,43970
1774545617102940,43910
1774545617145870,43940
1774545617189004,43950
1774545617231893,43950
1774545617275092,44030
1774545617321298,43980
1774545617364552,44090
1774545617407563,44000
1774545617450667,44010
1774545617493744,43950
1774545617536878,43980
1774545617579958,44020
1774545617622517,43940
1774545617665765,43970
1774545617708893,43980
1774545617751926,44090
1774545617794875,43940
1774545617841148,43980
1774545617884263,43940
1774545617927098,43930
1774545617970247,43950
1774545618013424,43950
1774545618056572,43900
1774545618099765,43940
1774545618142623,43960
1774545618185769,43970
1774545618228708,44020
1774545618271732,43910
1774545618314717,43830
1774545618360863,43910
1774545618404069,43890
1774545618447167,44010
1774545618490151,43980
1774545618533185,43920
1774545618576322,43910
1774545618619509,43850
1774545618662611,43970
1774545618705546,43940
1774545618748813,43920
1774545618791826,43930
1774545618834836,43920
1774545618880489,43890
1774545618923623,43880
1774545618966850,43930
1774545619009947,43880
1774545619052841,43980
1774545619095536,44020
1774545619138542,43950
1774545619181561,43910
1774545619224443,43930
1774545619267597,43880
1774545619310548,43960
1774545619353794,44040
1774545619400180,43960
1774545619443278,43950
1774545619486446,43840
1774545619529354,43920
1774545619572176,43890
1774545619614692,43910
1774545619657720,43950
1774545619700841,44050
1774545619743888,44140
1774545619787113,43930
1774545619829510,43850
1774545619872639,44030
1774545619915716,43950
1774545619959987,43990
1774545620003100,44040
1774545620046232,44020
1774545620089111,44020
1774545620132298,43960
1774545620175365,43910
1774545620218481,43900
1774545620261476,44150
1774545620304595,43950
1774545620347732,44050
1774545620390837,43950
1774545620433914,43930
1774545620479727,43890
1774545620522822,43920
1774545620565635,43920
1774545620608851,44010
1774545620651756,44030
1774545620694497,43970
1774545620737597,44000
1774545620780843,43880
1774545620823768,44020
1774545620866819,43930
1774545620910028,43920
1774545620953265,43980
1774545620999502,43900
1774545621042621,43960
1774545621085779,43950
1774545621128919,43910
1774545621172137,43870
1774545621214875,43910
1774545621257941,43970
1774545621300932,44070
1774545621343891,43940
1774545621386928,44010
1774545621429833,43930
1774545621472850,43880
1774545621519142,43910
1774545621562256,44050
1774545621605335,43980
1774545621648355,44060
1774545621691438,43900
1774545621734603,44010
1774545621777607,43910
1774545621820735,43910
1774545621863618,43910
1774545621906652,43990
1774545621949645,44040
1774545621992772,44040
1774545622038920,43890
1774545622082044,43870
1774545622125145,43930
1774545622168162,44000
1774545622211234,43960
1774545622254398,43990
1774545622297560,44250
1774545622340573,43790
1774545622383684,43890
1774545622426737,43900
1774545622469792,43920
1774545622512884,43920
1774545622558738,44220
1774545622601803,44030
1774545622644699,43980
1774545622687823,44000
1774545622730455,44110
1774545622773501,43930
1774545622816771,43970
1774545622859964,43870
1774545622902910,43920
1774545622945669,43850
1774545622988857,43950
1774545623032090,43970
1774545623078487,43990
1774545623121677,43960
1774545623164817,43900
1774545623207791,43870
1774545623250429,43910
1774545623293619,44020
1774545623336811,43920
1774545623379775,43890
1774545623422750,43970
1774545623465711,43910
1774545623508734,43960
1774545623551717,43920
1774545623598197,44010
1774545623641325,43950
1774545623684515,44130
1774545623727711,43910
1774545623770442,43950
1774545623813596,43860
1774545623856650,44050
1774545623899766,43960
1774545623942925,43910
1774545623986072,43940
1774545624029397,43990
1774545624072588,44030
1774545624117966,44000
1774545624161184,43950
1774545624204328,43970
1774545624247454,43870
1774545624289937,43910
1774545624332892,44000
1774545624376061,43900
1774545624419101,43980
1774545624462201,43970
1774545624505271,44000
1774545624548433,44000
