unix_timestamp,active_power (mW)
1774546553083288,43520
1774546553127010,27950
1774546553169516,45910
1774546553212467,43580
1774546553255401,43450
1774546553298491,43450
1774546553341524,43470
1774546553384695,43490
1774546553427688,43390
1774546553473165,43470
1774546553516335,43410
1774546553558944,43530
1774546553602159,43400
1774546553645375,43500
1774546553687763,43400
1774546553730843,43440
1774546553773712,43580
1774546553816848,43470
1774546553859908,43500
1774546553902503,43410
1774546553945644,43400
1774546553988943,43500
1774546554033620,43510
1774546554076764,43500
1774546554119684,43580
1774546554162611,43500
1774546554205807,43510
1774546554248777,43620
1774546554291521,43490
1774546554334528,43460
1774546554377502,43600
1774546554420745,43580
1774546554464052,43480
1774546554507077,43450
1774546554549712,43640
1774546554594195,43400
1774546554637036,43500
1774546554679989,43590
1774546554722703,43470
1774546554765753,43460
1774546554808734,43480
1774546554851245,43480
1774546554893495,43440
1774546554936722,43530
1774546554979726,43500
1774546555022848,43490
1774546555065947,43420
1774546555109155,43500
1774546555154936,43460
1774546555197447,43500
1774546555240393,43460
1774546555283580,43460
1774546555326425,43490
1774546555369211,43510
1774546555412309,43540
1774546555455224,43500
1774546555497999,43430
1774546555541331,43460
1774546555584469,43470
1774546555627309,43520
1774546555670274,43470
1774546555715446,43590
1774546555758592,43440
1774546555801756,43470
1774546555844800,43670
1774546555887869,43520
1774546555930461,43420
1774546555973404,43490
1774546556015839,43630
1774546556058908,43550
1774546556101671,43450
1774546556144860,43380
1774546556187848,43530
1774546556230543,43700
1774546556276012,43410
1774546556319179,43530
1774546556362398,43530
1774546556405327,43460
1774546556448295,43380
1774546556491385,43620
1774546556533813,43620
1774546556576877,43520
1774546556620038,43420
1774546556662605,43520
1774546556705179,43580
1774546556748175,43430
1774546556791163,43470
1774546556836582,43590
1774546556879707,43470
1774546556922578,43440
1774546556965623,43520
1774546557008832,43530
1774546557051610,43500
1774546557094652,43530
1774546557137691,43430
1774546557180876,43460
1774546557224137,43520
1774546557267221,43530
1774546557309652,43480
1774546557352870,43390
1774546557397276,43420
1774546557440350,43530
1774546557483303,43440
1774546557526513,43380
1774546557569867,43520
1774546557612992,43470
1774546557655675,43470
1774546557698970,43460
1774546557742190,43580
1774546557785265,43490
1774546557828217,43390
1774546557871133,43460
1774546557917686,43590
1774546557960931,43430
1774546558003834,43420
1774546558046741,43520
1774546558089976,43550
1774546558133034,43550
1774546558175927,43500
1774546558218901,43420
1774546558261983,43660
1774546558305055,43600
1774546558348031,43460
1774546558391112,43450
1774546558438186,43540
1774546558481353,43510
1774546558524390,43480
1774546558567180,43530
1774546558609730,43600
1774546558652754,43410
1774546558695663,43530
1774546558738865,43570
1774546558781309,43460
1774546558824259,43440
1774546558867257,43530
1774546558909822,43460
1774546558952820,43480
1774546558999026,43470
1774546559042082,43480
1774546559085092,43470
1774546559128049,43380
1774546559171194,43560
1774546559214146,43460
1774546559257307,43450
1774546559300242,43540
1774546559343159,43410
1774546559386339,43400
1774546559429317,43510
1774546559472584,43470
1774546559515327,43380
1774546559559437,43370
1774546559601994,43400
1774546559645034,43640
1774546559688033,43560
1774546559730944,43490
1774546559773893,43400
1774546559817105,43400
1774546559860182,43730
1774546559903325,43520
1774546559946539,43490
1774546559989693,43390
1774546560032635,43460
1774546560075604,43640
1774546560119941,43400
1774546560163012,43420
1774546560206077,43590
1774546560249254,43550
1774546560291546,43690
1774546560334353,43580
1774546560377429,43510
1774546560420258,43550
1774546560463142,43430
1774546560505751,43540
1774546560548904,43520
1774546560592038,43460
1774546560634606,43440
1774546560680617,43490
1774546560723724,43520
1774546560766694,43480
1774546560809690,43540
1774546560852882,43430
1774546560895666,43500
1774546560938398,43490
1774546560981608,43570
1774546561024812,43410
1774546561068026,43450
1774546561110931,43460
1774546561153830,43520
1774546561196717,43450
1774546561241220,43440
1774546561284312,43500
1774546561327269,43540
1774546561370345,43510
1774546561413369,43430
1774546561456361,43490
1774546561499325,43480
1774546561542188,43500
1774546561585251,43560
1774546561628267,43550
1774546561671380,43490
1774546561714360,43500
1774546561757306,43550
1774546561801693,43500
1774546561844736,43470
1774546561887750,43480
1774546561930975,43600
1774546561973983,43510
1774546562017554,43490
1774546562060686,43420
1774546562103167,43500
1774546562146231,43500
1774546562189314,43510
1774546562232238,43430
1774546562275235,43490
1774546562322181,43730
1774546562364896,43570
1774546562407878,43430
1774546562450993,43580
1774546562493958,43540
1774546562537062,43590
1774546562580151,43510
1774546562623048,43470
1774546562666041,43480
