unix_timestamp,active_power (mW)
1774529853935108,40620
1774529853977466,40870
1774529854020450,40620
1774529854063551,40570
1774529854106732,40500
1774529854149897,40520
1774529854193066,40650
1774529854236055,40550
1774529854282425,40510
1774529854325538,40500
1774529854368649,40500
1774529854411864,40580
1774529854455025,40580
1774529854497610,40600
1774529854540731,40610
1774529854583795,40510
1774529854626875,41300
1774529854670012,40620
1774529854713085,40630
1774529854756268,40560
1774529854802115,40590
1774529854845189,40520
1774529854888356,40530
1774529854931559,40510
1774529854974665,40540
1774529855017522,40630
1774529855060582,40530
1774529855103557,40460
1774529855145988,40470
1774529855189188,40500
1774529855232091,40480
1774529855275224,40520
1774529855321721,40530
1774529855364853,40440
1774529855407563,40420
1774529855450444,40450
1774529855493542,40500
1774529855536541,40510
1774529855579040,40660
1774529855621752,40470
1774529855664806,40430
1774529855707784,40470
1774529855750510,40460
1774529855793589,40490
1774529855836715,40420
1774529855881355,40570
1774529855924567,40470
1774529855967356,40470
1774529856010484,40500
1774529856053748,40420
1774529856096978,40460
1774529856140081,40520
1774529856182560,40470
1774529856225495,40460
1774529856268660,40530
1774529856311682,40410
1774529856354614,40400
1774529856401192,40510
1774529856443592,40510
1774529856486351,40430
1774529856529478,40410
1774529856572470,40450
1774529856615562,40540
1774529856658649,40640
1774529856701676,40540
1774529856744747,40560
1774529856787932,40510
1774529856830618,40480
1774529856873661,40550
1774529856920841,40450
1774529856963572,40470
1774529857006702,40600
1774529857049152,40510
1774529857092095,40530
1774529857135142,40380
1774529857178166,40440
1774529857221366,40470
1774529857264443,40560
1774529857307582,40590
1774529857350603,40560
1774529857393672,40500
1774529857440504,40350
1774529857483659,40440
1774529857526868,40440
1774529857569686,40650
1774529857612894,40560
1774529857655948,40530
1774529857699174,40660
1774529857742217,40390
1774529857785204,40420
1774529857828369,40490
1774529857870925,40490
1774529857913665,40570
1774529857960267,40430
1774529858003354,41000
1774529858045610,41010
1774529858088638,40500
1774529858131836,40460
1774529858174670,40550
1774529858217815,40610
1774529858260796,40540
1774529858303995,40490
1774529858347107,40480
1774529858389644,40440
1774529858432773,40460
1774529858476030,40630
1774529858520311,40580
1774529858563397,40530
1774529858605867,40500
1774529858649054,40510
1774529858691856,40560
1774529858734914,40540
1774529858777628,40600
1774529858820826,40670
1774529858863798,40530
1774529858906491,40610
1774529858949531,40470
1774529858992048,40480
1774529859034531,40560
1774529859079645,40480
1774529859122717,40580
1774529859165857,40580
1774529859208885,40570
1774529859252051,40550
1774529859295126,40520
1774529859337656,40520
1774529859380775,40440
1774529859423823,40570
1774529859466810,40450
1774529859509749,40590
1774529859552938,40740
1774529859599397,40460
1774529859642460,40480
1774529859685429,40400
1774529859728511,40460
1774529859771674,40560
1774529859814362,40620
1774529859857504,40490
1774529859900705,40480
1774529859943726,40510
1774529859986342,40490
1774529860029398,40480
1774529860072332,40360
1774529860119248,40450
1774529860162251,40490
1774529860205404,40450
1774529860248383,40540
1774529860291600,40470
1774529860334431,40400
1774529860377489,40410
1774529860420649,40430
1774529860463703,40450
1774529860506829,40430
1774529860549502,40470
1774529860592571,40540
1774529860639089,40410
1774529860682133,40490
1774529860725161,40350
1774529860768127,41050
1774529860811147,40520
1774529860854057,40450
1774529860897140,40500
1774529860940188,40480
1774529860983483,40520
1774529861026619,40590
1774529861069828,40500
1774529861113012,40410
1774529861158702,40420
1774529861201859,40430
1774529861244639,40450
1774529861287751,40550
1774529861330953,40580
1774529861374035,40540
1774529861417040,40650
1774529861460034,40540
1774529861503015,40560
1774529861545851,40660
1774529861589116,40590
1774529861632184,40530
1774529861678832,40660
1774529861721906,40490
1774529861765053,40540
1774529861808133,40500
1774529861850992,40530
1774529861894137,40490
1774529861937129,40570
1774529861980238,40540
1774529862023342,40570
1774529862065601,40600
1774529862108633,40520
1774529862151723,40500
1774529862198344,40500
1774529862241536,40540
1774529862284787,40550
1774529862327852,40550
1774529862370345,40440
1774529862413389,40430
1774529862456511,40420
1774529862499680,40510
1774529862542192,40560
1774529862585320,40500
1774529862628377,40540
1774529862671346,40590
1774529862718259,40580
1774529862761526,40500
1774529862804687,40620
1774529862847937,40550
1774529862891174,40480
1774529862934328,40500
1774529862977488,40420
1774529863020741,40510
1774529863063671,40470
1774529863106775,40510
1774529863149969,40490
1774529863193097,40540
1774529863238145,40510
1774529863281106,40570
1774529863324103,40610
1774529863367243,40570
1774529863409709,40620
1774529863453010,40600
1774529863496211,40520
1774529863539197,40530
1774529863582320,40580
1774529863625449,40460
1774529863668534,40890
1774529863711444,40500
1774529863757862,40440
1774529863801004,40530
1774529863844110,40500
1774529863887080,40510
1774529863930073,40550
1774529863973073,40530
1774529864015979,40500
1774529864058576,40590
1774529864101668,40570
1774529864144542,40540
1774529864187463,40530
1774529864229841,40610
1774529864272859,40480
1774529864317948,40580
1774529864361122,40500
1774529864404289,40560
1774529864447513,40580
1774529864490638,40560
1774529864533663,40560
1774529864576822,40570
1774529864619608,40490
1774529864662208,40470
1774529864705335,40460
1774529864747761,40450
1774529864790816,40380
1774529864833607,40480
1774529864877788,40470
1774529864920831,40610
1774529864963771,40610
1774529865006819,40560
1774529865049827,40540
1774529865093043,40560
1774529865135888,40610
1774529865179013,40530
1774529865222607,40580
1774529865266014,40570
1774529865309337,40540
1774529865352326,40490
1774529865397695,40540
1774529865440958,40540
1774529865484030,40510
1774529865527081,40460
1774529865569795,40600
1774529865612969,40490
1774529865656205,40570
1774529865699372,40630
1774529865742592,40510
1774529865785804,40640
1774529865829014,40700
1774529865872242,40650
1774529865917595,40550
1774529865960685,40520
1774529866003877,40670
1774529866047139,40610
1774529866090080,40540
1774529866133207,40500
1774529866176094,40450
1774529866219106,40520
1774529866261814,40510
1774529866305021,40450
1774529866347954,40450
1774529866390707,40470
1774529866437547,40510
1774529866480670,40460
1774529866523599,40580
1774529866566635,40580
1774529866609764,40470
1774529866652824,40560
1774529866695905,40580
1774529866738921,40600
1774529866781795,40550
1774529866824928,40580
1774529866867957,40500
1774529866911248,40630
1774529866957481,40440
1774529867000595,40570
1774529867043811,40530
1774529867086585,40500
1774529867129603,40500
1774529867172788,40560
1774529867215724,40560
1774529867258067,40550
1774529867301019,40560
1774529867344049,40630
1774529867386657,40570
1774529867429850,40490
1774529867472727,40500
1774529867517486,40520
1774529867560626,40430
1774529867603491,40540
1774529867645996,40490
1774529867689137,40520
1774529867732443,40630
1774529867775530,40510
1774529867818592,40500
1774529867861637,40560
1774529867904628,40550
1774529867947688,40630
1774529867990509,40560
1774529868037302,40570
1774529868079681,40530
1774529868122487,40570
1774529868165488,40490
1774529868208635,40460
1774529868251783,40400
1774529868294865,40480
1774529868337820,40490
1774529868380952,40510
1774529868423593,40520
1774529868466688,40590
1774529868509687,40530
1774529868552782,40530
1774529868597074,40470
1774529868640351,40490
1774529868683318,40470
1774529868726176,40420
1774529868769133,40400
1774529868812028,40540
1774529868854636,40460
1774529868897725,40400
1774529868940807,40430
1774529868982999,40450
1774529869025679,40490
1774529869068762,40410
1774529869111943,40480
1774529869157059,40440
1774529869200175,40520
1774529869243435,40510
1774529869286598,40530
1774529869329294,40590
1774529869372053,40540
1774529869415123,40570
1774529869458306,40580
1774529869501339,40710
1774529869544474,40690
1774529869587412,40600
1774529869629957,40590
1774529869673059,40620
1774529869717013,40540
1774529869760196,40490
1774529869803218,40490
1774529869845486,40520
1774529869888697,40500
1774529869931668,40530
1774529869974411,40500
1774529870017581,40440
1774529870060863,40490
1774529870103924,40430
1774529870146495,40400
1774529870189630,40420
1774529870232720,40530
1774529870276946,40610
1774529870319916,40590
1774529870362410,40650
1774529870405373,40500
1774529870448478,40580
1774529870491164,40490
1774529870534230,40520
1774529870577455,40550
1774529870620657,40530
1774529870663920,40510
1774529870706932,40440
1774529870749876,40580
1774529870796721,40600
1774529870839700,40590
1774529870882417,40520
1774529870925500,40490
1774529870968629,40400
1774529871011714,40620
1774529871054669,40500
1774529871097756,40470
1774529871140794,40540
1774529871183804,40560
1774529871226421,40470
1774529871269575,40450
1774529871316366,40480
1774529871359527,40420
1774529871402609,40570
1774529871445705,40920
1774529871489017,40590
1774529871532026,40470
1774529871574859,40630
1774529871617903,40480
1774529871660970,40920
1774529871703894,40580
1774529871747113,40460
1774529871790245,40490
1774529871836502,40480
1774529871879639,40470
1774529871922681,40520
1774529871965625,40460
1774529872008577,40490
1774529872051607,40460
1774529872094572,40530
1774529872137760,40420
1774529872180911,40480
1774529872224063,40470
1774529872266945,40490
1774529872309767,40580
1774529872356254,40560
1774529872399287,40600
