unix_timestamp,active_power (mW)
1774530864786751,42260
1774530864829084,39270
1774530864871595,41940
1774530864914690,42300
1774530864957682,42280
1774530865000569,42370
1774530865043770,42340
1774530865086596,42200
1774530865129771,42300
1774530865173043,42350
1774530865215931,42260
1774530865262479,42290
1774530865305226,42250
1774530865348167,42330
1774530865390792,42300
1774530865433765,42310
1774530865476808,42270
1774530865519777,42360
1774530865562585,42430
1774530865605672,42250
1774530865648624,42210
1774530865691566,42450
1774530865734768,42240
1774530865777984,42280
1774530865822334,42210
1774530865865483,42250
1774530865908504,42220
1774530865951540,42260
1774530865994169,42280
1774530866037374,42260
1774530866080465,42260
1774530866123644,42340
1774530866166888,42270
1774530866210089,42220
1774530866252966,42290
1774530866296030,42280
1774530866342284,42390
1774530866385285,42230
1774530866428252,42240
1774530866471211,42260
1774530866513923,42310
1774530866557112,42210
1774530866599821,42230
1774530866642843,42200
1774530866685838,42270
1774530866728917,42280
1774530866772096,42250
1774530866815097,42230
1774530866857668,42260
1774530866902249,42250
1774530866945345,42190
1774530866988568,42290
1774530867031500,42220
1774530867074677,42200
1774530867117677,42210
1774530867160730,42350
1774530867203618,42280
1774530867246744,42310
1774530867289756,42280
1774530867332556,42230
1774530867375445,42150
1774530867422294,42290
1774530867465404,42290
1774530867508575,42270
1774530867551457,42380
1774530867594578,42300
1774530867637397,42320
1774530867680630,42270
1774530867723780,42270
1774530867766836,42190
1774530867809649,42180
1774530867852726,42140
1774530867896015,42080
1774530867942123,42170
1774530867985131,42080
1774530868027671,42150
1774530868070567,42190
1774530868113774,42200
1774530868156984,42240
1774530868199762,42160
1774530868242590,42210
1774530868285751,42190
1774530868328981,42280
1774530868371920,42310
1774530868414982,42380
1774530868457689,42360
1774530868502152,42230
1774530868545251,42300
1774530868588491,42290
1774530868631351,42260
1774530868673904,42270
1774530868717025,42250
1774530868759842,42270
1774530868802864,42250
1774530868845972,42110
1774530868889183,42290
1774530868932217,42220
1774530868975024,42290
1774530869017652,42300
1774530869062034,42190
1774530869105181,42250
1774530869148400,42260
1774530869191172,42220
1774530869234155,42240
1774530869276454,42140
1774530869319539,42160
1774530869362599,42250
1774530869405759,42230
1774530869448879,42240
1774530869491961,42170
1774530869534948,42250
1774530869577847,42230
1774530869621809,42200
1774530869664900,42390
1774530869707867,42170
1774530869750669,42240
1774530869793549,42300
1774530869836846,42290
1774530869879950,42240
1774530869922569,42310
1774530869965743,42330
1774530870008818,42320
1774530870051911,42290
1774530870094597,42160
1774530870137773,42260
1774530870181904,42250
1774530870224932,42240
1774530870268247,42190
1774530870311042,42200
1774530870353911,42220
1774530870396905,42210
1774530870439999,42360
1774530870483104,42270
1774530870525685,42270
1774530870568849,42250
1774530870612035,42270
1774530870655140,42250
1774530870701633,42230
1774530870744796,42260
1774530870787976,42140
1774530870831003,42180
1774530870873989,42210
1774530870917041,42150
1774530870959978,42130
1774530871002959,42240
1774530871046041,42300
1774530871088934,42200
1774530871132074,42250
1774530871175071,42250
1774530871221939,42230
1774530871265007,42160
1774530871308101,42210
1774530871351079,42140
1774530871393426,42150
1774530871436397,42220
1774530871479662,42260
1774530871522757,42200
1774530871565752,42270
1774530871608863,42370
1774530871651855,42190
1774530871694561,42250
1774530871737329,42200
1774530871781462,42290
1774530871824895,42170
1774530871868005,42310
1774530871911065,42250
1774530871953876,42250
1774530871996486,42210
1774530872038871,42220
1774530872081722,42210
1774530872124843,42230
1774530872167916,42250
1774530872211050,42210
1774530872254096,42220
1774530872297189,42200
1774530872341348,42220
1774530872384406,42450
1774530872427702,42340
1774530872470868,42390
1774530872514066,42220
1774530872556911,42320
1774530872599511,42310
1774530872642173,42220
1774530872685092,42220
1774530872728132,42290
1774530872770711,42130
1774530872814017,42150
1774530872861064,42240
1774530872904304,42190
1774530872947593,42270
1774530872990672,42250
1774530873033545,42250
1774530873076719,42240
1774530873120051,42260
1774530873163112,42260
1774530873205683,42220
1774530873248698,42250
1774530873291795,42260
1774530873334949,42110
1774530873380965,42110
1774530873424027,42110
1774530873466984,42170
1774530873509988,42110
1774530873553025,42370
1774530873595912,42250
1774530873639037,42160
1774530873681712,42390
1774530873724875,42280
1774530873768052,42200
1774530873810523,42280
1774530873853514,42350
1774530873896518,42300
1774530873940903,42290
1774530873984001,42300
1774530874027271,42340
1774530874069699,42270
1774530874112683,42270
1774530874155792,42180
1774530874198992,42210
1774530874241512,42200
1774530874284648,42210
1774530874327521,42210
1774530874370573,42240
1774530874413429,42450
1774530874456338,42220
1774530874500674,42260
1774530874543589,42120
1774530874586590,42190
1774530874629562,42130
1774530874672730,42170
1774530874716224,42200
1774530874759333,42180
1774530874802456,42260
1774530874845565,42230
1774530874888705,42210
1774530874931678,42270
1774530874974536,42340
1774530875020711,42310
1774530875063497,42340
1774530875106608,42320
1774530875149645,42310
1774530875192738,42280
1774530875235858,42280
1774530875279015,42250
1774530875321897,42250
1774530875364860,42430
1774530875407887,42290
1774530875450883,42250
1774530875494108,42170
1774530875540564,42300
1774530875583266,42300
1774530875625530,42180
1774530875668580,42260
1774530875711632,42300
1774530875754571,42310
1774530875797804,42220
1774530875840942,42300
1774530875884021,42220
1774530875926730,45500
1774530875969828,42400
1774530876012860,42250
1774530876055991,42360
1774530876100218,42180
1774530876143369,42270
1774530876186585,42210
1774530876229833,42220
1774530876272871,42170
1774530876315901,42160
1774530876359007,42210
1774530876401985,42250
1774530876445041,42220
1774530876487930,42260
1774530876531079,42230
1774530876574039,42230
1774530876620049,42260
1774530876662867,42200
1774530876706028,42220
1774530876748856,42160
1774530876792119,42170
1774530876835216,42260
1774530876878271,42300
1774530876921400,42240
1774530876964565,42280
1774530877007767,42170
1774530877050949,42260
1774530877094117,42180
1774530877139906,42180
1774530877183071,42130
1774530877226096,42220
1774530877268986,42210
1774530877311993,42270
1774530877355088,42220
1774530877397579,42200
1774530877440671,42110
1774530877483490,42070
1774530877526532,42220
1774530877569651,42220
1774530877612802,42200
1774530877659705,42380
1774530877702765,42240
1774530877745907,42120
1774530877788799,42170
1774530877831872,42160
1774530877875136,42100
1774530877918123,42200
1774530877961187,42170
1774530878004184,42310
1774530878047296,42310
1774530878090469,42220
1774530878133539,42130
1774530878179383,42160
1774530878222536,42160
1774530878265678,42280
1774530878308822,42250
1774530878351787,42250
1774530878395029,42200
1774530878438146,42130
1774530878481155,42130
1774530878524145,42180
1774530878567282,42240
1774530878609821,42260
1774530878653073,42370
1774530878699111,42270
1774530878741551,42180
1774530878784671,42070
1774530878827829,42130
1774530878871006,42230
1774530878913707,42300
1774530878956792,42320
1774530878999759,42280
1774530879042740,42230
1774530879085754,42150
1774530879128799,42120
1774530879171956,42170
1774530879218766,42230
1774530879261899,42230
1774530879304992,42220
1774530879347958,42210
1774530879390954,42200
1774530879434058,42180
1774530879477240,42240
1774530879520018,42230
1774530879562721,42210
1774530879605526,42260
1774530879648620,42140
1774530879691707,42140
1774530879738594,42280
1774530879781525,42290
1774530879824706,42190
1774530879867926,42170
