unix_timestamp,active_power (mW)
1774532267846772,43110
1774532267889096,37800
1774532267931911,38190
1774532267974564,43360
1774532268017690,43100
1774532268060761,43080
1774532268105707,43120
1774532268148824,43060
1774532268191764,43030
1774532268234958,43090
1774532268277711,43090
1774532268320936,43120
1774532268364178,43080
1774532268407325,43050
1774532268449758,43210
1774532268492782,43070
1774532268535833,43140
1774532268579036,43100
1774532268625990,43190
1774532268669423,43070
1774532268712685,43060
1774532268755743,43080
1774532268798423,43060
1774532268841566,43080
1774532268884726,43070
1774532268927676,43020
1774532268970860,43050
1774532269013641,43010
1774532269056545,43120
1774532269099456,43030
1774532269145586,43030
1774532269188716,43030
1774532269231871,43170
1774532269274799,42960
1774532269318013,43070
1774532269361264,43050
1774532269404263,43100
1774532269447047,43010
1774532269489774,43060
1774532269532986,43080
1774532269575915,43100
1774532269618620,43020
1774532269665466,43200
1774532269708644,43030
1774532269751575,43030
1774532269794727,42830
1774532269837743,43220
1774532269880720,43190
1774532269923659,43150
1774532269966904,43210
1774532270009795,43130
1774532270052958,43160
1774532270096173,43170
1774532270139423,43140
1774532270185440,43120
1774532270228231,43090
1774532270270736,43080
1774532270313866,43100
1774532270356919,42990
1774532270399868,43050
1774532270443193,42970
1774532270486293,43050
1774532270529240,43000
1774532270572391,43050
1774532270615326,43020
1774532270658564,42990
1774532270705436,43090
1774532270748515,43050
1774532270791644,43050
1774532270834527,43110
1774532270877759,43030
1774532270920674,43030
1774532270963599,42990
1774532271006635,42980
1774532271049760,43060
1774532271092900,43080
1774532271135952,42970
1774532271178965,43000
1774532271225461,43030
1774532271268558,43160
1774532271312102,43100
1774532271354625,43040
1774532271397814,43060
1774532271440998,42990
1774532271484175,43100
1774532271526792,43190
1774532271569884,43040
1774532271613079,43290
1774532271656036,43120
1774532271699238,43070
1774532271745386,43100
1774532271788538,43020
1774532271831391,43100
1774532271873866,42990
1774532271917005,43000
1774532271960078,43080
1774532272003058,43000
1774532272045969,42980
1774532272089034,43020
1774532272132154,43050
1774532272175017,43070
1774532272217991,43070
1774532272261136,43060
1774532272305230,43070
1774532272348280,43040
1774532272391378,43040
1774532272434457,43060
1774532272477525,43070
1774532272520762,42980
1774532272563838,43030
1774532272606731,43090
1774532272649147,43850
1774532272692186,43480
1774532272735312,43030
1774532272778108,42990
1774532272825093,43100
1774532272868212,43160
1774532272911147,43080
1774532272953635,43070
1774532272996815,43120
1774532273039996,43110
1774532273082930,43220
1774532273125659,43070
1774532273168891,43040
1774532273211753,43090
1774532273254465,43060
1774532273297532,43060
1774532273340749,43230
1774532273385101,43160
1774532273428180,43090
1774532273471236,43100
1774532273514144,43170
1774532273557381,43330
1774532273600296,43170
1774532273643461,43160
1774532273685947,43230
1774532273729097,43040
1774532273772202,43080
1774532273814891,43170
1774532273857640,43140
1774532273900842,43110
1774532273944825,43120
1774532273987903,43110
1774532274031135,43110
1774532274073686,43050
1774532274116864,42980
1774532274160357,43020
1774532274202809,43030
1774532274245790,43040
1774532274289007,43000
1774532274331997,43080
1774532274375049,43060
1774532274417936,43190
1774532274464638,43070
1774532274507889,43070
1774532274550677,43110
1774532274593610,43140
1774532274636670,43110
1774532274679712,43100
1774532274722232,42960
1774532274765341,43050
1774532274808314,43080
1774532274851757,43120
1774532274894629,43050
1774532274937470,43050
1774532274980648,43100
1774532275024646,43080
1774532275067384,43020
1774532275109842,42990
1774532275152922,43130
1774532275196114,43050
1774532275238604,43120
1774532275281675,43120
1774532275324602,43030
1774532275367643,43210
1774532275410704,42910
1774532275453668,43000
1774532275496799,43020
1774532275539930,42950
1774532275584237,43030
1774532275627040,43100
1774532275669583,43150
1774532275712573,43030
1774532275755303,43110
1774532275798344,43150
1774532275841424,43070
1774532275884529,43100
1774532275927115,43190
1774532275969681,43110
1774532276012879,43100
1774532276055910,43070
1774532276098982,43040
1774532276144265,42920
1774532276187421,43060
1774532276230539,43030
1774532276273140,43010
1774532276316328,43100
1774532276359338,43060
1774532276401872,43070
1774532276445046,43120
1774532276488350,43090
1774532276531534,43120
1774532276574427,42980
1774532276617595,43040
1774532276664015,43100
