unix_timestamp,active_power (mW)
1774534316193051,43660
1774534316235576,37920
1774534316278181,36800
1774534316321296,44010
1774534316367889,43890
1774534316411072,43770
1774534316454293,43810
1774534316497512,43750
1774534316540381,43730
1774534316583259,43710
1774534316626320,43710
1774534316669406,43740
1774534316712590,43730
1774534316755682,43740
1774534316798311,43800
1774534316841508,43730
1774534316888097,43840
1774534316931252,43700
1774534316974388,43670
1774534317017645,43810
1774534317060654,43960
1774534317102980,43890
1774534317145965,43770
1774534317189108,43910
1774534317231951,43870
1774534317274902,43800
1774534317318057,43630
1774534317361002,43720
1774534317403569,43680
1774534317448224,43800
1774534317491318,43610
1774534317534528,43820
1774534317577502,43720
1774534317620165,43770
1774534317663230,43770
1774534317706455,43910
1774534317749648,43630
1774534317792857,43970
1774534317835996,44030
1774534317878998,44070
1774534317922062,43970
1774534317968616,43980
1774534318011552,44050
1774534318054617,43950
1774534318097510,44060
1774534318140488,43970
1774534318183664,44020
1774534318226588,44060
1774534318269549,44070
1774534318312605,44080
1774534318355590,44060
1774534318398629,44050
1774534318441692,43970
1774534318488509,43880
1774534318531520,43910
1774534318574539,43980
1774534318617672,43960
1774534318660768,43950
1774534318703946,44090
1774534318747152,43920
1774534318790261,44070
1774534318833211,44020
1774534318876313,44000
1774534318919556,44030
1774534318962292,44010
1774534319008753,44070
1774534319051716,43920
1774534319094361,44010
1774534319137594,44110
1774534319180738,44010
1774534319223742,44090
1774534319266569,44120
1774534319309475,44270
1774534319352376,44120
1774534319395524,44290
1774534319438511,44130
1774534319481699,44190
1774534319524569,44150
1774534319569003,44250
1774534319612088,44230
1774534319655073,44060
1774534319698237,44060
1774534319741360,44060
1774534319784393,44110
1774534319827149,44110
1774534319870058,44190
1774534319913280,44090
1774534319956386,44130
1774534319999562,44180
1774534320042623,44090
1774534320089097,44140
1774534320132266,44130
1774534320175048,44120
1774534320218050,44090
1774534320261143,44070
1774534320304358,44020
1774534320347330,43950
1774534320390456,44110
1774534320433631,44020
1774534320476589,43970
1774534320519498,44030
1774534320562539,44060
1774534320609245,43950
1774534320652446,43980
1774534320695170,44190
1774534320738198,44000
1774534320781459,44140
1774534320824580,44160
1774534320867529,44100
1774534320910712,44180
1774534320953556,44110
1774534320995860,44140
1774534321039008,44020
1774534321081567,44160
1774534321124479,44180
1774534321169583,44080
1774534321212739,44170
1774534321255895,44000
1774534321299061,44120
1774534321342050,43930
1774534321385221,43800
1774534321428276,43810
1774534321471460,43840
1774534321514220,43790
1774534321557383,43790
1774534321599829,43990
1774534321642597,43840
1774534321685668,43800
1774534321729629,43770
1774534321772828,43800
1774534321815261,43760
1774534321857500,43850
1774534321900503,43840
1774534321943220,43770
1774534321986199,43760
1774534322029273,43740
1774534322072286,43740
1774534322115348,43680
1774534322158295,43700
1774534322200928,43730
1774534322244003,43730
1774534322289804,43740
1774534322333015,43800
1774534322376220,43710
1774534322419340,43850
1774534322462344,43710
1774534322505342,43790
1774534322548453,43720
1774534322591335,43710
1774534322634500,43840
1774534322677506,43710
1774534322720445,43690
1774534322763505,43800
1774534322810068,43750
1774534322853291,43760
1774534322896466,43720
1774534322939384,43730
1774534322982470,43690
1774534323025434,43800
1774534323068541,43660
1774534323111466,43640
1774534323154461,43740
1774534323197563,43700
1774534323240442,43790
1774534323283348,43800
1774534323330308,43680
1774534323373348,43920
1774534323415872,43800
1774534323458948,43780
1774534323502111,43870
1774534323545269,43760
1774534323588314,43960
1774534323631367,43720
1774534323674268,43740
1774534323717266,43940
1774534323759824,43900
1774534323802947,43810
1774534323846183,43830
1774534323890631,43840
1774534323933844,43810
1774534323977001,43690
1774534324019985,43810
1774534324063164,43810
1774534324106314,43720
1774534324149295,43780
1774534324192419,43740
1774534324235441,43810
1774534324278186,43810
1774534324321329,43860
1774534324364544,43770
1774534324410753,47430
1774534324453893,43300
1774534324496822,43860
1774534324540001,43750
1774534324582900,43680
1774534324625696,43650
1774534324668736,43640
1774534324711840,43580
1774534324754534,43800
1774534324797568,43690
1774534324840551,43760
1774534324883401,43710
1774534324926500,43780
1774534324971020,43750
1774534325013803,43770
1774534325056829,43850
1774534325099965,43810
1774534325142945,43810
1774534325186126,43830
1774534325229024,43850
1774534325271975,43770
1774534325315189,43780
1774534325358392,43760
1774534325401595,43820
1774534325444566,43850
1774534325491294,43760
1774534325534448,43960
1774534325577485,43780
1774534325620626,43740
1774534325663546,43760
1774534325706305,43870
1774534325749527,44040
1774534325792466,43720
1774534325835288,43810
1774534325878254,43740
1774534325921383,43720
1774534325964377,43800
1774534326011539,43650
1774534326054613,43840
1774534326097643,43630
1774534326140735,43850
1774534326183734,43790
1774534326226812,43620
1774534326269939,43760
1774534326313159,43670
1774534326356346,43720
1774534326399472,43860
1774534326442542,43810
1774534326485611,43770
1774534326531925,43780
1774534326574582,43880
1774534326617514,43950
1774534326660472,43830
1774534326703472,43810
1774534326746270,43850
1774534326789235,43760
1774534326832164,43830
1774534326875289,43850
1774534326918541,43760
1774534326961537,43900
1774534327004249,43850
1774534327047270,43860
1774534327092227,43820
1774534327135456,43910
1774534327178455,43700
1774534327221559,43880
1774534327264598,43780
1774534327307751,43710
1774534327350846,43970
1774534327393914,43870
1774534327436960,43900
1774534327479964,44640
1774534327522501,43700
1774534327565710,43860
1774534327612639,44270
1774534327655695,44120
1774534327698625,44200
1774534327741529,44180
1774534327784609,44130
1774534327827721,44100
1774534327870532,44130
1774534327913472,44250
1774534327956282,44100
1774534327999330,44140
1774534328042419,44240
1774534328085578,44090
1774534328128500,44180
1774534328173000,44070
