unix_timestamp,active_power (mW)
1774534605082756,43540
1774534605125403,31550
1774534605167984,47850
1774534605210552,43980
1774534605253714,43710
1774534605296943,43930
1774534605339805,43870
1774534605385056,43960
1774534605428003,43990
1774534605470998,44030
1774534605513995,44040
1774534605557116,44180
1774534605600163,44040
1774534605643224,44090
1774534605685869,43990
1774534605728985,44060
1774534605771498,43760
1774534605814609,43750
1774534605857795,43730
1774534605900788,43800
1774534605945064,43680
1774534605988033,43790
1774534606031017,43590
1774534606073980,43680
1774534606117039,43560
1774534606160556,43610
1774534606203642,43540
1774534606246939,43650
1774534606289702,43640
1774534606332783,43600
1774534606375760,43590
1774534606419095,43530
1774534606465037,43570
1774534606508096,43560
1774534606550785,43500
1774534606593605,43530
1774534606636793,43530
1774534606679893,43580
1774534606722569,43650
1774534606765796,43560
1774534606808741,43510
1774534606851778,43530
1774534606894397,43560
1774534606937612,43530
1774534606980709,43580
1774534607025146,43540
1774534607068347,43560
1774534607111489,43580
1774534607154614,43650
1774534607197689,43620
1774534607240844,43490
1774534607283969,43590
1774534607326790,43600
1774534607369743,43530
1774534607412694,43610
1774534607455847,43650
1774534607498607,43630
1774534607541082,43610
1774534607585253,43770
1774534607628437,43580
1774534607671226,43670
1774534607714428,43710
1774534607757445,43710
1774534607800440,43870
1774534607843824,43850
1774534607887073,43840
1774534607929536,43860
1774534607972634,43890
1774534608015619,43900
1774534608058758,43900
1774534608101362,44010
1774534608145333,44000
1774534608188488,44010
1774534608231403,44010
1774534608274587,44060
1774534608317610,44080
1774534608360752,43990
1774534608403757,44080
1774534608446718,44060
1774534608489726,44130
1774534608532760,44060
1774534608575799,44020
1774534608619001,44030
1774534608665453,44070
1774534608708546,43940
1774534608751495,43860
1774534608794593,43890
1774534608837655,43980
1774534608880747,44010
1774534608923782,43940
1774534608966812,44000
1774534609009873,43960
1774534609052949,43960
1774534609096045,43960
1774534609138966,43970
1774534609185418,43920
1774534609228571,43910
1774534609271422,43930
1774534609314601,43890
1774534609357329,43830
1774534609400391,43920
1774534609443525,43840
1774534609486591,43890
1774534609529667,43780
1774534609572786,43800
1774534609615595,43980
1774534609658504,43870
1774534609705415,44010
1774534609748579,43860
1774534609791782,43810
1774534609834937,43840
1774534609877855,43960
1774534609921010,43840
1774534609963949,43780
1774534610007147,43870
1774534610050003,43910
1774534610092962,43860
1774534610135996,44070
1774534610178617,44050
1774534610225532,43950
1774534610268735,44030
1774534610311817,44030
1774534610354936,43970
1774534610398012,43970
1774534610441052,43960
1774534610483536,43970
1774534610526624,43970
1774534610569772,43980
1774534610612871,43980
1774534610655873,43920
1774534610698248,43910
1774534610741144,43960
1774534610785500,43910
1774534610828609,43890
1774534610871160,43990
1774534610914340,43870
1774534610957545,43970
1774534611000762,44010
1774534611043920,43870
1774534611086393,43870
1774534611129433,43850
1774534611172567,43890
1774534611215305,43900
1774534611258409,43870
1774534611301530,43820
1774534611345406,43970
1774534611388570,43870
1774534611431618,43860
1774534611474587,43850
1774534611517489,43900
1774534611560456,44030
1774534611603291,43890
1774534611646455,43920
1774534611689076,43850
1774534611732104,43960
1774534611774690,43920
1774534611817474,43920
1774534611860438,43910
1774534611905470,43920
1774534611948621,43920
1774534611991714,43980
1774534612034375,43920
1774534612077409,43900
1774534612119956,43890
1774534612163009,44080
1774534612206043,43880
1774534612249060,43900
1774534612291702,43960
1774534612334747,43890
1774534612377768,43930
1774534612420880,43910
1774534612465441,43910
1774534612508596,43900
1774534612551757,43850
1774534612594877,43840
1774534612637849,43840
1774534612681026,43890
1774534612724064,43860
1774534612767060,43840
1774534612810186,43860
1774534612853124,43840
1774534612895964,43900
1774534612938979,43840
1774534612985504,43870
1774534613028511,43750
1774534613071484,43800
1774534613114552,43870
1774534613157614,43900
1774534613200595,43820
1774534613243587,43850
1774534613286785,43780
1774534613330008,43850
