unix_timestamp,active_power (mW)
1774535768986776,43900
1774535769028961,28770
1774535769071964,47630
1774535769115176,44630
1774535769157749,43890
1774535769200843,43900
1774535769243549,43870
1774535769290059,44050
1774535769333110,43890
1774535769376070,44010
1774535769419271,44040
1774535769461833,43960
1774535769505094,43980
1774535769547940,43880
1774535769590621,44020
1774535769633687,43990
1774535769676621,43920
1774535769719389,44030
1774535769762226,43930
1774535769805137,43790
1774535769850296,43880
1774535769893777,43970
1774535769936856,43980
1774535769979903,43830
1774535770023083,43970
1774535770066283,43960
1774535770109286,43960
1774535770152420,43920
1774535770194930,43950
1774535770238094,43870
1774535770281077,43900
1774535770324138,43940
1774535770370422,43960
1774535770413429,43910
1774535770456710,43960
1774535770499803,44030
1774535770542149,43950
1774535770585086,43910
1774535770628254,43930
1774535770671421,43900
1774535770714403,43910
1774535770757517,43900
1774535770800559,43950
1774535770843339,43970
1774535770886254,43900
1774535770930692,43970
1774535770973824,43910
1774535771016945,43930
1774535771059848,43970
1774535771102583,43930
1774535771145677,43940
1774535771188723,43940
1774535771231810,43940
1774535771274967,43890
1774535771318080,43910
1774535771360998,44060
1774535771403483,43990
1774535771446546,43910
1774535771490732,43860
1774535771533820,43880
1774535771576836,43950
1774535771619831,43800
1774535771663006,43810
1774535771706105,43760
1774535771749285,43750
1774535771792223,43820
1774535771834790,43840
1774535771877996,43830
1774535771921234,43910
1774535771964398,43840
1774535772011055,43840
1774535772053805,43900
1774535772096925,43840
1774535772139945,43970
1774535772182782,44050
1774535772225693,43930
1774535772268643,43920
1774535772311716,43940
1774535772354778,43870
1774535772397972,43890
1774535772440856,43890
1774535772483916,43890
1774535772526891,43940
1774535772571268,43890
1774535772613745,44050
1774535772656888,43940
1774535772699738,43890
1774535772742740,43900
1774535772785974,43900
1774535772828516,43920
1774535772871635,43950
1774535772914665,43970
1774535772957780,44060
1774535773000960,44040
1774535773043622,43960
1774535773086752,43950
1774535773131588,43900
1774535773174404,43940
1774535773217524,43940
1774535773260495,44020
1774535773303413,43930
1774535773345881,44000
1774535773389114,44110
1774535773432153,43910
1774535773475177,43900
1774535773518108,43910
1774535773561047,43930
1774535773603431,44140
1774535773646440,43990
1774535773691846,44100
1774535773734977,43950
1774535773778174,43940
1774535773821178,43860
1774535773864275,43940
1774535773907137,43770
1774535773950192,43880
1774535773993303,43840
1774535774036358,43970
1774535774079007,44000
1774535774122217,43920
1774535774164559,43820
1774535774207735,43850
1774535774252171,43880
1774535774295319,43950
1774535774338536,43980
1774535774381621,43920
1774535774424744,43980
1774535774467765,43850
1774535774510750,43810
1774535774553514,43900
1774535774596568,43890
1774535774639655,43900
1774535774682567,44010
1774535774725456,43950
1774535774772359,43950
1774535774815447,43930
1774535774858580,43870
1774535774901695,43940
1774535774944875,44030
1774535774987284,43970
1774535775029532,43960
1774535775072584,43970
1774535775115649,43960
1774535775158378,43890
1774535775201499,43930
1774535775244735,43990
1774535775287877,43950
1774535775332740,43950
1774535775375877,43930
1774535775419135,44010
1774535775462391,43870
1774535775505532,43970
1774535775548600,43940
1774535775591005,43900
1774535775633594,44100
1774535775676795,43810
1774535775719719,43890
1774535775762831,43950
1774535775805685,43950
1774535775848683,43980
1774535775892992,43920
1774535775936138,43970
1774535775979155,43810
1774535776021560,43930
1774535776064799,43930
1774535776108119,43860
1774535776150969,43900
1774535776193395,44000
1774535776236300,44040
1774535776279077,43950
1774535776322070,43910
1774535776365094,43970
1774535776408175,43820
1774535776453228,46020
1774535776496166,43840
1774535776539210,43980
1774535776581855,43970
1774535776624844,43970
1774535776668006,43900
1774535776711129,43840
1774535776754171,43840
1774535776796963,43970
1774535776839866,43970
1774535776882970,43960
1774535776926041,43970
1774535776969239,43880
1774535777013631,43830
1774535777056704,43790
1774535777099833,43970
1774535777143071,43870
1774535777186086,43940
1774535777228990,43930
1774535777271870,43860
1774535777314804,43810
1774535777357597,43860
1774535777399807,43950
1774535777442290,43970
1774535777485204,44040
1774535777528219,43810
1774535777573902,43930
1774535777617080,43810
1774535777660119,43880
1774535777702875,44090
1774535777746099,43870
1774535777789308,43900
1774535777832199,43820
1774535777875226,43780
1774535777918401,43790
1774535777961628,43790
1774535778004560,43870
1774535778047730,43860
1774535778094257,43730
1774535778137357,43810
1774535778180332,43790
1774535778223488,43790
1774535778266507,43870
1774535778309592,43890
1774535778352844,43790
1774535778395919,43770
1774535778438966,43750
1774535778481937,43770
1774535778525132,43870
1774535778568262,43810
1774535778614585,43730
1774535778657675,43690
1774535778700857,43720
1774535778743958,43760
1774535778787070,43830
1774535778830052,43840
1774535778873174,43810
1774535778916206,43790
1774535778959248,43710
1774535779001695,43730
1774535779044772,43750
1774535779087729,43860
1774535779130975,43760
1774535779174987,43750
1774535779217753,43680
1774535779260986,43670
1774535779304212,43770
1774535779347165,43820
1774535779390102,43780
1774535779433192,43660
1774535779476083,43720
1774535779519062,43780
1774535779562116,43820
1774535779605161,43950
1774535779648161,43800
1774535779691251,43670
1774535779735326,43720
1774535779778504,43760
1774535779821588,43800
1774535779864742,43770
1774535779907823,43760
1774535779950890,43680
1774535779993665,43780
1774535780036877,43820
1774535780080051,43730
1774535780123111,43820
1774535780166179,43750
1774535780209081,43720
1774535780255604,43760
1774535780298569,43750
1774535780341685,43960
1774535780384627,43810
1774535780427422,43760
1774535780470350,43730
1774535780513417,43730
1774535780556502,43740
1774535780599707,43790
1774535780642978,43870
1774535780686085,43690
1774535780729109,43730
1774535780771928,43730
1774535780815960,43790
1774535780858816,43820
1774535780902002,43800
1774535780944967,43760
1774535780988078,43640
1774535781031072,43710
1774535781074237,43720
1774535781117218,43810
1774535781160150,43820
1774535781203292,43810
1774535781245754,43790
1774535781288708,43670
1774535781331651,43720
1774535781376285,43760
1774535781419264,43820
1774535781462402,43780
1774535781505608,43750
1774535781548597,43860
1774535781591329,43890
1774535781634398,43880
1774535781677465,43770
1774535781720480,44030
1774535781763607,43670
1774535781806553,43730
1774535781849167,43690
1774535781892236,43880
1774535781936793,44210
1774535781979830,43830
1774535782022844,43820
1774535782065691,43800
1774535782108796,43760
1774535782151755,43850
1774535782194682,43860
1774535782237887,43910
1774535782280855,43780
1774535782324102,43770
1774535782367310,43750
1774535782410435,43780
1774535782457130,43980
1774535782500144,43850
1774535782542770,43900
1774535782585961,43800
1774535782628973,43720
1774535782672008,43780
1774535782714978,43920
1774535782757881,43890
1774535782800879,43890
1774535782843939,43790
1774535782886664,43750
1774535782929769,43740
1774535782972258,43830
1774535783017434,43950
1774535783060597,43880
1774535783103684,43810
1774535783146602,43780
1774535783189520,43820
1774535783232625,43890
1774535783275713,43820
1774535783318566,43820
1774535783361536,43810
1774535783404730,43830
1774535783447712,43800
1774535783490862,43780
1774535783537721,43880
1774535783580893,43900
1774535783623502,44140
1774535783666658,43790
1774535783709603,43700
1774535783752776,43800
1774535783795701,43920
1774535783838802,43840
1774535783881790,43890
1774535783925002,43780
1774535783967995,43690
1774535784010806,43740
1774535784053685,43760
1774535784098138,43800
1774535784141243,43740
1774535784184137,43760
1774535784227132,43710
1774535784269598,43720
1774535784312830,43860
1774535784355725,43760
1774535784398922,43840
1774535784442091,43680
1774535784485133,43670
1774535784527875,43770
1774535784570422,43860
1774535784613543,43760
1774535784658385,43790
1774535784701276,43760
1774535784744243,43860
1774535784787343,43770
1774535784829897,43810
1774535784873062,43830
1774535784916117,43860
1774535784959337,43790
1774535785002454,43630
1774535785045507,43860
1774535785088644,43820
1774535785131629,43800
1774535785174426,43840
1774535785218865,43860
1774535785262047,43830
1774535785305116,43870
1774535785348212,43890
1774535785391266,43810
1774535785433889,43800
1774535785476862,43780
1774535785519970,43800
1774535785562559,43830
1774535785605477,43990
1774535785648711,43770
1774535785691907,43870
1774535785735025,43890
1774535785779168,43730
1774535785822360,43890
1774535785865357,43800
1774535785908499,43730
1774535785951430,43730
1774535785994563,43680
1774535786037567,43650
1774535786080785,43860
1774535786123936,43820
1774535786166513,43730
1774535786209549,43690
1774535786252441,43760
1774535786295161,43820
1774535786339633,43800
1774535786382798,43820
1774535786426071,43640
1774535786469188,43710
1774535786512116,43760
1774535786554641,43850
1774535786597696,43860
1774535786640930,43820
1774535786684150,43760
1774535786726995,43930
1774535786770130,43960
1774535786813105,43900
