unix_timestamp,active_power (mW)
1774536395930769,43450
1774536395973099,38990
1774536396015396,41060
1774536396057794,43720
1774536396104390,43470
1774536396147417,43400
1774536396190300,43450
1774536396233491,43390
1774536396276519,43410
1774536396319507,43350
1774536396362456,43420
1774536396405354,43400
1774536396448537,43410
1774536396491490,43450
1774536396534234,43510
1774536396577473,43410
1774536396624217,43440
1774536396667422,43500
1774536396710469,43420
1774536396753200,43460
1774536396796047,43530
1774536396839283,43520
1774536396882301,43480
1774536396925292,43470
1774536396968145,43500
1774536397011323,43480
1774536397053838,43520
1774536397096769,43460
1774536397139445,43500
1774536397184382,43550
1774536397227423,43530
1774536397270481,43470
1774536397313502,43490
1774536397356516,43500
1774536397399584,43430
1774536397442116,43530
1774536397485294,43470
1774536397528252,43470
1774536397571285,43600
1774536397613700,43500
1774536397656642,43530
1774536397699493,43430
1774536397744233,43400
1774536397786642,43410
1774536397829550,43460
1774536397872533,43430
1774536397915650,43510
1774536397958703,43460
1774536398001735,43500
1774536398044808,43600
1774536398088110,43550
1774536398131230,43470
1774536398174423,43500
1774536398217356,43520
1774536398264299,43580
1774536398307438,43410
1774536398350287,43570
1774536398393427,43550
1774536398436575,43480
1774536398479510,43520
1774536398522353,43500
1774536398565405,43450
1774536398608364,43390
1774536398651148,43470
1774536398694301,43460
1774536398737506,43440
1774536398784033,43470
1774536398826866,43450
1774536398870007,43460
1774536398912508,43490
1774536398955428,43460
1774536398998238,43710
1774536399041391,43430
1774536399084373,43490
1774536399127094,43510
1774536399169962,43610
1774536399213286,43530
1774536399256539,43530
1774536399299596,43480
1774536399344006,43570
1774536399387049,43530
1774536399429796,43500
1774536399472837,43480
1774536399515901,43440
1774536399558914,43490
1774536399601744,43520
1774536399645004,43560
1774536399688146,43390
1774536399731410,43470
1774536399774566,43500
1774536399817659,43460
1774536399863953,43550
1774536399907014,43460
1774536399950102,43490
1774536399993221,43530
1774536400036271,43360
1774536400079385,43470
1774536400122297,43710
1774536400165382,43240
1774536400208300,43360
1774536400250997,43360
1774536400294337,43350
1774536400337363,43380
1774536400383672,43500
1774536400426842,43380
1774536400469942,43450
1774536400512919,43450
1774536400555783,43420
1774536400598729,43430
1774536400641866,43470
1774536400685002,43470
1774536400728114,43500
1774536400771052,43440
1774536400814105,43490
1774536400857079,43440
1774536400903745,43450
1774536400946777,43410
1774536400989847,43480
1774536401032846,43420
1774536401075685,43450
1774536401118901,43510
1774536401162091,43500
1774536401205299,43570
1774536401248462,43520
1774536401291579,43590
1774536401334013,43510
1774536401377020,43490
1774536401423471,43460
1774536401466553,43400
1774536401509497,43430
1774536401552733,43420
1774536401595822,43610
1774536401638998,43500
1774536401681493,43530
1774536401724370,43680
1774536401767500,43460
1774536401810525,43480
1774536401853642,43470
1774536401896818,43510
1774536401943390,43440
1774536401986072,43380
1774536402029086,43530
1774536402072178,43430
1774536402115285,43690
1774536402158268,43490
1774536402201435,43700
1774536402244384,43540
1774536402287423,43440
1774536402330373,43470
1774536402373412,43480
1774536402416308,43410
1774536402463117,43450
1774536402506158,43470
1774536402549208,43500
1774536402592374,43460
1774536402635420,43460
1774536402678432,43370
1774536402721071,43390
1774536402763851,43380
1774536402806697,43380
1774536402849913,43310
1774536402893063,43300
1774536402936160,43230
1774536402982766,43380
1774536403025929,43430
1774536403069177,43420
1774536403111938,43360
1774536403154622,43370
1774536403197636,43380
1774536403240712,43260
1774536403283512,43320
1774536403326450,43420
1774536403369430,43460
1774536403412560,43400
1774536403455693,43420
1774536403502525,43470
1774536403545728,43420
1774536403588885,43590
1774536403631768,43510
1774536403675017,43480
1774536403718202,43450
1774536403761374,43540
