unix_timestamp,active_power (mW)
1774521011937075,44890
1774521011979550,42020
1774521012022294,40310
1774521012067209,44920
1774521012110496,44980
1774521012153673,44860
1774521012196806,48340
1774521012239870,44230
1774521012282706,44970
1774521012325702,44860
1774521012368752,44940
1774521012411664,44980
1774521012454989,45030
1774521012497675,45060
1774521012540693,45020
1774521012586217,45140
1774521012629310,45080
1774521012672366,45080
1774521012715157,45010
1774521012757792,45180
1774521012800440,45020
1774521012843474,45030
1774521012886050,45070
1774521012929167,44950
1774521012972363,45090
1774521013014929,44940
1774521013057975,45140
1774521013101231,45140
1774521013145148,45270
1774521013188261,45070
1774521013231315,45040
1774521013274505,45150
1774521013317635,45090
1774521013360752,45120
1774521013403694,45040
1774521013446660,44980
1774521013489775,45150
1774521013533000,45020
1774521013575994,45060
1774521013618670,45040
1774521013664287,45080
1774521013707381,45000
1774521013749657,45080
1774521013792829,44890
1774521013835789,45150
1774521013878899,45050
1774521013921586,45070
1774521013964483,45190
1774521014007574,45050
1774521014050765,45040
1774521014093788,45000
1774521014136726,45000
1774521014183461,44980
1774521014226559,44980
1774521014270127,44950
1774521014313125,44980
1774521014356274,44890
1774521014399477,44900
1774521014442517,45000
1774521014485739,45010
1774521014528763,44960
1774521014571740,44960
1774521014614412,44840
1774521014657535,44950
1774521014702600,44930
1774521014745674,45020
1774521014788829,44930
1774521014831945,45020
1774521014875091,44870
1774521014918170,44930
1774521014961326,44920
1774521015004451,44920
1774521015046937,44980
1774521015090015,44920
1774521015133089,44930
1774521015176370,45000
1774521015221745,45080
1774521015264837,45000
1774521015307938,44980
1774521015351096,44980
1774521015393594,44930
1774521015436690,44910
1774521015479875,44880
1774521015522873,44960
1774521015565804,44890
1774521015608817,44990
1774521015651970,44940
1774521015695141,44860
1774521015740866,45010
1774521015783863,44880
1774521015826926,44940
1774521015869245,45060
1774521015912308,45000
1774521015955482,44950
1774521015998554,44930
1774521016041680,44970
1774521016084850,45010
1774521016128012,44950
1774521016170824,44990
1774521016213754,44860
1774521016260040,45000
1774521016302677,44880
1774521016345520,45020
1774521016388656,44940
1774521016431792,44940
1774521016474928,45010
1774521016518090,44840
1774521016561278,45060
1774521016604374,44950
1774521016647547,45000
1774521016690358,44960
