unix_timestamp,active_power (mW)
1774522626286422,49990
1774522626331444,17150
1774522626373936,18910
1774522626417095,32660
1774522626460159,34670
1774522626503417,48120
1774522626545844,50060
1774522626589044,50180
1774522626631428,50060
1774522626674449,50040
1774522626717224,50070
1774522626760185,50040
1774522626803183,49960
1774522626845881,49970
1774522626890652,49990
1774522626933640,50050
1774522626976717,49990
1774522627019727,50030
1774522627062270,49990
1774522627105329,50040
1774522627148347,50020
1774522627191295,50100
1774522627234167,50020
1774522627277346,49930
1774522627320501,50050
1774522627363541,50040
1774522627410099,50060
1774522627452939,50060
1774522627495808,49900
1774522627538729,50070
1774522627581679,49930
1774522627624797,50010
1774522627667822,50070
1774522627710638,49910
1774522627753809,50070
1774522627796854,50060
1774522627839829,50010
1774522627882841,49960
1774522627929310,50050
1774522627972278,49960
1774522628015236,50040
1774522628058390,49990
1774522628100716,50040
1774522628143702,49970
1774522628186791,50020
1774522628229886,50010
1774522628272841,50060
1774522628315830,50010
1774522628358750,49920
1774522628401886,49990
1774522628448781,50120
1774522628491766,50050
1774522628534438,50210
1774522628576748,50090
1774522628619835,50160
1774522628662763,50030
1774522628705540,50090
1774522628748708,50220
1774522628791535,50200
1774522628834645,50090
1774522628877710,50080
1774522628920923,50080
1774522628963797,50010
1774522629008130,49960
1774522629051205,49990
1774522629094001,50070
1774522629137066,50010
1774522629180191,49910
1774522629223254,49940
1774522629266234,49980
1774522629309329,50050
1774522629352215,49990
1774522629395341,50040
1774522629438600,50100
1774522629481752,50020
1774522629527509,50120
1774522629570543,50080
1774522629613584,50120
1774522629656784,50080
1774522629699709,50030
1774522629742945,49980
1774522629786055,50090
1774522629829003,49980
1774522629872107,50020
1774522629915021,49930
1774522629958133,50000
1774522630001310,50000
1774522630046607,50000
1774522630089723,50130
1774522630132879,50100
1774522630175996,50100
1774522630218905,50140
1774522630262028,50120
1774522630304893,49980
1774522630347902,50140
1774522630390478,50100
1774522630433575,50030
1774522630476739,50000
1774522630519377,50020
1774522630566066,49970
1774522630609109,49900
1774522630652225,49920
1774522630695159,50000
1774522630738309,50030
1774522630781412,50020
1774522630824511,50050
1774522630867722,50000
1774522630910732,50110
1774522630953637,50110
1774522630996758,50110
1774522631039540,50090
1774522631085234,50140
1774522631128270,50020
1774522631171492,50110
1774522631214719,50180
1774522631257831,50070
1774522631300814,50080
1774522631343373,50030
1774522631386270,49970
1774522631429333,50150
1774522631472334,50060
1774522631515218,50010
1774522631557687,50020
1774522631604356,50050
1774522631647548,50060
1774522631689928,50010
1774522631733085,50080
1774522631776281,49990
1774522631819416,49890
1774522631861970,50080
1774522631905013,49940
1774522631947995,50080
1774522631990797,50080
1774522632033830,49900
1774522632076830,50060
1774522632123731,49950
1774522632166780,50040
1774522632209818,50070
1774522632252987,50040
1774522632295878,50050
1774522632338904,49970
1774522632381610,49950
1774522632424631,50130
1774522632467634,49940
1774522632510727,50010
1774522632553946,50110
1774522632597001,50020
1774522632642976,50130
1774522632686064,50050
1774522632729134,50060
1774522632772264,50240
1774522632815467,49940
1774522632858619,50080
1774522632900998,50100
1774522632944130,50020
1774522632987398,50060
1774522633030530,49960
1774522633073697,49950
1774522633116837,50060
1774522633162166,50020
1774522633205244,50050
1774522633248432,50040
1774522633291499,49990
1774522633334649,50060
1774522633377644,49880
1774522633420631,50090
1774522633463781,50060
1774522633506595,49980
1774522633549733,50030
1774522633592934,49970
1774522633635880,49990
1774522633681643,50010
1774522633724862,49940
1774522633767995,50070
1774522633811077,49950
1774522633854068,49960
1774522633897127,50100
1774522633939985,50000
1774522633983055,50020
1774522634026150,50080
1774522634069433,50030
1774522634112271,50180
1774522634155325,50070
1774522634200692,50080
1774522634243795,50070
1774522634286788,50040
1774522634330032,50120
1774522634373225,50030
1774522634415998,49970
1774522634458730,50080
1774522634501837,49950
1774522634544967,50080
1774522634587920,50130
1774522634630567,50020
1774522634673594,50140
1774522634719987,50130
1774522634762986,50120
1774522634806068,50090
1774522634848963,50130
1774522634892207,50180
1774522634934895,50110
1774522634977794,50100
1774522635020968,50100
1774522635064024,50020
1774522635107170,50070
1774522635150322,50040
1774522635193441,50120
1774522635239228,50140
1774522635282254,50040
1774522635325433,50030
1774522635368605,50060
1774522635411660,50020
1774522635454360,50080
1774522635497365,50080
1774522635540444,50120
1774522635583426,50150
1774522635625936,50020
1774522635668878,50070
1774522635711906,50100
1774522635758380,50100
1774522635801397,50020
1774522635844520,50080
1774522635887686,50420
1774522635930455,49950
1774522635973604,50020
1774522636016834,49960
1774522636059845,50060
1774522636103082,50100
1774522636146134,49970
1774522636189264,50100
1774522636232500,50020
1774522636277528,50110
1774522636320545,49960
1774522636363350,50050
1774522636405849,50130
1774522636448946,49920
1774522636492091,50040
1774522636535021,50070
1774522636578743,49960
1774522636621687,50010
1774522636664717,50080
1774522636707858,50000
1774522636750978,50200
1774522636796849,50280
1774522636839802,50220
1774522636882964,50100
1774522636926021,50190
1774522636969011,50070
1774522637012023,50030
1774522637055075,50120
1774522637098022,50010
1774522637141079,50070
1774522637184254,50050
1774522637227409,50080
1774522637270492,50080
1774522637315797,50050
1774522637358877,50050
1774522637401828,50000
1774522637444865,50000
1774522637487703,50050
1774522637530483,49980
1774522637573642,50060
1774522637616794,50100
1774522637659712,50030
1774522637702623,50080
1774522637745691,49970
