unix_timestamp,active_power (mW)
1774523219206428,48660
1774523219248893,29730
1774523219291829,22810
1774523219334483,25630
1774523219377535,32100
1774523219420649,40770
1774523219463644,49100
1774523219508776,48620
1774523219551746,48470
1774523219594609,48610
1774523219637874,48550
1774523219681045,48520
1774523219724370,48460
1774523219767589,48550
1774523219810366,48510
1774523219853433,48550
1774523219896493,48620
1774523219939265,48550
1774523219982283,48630
1774523220028535,48600
1774523220071714,48560
1774523220114620,48500
1774523220157873,48560
1774523220201049,48540
1774523220244070,48480
1774523220286876,48470
1774523220329947,48520
1774523220373153,48550
1774523220415972,48540
1774523220458724,48550
1774523220502077,51710
1774523220548460,48650
1774523220591693,48540
1774523220634435,48580
1774523220677594,48600
1774523220720735,48630
1774523220763738,48590
1774523220806882,48700
1774523220849960,48810
1774523220893282,48640
1774523220936331,48650
1774523220979441,48580
1774523221022115,48660
1774523221068274,48630
1774523221111285,48600
1774523221154253,48540
1774523221197375,48490
1774523221240293,48540
1774523221283353,48550
1774523221326268,48630
1774523221369284,48570
1774523221412271,48660
1774523221455278,48720
1774523221497705,48700
1774523221540731,48640
1774523221583243,48670
1774523221628052,48610
1774523221671030,48520
1774523221714108,48540
1774523221757208,48520
1774523221800114,48610
1774523221843185,48660
1774523221886194,48580
1774523221929202,48680
1774523221972320,48670
1774523222014980,48700
1774523222057894,48690
1774523222101120,48680
1774523222147891,48680
1774523222190895,48650
1774523222233630,48610
1774523222276752,48600
1774523222319714,48690
1774523222362871,48630
1774523222406041,48620
1774523222449294,48530
1774523222492463,48530
1774523222535655,48570
1774523222578847,48610
1774523222622066,48660
1774523222667805,48650
1774523222710593,48720
1774523222753766,48600
1774523222796990,48640
1774523222839990,48730
1774523222883108,48590
1774523222925670,48610
1774523222968768,48580
1774523223011953,48560
1774523223055033,48560
1774523223097612,48540
1774523223140611,48540
1774523223183792,48550
1774523223227819,48560
1774523223270816,48580
1774523223314019,48630
1774523223357058,48610
1774523223400140,48550
1774523223442644,48580
1774523223485836,48560
1774523223529005,48570
1774523223572204,48520
1774523223614861,48570
1774523223657955,48550
1774523223701082,48400
1774523223747626,48910
1774523223790704,48490
1774523223833114,48540
1774523223876150,48620
1774523223919241,48630
1774523223961743,48630
1774523224004877,48580
1774523224047819,48560
1774523224090938,48580
1774523224133844,48570
1774523224176985,48580
1774523224219909,48620
1774523224263047,48600
1774523224307407,48640
1774523224350122,48680
1774523224393258,48650
1774523224436327,48600
1774523224478998,48570
1774523224522194,48600
1774523224565348,48650
1774523224608551,48530
1774523224651002,48610
1774523224694044,48640
1774523224737025,48670
1774523224779991,48630
1774523224822869,48670
1774523224867241,48660
1774523224910228,48660
1774523224953329,48770
1774523224996328,48730
1774523225039229,48610
1774523225082405,48630
1774523225125588,48610
1774523225168808,48530
1774523225211706,48550
1774523225254413,48550
1774523225297382,48570
1774523225340399,48590
1774523225387027,48610
1774523225430199,48560
1774523225473312,48570
1774523225516225,48530
1774523225559109,48510
1774523225602280,48490
1774523225645398,48570
1774523225688332,48620
1774523225731400,48630
1774523225774459,48630
1774523225817213,48580
1774523225860392,48550
1774523225906878,48550
1774523225950046,48540
1774523225993110,48540
1774523226036128,48510
1774523226079190,48560
1774523226122252,48570
1774523226165238,48580
1774523226208211,48510
1774523226251363,48590
1774523226294050,48590
1774523226337102,48650
1774523226380155,48640
1774523226426655,48540
1774523226469850,48590
1774523226512989,48530
1774523226556222,48820
1774523226599098,48520
1774523226642263,49180
1774523226685363,49100
1774523226728415,48640
1774523226771561,48590
1774523226814627,48650
1774523226857609,48850
1774523226900761,48650
1774523226946621,48630
1774523226989322,48680
1774523227031934,48580
1774523227074577,48550
1774523227117407,48550
1774523227160420,48560
1774523227203531,48570
1774523227246426,48590
1774523227289603,48630
1774523227332758,48640
1774523227375791,48700
1774523227418667,48820
1774523227461734,48650
1774523227506367,48650
1774523227549537,48670
1774523227592588,48600
1774523227635550,48600
1774523227678636,48600
1774523227721454,48710
1774523227764442,48600
1774523227807462,48570
1774523227850567,48570
1774523227893563,48620
1774523227936541,48640
1774523227979770,48570
1774523228026202,48590
1774523228069292,48600
1774523228112428,48580
1774523228155100,48640
1774523228198114,48700
1774523228241046,48600
1774523228284145,48690
1774523228327254,48550
1774523228369702,48570
1774523228412809,48620
1774523228455484,48540
1774523228498468,48560
1774523228541641,48610
1774523228585987,48620
1774523228629003,48710
1774523228672050,48610
1774523228715061,48610
1774523228758171,48660
1774523228801273,48790
1774523228844306,48530
1774523228887085,48640
1774523228929968,48630
1774523228973263,48700
1774523229016302,48690
1774523229059252,48750
1774523229105667,48650
1774523229148722,48600
1774523229192015,48510
1774523229235188,48430
1774523229278217,48490
1774523229321279,48560
1774523229364047,48620
1774523229406941,48660
1774523229450113,48590
1774523229493264,48700
1774523229536380,48650
1774523229579388,48640
1774523229625467,48590
1774523229668580,48600
