unix_timestamp,active_power (mW)
1774523868798928,48130
1774523868841270,23960
1774523868883964,21390
1774523868926638,34600
1774523868969619,45920
1774523869012533,48390
1774523869055471,48490
1774523869098572,48350
1774523869141725,48360
1774523869184843,48460
1774523869227823,48360
1774523869270555,48440
1774523869313581,48400
1774523869358385,48360
1774523869401485,48330
1774523869444540,48500
1774523869487406,48370
1774523869530640,48430
1774523869573175,48420
1774523869616183,48330
1774523869659243,48470
1774523869702384,48410
1774523869745429,48380
1774523869788620,48440
1774523869831491,48480
1774523869874519,48480
1774523869919288,48440
1774523869962457,48450
1774523870005480,48360
1774523870048766,48530
1774523870091789,48470
1774523870134561,48470
1774523870177586,48410
1774523870220781,48430
1774523870263723,48470
1774523870306982,48400
1774523870350165,48440
1774523870393320,48500
1774523870440108,48370
1774523870483343,48470
1774523870526498,48410
1774523870569517,48530
1774523870611916,48490
1774523870654961,48420
1774523870697515,48520
1774523870740772,48450
1774523870783727,48340
1774523870826863,48440
1774523870869642,48480
1774523870912835,48460
1774523870955800,48550
1774523871000885,48420
1774523871043897,48540
1774523871086632,48440
1774523871129722,48410
1774523871172854,48530
1774523871215465,48480
1774523871258488,48520
1774523871301635,48490
1774523871344758,48470
1774523871387929,48530
1774523871430505,48400
1774523871473533,48480
1774523871516771,48460
1774523871561792,48490
1774523871604936,48410
1774523871647962,48490
1774523871690881,48570
1774523871733901,48440
1774523871776884,48380
1774523871819953,48520
1774523871862778,48380
1774523871905749,48350
1774523871948820,48460
1774523871991832,48470
1774523872034460,48280
1774523872077442,48370
1774523872122618,48250
1774523872165733,48370
1774523872208955,48410
1774523872251992,48380
1774523872295015,48350
1774523872337433,48380
1774523872380401,48310
1774523872423244,48400
1774523872466517,48470
1774523872509562,48400
1774523872552738,48460
1774523872595743,48530
1774523872638981,48410
1774523872683389,48460
1774523872726559,48480
1774523872769594,48510
1774523872812830,48550
1774523872855783,48570
1774523872898925,48430
1774523872941639,48470
1774523872984820,48510
1774523873027764,48540
1774523873070366,48520
1774523873113476,48460
1774523873156066,48540
1774523873199018,48530
1774523873244093,48490
1774523873287086,48440
1774523873330127,48470
1774523873372667,48440
1774523873415599,48350
1774523873458649,48400
1774523873501727,48450
1774523873544828,48300
1774523873588012,48340
1774523873630823,48400
1774523873673378,48380
1774523873716297,48270
1774523873759532,48420
1774523873804776,48290
1774523873847861,48310
1774523873890901,48400
1774523873934093,48310
1774523873976938,48270
1774523874019929,48450
1774523874063088,48240
1774523874106123,48230
1774523874149329,48410
1774523874192265,48460
1774523874235170,48230
1774523874277719,48250
1774523874320896,48390
1774523874365441,48290
1774523874408628,48420
1774523874451667,48420
1774523874494395,48320
1774523874537710,48280
1774523874580726,48360
1774523874623873,48340
1774523874667029,48220
1774523874709966,48330
1774523874753029,48400
1774523874795808,48300
1774523874838454,48400
1774523874881660,48420
1774523874926027,48290
1774523874968874,48210
1774523875011821,48390
1774523875054907,48400
1774523875097892,48300
1774523875140895,48330
1774523875183874,48380
1774523875226634,48490
1774523875269614,48380
1774523875312693,48230
1774523875355681,48460
1774523875398618,48420
1774523875441590,48330
1774523875486617,48420
1774523875529848,48410
1774523875572873,48380
1774523875615923,48410
1774523875658578,48520
1774523875701567,48520
1774523875744675,48390
1774523875787671,48440
1774523875830960,48420
1774523875874129,48540
1774523875917329,48320
1774523875960253,48390
1774523876003279,48520
1774523876047351,48510
1774523876090470,48440
1774523876133612,48600
1774523876176766,48500
1774523876219866,48450
1774523876262884,48500
1774523876306002,48500
1774523876348999,48510
1774523876391854,48490
1774523876434807,48470
1774523876477792,48550
1774523876520844,48530
1774523876563742,48510
1774523876607828,48520
1774523876650472,48450
1774523876693577,48460
1774523876736781,48500
1774523876779791,48510
1774523876822709,48620
1774523876865784,48550
1774523876908757,48510
1774523876951637,48410
1774523876994890,48410
1774523877037785,48460
1774523877080905,48480
1774523877123933,48420
1774523877168246,48340
1774523877210658,48260
1774523877253109,48340
1774523877296252,48450
1774523877339404,48310
1774523877381961,48280
1774523877424928,48380
1774523877467678,48360
1774523877510683,48460
1774523877553817,48340
1774523877596858,48430
1774523877639908,48360
1774523877682621,48550
1774523877728742,48370
1774523877771609,48540
1774523877814232,48490
1774523877857371,48540
1774523877900439,48450
1774523877943541,48510
1774523877986303,48500
