unix_timestamp,active_power (mW)
1774524499629163,64580
1774524499671618,58330
1774524499714343,51040
1774524499757333,53590
1774524499800297,55440
1774524499844799,49950
1774524499887812,49980
1774524499930797,48820
1774524499973637,50460
1774524500016651,36230
1774524500059299,44840
1774524500102356,50690
1774524500145318,49530
1774524500188316,52820
1774524500231156,49100
1774524500273697,49060
1774524500316975,48940
1774524500360081,48830
1774524500405355,51420
1774524500448573,49800
1774524500491570,49390
1774524500534273,49670
1774524500577471,50550
1774524500620514,50750
1774524500663332,51680
1774524500706466,50660
1774524500749466,51500
1774524500792661,50950
1774524500835556,50640
1774524500878551,50730
1774524500921802,51440
1774524500965727,50920
1774524501008863,50160
1774524501052171,50120
1774524501095066,50670
1774524501138118,50360
1774524501180508,50760
1774524501223728,50790
1774524501266760,50710
1774524501309950,49960
1774524501352955,50230
1774524501396108,50280
1774524501438880,49930
1774524501481835,50830
1774524501526206,54970
1774524501569406,56500
1774524501612554,57140
1774524501655408,57010
1774524501697889,54310
1774524501740964,51450
1774524501784131,50890
1774524501827418,50660
1774524501870568,51120
1774524501913641,51170
1774524501956788,50840
1774524501999226,50800
1774524502041824,50790
1774524502086656,50710
1774524502129807,51050
1774524502172975,50960
1774524502215796,50730
1774524502258714,50690
1774524502301615,50750
1774524502344672,50650
1774524502387865,50690
1774524502431082,50870
1774524502473970,50760
1774524502517104,50980
1774524502560118,50600
1774524502602966,49770
1774524502647013,27330
1774524502690104,24790
1774524502733058,34570
1774524502776035,34550
1774524502818499,49220
1774524502861497,50120
1774524502904605,49840
1774524502947580,50090
1774524502990663,50140
1774524503033740,50110
1774524503076804,50020
1774524503119808,50040
1774524503162985,50110
1774524503207474,50100
1774524503250259,50070
1774524503293363,50000
1774524503336353,49860
1774524503379609,49840
1774524503422692,49770
1774524503465778,49850
1774524503508937,49930
1774524503551489,49900
1774524503594543,49810
1774524503637690,49790
1774524503680814,49730
1774524503727829,50220
1774524503770672,50020
1774524503813802,50190
1774524503856920,50150
1774524503900073,50140
1774524503943222,50080
1774524503986226,50030
1774524504029243,50080
1774524504072306,50050
1774524504115439,50990
1774524504157656,50840
1774524504200700,50210
1774524504243819,50220
1774524504288197,50140
1774524504331225,50280
1774524504374116,50200
1774524504417113,50270
1774524504460058,50250
1774524504502923,50200
1774524504546095,50200
1774524504589255,50200
1774524504632304,50280
1774524504675501,50250
1774524504718455,50300
1774524504761634,50120
1774524504808567,50210
1774524504851682,50100
1774524504894624,50180
1774524504937813,50120
1774524504980829,50260
1774524505023978,50240
1774524505066824,50030
1774524505109710,50310
1774524505152873,50170
1774524505195849,50240
1774524505238713,50200
1774524505281649,50210
1774524505324659,50200
1774524505368929,50170
1774524505412118,50180
1774524505455021,50150
1774524505497894,50380
1774524505541065,50280
1774524505583485,50030
1774524505626605,50680
1774524505669571,50800
1774524505712662,50210
1774524505755863,50000
1774524505798818,50260
1774524505842001,49840
1774524505884991,49750
1774524505929317,49850
1774524505972468,49720
1774524506015387,49730
1774524506058580,49810
1774524506101800,49780
1774524506144783,49880
1774524506187686,49790
1774524506230867,49730
1774524506273810,49790
1774524506316993,49930
1774524506360040,49870
1774524506402491,49790
1774524506445724,49870
1774524506489758,49810
1774524506532872,49820
1774524506576021,49880
1774524506619026,49980
1774524506661973,49870
1774524506705121,49830
1774524506748147,49860
1774524506791273,49760
1774524506834252,49870
1774524506877467,49730
1774524506920455,49820
1774524506963517,49840
1774524507010116,49800
1774524507053347,49790
1774524507096581,49760
1774524507139705,50230
1774524507182403,55470
1774524507225498,54920
1774524507268590,55050
1774524507311554,54760
1774524507354262,54900
1774524507397408,53730
1774524507439972,50850
1774524507483172,50540
1774524507526211,49980
1774524507570446,49730
1774524507613657,49760
1774524507656682,49870
1774524507700009,49830
1774524507743025,49770
1774524507786170,49830
1774524507829096,49730
1774524507872048,49640
1774524507915023,49740
1774524507958046,49790
1774524508001148,49680
1774524508044071,49770
1774524508090922,49880
1774524508134020,49790
1774524508177030,49860
1774524508220093,49750
1774524508262778,49750
1774524508306032,49790
1774524508348838,49820
1774524508391978,49780
1774524508434959,49700
1774524508477761,49800
1774524508520758,49730
1774524508563855,49790
1774524508606855,49820
