unix_timestamp,active_power (mW)
1774525325510143,47380
1774525325552407,25220
1774525325594977,18760
1774525325638199,29390
1774525325681306,33470
1774525325724285,45050
1774525325767339,49600
1774525325810381,49640
1774525325853394,49600
1774525325896709,49620
1774525325939831,49480
1774525325982960,49520
1774525326028556,49510
1774525326071577,49500
1774525326114227,49530
1774525326157456,49510
1774525326200623,49370
1774525326243530,49450
1774525326286585,49510
1774525326329484,49450
1774525326372592,49470
1774525326415521,49450
1774525326458481,49490
1774525326501676,49540
1774525326548598,49450
1774525326591630,49490
1774525326634554,49500
1774525326677737,49500
1774525326720611,49570
1774525326763527,49470
1774525326806563,49580
1774525326849648,49610
1774525326892744,49750
1774525326935769,49650
1774525326978776,49730
1774525327021669,49640
1774525327068554,49710
1774525327111654,49690
1774525327154412,49730
1774525327197485,49750
1774525327240593,49750
1774525327283700,49760
1774525327326246,49740
1774525327369282,49730
1774525327412295,49700
1774525327454902,49780
1774525327498177,49710
1774525327541326,49640
1774525327584654,49720
1774525327628619,49780
1774525327671462,49740
1774525327714577,49810
1774525327757666,49850
1774525327800717,49770
1774525327843781,50020
1774525327886776,49950
1774525327929628,49970
1774525327972768,49930
1774525328016000,49970
1774525328059154,49930
1774525328102194,49950
1774525328148509,50020
1774525328191697,49980
1774525328234750,49940
1774525328277829,50000
1774525328320936,49970
1774525328364091,49960
1774525328407006,49920
1774525328449625,49990
1774525328492700,49960
1774525328535560,50030
1774525328578448,49940
1774525328621595,49900
1774525328668603,49800
1774525328711643,49820
1774525328754633,49860
1774525328797798,49850
1774525328840673,49870
1774525328883825,49990
1774525328926766,49880
1774525328969783,49760
1774525329012757,49720
1774525329055587,49820
1774525329098757,49660
1774525329141602,49730
1774525329188568,49790
1774525329231607,49840
1774525329274604,49720
1774525329317757,49760
1774525329360663,49790
1774525329403599,49780
1774525329446674,49750
1774525329490081,49720
1774525329533203,49720
1774525329576307,49710
1774525329619317,49910
1774525329662447,49790
1774525329708512,49700
1774525329751548,49780
1774525329794631,49740
1774525329837581,49720
1774525329880682,49750
1774525329923575,49700
1774525329966567,49720
1774525330009850,49750
1774525330052812,49740
1774525330095724,49820
1774525330138282,49780
1774525330181565,49800
1774525330224698,49750
1774525330268717,49780
1774525330311452,49790
1774525330354431,49840
1774525330397648,49740
1774525330440771,49850
1774525330483756,49750
1774525330526630,49780
1774525330569809,49760
1774525330612985,49820
1774525330656023,49580
1774525330699024,49790
1774525330741706,49810
1774525330788860,49740
1774525330831573,49870
1774525330874451,49770
1774525330916994,49710
1774525330960141,49860
1774525331003154,49790
1774525331046007,49870
1774525331089114,49950
1774525331132195,49860
1774525331175328,49910
1774525331218484,49890
1774525331261477,49910
1774525331304602,50010
1774525331349025,49950
1774525331391738,49930
1774525331434642,49910
1774525331477604,49980
1774525331520481,49930
1774525331563435,49930
1774525331605905,49870
1774525331649130,49970
1774525331692315,49990
1774525331735125,49850
1774525331778259,49950
1774525331821323,50010
1774525331864369,49930
1774525331909152,49960
1774525331952227,49970
1774525331995021,49880
1774525332037915,50030
1774525332081068,49940
1774525332124072,49910
1774525332167183,49930
1774525332210202,49910
1774525332253335,49920
1774525332296522,49910
1774525332339107,49830
1774525332381657,49880
1774525332424759,49880
1774525332469046,49810
1774525332512184,49800
1774525332555217,49790
1774525332598361,49760
1774525332641507,49850
1774525332684472,49850
1774525332727092,49830
1774525332770156,49810
1774525332813124,49800
1774525332856212,49970
1774525332898905,49860
1774525332941965,49830
1774525332984737,49850
1774525333029227,49790
1774525333072247,49760
1774525333115152,49770
1774525333158384,49690
1774525333201663,49810
1774525333244733,49750
1774525333287643,49890
1774525333329888,49830
1774525333373138,49840
1774525333416183,49820
1774525333459283,49760
1774525333502333,49800
1774525333549266,49910
1774525333592377,49800
1774525333635338,49870
1774525333678478,49840
1774525333721612,49820
1774525333764669,49900
1774525333807464,49820
1774525333850541,49780
1774525333893494,49810
1774525333936555,49880
1774525333979604,49870
1774525334022494,49860
1774525334069249,49810
1774525334112077,49760
1774525334155248,49760
1774525334197787,49720
1774525334241038,49570
1774525334284322,49840
1774525334327089,49710
1774525334370115,49860
1774525334413192,49780
1774525334456367,49700
1774525334499372,49750
1774525334542191,49710
1774525334585446,49710
1774525334629492,49780
1774525334672683,49810
1774525334715404,49710
1774525334758570,49700
1774525334801722,49780
1774525334844716,49850
