unix_timestamp,active_power (mW)
1774526475758768,49740
1774526475801120,34340
1774526475844052,22930
1774526475890795,24020
1774526475933560,24210
1774526475975928,31420
1774526476018722,39070
1774526476061701,49660
1774526476104864,49820
1774526476148028,49710
1774526476191088,49700
1774526476234094,49730
1774526476277252,49720
1774526476320485,49590
1774526476363095,49620
1774526476405584,49630
1774526476450291,49580
1774526476493113,49570
1774526476536348,49610
1774526476579381,49710
1774526476622340,49620
1774526476665457,49570
1774526476708696,49640
1774526476751494,49570
1774526476794177,49630
1774526476837252,49740
1774526476880263,49900
1774526476923348,49710
1774526476965971,49640
1774526477010045,49850
1774526477053041,49760
1774526477096033,49840
1774526477139115,49830
1774526477182274,49750
1774526477225523,49810
1774526477268640,49810
1774526477311762,49810
1774526477354759,49770
1774526477397937,49680
1774526477441033,49700
1774526477484247,49720
1774526477529556,49780
1774526477572592,49770
1774526477615634,49800
1774526477658589,49790
1774526477701602,49850
1774526477744623,49820
1774526477787706,49750
1774526477830703,49730
1774526477873788,49770
1774526477916943,49750
1774526477960131,49650
1774526478003336,49700
1774526478049019,49670
1774526478092187,49710
1774526478134678,49670
1774526478177818,49770
1774526478221020,49780
1774526478263865,49720
1774526478306994,49780
1774526478349629,49750
1774526478392738,49750
1774526478435884,49710
1774526478479032,49730
1774526478522059,49790
1774526478568793,49810
1774526478611928,49770
1774526478654754,49770
1774526478697857,49840
1774526478740992,49890
1774526478783552,49880
1774526478826772,49870
1774526478869612,49780
1774526478912724,49870
1774526478955808,49720
1774526478998392,49800
1774526479041620,49790
1774526479088484,49740
1774526479131635,49720
1774526479174511,49690
1774526479217515,49780
1774526479260621,49790
1774526479303518,49810
1774526479346374,49760
1774526479389559,49730
1774526479432413,49820
1774526479475327,49710
1774526479518533,49790
1774526479560992,49710
1774526479604070,49750
1774526479648010,49820
1774526479691178,49740
1774526479733637,49790
1774526479776633,49820
1774526479819763,49710
1774526479862883,49690
1774526479906024,49730
1774526479949045,49710
1774526479992137,49710
1774526480035255,49730
1774526480077841,49760
1774526480120892,49750
1774526480167878,49740
1774526480210983,49660
1774526480254116,49770
1774526480297334,49840
1774526480340479,49810
1774526480383313,49750
1774526480426473,49740
1774526480469684,49800
1774526480512794,49810
1774526480555099,49760
1774526480597682,49750
1774526480640620,49840
1774526480687365,49780
1774526480730464,49850
1774526480773672,49700
1774526480816663,49820
1774526480859726,49780
1774526480902619,50000
1774526480945669,49730
1774526480988785,49720
1774526481031982,49730
1774526481074850,49710
1774526481118037,49740
1774526481160621,49780
1774526481207099,49740
1774526481250298,49720
1774526481293491,49860
1774526481336601,49810
1774526481379771,49770
1774526481422765,49800
1774526481465954,49870
1774526481509062,49850
1774526481551791,49750
1774526481594947,49770
1774526481637925,49750
1774526481681027,49850
1774526481726834,49840
1774526481769637,49820
1774526481812687,49800
1774526481855715,49840
1774526481898788,49750
1774526481941981,49750
1774526481985133,49740
1774526482028094,49810
1774526482070828,49800
1774526482113687,49630
1774526482156588,49800
1774526482199696,49700
1774526482242420,49770
1774526482286620,49740
1774526482329409,49770
1774526482372085,49780
1774526482415147,49700
1774526482458255,49720
1774526482501482,49790
1774526482544623,49680
1774526482587845,49720
