unix_timestamp,active_power (mW)
1774527171164098,48180
1774527171206564,25830
1774527171248840,24300
1774527171291924,31780
1774527171334891,43930
1774527171377967,49410
1774527171421055,49290
1774527171463973,49230
1774527171507263,49170
1774527171550462,49140
1774527171593625,49080
1774527171636647,49150
1774527171682809,49220
1774527171725843,49180
1774527171768814,49140
1774527171811951,49110
1774527171854929,49150
1774527171898108,49090
1774527171941393,49110
1774527171984577,49100
1774527172027664,49190
1774527172070575,49130
1774527172113425,49230
1774527172156337,49000
1774527172202869,49040
1774527172245727,49040
1774527172288687,49130
1774527172331532,49190
1774527172374043,49110
1774527172417114,49150
1774527172460113,49140
1774527172503090,49170
1774527172545748,49200
1774527172588950,49160
1774527172631792,49090
1774527172674877,49170
1774527172717934,49160
1774527172763433,49210
1774527172806580,49150
1774527172849519,49290
1774527172892539,49080
1774527172935586,49130
1774527172978019,49110
1774527173021059,49160
1774527173064279,49090
1774527173107416,49180
1774527173150462,49170
1774527173193466,49220
1774527173236383,49150
1774527173279657,49220
1774527173323728,49200
1774527173366752,49120
1774527173409759,49150
1774527173452965,49190
1774527173496168,49190
1774527173539014,49230
1774527173581516,49040
1774527173624483,49160
1774527173667525,49100
1774527173710671,49040
1774527173753709,49110
1774527173796770,49010
1774527173839778,49010
1774527173883981,49140
1774527173927086,49070
1774527173970082,49160
1774527174013239,49110
1774527174056188,49180
1774527174099265,49220
1774527174142415,49230
1774527174185492,49220
1774527174228622,49210
1774527174271672,49110
1774527174314476,49140
1774527174357550,49140
1774527174404389,49200
1774527174447417,49150
1774527174490305,49080
1774527174533252,49120
1774527174576464,49180
1774527174619257,49180
1774527174661825,49160
1774527174705028,49200
1774527174748267,49250
1774527174791164,49270
1774527174834156,49120
1774527174877381,49090
1774527174920518,49230
1774527174964600,49080
1774527175007639,49200
1774527175050575,49160
1774527175093850,49160
1774527175136991,49090
1774527175180153,49180
1774527175223239,49080
1774527175266455,48980
1774527175309575,49050
1774527175352506,49120
1774527175395057,49140
1774527175438108,49200
1774527175480533,49180
1774527175524984,49160
1774527175567977,49210
1774527175610557,49210
1774527175653526,49250
1774527175696627,49230
1774527175739485,49180
1774527175782464,49200
1774527175825459,49110
1774527175868534,49070
1774527175911451,49140
1774527175954335,49120
1774527175996769,49170
1774527176039738,49180
1774527176085058,49190
1774527176128234,49130
1774527176171163,49170
1774527176214072,49110
1774527176257173,49190
1774527176300143,49070
1774527176342936,49040
1774527176386198,49040
1774527176429163,49240
1774527176472328,49140
1774527176515295,49230
1774527176558415,49160
1774527176605471,49070
1774527176648518,49010
1774527176691433,49090
1774527176734566,49130
1774527176777515,49200
1774527176820517,49250
1774527176863497,49190
1774527176906488,49330
1774527176949447,49050
1774527176992540,49120
1774527177035701,49230
1774527177078763,49220
1774527177125803,49210
1774527177168050,49220
1774527177211004,49160
1774527177254079,49140
1774527177297166,49110
1774527177340398,49160
1774527177383454,49050
1774527177426170,49150
1774527177469277,49150
1774527177512296,49110
1774527177555091,49140
1774527177598113,49110
1774527177641243,49110
1774527177686064,49090
1774527177728767,49110
1774527177771222,49150
1774527177813839,49100
1774527177857015,49180
1774527177900167,49120
1774527177942712,49140
1774527177985817,49160
1774527178028881,49140
1774527178071969,49120
1774527178114854,49130
1774527178157837,49180
1774527178200948,49200
1774527178246235,49080
1774527178289356,49170
1774527178332545,49030
1774527178375309,49070
1774527178418347,49050
1774527178461538,48980
1774527178504622,49050
1774527178547112,49190
1774527178590349,49170
1774527178633535,49220
1774527178676689,49190
1774527178719577,49130
1774527178766571,49130
1774527178809666,49220
1774527178852686,49280
1774527178895706,49270
1774527178938633,49150
1774527178981170,49090
1774527179024197,49110
1774527179066915,49200
1774527179109823,49230
1774527179152834,49160
1774527179195871,49190
1774527179238823,49090
1774527179281821,49150
1774527179326883,49090
1774527179369659,49190
1774527179412787,49190
1774527179455991,49100
1774527179499230,49200
1774527179541773,49220
1774527179584933,49110
1774527179627984,49090
1774527179671044,49050
1774527179714186,49070
1774527179757286,49040
1774527179800394,49030
1774527179846994,49070
1774527179890200,49160
1774527179933401,49160
1774527179976651,49140
1774527180019207,49040
1774527180062373,49070
1774527180105448,49140
1774527180148428,49200
1774527180191062,49240
1774527180234112,49260
1774527180277256,49080
1774527180320514,49170
1774527180367405,49230
1774527180409853,49300
1774527180453050,49170
1774527180496264,49160
1774527180539203,49170
1774527180582352,49100
1774527180625573,49110
1774527180668511,49120
1774527180711452,49190
1774527180754575,49110
1774527180797558,49090
1774527180840418,49140
1774527180883490,49270
1774527180927552,49060
1774527180970429,49150
1774527181013581,49310
1774527181056517,49260
1774527181099347,49170
1774527181142468,49180
1774527181185416,49180
1774527181228463,49110
1774527181271624,49150
1774527181314177,49230
1774527181357410,49130
1774527181400401,49200
1774527181443536,49230
1774527181487977,49170
1774527181530636,49140
1774527181573743,49120
1774527181617001,49170
1774527181659991,49070
1774527181703067,49160
1774527181746199,49150
1774527181789401,49160
1774527181832374,49190
1774527181875442,49190
1774527181918435,49130
1774527181961388,49120
1774527182008174,49110
1774527182051384,49040
1774527182093764,49080
1774527182137007,49110
1774527182180138,49120
1774527182222808,49190
1774527182265929,49180
1774527182308966,49190
1774527182352094,49170
1774527182395220,49050
1774527182438293,49050
1774527182481447,49020
1774527182528322,48990
1774527182571551,49050
1774527182614405,49180
1774527182657608,49120
1774527182700452,49130
1774527182743515,49100
1774527182786343,49040
1774527182829463,49030
1774527182872630,49040
1774527182915780,49270
1774527182958481,49200
1774527183001280,49190
1774527183044419,49170
1774527183088545,49130
1774527183131480,49170
1774527183174382,49130
1774527183217395,49170
1774527183260519,49290
1774527183303449,52590
1774527183346560,48590
1774527183389561,49190
1774527183432544,49090
1774527183475540,49130
1774527183518408,49120
1774527183561475,49080
1774527183604393,49170
1774527183648991,49220
1774527183692040,49210
1774527183734981,49130
1774527183777765,49140
1774527183820954,49160
1774527183863925,49060
1774527183906928,49090
1774527183949921,49050
1774527183992942,49020
1774527184036086,49090
1774527184078829,49090
1774527184121882,49140
1774527184169019,49210
1774527184212248,49170
1774527184255165,49050
1774527184297692,49070
1774527184340898,49030
1774527184384109,49080
1774527184427062,49100
1774527184469590,49200
1774527184512795,49170
1774527184555876,49190
1774527184598512,49090
1774527184641689,49090
1774527184684777,49070
1774527184729471,49270
1774527184772555,49250
1774527184815467,49250
1774527184858513,49090
1774527184901492,49230
1774527184944483,49110
1774527184987455,49210
1774527185030570,49150
1774527185073585,49130
1774527185116656,49200
1774527185159855,49110
1774527185203114,49220
1774527185249709,49170
1774527185292779,49180
1774527185335981,49140
1774527185379123,49180
1774527185422044,49200
1774527185464946,49170
1774527185507924,49140
1774527185550422,49190
1774527185593521,49130
1774527185636497,49300
1774527185679654,49160
1774527185722857,49140
1774527185769806,49060
1774527185812968,48980
1774527185856181,49080
1774527185899394,49050
1774527185942352,49140
1774527185985404,49220
1774527186028418,49220
1774527186071411,49180
1774527186114583,49150
1774527186157511,49110
1774527186200602,49200
1774527186243532,49300
1774527186290152,49210
1774527186333305,49190
1774527186376565,49170
1774527186419533,49140
1774527186462560,49190
