unix_timestamp,active_power (mW)
1774622229460927,47250
1774622229503109,47180
1774622229549711,47270
1774622229592512,47230
1774622229635233,47240
1774622229678236,47150
1774622229721340,47200
1774622229764230,47170
1774622229807370,47180
1774622229850276,47150
1774622229893231,47240
1774622229935972,47230
1774622229979126,47270
1774622230022135,47220
1774622230065007,47240
1774622230109647,47180
1774622230152815,47220
1774622230195952,47190
1774622230239337,47200
1774622230282475,47160
1774622230325584,47150
1774622230368860,47110
1774622230411917,47150
1774622230454964,47070
1774622230498130,47170
1774622230540455,47280
1774622230583510,47100
1774622230629669,47140
1774622230671977,47150
1774622230715167,47160
1774622230758167,47180
1774622230801246,47180
1774622230844150,47140
1774622230887303,47180
1774622230930150,47210
1774622230973112,47210
1774622231016226,47200
1774622231059316,47190
1774622231101793,47160
1774622231144853,47150
1774622231189451,47180
1774622231232575,47180
1774622231275095,47070
1774622231317979,47130
1774622231361144,47150
1774622231404346,47230
1774622231447167,47250
1774622231490296,47180
1774622231533237,47160
1774622231576190,47210
1774622231618985,47200
1774622231662100,47180
1774622231705132,47190
1774622231749357,47200
1774622231792387,47080
1774622231835346,47210
1774622231877763,47200
1774622231920864,47200
1774622231963821,47210
1774622232006916,47100
1774622232050134,47250
1774622232093301,47210
1774622232136519,47190
1774622232179706,47270
1774622232222926,47230
1774622232269030,47120
1774622232312181,47080
1774622232355251,47210
1774622232398213,47120
1774622232441284,47170
1774622232484262,47330
1774622232527435,47430
1774622232569914,47240
1774622232612991,47240
1774622232656054,47240
1774622232699138,47190
1774622232741702,47210
1774622232784885,47200
1774622232828976,47190
1774622232872052,47200
1774622232915264,47240
1774622232958177,47130
1774622233001458,47120
1774622233043897,47190
1774622233086594,47210
1774622233129602,47190
1774622233172706,47140
1774622233215893,47190
1774622233259052,47040
1774622233301592,47170
1774622233348761,47100
1774622233391931,47030
1774622233434984,47110
1774622233478192,47210
1774622233521291,47150
1774622233564321,47270
1774622233607137,47240
1774622233650211,47170
1774622233693344,47200
1774622233736320,47140
1774622233779387,47260
1774622233822386,47190
1774622233868360,47240
1774622233911481,47180
1774622233954444,47210
1774622233997513,47100
1774622234040161,47150
1774622234083283,47220
1774622234126364,47210
1774622234169343,47220
1774622234212520,47260
1774622234255737,47190
1774622234298966,47240
1774622234341867,47290
1774622234388266,47230
1774622234431429,47160
1774622234474425,47360
1774622234517479,47140
1774622234560479,47120
1774622234603327,47200
1774622234646057,47110
1774622234689174,47220
1774622234732273,47190
1774622234775011,47190
1774622234818081,47220
1774622234860887,47180
1774622234904113,47130
1774622234948113,47140
1774622234991276,47200
1774622235034480,47130
1774622235077455,47190
1774622235120434,47190
1774622235163163,47200
1774622235206353,47260
1774622235249538,47230
1774622235292516,47170
1774622235335458,47300
1774622235377745,47210
1774622235420871,47180
1774622235463247,47180
1774622235507775,47150
1774622235550845,47190
1774622235593909,47250
1774622235636832,47190
1774622235679587,47210
1774622235722630,47160
1774622235765703,47140
1774622235808903,47140
1774622235851981,47180
1774622235895209,47230
1774622235938415,47230
1774622235981574,47240
1774622236027382,47140
1774622236070182,47240
1774622236112562,47280
1774622236155829,47250
1774622236198533,47270
1774622236241555,47210
1774622236284081,47230
1774622236326986,47260
1774622236370218,47180
1774622236413330,47190
1774622236456485,47130
1774622236499292,47350
1774622236542036,47260
1774622236587241,47220
1774622236629867,47250
1774622236672851,47160
1774622236715867,47170
1774622236758994,47210
1774622236802039,47200
1774622236845135,47200
1774622236888075,47250
1774622236931118,47250
1774622236974123,47160
1774622237017158,47150
1774622237060260,47170
1774622237106962,47310
1774622237150056,47310
1774622237193169,47220
1774622237236475,47330
1774622237279146,47190
1774622237321791,47230
1774622237364983,47160
1774622237408176,47190
1774622237451246,47200
1774622237494235,47200
1774622237537338,47210
1774622237580310,47210
1774622237626679,47180
1774622237669907,47140
1774622237713040,47180
1774622237756070,47150
1774622237799094,47140
1774622237841705,47170
1774622237884381,47120
1774622237927183,47270
1774622237970362,47280
1774622238013439,47160
1774622238056411,47230
1774622238099565,47150
1774622238141929,47280
1774622238186350,47240
1774622238229377,47230
1774622238272266,47190
1774622238315273,47210
1774622238357607,47160
1774622238400687,47210
1774622238443607,47250
1774622238486409,47160
1774622238529459,47310
1774622238572473,47160
1774622238615830,47170
1774622238658942,47200
1774622238702212,47190
1774622238746150,47250
1774622238789252,47260
1774622238832386,47240
1774622238875124,47240
1774622238918237,47130
1774622238961210,47220
1774622239004134,47270
1774622239047053,47230
1774622239089862,47100
1774622239133072,47200
1774622239176234,47210
1774622239219159,47220
1774622239261934,47210
1774622239306010,47130
1774622239348968,47170
1774622239391922,47220
1774622239435094,47180
1774622239478172,47170
1774622239521110,47210
1774622239564145,47200
1774622239606704,47170
1774622239649882,47190
1774622239693008,47150
1774622239736141,47100
1774622239779160,47180
1774622239825631,47220
1774622239868288,47180
1774622239911396,47210
1774622239954573,47200
1774622239997906,47290
1774622240040982,47270
1774622240083800,47270
1774622240126920,47230
1774622240169847,47220
1774622240213135,47160
1774622240256224,47160
1774622240298724,47170
1774622240345191,47180
1774622240388166,47250
1774622240431190,47240
1774622240474159,47270
1774622240517291,47340
1774622240560450,47230
1774622240603095,47200
1774622240646120,47190
1774622240689356,47140
1774622240732503,47320
1774622240775369,47230
1774622240818349,47270
1774622240865093,47080
1774622240907980,47200
1774622240951048,47140
1774622240993418,47210
1774622241036389,47180
1774622241079414,47180
1774622241122354,47170
1774622241165465,47160
1774622241208572,47090
1774622241251880,47190
1774622241295104,47180
1774622241338264,47260
1774622241384748,47150
1774622241427752,47180
1774622241470978,47180
1774622241513835,47250
1774622241556948,47290
1774622241600126,47220
1774622241643356,47200
1774622241685850,47190
1774622241728969,47180
1774622241771963,47220
1774622241814660,47220
1774622241857864,47210
1774622241904339,47240
1774622241947383,47200
1774622241990260,47090
1774622242033339,47210
1774622242076304,47300
1774622242119444,47220
1774622242162355,47230
1774622242205617,47220
1774622242248764,47200
1774622242291868,47210
1774622242334425,47190
1774622242377458,47200
1774622242424035,47150
1774622242467158,47350
1774622242510324,47200
1774622242553459,47220
1774622242596604,47310
1774622242639276,47250
1774622242682339,47200
1774622242725618,47170
1774622242768816,47150
1774622242811843,47220
1774622242854466,47100
1774622242897524,47220
1774622242943741,47260
1774622242986574,47260
1774622243029558,47250
1774622243072638,47160
1774622243115749,47160
1774622243158472,47110
1774622243201424,47240
1774622243244512,47230
1774622243287369,47310
