unix_timestamp,active_power (mW)
1774623183554889,50220
1774623183597346,50160
1774623183642276,50210
1774623183685437,50280
1774623183728533,50200
1774623183771634,50200
1774623183814570,50210
1774623183857636,50280
1774623183900735,50170
1774623183943766,50240
1774623183986917,50080
1774623184030167,50130
1774623184073309,50020
1774623184116280,50230
1774623184162828,50090
1774623184205543,50180
1774623184248558,50110
1774623184291666,50170
1774623184334260,50210
1774623184377427,50120
1774623184420546,50190
1774623184463594,50170
1774623184506490,50330
1774623184549604,50280
1774623184592607,50210
1774623184635762,50200
1774623184679017,50150
1774623184723087,50250
1774623184765661,50190
1774623184808789,50250
1774623184852093,50230
1774623184895157,50180
1774623184937811,50190
1774623184980791,50200
1774623185023943,50130
1774623185066767,50200
1774623185109632,50240
1774623185152647,50170
1774623185195878,50150
1774623185238957,50250
1774623185283533,50280
1774623185326637,50290
1774623185369297,50180
1774623185412222,50230
1774623185455319,50290
1774623185498371,50270
1774623185541482,50290
1774623185584536,50130
1774623185627341,50130
1774623185670321,50200
1774623185713148,50130
1774623185756025,50110
1774623185799027,50150
1774623185844058,50140
1774623185887109,50050
1774623185930071,50150
1774623185972974,50080
1774623186016061,50170
1774623186059144,50160
1774623186101640,50040
1774623186144709,50170
1774623186187755,50170
1774623186231021,50210
1774623186274159,50260
1774623186317114,50170
1774623186360002,50210
1774623186404372,50190
1774623186447307,50180
1774623186490421,50230
1774623186533641,53910
1774623186576832,49270
1774623186619807,50010
1774623186662282,50190
1774623186705321,50210
1774623186748478,50230
1774623186791488,50270
1774623186834595,50230
1774623186877468,50340
1774623186920749,50310
1774623186964878,50270
1774623187007919,50210
1774623187051005,50190
1774623187094238,50210
1774623187137348,50210
1774623187180339,50120
1774623187223224,50120
1774623187266120,50120
1774623187309220,50110
1774623187352215,50090
1774623187394957,50120
1774623187437969,50100
1774623187481054,50010
1774623187525306,50200
1774623187568328,50080
1774623187611087,50140
1774623187654237,50130
1774623187697396,50110
1774623187740571,50150
1774623187783473,50140
1774623187826602,50180
1774623187869649,50180
1774623187912715,50190
1774623187955758,50210
1774623187998375,50230
1774623188041552,50250
1774623188085611,50280
1774623188128750,50160
1774623188171669,50320
1774623188214364,50170
1774623188257225,50130
1774623188300291,50160
1774623188343107,50190
1774623188385460,50230
1774623188428572,50200
1774623188471760,50210
1774623188515117,50240
1774623188558111,50130
1774623188601115,50340
1774623188646086,50190
1774623188689172,50180
1774623188732220,50280
1774623188775317,50370
1774623188818543,50220
1774623188861528,50160
1774623188904645,50160
1774623188947747,50090
1774623188990478,50130
1774623189033720,50130
1774623189076929,50080
1774623189120178,50120
1774623189166482,50140
1774623189209521,50190
1774623189252481,50240
1774623189295605,50270
1774623189338257,50220
1774623189381385,50240
1774623189424428,50220
1774623189467617,50220
1774623189510691,50220
1774623189553760,50230
1774623189596866,50250
1774623189639928,50240
1774623189686541,50270
1774623189729522,50120
1774623189772651,50210
1774623189815583,50180
1774623189858719,50240
1774623189901761,50200
1774623189944867,50260
1774623189987843,50210
1774623190030989,50190
1774623190073966,50160
1774623190117037,50190
1774623190159945,50210
1774623190202676,50240
1774623190246937,50240
1774623190290010,50130
1774623190333097,50230
1774623190376257,50090
1774623190419269,50200
1774623190462321,50220
1774623190505374,50240
1774623190547685,50340
1774623190590670,50150
