unix_timestamp,active_power (mW)
1774624012032427,48550
1774624012074821,48510
1774624012117207,48500
1774624012160302,48620
1774624012202896,48640
1774624012245716,48600
1774624012288884,48670
1774624012331795,48540
1774624012375013,48680
1774624012419000,48630
1774624012462026,48820
1774624012504630,48740
1774624012547766,48750
1774624012590955,48610
1774624012633562,48650
1774624012676703,48670
1774624012719854,48590
1774624012762775,48540
1774624012805844,48590
1774624012848829,48570
1774624012891866,48590
1774624012938790,48610
1774624012981598,48620
1774624013024867,48630
1774624013067965,48690
1774624013111075,48590
1774624013153984,48700
1774624013197065,48620
1774624013239844,48610
1774624013282370,48650
1774624013325441,48620
1774624013368155,48650
1774624013411207,48670
1774624013454158,48710
1774624013498506,48550
1774624013541684,48620
1774624013584817,48580
1774624013627907,48610
1774624013670879,48690
1774624013713965,48580
1774624013756910,48540
1774624013799958,48490
1774624013842411,48510
1774624013885504,48580
1774624013928670,48470
1774624013971819,48560
1774624014018378,48700
1774624014061432,48700
1774624014104670,48600
1774624014147784,48690
1774624014190569,48670
1774624014233500,48610
1774624014276587,48580
1774624014319533,48640
1774624014362630,48550
1774624014405699,48630
1774624014448751,48570
1774624014491684,48600
1774624014538188,48660
1774624014581260,48730
1774624014624441,48560
1774624014667479,48560
1774624014709996,48680
1774624014752946,48640
1774624014795931,48690
1774624014838547,48700
1774624014881391,48650
1774624014924503,48560
1774624014967215,48520
1774624015009791,48570
1774624015052685,48670
1774624015097724,48660
1774624015140905,48710
1774624015183825,48730
1774624015226637,48740
1774624015269858,48780
1774624015312988,48710
1774624015355910,48670
1774624015399086,48630
1774624015441900,48700
1774624015485075,48640
1774624015528078,48670
1774624015571112,48590
1774624015617652,48630
1774624015660837,48570
1774624015703702,48540
1774624015746517,48560
1774624015789762,48510
1774624015832893,48530
1774624015876011,48480
1774624015918788,48580
1774624015961672,48600
1774624016004946,48550
1774624016048080,48670
1774624016091314,48630
1774624016137518,48590
1774624016180598,48620
1774624016223529,48640
1774624016266223,48570
1774624016309351,48650
1774624016352455,48600
1774624016395420,48680
1774624016438534,48620
1774624016481626,48560
1774624016524531,48670
1774624016567493,48610
1774624016610608,48660
1774624016657099,48640
1774624016699890,48530
1774624016742670,48560
1774624016785687,48730
1774624016828826,48590
1774624016871779,48700
1774624016914842,48650
1774624016957650,48640
1774624017000594,48690
1774624017043748,48690
1774624017086872,48640
1774624017129732,48640
1774624017172605,48640
1774624017216967,48630
1774624017259880,48400
1774624017302568,48640
1774624017345745,48480
1774624017388850,48530
1774624017431806,48590
1774624017474722,48560
1774624017517949,48580
1774624017561023,48650
1774624017604063,48690
1774624017647114,48630
1774624017690267,48620
1774624017736785,48630
1774624017779547,48640
1774624017822655,48570
1774624017865486,48640
1774624017908651,48640
1774624017951780,48600
1774624017994786,48560
1774624018037102,48470
1774624018079864,48620
1774624018122992,48630
1774624018165716,48680
1774624018208930,48700
1774624018252110,48780
1774624018296451,48640
1774624018339517,48720
1774624018382511,48700
1774624018425635,48680
1774624018468604,48600
1774624018511631,48720
1774624018554289,48620
1774624018597438,48650
1774624018640103,48690
1774624018682751,48610
1774624018725637,48640
1774624018768607,48600
1774624018811616,48560
1774624018856490,48560
1774624018899592,48570
1774624018942650,48470
1774624018985855,48480
1774624019028832,48650
1774624019071855,48620
1774624019114950,48550
1774624019157808,48640
1774624019200892,48600
1774624019243501,48620
1774624019286624,48650
1774624019329611,48710
1774624019376117,48680
1774624019419191,48630
1774624019462414,48730
1774624019505569,48750
1774624019548737,48640
1774624019591667,48620
1774624019634623,48700
1774624019677688,48610
1774624019720856,48590
1774624019763987,48560
1774624019806942,48670
1774624019849512,48650
1774624019895971,48600
1774624019939015,48630
1774624019982081,48580
1774624020024976,48650
1774624020067829,48700
1774624020111009,48650
1774624020153953,48650
1774624020197141,48620
1774624020240202,48710
1774624020283346,48660
1774624020325690,48710
1774624020368659,48610
1774624020415700,48650
1774624020458333,48710
1774624020501511,48620
1774624020544773,48630
1774624020587872,48650
1774624020630512,48730
1774624020673648,48600
1774624020716648,48500
1774624020759767,48470
1774624020802823,48650
1774624020845705,48550
1774624020888941,48530
1774624020935528,48640
1774624020978877,48620
1774624021021855,48690
1774624021064932,48670
1774624021108010,48770
1774624021150595,48710
1774624021193647,48730
1774624021236807,48710
1774624021279912,48680
1774624021322909,48620
1774624021365670,48590
1774624021408700,48560
1774624021455431,48530
1774624021498392,48610
1774624021541744,48620
1774624021584900,48580
1774624021627796,48570
1774624021670561,48650
1774624021713639,48620
1774624021756261,48570
1774624021799343,48590
1774624021842383,48700
1774624021885434,48610
1774624021928556,48590
1774624021975026,48580
1774624022018567,48710
1774624022061623,48680
1774624022104516,48590
1774624022147602,48610
1774624022190516,48550
1774624022233635,48570
1774624022276638,48500
1774624022319809,48550
1774624022362785,48590
1774624022405865,48560
1774624022448839,48680
1774624022494905,48690
1774624022537946,48800
1774624022580989,48660
1774624022623940,48610
1774624022666948,48760
1774624022709898,48740
1774624022753015,48700
1774624022796001,48650
1774624022838668,48700
1774624022881664,48700
1774624022924793,48680
1774624022967711,48640
1774624023014880,48630
1774624023057931,48560
1774624023100844,48530
1774624023143654,48620
1774624023186838,48690
1774624023229824,48630
1774624023273002,48550
1774624023316167,48660
1774624023359024,48630
1774624023402132,48640
1774624023445253,48760
1774624023488278,48610
1774624023534685,48610
1774624023577748,48580
1774624023620827,48620
1774624023663883,48660
1774624023706654,48620
1774624023750034,48700
1774624023793106,48710
1774624023836127,48660
1774624023879162,48650
1774624023921573,48540
1774624023964773,48510
1774624024007689,48630
1774624024054525,48690
1774624024097685,48660
1774624024140815,48690
1774624024183870,48640
1774624024226603,48630
1774624024269661,48650
1774624024312343,48640
1774624024355480,48710
1774624024398617,48660
1774624024441631,48690
1774624024484708,48550
1774624024527718,48780
1774624024574600,48640
1774624024617745,48650
1774624024660796,48610
1774624024703749,48570
1774624024746900,48640
1774624024789825,48590
1774624024832608,48610
1774624024875817,48530
1774624024918881,48580
1774624024961875,48650
1774624025004857,48510
1774624025047778,48590
1774624025094402,48630
1774624025137503,48650
1774624025180771,48640
1774624025223781,48620
1774624025266786,48600
1774624025309949,48630
1774624025353022,48640
1774624025395949,48720
1774624025439071,48560
1774624025482081,48620
1774624025525136,48710
1774624025568308,48630
1774624025614188,48690
1774624025657320,48670
1774624025700453,48640
1774624025743643,48670
1774624025786790,48630
1774624025829888,48590
1774624025872883,48710
1774624025915917,48640
1774624025958528,48600
1774624026001765,48540
1774624026044860,48510
