unix_timestamp,active_power (mW)
1774624829227719,49280
1774624829270075,49510
1774624829313086,49770
1774624829356257,49880
1774624829399393,49790
1774624829442396,49810
1774624829485603,49730
1774624829528723,49550
1774624829571552,49360
1774624829614909,49370
1774624829657930,49430
1774624829700875,49440
1774624829747632,49340
1774624829790426,49390
1774624829832993,49360
1774624829875953,49420
1774624829919065,49410
1774624829961857,49370
1774624830004986,49370
1774624830048012,49410
1774624830091142,49340
1774624830134356,49360
1774624830177542,49360
1774624830220711,49300
1774624830267637,49370
1774624830310708,49280
1774624830353622,49200
1774624830396820,49350
1774624830439779,49250
1774624830482805,49280
1774624830525924,49400
1774624830568939,49300
1774624830611918,49290
1774624830655056,49170
1774624830698180,49300
1774624830741098,49350
1774624830787586,49300
1774624830830751,49350
1774624830873648,49300
1774624830916754,49630
1774624830959928,49860
1774624831002927,49780
1774624831045653,49890
1774624831088901,49860
1774624831131758,49940
1774624831174905,49910
1774624831217926,49800
1774624831260924,49800
1774624831307585,49400
1774624831350364,49370
1774624831393482,49300
1774624831436580,49420
1774624831479607,49430
1774624831522695,49380
1774624831565698,49400
1774624831608290,49340
1774624831651087,49400
1774624831693952,49390
1774624831737122,49370
1774624831779996,49370
1774624831823105,49380
1774624831867513,49350
1774624831910289,49300
1774624831953519,49310
1774624831996685,49310
1774624832039539,49270
1774624832082564,49310
1774624832125658,49330
1774624832168863,49290
1774624832211758,49300
1774624832254457,49310
1774624832297391,49430
1774624832340473,49290
1774624832387568,49290
1774624832430849,49380
1774624832473965,49270
1774624832517107,49540
1774624832560315,49420
1774624832602948,49340
1774624832646001,49360
1774624832689060,49340
1774624832731733,49390
1774624832774693,49290
1774624832817754,49340
1774624832860743,49370
1774624832907647,49420
1774624832950603,49340
1774624832993902,49380
1774624833036820,49390
1774624833079296,49430
1774624833122479,49400
1774624833164932,49400
1774624833208088,49380
1774624833251024,49460
1774624833293981,49450
1774624833337054,49450
1774624833380054,49360
1774624833422547,49340
1774624833467747,49330
1774624833510876,49230
1774624833553732,49400
1774624833597014,49370
1774624833640050,49250
1774624833682665,49300
1774624833725861,49270
1774624833769104,49300
1774624833811968,49240
1774624833855131,49210
1774624833897757,49240
1774624833940959,49210
1774624833987817,49210
1774624834030493,49180
1774624834073809,49150
1774624834116856,49170
1774624834159882,49290
1774624834202982,49250
1774624834245961,49280
1774624834289147,49300
1774624834332245,49280
1774624834375297,49360
1774624834418385,49230
1774624834461513,49230
1774624834507772,49420
1774624834550437,49370
1774624834593551,49310
1774624834636267,49220
1774624834679153,49390
1774624834721926,49280
1774624834764905,49220
1774624834808068,49330
1774624834851194,49310
1774624834894089,49320
1774624834937025,49270
1774624834980144,49370
1774624835022911,49320
1774624835067873,49360
1774624835110641,49300
1774624835153559,49290
1774624835196713,49290
1774624835239519,49300
1774624835282506,49290
1774624835325656,49320
1774624835368723,49260
1774624835411750,49290
1774624835454773,49270
1774624835497983,49240
1774624835541073,49290
1774624835584094,49180
1774624835627984,49230
1774624835670881,49180
1774624835714122,49180
1774624835757208,49230
1774624835800047,49200
1774624835842607,49280
1774624835885798,49230
1774624835928723,49260
1774624835971836,49280
1774624836014801,49290
1774624836057925,49290
1774624836101067,49390
1774624836147978,49270
1774624836190965,49240
1774624836234126,49320
1774624836277117,49330
1774624836320101,49220
1774624836363083,49270
1774624836406121,49270
1774624836449346,49270
1774624836492466,49340
1774624836535216,49400
1774624836578352,49390
1774624836621313,49380
1774624836668253,49340
1774624836711355,49320
1774624836753822,49260
1774624836796820,49290
1774624836839994,49190
1774624836883045,49240
1774624836925993,49290
1774624836969105,49270
1774624837012099,49280
1774624837054578,49200
1774624837097612,49260
1774624837140824,49300
1774624837183896,49200
1774624837228473,49200
1774624837271474,49250
1774624837314448,49230
1774624837357362,49210
1774624837400409,49200
1774624837443373,49250
1774624837486446,49150
1774624837529504,49260
1774624837572303,49200
1774624837614883,49260
1774624837657653,49250
1774624837700887,49400
1774624837743796,49240
1774624837788428,49310
1774624837831535,49350
1774624837874481,49320
1774624837917618,49330
1774624837960663,49350
1774624838003706,49380
1774624838046737,49390
1774624838089929,49510
1774624838133074,49350
1774624838176110,49340
1774624838219273,49260
1774624838262425,49280
1774624838308649,49300
1774624838351577,49400
1774624838394338,49360
1774624838437496,49320
1774624838480451,49300
1774624838523306,49450
1774624838566285,49230
1774624838609505,49180
1774624838652668,49050
1774624838695707,49280
1774624838738924,49230
1774624838781932,49150
1774624838828824,49220
1774624838871775,49210
1774624838914601,49250
1774624838957773,49320
1774624839000874,49250
1774624839043905,49280
1774624839086951,49280
1774624839130000,49330
1774624839173143,49340
1774624839216047,49280
1774624839259134,49240
1774624839302123,49460
1774624839348903,49230
1774624839392040,49230
1774624839434572,49180
1774624839477793,49180
1774624839520800,49220
1774624839563780,49310
1774624839606370,49390
1774624839649472,49440
1774624839692465,49410
1774624839735491,49380
1774624839778681,49290
1774624839821925,49270
1774624839864902,49300
1774624839909101,49290
1774624839952074,49320
1774624839995144,49390
1774624840037505,49310
1774624840080661,49280
1774624840123816,49250
1774624840166866,49220
1774624840209900,49200
1774624840252999,49170
1774624840296194,49280
1774624840339101,49230
1774624840382107,49120
1774624840425086,49080
1774624840469450,49260
1774624840512625,49350
1774624840555567,49380
1774624840598374,49160
1774624840641133,49270
1774624840684386,49320
1774624840727620,49360
1774624840770760,49230
1774624840813875,49310
1774624840856851,49210
1774624840899852,49220
1774624840943040,49330
1774624840989438,49200
1774624841032573,49170
1774624841075688,49280
1774624841118785,49330
1774624841161856,49440
1774624841204893,49410
1774624841248097,49490
1774624841291274,49370
1774624841334435,49410
1774624841377561,49300
1774624841420764,49200
1774624841464000,49340
1774624841509772,49340
1774624841552800,49370
1774624841595930,49310
1774624841638991,49290
