unix_timestamp,active_power (mW)
1774626233870718,49830
1774626233913027,49770
1774626233955480,49720
1774626233998026,49750
1774626234041000,49750
1774626234084045,49730
1774626234126672,49790
1774626234169827,49760
1774626234212940,49690
1774626234256190,49820
1774626234301667,49820
1774626234344675,49760
1774626234387804,49880
1774626234430405,49890
1774626234473476,49900
1774626234516618,49960
1774626234559276,49830
1774626234601650,49750
1774626234644736,49700
1774626234687699,50010
1774626234730402,49900
1774626234773414,49830
1774626234816515,49820
1774626234861274,49960
1774626234904327,49950
1774626234947119,49910
1774626234990327,49950
1774626235033530,49900
1774626235076392,49910
1774626235119593,49900
1774626235162616,49910
1774626235205833,49850
1774626235248936,49930
1774626235292014,49950
1774626235335151,50050
1774626235380999,49920
1774626235424174,49850
1774626235467264,49880
1774626235510488,49880
1774626235553671,49790
1774626235596618,49810
1774626235639786,49840
1774626235682464,49870
1774626235725644,49840
1774626235768903,49910
1774626235812073,49830
1774626235854516,49950
1774626235900613,49940
1774626235943665,49850
1774626235986582,49890
1774626236029638,49830
1774626236072577,49990
1774626236115689,49900
1774626236158863,49830
1774626236202016,49810
1774626236245048,49900
1774626236287737,49980
1774626236330573,49990
1774626236373804,49950
1774626236420243,49840
1774626236463496,49840
1774626236506222,49950
1774626236549286,49880
1774626236592344,49960
1774626236635556,50000
1774626236678154,50010
1774626236721177,49950
1774626236764350,49890
1774626236807599,49840
1774626236850572,49950
1774626236893543,50030
1774626236939912,49820
1774626236982630,49730
1774626237025532,49860
1774626237068725,50010
1774626237111438,50030
1774626237154399,49970
1774626237197632,49880
1774626237240510,49880
1774626237283567,49880
1774626237326486,49830
1774626237369641,49800
1774626237412596,49980
1774626237459796,49970
1774626237502562,49990
1774626237545639,49920
1774626237588651,49950
1774626237631712,49890
1774626237674628,49800
1774626237717811,49860
1774626237761042,49800
1774626237804065,49890
1774626237847079,49840
1774626237890186,49890
1774626237933393,49970
1774626237979479,49790
1774626238021885,49790
1774626238064957,49980
1774626238108034,50070
1774626238150964,49950
1774626238194070,49830
1774626238237137,49820
1774626238280192,49930
1774626238323336,49960
1774626238366588,49990
1774626238409505,49970
1774626238452636,49840
1774626238499248,49820
1774626238541521,49930
1774626238584403,49860
1774626238627251,49740
1774626238670385,49960
1774626238713466,49920
1774626238756552,50010
1774626238799696,49980
1774626238842384,50040
1774626238885565,49970
1774626238928553,50020
1774626238971446,49980
1774626239014542,49890
1774626239059130,49830
1774626239102189,49800
1774626239145381,49770
1774626239188619,49750
1774626239231477,49830
1774626239273834,49830
1774626239317067,49800
1774626239360246,49770
1774626239403321,49750
1774626239446417,49800
1774626239489533,49880
1774626239532699,49930
1774626239578928,49710
1774626239621642,49790
1774626239664724,49860
1774626239707567,49950
1774626239750575,50000
1774626239793538,49980
1774626239836503,49970
1774626239879331,49760
1774626239921723,49890
1774626239964877,49900
1774626240007484,49850
1774626240050556,50090
1774626240093589,49950
1774626240138574,49820
1774626240181597,49750
1774626240224861,49860
1774626240267969,49840
1774626240310968,49910
1774626240354051,49920
1774626240397244,49940
1774626240440219,49970
1774626240483363,50000
1774626240526773,50030
1774626240569835,50160
1774626240613124,50020
1774626240658514,49920
1774626240701575,49860
1774626240744625,49840
1774626240787613,49900
1774626240830647,49880
1774626240873750,49920
1774626240916722,49880
1774626240959806,49910
1774626241002873,49870
1774626241046042,49860
1774626241089066,49910
1774626241132207,49940
1774626241178281,49900
1774626241221478,49810
1774626241264575,49810
1774626241307560,49790
1774626241350706,49840
1774626241393857,49830
1774626241436956,49760
1774626241479980,49810
1774626241522991,49810
1774626241565669,49870
1774626241608812,49900
1774626241652027,49950
1774626241698037,49850
1774626241741185,49910
1774626241784302,49810
1774626241827271,52330
1774626241870481,49960
1774626241913625,49890
1774626241956735,49920
1774626241999760,50000
1774626242042533,50040
1774626242085402,49970
1774626242128529,49970
1774626242171682,49840
1774626242217871,49760
1774626242261080,49840
1774626242303795,49830
1774626242346667,49910
1774626242389522,49890
1774626242432476,49830
1774626242475528,49950
1774626242518019,50030
1774626242561187,49940
1774626242604184,49970
1774626242647068,49860
1774626242690211,50040
1774626242733475,50000
1774626242777878,49890
1774626242821035,49930
1774626242864107,49800
1774626242906989,49900
1774626242949718,49810
1774626242992439,49900
1774626243035069,49830
1774626243078296,49950
1774626243121319,49850
1774626243164441,49890
1774626243207670,49940
1774626243250699,49920
1774626243297715,49890
1774626243340741,49960
1774626243383752,49880
1774626243426636,49950
1774626243469668,49800
1774626243512691,49940
1774626243555885,49850
1774626243598566,49870
1774626243641515,49820
1774626243684400,49770
1774626243727606,49780
1774626243770612,49880
1774626243813716,49860
1774626243857647,49800
1774626243900808,49740
1774626243943294,49940
1774626243986321,49860
1774626244029245,49860
1774626244072342,49840
1774626244115359,49880
1774626244158478,49840
1774626244201565,49890
1774626244244678,49880
1774626244287812,49870
1774626244330637,49840
1774626244377701,49890
1774626244420646,49820
1774626244463645,49910
1774626244506651,50000
1774626244549626,49810
1774626244592906,49830
1774626244635910,49910
1774626244678843,49830
1774626244721632,49890
1774626244764506,49780
1774626244807660,49870
1774626244850598,49730
1774626244897603,49880
1774626244940655,49890
1774626244983331,49810
1774626245026450,49820
1774626245068938,49800
1774626245111832,49820
1774626245154923,49800
1774626245198034,49820
1774626245241030,49790
1774626245284142,49810
1774626245327305,49840
1774626245370637,49860
1774626245417489,49760
1774626245460618,49850
1774626245503843,49750
1774626245546506,49840
1774626245589590,49800
1774626245632604,49830
1774626245675470,49830
1774626245718467,49840
1774626245761583,49860
1774626245804803,49830
1774626245847581,49870
1774626245890219,49870
1774626245933461,49870
1774626245977345,49840
1774626246020442,49930
1774626246063628,49980
1774626246106258,49950
1774626246149406,49900
1774626246192609,49900
1774626246235637,49840
1774626246278540,49780
1774626246321529,49950
1774626246364648,49860
1774626246407596,49920
1774626246450610,49890
1774626246497363,49850
1774626246540476,49930
1774626246583640,49940
1774626246626332,49930
1774626246669308,49900
1774626246712140,49930
1774626246755015,49850
1774626246798122,49870
1774626246841033,49890
1774626246884008,49870
1774626246926648,49830
1774626246969681,49780
1774626247012716,49830
1774626247057273,49820
1774626247100308,49730
1774626247143232,49820
1774626247186490,49810
1774626247229642,49800
1774626247272635,49780
1774626247315613,49850
1774626247358627,49810
1774626247401689,49830
1774626247444607,49850
1774626247487584,49780
1774626247530350,49810
1774626247577202,49810
1774626247620288,49900
1774626247663535,49770
1774626247706536,49840
1774626247749467,49810
1774626247792487,49800
1774626247835357,49760
1774626247878504,49810
1774626247921335,50480
1774626247964256,50360
1774626248007359,49940
1774626248050280,49870
1774626248097158,49940
1774626248140294,49930
1774626248183126,49890
1774626248226367,49910
1774626248269497,49970
1774626248312652,49970
1774626248355609,49930
1774626248398713,49890
1774626248441642,49880
1774626248484883,49880
1774626248527978,49900
1774626248570540,50030
1774626248617050,49840
1774626248660202,49900
1774626248703192,49890
1774626248746265,49880
1774626248789560,49840
1774626248832695,49810
1774626248875575,49850
1774626248918365,49790
1774626248961227,49840
1774626249004179,49910
1774626249047329,49920
1774626249090251,49900
1774626249137044,49890
1774626249180234,49820
1774626249223377,49900
1774626249266555,49850
1774626249309518,49820
1774626249352079,49820
1774626249395177,49770
1774626249437575,49790
1774626249480435,49820
1774626249523437,49910
1774626249566227,49790
1774626249609443,49810
1774626249652530,49650
1774626249696945,49800
1774626249740117,49740
1774626249782920,49880
1774626249826125,49930
1774626249869307,49780
1774626249912535,49900
1774626249955707,49840
1774626249998345,49830
1774626250041515,49810
1774626250084417,49820
1774626250127503,49830
1774626250170082,49800
1774626250216983,49690
1774626250260025,49840
