unix_timestamp,active_power (mW)
1774627553676643,49400
1774627553718852,49320
1774627553761197,49410
1774627553804220,49410
1774627553846944,49390
1774627553890079,49320
1774627553933181,49390
1774627553976140,49330
1774627554018960,49410
1774627554061408,49370
1774627554104456,49360
1774627554147480,49260
1774627554189879,49340
1774627554234691,49330
1774627554277691,49370
1774627554320855,49440
1774627554364039,49440
1774627554406915,49350
1774627554450042,49330
1774627554492981,49370
1774627554536143,49530
1774627554579321,49390
1774627554622421,49410
1774627554665404,49280
1774627554708554,49460
1774627554754445,49310
1774627554797533,49260
1774627554840628,49280
1774627554883460,49340
1774627554926472,49280
1774627554969275,49320
1774627555012537,49370
1774627555055386,49320
1774627555097763,49480
1774627555140924,49320
1774627555183746,49350
1774627555227010,49470
1774627555273880,49340
1774627555316948,49250
1774627555360017,49340
1774627555402821,49310
1774627555445842,49480
1774627555488278,49430
1774627555531741,49350
1774627555575041,49400
1774627555617756,49360
1774627555660960,49320
1774627555704026,49480
1774627555746980,49330
1774627555793632,49350
1774627555836651,49370
1774627555880010,49190
1774627555923085,49330
1774627555966294,49340
1774627556009361,49320
1774627556052512,49380
1774627556095455,49360
1774627556138572,49370
1774627556181779,49410
1774627556224938,49330
1774627556268089,49260
1774627556313085,49310
1774627556356276,49350
1774627556399370,49530
1774627556442300,49350
1774627556485327,49220
1774627556528414,49390
1774627556571455,49330
1774627556614558,49330
1774627556657769,49340
1774627556700931,49390
1774627556744075,49380
1774627556787013,49370
1774627556832765,49360
1774627556875781,49370
1774627556918658,49400
1774627556961907,49430
1774627557005156,49410
1774627557048299,49460
1774627557091360,49400
1774627557134069,49400
1774627557177283,49310
1774627557220418,49370
1774627557263705,49400
1774627557306635,49290
1774627557352687,49230
1774627557395840,49280
1774627557438946,49350
1774627557482157,49300
1774627557525160,49200
1774627557568133,49240
1774627557611313,49130
1774627557654204,49290
1774627557697410,49220
1774627557740569,49270
1774627557783520,49280
1774627557826508,49190
1774627557872328,49200
1774627557915112,49250
1774627557958360,49280
1774627558001566,49270
1774627558044782,49270
1774627558087825,49270
1774627558131031,49360
1774627558173577,49340
1774627558216733,49320
1774627558259165,49320
1774627558302078,49250
1774627558345228,49230
1774627558392044,49250
1774627558435232,49360
1774627558477591,49340
1774627558520549,49330
1774627558563671,49410
1774627558606243,49390
1774627558649462,48920
1774627558692567,49490
1774627558735638,49280
1774627558778170,49330
1774627558821241,49360
1774627558864411,49320
1774627558907232,49350
1774627558951922,49360
1774627558995051,49400
1774627559038142,49340
1774627559080534,49350
1774627559123660,49370
1774627559166907,49380
1774627559210112,49370
1774627559253456,49360
1774627559296625,49320
1774627559339659,49330
1774627559382278,49320
1774627559425288,49340
1774627559471688,49430
1774627559514779,49250
1774627559557617,49280
1774627559600817,49350
1774627559643721,49370
1774627559686292,49360
1774627559729367,49350
1774627559772447,49290
1774627559815478,49270
1774627559858472,49350
1774627559901422,49300
1774627559944328,49270
1774627559991438,49320
1774627560034218,49330
1774627560077408,49420
1774627560120401,49360
1774627560163351,49310
1774627560205998,49350
1774627560249152,49360
1774627560291826,49270
1774627560334923,49370
1774627560378059,49230
1774627560421317,49200
1774627560464417,49300
1774627560511275,49380
1774627560554422,49440
1774627560597431,49380
1774627560640399,49250
1774627560683562,49330
1774627560726116,49460
1774627560769248,49320
1774627560812287,49370
1774627560855366,49290
1774627560898046,49240
1774627560941108,49290
1774627560984173,49320
1774627561027124,49370
1774627561071098,49260
1774627561113761,49370
1774627561156955,49370
1774627561200134,49320
1774627561243155,49340
1774627561286310,49380
1774627561329366,49370
1774627561372295,49370
1774627561415319,49370
1774627561458373,49350
1774627561501154,49310
1774627561544097,49340
1774627561590928,49320
1774627561634016,49330
1774627561677037,49400
1774627561720007,49290
1774627561762953,49310
1774627561806119,49390
1774627561849377,49390
1774627561892393,49330
1774627561935290,49320
1774627561978305,49370
1774627562021395,49320
1774627562064462,49280
1774627562110747,49350
1774627562153678,49400
1774627562196785,49370
1774627562239925,49340
1774627562283087,49350
1774627562326082,49280
1774627562369204,49340
1774627562412161,49260
1774627562455232,49300
1774627562498432,49300
1774627562541644,49400
1774627562584856,49290
1774627562630700,49000
1774627562673788,49310
1774627562716761,49280
1774627562759752,49320
1774627562802561,49310
1774627562845569,49310
1774627562888793,49330
1774627562931776,49200
1774627562974313,49290
1774627563017492,49300
1774627563060424,49320
1774627563103541,49360
1774627563150407,49260
1774627563193577,49360
1774627563236046,49310
1774627563278588,49350
1774627563321693,49350
1774627563364696,49370
1774627563407750,49310
1774627563450705,49290
1774627563493653,49350
1774627563536797,49340
1774627563579832,49380
1774627563622356,49390
1774627563665575,49430
1774627563710394,49380
1774627563753765,49390
1774627563796916,49390
1774627563840126,49300
1774627563883182,49480
1774627563925906,49340
1774627563969118,49360
1774627564012231,49440
1774627564055101,49370
1774627564097865,49490
1774627564141062,49460
1774627564184359,49360
1774627564230203,49390
1774627564273320,49410
1774627564316522,49380
1774627564359791,49370
1774627564402835,49290
1774627564445989,49270
1774627564489096,49370
1774627564532057,49530
1774627564575254,49360
1774627564618400,49430
1774627564661386,49400
1774627564704447,49390
1774627564750009,49390
1774627564793149,49300
1774627564836302,49390
1774627564879448,49360
1774627564921969,49340
1774627564965033,49300
1774627565008052,49380
1774627565050875,49340
1774627565093690,49400
1774627565136865,49410
1774627565179992,49400
1774627565222987,49450
1774627565269744,49360
1774627565312865,49280
1774627565356020,49300
1774627565398591,49260
1774627565441492,49250
1774627565484375,49260
1774627565527410,49330
1774627565570453,49330
1774627565613549,49310
1774627565656537,49340
1774627565699587,49330
1774627565742503,49400
1774627565785774,49320
1774627565829729,49360
1774627565872895,49390
1774627565915946,49340
1774627565958419,49340
1774627566001451,49360
1774627566044346,49400
1774627566087436,49330
1774627566130287,49310
1774627566173208,49280
1774627566216450,49220
1774627566259457,49250
1774627566302440,49310
1774627566345570,49320
1774627566389672,49380
1774627566432816,49350
1774627566475958,49350
1774627566518651,49380
1774627566561569,49480
1774627566604659,49350
1774627566647558,49100
1774627566690652,49420
1774627566733722,49420
1774627566776846,49430
1774627566819755,49460
1774627566862646,49440
1774627566909658,49450
1774627566952777,49440
1774627566995773,49420
1774627567038806,49410
