unix_timestamp,active_power (mW)
1774610888077035,43910
1774610888119388,43920
1774610888161699,43950
1774610888204892,43960
1774610888248137,43940
1774610888291098,43930
1774610888333688,43840
1774610888376801,43930
1774610888419976,43910
1774610888463064,43920
1774610888507369,43950
1774610888550422,44020
1774610888593422,44010
1774610888636470,44000
1774610888679429,44040
1774610888722399,44020
1774610888765623,43940
1774610888808728,44080
1774610888851953,44020
1774610888895162,43960
1774610888937978,43910
1774610888981253,44000
1774610889027383,44090
1774610889070447,43990
1774610889113593,43940
1774610889156597,43930
1774610889199795,43870
1774610889242786,43860
1774610889285077,43850
1774610889328135,43920
1774610889371239,43820
1774610889414319,43830
1774610889457326,43910
1774610889500262,43820
1774610889543042,43830
1774610889587383,43720
1774610889629800,43800
1774610889673045,43740
1774610889716269,43860
1774610889759434,43880
1774610889802531,43940
1774610889845635,43910
1774610889888428,43910
1774610889931581,43900
1774610889974581,43990
1774610890017723,43980
1774610890060697,43900
1774610890107415,43940
1774610890150275,43850
1774610890193412,43870
1774610890236392,43820
1774610890279253,43740
1774610890322343,43810
1774610890365339,43770
1774610890408246,43760
1774610890451118,43740
1774610890493761,43790
1774610890536816,43780
1774610890579258,43850
1774610890622396,43860
1774610890667591,43900
1774610890710450,43810
1774610890753598,43860
1774610890796710,43920
1774610890839759,43960
1774610890882712,43920
1774610890925821,43880
1774610890968977,43930
1774610891012160,43900
1774610891055276,43910
1774610891097609,43970
1774610891140646,43800
1774610891187694,43800
1774610891230848,43760
1774610891274073,43850
1774610891317247,43770
1774610891360248,43750
1774610891403317,43850
1774610891445876,43710
1774610891488750,43760
1774610891531721,43780
1774610891574763,43820
1774610891617682,43770
1774610891660928,43780
1774610891707788,43780
1774610891750675,43810
1774610891793796,43790
1774610891836914,43780
1774610891879898,43830
1774610891923084,43810
1774610891966309,43760
1774610892009377,43830
1774610892052454,43840
1774610892095586,43870
1774610892138691,44000
1774610892181709,43920
1774610892227871,43850
1774610892270962,43860
1774610892314111,43920
1774610892357187,43880
1774610892400269,43880
1774610892443472,43890
1774610892486623,43960
1774610892529732,44000
1774610892572784,43900
1774610892616014,44030
1774610892659097,43870
1774610892701733,43950
1774610892747919,43940
1774610892790613,43920
1774610892833795,43990
1774610892876832,43950
1774610892919848,43870
1774610892962855,43890
1774610893005997,43860
1774610893049180,43910
1774610893092177,43880
1774610893135152,43970
1774610893178249,43840
1774610893221370,43870
1774610893267885,43900
1774610893310985,43850
1774610893354069,43860
1774610893397120,43890
1774610893439900,43820
1774610893482341,43820
1774610893525314,43870
1774610893568407,43810
1774610893611398,43850
1774610893653845,43830
1774610893697088,43880
1774610893740181,43820
1774610893783061,43810
1774610893827881,43820
1774610893871051,43890
1774610893914000,43850
1774610893957131,43840
1774610894000063,43820
1774610894043143,43890
1774610894085426,43860
1774610894128380,43800
1774610894171028,44000
1774610894214165,43840
1774610894257257,43880
1774610894300200,43970
1774610894343237,43890
1774610894387967,43910
1774610894431073,43910
1774610894474241,43930
1774610894517425,43900
1774610894560345,43910
1774610894603012,43920
1774610894645742,43940
1774610894688601,43920
1774610894731805,43880
1774610894774598,43940
1774610894817617,43930
1774610894860764,43990
1774610894903910,44020
1774610894948006,43970
1774610894990843,44040
1774610895033845,44000
1774610895076404,43960
1774610895119337,43970
1774610895162388,43940
1774610895205380,44110
1774610895248626,44010
1774610895291474,43940
1774610895334224,43980
1774610895377471,43970
1774610895420583,44000
1774610895463620,43910
1774610895507910,43910
1774610895550998,43940
1774610895593878,43970
1774610895636989,43920
1774610895680000,43920
1774610895723190,43940
1774610895766443,43880
1774610895809618,43950
1774610895852816,43920
1774610895895309,44000
1774610895938366,43930
1774610895981382,43970
1774610896027981,43960
1774610896071060,43960
1774610896114194,43930
1774610896157309,43920
1774610896200323,44080
1774610896243413,43900
1774610896286504,43980
1774610896329582,43920
1774610896372729,43980
1774610896415715,43930
1774610896458576,44000
1774610896501434,43980
1774610896547874,43990
1774610896590957,43970
1774610896634202,44080
1774610896677465,43960
1774610896720340,43990
1774610896763437,43920
1774610896806385,43920
1774610896849646,43840
1774610896892812,43930
1774610896935750,43870
1774610896978818,43900
1774610897022010,43820
1774610897067909,43820
1774610897110593,43830
1774610897153718,43780
1774610897196716,43830
1774610897239872,43830
1774610897282880,43750
1774610897325839,43760
1774610897368840,43830
1774610897411971,43790
1774610897455237,43820
1774610897498474,43830
1774610897541610,43840
1774610897587772,43790
1774610897630571,43870
1774610897673800,43860
1774610897716945,43860
1774610897759893,43870
1774610897802904,43810
1774610897845896,43870
1774610897889031,43920
1774610897932042,43910
1774610897975125,43830
1774610898018112,43990
1774610898061138,43940
1774610898107722,43930
1774610898150595,43840
1774610898193772,43880
1774610898236788,44010
1774610898279805,43900
1774610898322668,43860
1774610898365891,43880
1774610898409109,43850
1774610898452329,43800
1774610898495534,43900
1774610898538258,43870
1774610898581318,43760
1774610898627708,43840
1774610898670415,43900
1774610898713392,43800
1774610898756482,43800
1774610898799447,43780
1774610898841857,43820
1774610898884814,43800
1774610898927851,43850
1774610898970847,43860
1774610899013970,43830
1774610899056881,43880
1774610899099716,43900
1774610899142918,43970
1774610899187711,43950
1774610899230838,43960
1774610899273991,44080
1774610899316965,43960
1774610899360005,44050
1774610899403002,44010
1774610899446185,44110
1774610899489256,43960
1774610899532401,44030
1774610899575146,43980
1774610899617632,44130
1774610899660719,44030
1774610899707662,44030
1774610899750744,44060
1774610899793756,44010
1774610899836825,44010
1774610899880050,44040
1774610899923190,43930
1774610899966185,43940
1774610900009309,43900
1774610900052283,43930
1774610900095299,43940
1774610900138276,44010
1774610900181454,43990
1774610900227660,43960
1774610900270638,43960
1774610900313668,44130
1774610900356726,44050
1774610900399695,44020
1774610900442819,44100
1774610900486000,44010
1774610900529132,43940
1774610900572115,43980
1774610900615186,44000
1774610900658179,43930
1774610900701296,43970
1774610900747422,43890
1774610900789785,43870
1774610900833051,43880
1774610900876248,43950
1774610900919123,43970
1774610900962316,44000
1774610901005392,43990
1774610901048368,43940
1774610901091552,43980
1774610901134391,43880
1774610901177438,43730
1774610901220387,43720
1774610901267225,43760
1774610901310308,43970
1774610901353322,43740
1774610901396251,43780
1774610901439404,43840
1774610901482474,43800
1774610901525389,43800
1774610901568255,43850
1774610901611342,43960
1774610901653882,43960
1774610901697005,43990
1774610901740360,43930
1774610901787244,43900
1774610901829609,43980
1774610901872764,43970
1774610901915782,44030
1774610901959040,44000
1774610902002109,43980
1774610902045320,43990
1774610902088542,44080
1774610902131736,43990
1774610902174966,43970
1774610902218114,44020
1774610902261073,44000
1774610902307241,43940
1774610902350303,44120
1774610902393360,44020
1774610902435645,44000
1774610902478602,43980
1774610902521712,44030
1774610902564973,43980
1774610902607604,43970
1774610902650692,43940
1774610902693824,43920
1774610902736795,43900
1774610902779895,43990
1774610902822875,43930
1774610902867253,43940
1774610902910259,43930
1774610902953313,43940
1774610902996360,43930
1774610903039379,43930
1774610903082431,43980
