unix_timestamp,active_power (mW)
1774611037230882,45730
1774611037274740,36960
1774611037317633,46800
1774611037360696,46040
1774611037403826,46110
1774611037446999,46190
1774611037489869,46160
1774611037532812,46160
1774611037575903,46150
1774611037618854,46030
1774611037661601,46050
1774611037704636,46040
1774611037749066,46070
1774611037792248,46130
1774611037834677,46160
1774611037877718,46120
1774611037920793,46160
1774611037963841,46140
1774611038006878,46130
1774611038049869,46070
1774611038092968,46070
1774611038135744,46140
1774611038178805,46070
1774611038221828,46100
1774611038264850,46090
1774611038309356,46150
1774611038352430,46160
1774611038395662,46200
1774611038438461,46060
1774611038481496,46070
1774611038524598,46110
1774611038567764,46080
1774611038610671,46060
1774611038653934,46080
1774611038697171,46050
1774611038740446,46020
1774611038783537,46140
1774611038829365,46130
1774611038872557,46070
1774611038915545,46090
1774611038958203,45950
1774611039001218,45930
1774611039044401,45940
1774611039087677,45900
1774611039130907,46080
1774611039174020,46100
1774611039216998,46120
1774611039259864,46070
1774611039302519,46010
1774611039349736,46030
1774611039392375,46100
1774611039434928,46150
1774611039477840,46130
1774611039520849,46130
1774611039563925,46250
1774611039606601,45990
1774611039649734,46110
1774611039692966,46030
1774611039735878,46010
1774611039778973,46080
1774611039821898,46120
1774611039864599,46080
1774611039909986,46090
1774611039953112,46030
1774611039996260,46020
1774611040039316,46030
1774611040081713,46020
1774611040125067,46080
1774611040168240,46030
1774611040211376,46150
1774611040254394,46130
1774611040297583,46070
1774611040340700,46050
1774611040383336,45930
1774611040430224,46000
1774611040473378,45960
1774611040516511,46120
1774611040559558,46150
1774611040602286,46220
1774611040645299,46050
1774611040688445,46110
1774611040731609,45930
1774611040774818,46000
1774611040817821,45980
1774611040860916,46000
1774611040903973,46000
1774611040950467,46130
1774611040993589,46080
1774611041036712,46090
1774611041079615,46020
1774611041122595,45940
1774611041165779,45890
1774611041208746,45950
1774611041251926,45970
1774611041295064,46020
1774611041338071,46120
1774611041380955,46040
1774611041423765,46000
1774611041470660,45920
1774611041513850,45920
1774611041556986,45890
1774611041600063,46060
1774611041643213,46050
1774611041685722,46070
1774611041729201,46090
1774611041772296,45970
1774611041815169,45930
1774611041858319,45960
1774611041901513,46000
1774611041944519,46040
1774611041990947,46070
1774611042033262,46010
1774611042076177,46030
1774611042119261,45950
1774611042161725,45880
1774611042204915,45930
1774611042247875,46030
1774611042290674,46050
1774611042333636,46070
1774611042376688,46020
1774611042419857,45980
1774611042462835,45980
1774611042505937,45930
1774611042551294,45920
1774611042594387,46010
1774611042637191,46210
1774611042680113,46090
1774611042722990,46100
1774611042765585,46040
1774611042808602,45940
1774611042851431,45940
1774611042894468,45900
1774611042937516,46000
1774611042980702,46000
1774611043023876,46120
1774611043066994,46090
1774611043111513,46040
1774611043154612,45980
1774611043197640,46010
1774611043240672,45990
1774611043283559,46040
1774611043326506,46090
1774611043369779,46230
1774611043412971,46100
1774611043455890,46200
1774611043499113,46170
1774611043541719,46080
1774611043584915,46100
1774611043631842,46130
1774611043674502,46180
1774611043717560,46110
1774611043760795,46140
1774611043803947,46150
1774611043846645,46170
1774611043889781,46130
1774611043932917,46120
1774611043975834,46070
1774611044018828,46080
1774611044061444,46090
1774611044104476,46060
1774611044147563,46160
1774611044192002,46100
1774611044234879,46130
1774611044277684,46140
1774611044320716,46090
1774611044363864,46070
1774611044406837,46090
1774611044449210,46080
1774611044492202,46140
1774611044535033,46240
1774611044577838,46150
1774611044620943,46170
1774611044663844,46210
1774611044706459,46250
1774611044752336,46090
1774611044795197,46080
