unix_timestamp,active_power (mW)
1774613752953182,45420
1774613752995799,41610
1774613753038090,41990
1774613753081043,45450
1774613753126548,45520
1774613753169652,45630
1774613753212712,45410
1774613753255727,45460
1774613753298722,45450
1774613753341650,45520
1774613753384760,45470
1774613753427712,45520
1774613753470979,45510
1774613753513674,45460
1774613753556433,45400
1774613753599377,45550
1774613753641863,45520
1774613753686318,45530
1774613753729410,45550
1774613753772527,45570
1774613753815770,45580
1774613753859006,45530
1774613753902204,45510
1774613753945369,45450
1774613753988498,45540
1774613754031797,45530
1774613754074971,45450
1774613754117733,45630
1774613754160092,45480
1774613754205868,45570
1774613754248650,45460
1774613754291639,45540
1774613754334743,45480
1774613754377950,45550
1774613754421155,45520
1774613754464280,45460
1774613754507489,45550
1774613754550045,45450
1774613754593134,45530
1774613754636202,45520
1774613754679107,45490
1774613754725677,45540
1774613754768752,45540
1774613754811940,45550
1774613754854632,45460
1774613754897551,45470
1774613754940587,45520
1774613754983591,45450
1774613755026657,45490
1774613755069556,45520
1774613755112671,45520
1774613755155782,45480
1774613755198907,45550
1774613755245401,45500
1774613755288498,45540
1774613755331561,45540
1774613755374671,45490
1774613755417873,45380
1774613755460887,45410
1774613755504005,45480
1774613755546778,45490
1774613755589580,45470
1774613755632591,45460
1774613755675669,45440
1774613755718831,45490
1774613755764985,45430
1774613755808027,45480
1774613755850959,45510
1774613755893751,45500
1774613755936734,45480
1774613755979556,45480
1774613756021918,45540
1774613756064881,45460
1774613756107865,45440
1774613756150848,45530
1774613756193834,45450
1774613756236805,45470
1774613756279893,45550
1774613756324588,45390
1774613756367715,45460
1774613756410806,45470
1774613756453869,45470
1774613756496860,45480
1774613756539784,45380
1774613756582598,45480
1774613756625718,45510
1774613756668638,45520
1774613756711564,45540
1774613756754355,45480
1774613756797404,45420
1774613756844334,45470
1774613756887296,45440
1774613756930375,45540
1774613756973453,45500
1774613757016192,45410
1774613757059352,45460
1774613757102593,45410
1774613757145797,45480
1774613757188851,45510
1774613757231825,45450
1774613757274881,45620
1774613757317754,45400
1774613757364077,45510
1774613757407148,45560
1774613757450173,45520
1774613757493087,45580
1774613757535958,45550
1774613757578520,45580
1774613757621625,45490
1774613757664734,45470
1774613757707684,45480
1774613757750683,45520
1774613757793729,45520
1774613757836820,45520
1774613757879666,45410
1774613757923748,45490
1774613757966754,45550
1774613758009840,45560
1774613758052687,45490
1774613758095916,45440
1774613758138939,45390
1774613758181989,45420
1774613758225074,45510
1774613758268101,45530
1774613758311278,45630
1774613758354009,45520
1774613758397218,45490
1774613758443422,45380
1774613758485903,45500
1774613758528859,45500
1774613758571851,45570
1774613758614578,45480
1774613758657780,45470
1774613758700846,45410
1774613758743911,45520
1774613758786998,45450
1774613758830212,45520
1774613758873370,45500
1774613758916614,45450
1774613758962968,45430
1774613759006095,45510
1774613759049324,45500
1774613759092570,45490
1774613759135520,45500
1774613759178672,45490
1774613759221828,45500
1774613759265059,45580
1774613759308152,45620
1774613759351120,45560
1774613759394320,45510
1774613759437395,45560
1774613759483016,45470
1774613759526110,45470
1774613759569151,45490
1774613759612312,45510
1774613759655218,45510
1774613759698348,45510
1774613759741403,45490
1774613759784464,45570
1774613759827663,45510
1774613759870458,45520
1774613759913651,45520
1774613759956776,45490
1774613760002473,45470
1774613760045701,45490
1774613760088884,45490
1774613760131905,45490
1774613760174871,45520
1774613760218072,45480
1774613760261213,45310
1774613760304393,45490
1774613760347599,45560
1774613760390350,45500
1774613760433398,45580
1774613760476564,45520
1774613760522374,45580
1774613760565472,45530
1774613760608631,45600
1774613760651842,45520
1774613760694429,45580
1774613760737583,45570
1774613760780681,45560
1774613760823975,45510
1774613760867107,45550
1774613760909787,45620
1774613760952857,45570
1774613760995768,45560
1774613761042288,45510
1774613761085373,45580
1774613761128664,45520
1774613761171782,45480
1774613761214828,45450
1774613761257698,45460
1774613761300742,45500
1774613761343763,45520
1774613761386516,45620
1774613761429801,45460
1774613761472895,45490
1774613761515735,45510
1774613761561931,45500
1774613761604696,45520
1774613761647789,45460
1774613761690380,45490
1774613761733515,45470
1774613761776699,45410
1774613761819648,45430
1774613761862788,45320
1774613761905850,45510
1774613761948822,45510
1774613761991751,45490
1774613762034852,45550
1774613762081670,45470
1774613762124230,45580
1774613762166935,45590
