unix_timestamp,active_power (mW)
1774615368170465,45810
1774615368212710,38000
1774615368255487,46480
1774615368298233,45990
1774615368341307,45990
1774615368383836,46020
1774615368426919,46030
1774615368470097,46050
1774615368513281,46000
1774615368556312,46000
1774615368599078,46050
1774615368642316,45960
1774615368688800,45980
1774615368731730,45990
1774615368774381,46070
1774615368817411,45970
1774615368860282,45910
1774615368902887,45930
1774615368946018,45970
1774615368989245,45950
1774615369032222,46020
1774615369075295,46070
1774615369117685,46010
1774615369160812,45990
1774615369204025,46100
1774615369249203,46020
1774615369292408,46010
1774615369335522,45990
1774615369377998,45990
1774615369420963,45930
1774615369464079,46010
1774615369507217,45890
1774615369549542,45910
1774615369592682,45890
1774615369635825,45950
1774615369678771,45880
1774615369721684,45900
1774615369764874,45950
1774615369809250,45870
1774615369852432,45900
1774615369895517,46020
1774615369938346,45910
1774615369980924,45980
1774615370024007,45990
1774615370066974,46190
1774615370110010,45970
1774615370152972,46010
1774615370196134,45990
1774615370238702,45970
1774615370281755,45970
1774615370324904,46030
1774615370369309,46060
1774615370412339,46050
1774615370455375,46020
1774615370498374,46000
1774615370541412,45960
1774615370583847,46000
1774615370626926,46030
1774615370669955,46010
1774615370712933,46050
1774615370756072,46040
1774615370799060,45980
1774615370841674,46120
1774615370884806,46110
1774615370929581,46030
1774615370972647,45940
1774615371015857,45990
1774615371058903,45920
1774615371102051,46070
1774615371145100,45940
1774615371188183,45990
1774615371231274,46000
1774615371274238,45970
1774615371317231,45910
1774615371360261,46000
1774615371403255,45990
1774615371449673,45950
1774615371492880,46000
1774615371536102,46000
1774615371578675,46010
1774615371621783,45930
1774615371664987,45910
1774615371707961,45960
1774615371751192,45970
1774615371793719,46040
1774615371836834,45940
1774615371879879,46020
1774615371922960,46020
1774615371969895,45980
1774615372013045,45970
1774615372056312,45960
1774615372099488,46070
1774615372142696,45980
1774615372185697,46030
1774615372228827,45950
1774615372271881,46030
1774615372314941,45940
1774615372358157,45950
1774615372400662,45900
1774615372443851,45940
1774615372490088,45950
