unix_timestamp,active_power (mW)
1774615915261127,45330
1774615915303532,41530
1774615915346203,42470
1774615915391568,45490
1774615915434716,45410
1774615915477842,45510
1774615915521093,45490
1774615915564230,45410
1774615915606671,45330
1774615915649653,45400
1774615915692758,45340
1774615915735623,45380
1774615915778690,45440
1774615915821796,45390
1774615915864745,45610
1774615915911410,45540
1774615915954451,45410
1774615915997704,45410
1774615916040813,45380
1774615916083854,45420
1774615916126881,45280
1774615916169683,45440
1774615916212667,45440
1774615916255806,45480
1774615916298951,45430
1774615916341733,45500
1774615916384927,45500
1774615916431152,45430
1774615916473575,45390
1774615916516765,45400
1774615916559835,45480
1774615916602501,45500
1774615916645613,45480
1774615916688634,45410
1774615916731544,45520
1774615916774460,45370
1774615916817393,45390
1774615916860543,45400
1774615916903759,45550
1774615916946482,45470
1774615916990887,45490
1774615917033928,45350
1774615917076912,45430
1774615917119860,45420
1774615917162602,45420
1774615917205614,45460
1774615917248762,45420
1774615917291862,45430
1774615917334665,45430
1774615917377686,45340
1774615917420839,45360
1774615917463891,45340
1774615917510583,45370
1774615917553697,45460
1774615917596809,45410
1774615917639812,45430
1774615917682503,45400
1774615917725690,45320
1774615917768908,45450
1774615917812171,45480
1774615917855373,45450
1774615917898552,45460
1774615917941769,45620
1774615917984906,45500
1774615918030331,45380
1774615918073339,45450
1774615918116371,45470
1774615918159369,45450
1774615918202642,45450
1774615918245783,45510
1774615918288988,45380
1774615918332184,45400
1774615918375354,45460
1774615918418517,45550
1774615918461758,45500
1774615918504843,45480
1774615918549975,45410
1774615918593136,45440
1774615918636061,45460
1774615918678732,45520
1774615918721255,45530
1774615918764234,45420
1774615918807038,45460
1774615918850186,45470
1774615918893284,45420
1774615918936236,45590
1774615918979257,45440
1774615919022540,45560
1774615919065652,45530
1774615919109788,45420
1774615919152791,45390
1774615919195935,45460
1774615919238612,45420
1774615919281686,45440
1774615919324866,45500
1774615919367913,45450
1774615919410779,45390
1774615919453856,45410
1774615919496601,45500
1774615919539662,45500
1774615919582579,45520
1774615919629374,45400
1774615919672521,45470
1774615919715369,45430
1774615919758550,45490
1774615919801739,45540
1774615919844934,45470
1774615919888101,45500
1774615919930869,45490
1774615919973736,45560
1774615920016523,45470
1774615920059423,45500
1774615920102492,45530
1774615920149055,45470
1774615920192261,45400
1774615920234997,45500
1774615920277804,45490
1774615920320778,45420
1774615920363848,45450
1774615920407060,45430
1774615920449937,45420
1774615920493078,45430
1774615920535802,45450
1774615920578759,45420
1774615920621878,45490
1774615920664420,45390
1774615920708783,45420
1774615920751875,45470
1774615920794994,45370
1774615920837868,45480
1774615920880998,45430
1774615920924176,45470
1774615920967231,45450
1774615921010206,45560
1774615921053406,45450
1774615921096620,45530
1774615921139704,45490
1774615921182699,45430
1774615921228379,45420
1774615921271201,45490
1774615921314358,45490
1774615921357488,45470
1774615921400665,45460
1774615921443779,45450
1774615921486643,45390
1774615921529569,45380
1774615921572538,45510
1774615921615532,45510
1774615921658673,45440
1774615921701805,45390
1774615921747990,45430
1774615921791213,45500
1774615921834353,45440
1774615921877077,45470
1774615921919919,45430
1774615921962509,45410
1774615922005176,45570
1774615922048386,45440
1774615922091343,45460
1774615922134513,45450
1774615922177648,45370
1774615922220868,45410
1774615922267665,45480
1774615922310714,45490
1774615922353852,45460
1774615922396837,45390
1774615922439894,45430
1774615922482492,45500
1774615922525593,45500
1774615922568839,45520
1774615922611865,45430
1774615922654887,45390
1774615922697975,45380
1774615922741135,45500
1774615922787370,45430
1774615922830438,45460
1774615922873636,45390
1774615922916848,45480
1774615922960017,45400
1774615923002763,45480
1774615923045869,45670
1774615923088613,45510
1774615923131675,45450
1774615923174838,45470
1774615923218020,45480
1774615923260900,45460
1774615923307097,45380
1774615923350109,45540
1774615923393069,45460
1774615923436118,45400
1774615923479228,45430
1774615923522277,45510
1774615923565385,45460
1774615923608118,45500
1774615923650619,45460
1774615923693480,45480
1774615923736584,45450
1774615923779580,45380
1774615923826716,45480
1774615923869806,45430
1774615923912950,45400
1774615923955985,45470
1774615923998916,45460
1774615924042014,45500
1774615924085030,45480
1774615924127877,45470
1774615924171040,45420
1774615924214237,45480
1774615924257332,45440
1774615924300333,45490
1774615924346484,45420
1774615924389561,45440
1774615924432684,45400
1774615924475629,45450
1774615924518566,45490
1774615924561560,45470
1774615924604596,45460
1774615924647760,45390
1774615924690704,45390
1774615924733878,45380
1774615924776865,45440
1774615924819866,45430
1774615924866099,45390
1774615924909277,45370
1774615924952309,45440
1774615924995206,45520
1774615925038293,45420
1774615925080873,45610
1774615925124015,45510
1774615925167063,45380
1774615925210079,45410
1774615925253089,45480
1774615925296078,45450
1774615925339091,45470
1774615925385746,45450
1774615925428776,45410
1774615925471222,45400
1774615925514252,45530
1774615925557258,45440
1774615925600248,45520
1774615925643052,45400
1774615925685676,45450
1774615925728693,45520
1774615925771802,45370
1774615925814926,45470
1774615925858089,45520
1774615925901020,45440
1774615925945378,45420
1774615925988491,45390
1774615926031532,45490
1774615926073799,45430
1774615926116813,45530
1774615926159555,45380
1774615926202557,45490
1774615926245791,45450
1774615926289010,45410
1774615926332048,45500
1774615926375155,45430
1774615926418222,45550
1774615926464947,45440
1774615926507997,45420
1774615926550618,45480
1774615926593419,45400
1774615926636617,45510
1774615926679797,45500
1774615926722366,45480
1774615926765491,45470
1774615926808662,45470
1774615926851771,45400
1774615926894798,45420
1774615926937832,45500
1774615926980714,45410
1774615927024786,45470
1774615927067967,45400
1774615927110910,45620
1774615927153901,45430
1774615927196955,45460
1774615927239856,45530
1774615927282962,45430
1774615927325914,45410
1774615927368774,45450
1774615927411920,45440
1774615927455034,45460
1774615927497972,45560
1774615927544379,45520
1774615927587474,45380
1774615927630334,45440
1774615927673470,45430
1774615927716650,45470
1774615927759750,45410
1774615927802528,45470
1774615927845659,45560
1774615927888700,45440
1774615927931666,45420
1774615927974775,45440
1774615928017647,45480
1774615928064158,45450
1774615928106854,45430
1774615928149582,45590
1774615928192519,45550
1774615928235594,45450
1774615928278559,45460
1774615928321880,45500
1774615928364936,45540
1774615928407972,45450
1774615928450995,45460
1774615928494153,45490
1774615928537324,45420
