unix_timestamp,active_power (mW)
1774603432524680,46610
1774603432570743,42980
1774603432613069,46560
1774603432656071,46630
1774603432699139,46590
1774603432742284,46620
1774603432785382,46520
1774603432828570,46640
1774603432871736,46580
1774603432914848,46610
1774603432957892,46670
1774603433000934,46640
1774603433044073,46560
1774603433090706,46510
1774603433133179,46570
1774603433176263,46570
1774603433219413,46540
1774603433262304,46550
1774603433305207,46650
1774603433348391,46620
1774603433391457,46630
1774603433434212,46680
1774603433477350,46590
1774603433520516,46690
1774603433562999,46680
1774603433606050,46580
1774603433650654,46690
1774603433693844,46620
1774603433736576,46600
1774603433779795,46700
1774603433822708,46610
1774603433865885,46620
1774603433909391,46580
1774603433952399,46600
1774603433995418,46560
1774603434038478,46570
1774603434081697,46570
1774603434124820,46560
1774603434170722,46610
1774603434213870,46590
1774603434256357,46510
1774603434299429,46650
1774603434341682,46600
1774603434384860,46570
1774603434427881,46620
1774603434470861,46620
1774603434513856,46570
1774603434557008,46610
1774603434600239,46530
1774603434643307,46570
1774603434686353,46570
1774603434730667,46490
1774603434773823,46550
1774603434816948,46480
1774603434859918,46460
1774603434903021,46530
1774603434945635,46510
1774603434988722,46460
1774603435032014,46500
1774603435074878,46470
1774603435117990,46480
1774603435161000,46560
1774603435204100,46560
1774603435250566,46550
1774603435293648,46570
1774603435336844,46620
1774603435379267,46640
1774603435422115,46570
1774603435465172,46640
1774603435508282,46570
1774603435551108,46610
1774603435594282,46560
1774603435637303,46630
1774603435680366,46680
1774603435723372,46550
1774603435766493,46550
1774603435810538,46580
1774603435853648,46490
1774603435896887,46610
1774603435940160,46560
1774603435983316,46480
1774603436026459,46560
1774603436069572,46530
1774603436112567,46470
1774603436155460,46490
1774603436198664,46540
1774603436241837,46510
1774603436284932,46530
1774603436330484,46530
1774603436373645,46490
1774603436416712,46570
1774603436459620,46530
1774603436502713,46520
1774603436545683,46490
1774603436588898,46590
1774603436632021,46580
1774603436675292,46650
1774603436717789,46570
1774603436760900,46630
1774603436803908,46640
1774603436850470,46620
1774603436893397,46640
1774603436936439,46610
1774603436979584,46620
1774603437022792,46540
1774603437065783,46560
1774603437108881,46600
1774603437151958,46590
1774603437194114,46620
1774603437237110,46490
1774603437280223,46530
1774603437323142,46560
1774603437370314,46480
1774603437413451,46470
1774603437456439,46490
1774603437499191,46520
1774603437541673,46570
1774603437584678,46490
1774603437627430,46510
