unix_timestamp,active_power (mW)
1774604643618740,45460
1774604643662749,43200
1774604643705759,45410
1774604643752245,45510
1774604643795341,45490
1774604643838437,45530
1774604643881280,45530
1774604643924163,45460
1774604643966900,45640
1774604644010105,45540
1774604644053223,45450
1774604644096305,45570
1774604644139320,45460
1774604644181773,45520
1774604644224764,45480
1774604644267795,45470
1774604644311881,45480
1774604644354985,45510
1774604644398072,45500
1774604644441270,45510
1774604644484335,45500
1774604644527547,45440
1774604644570465,45460
1774604644613608,45520
1774604644656704,45460
1774604644699915,45420
1774604644742424,45450
1774604644785454,45440
1774604644831398,45460
1774604644873750,45420
1774604644917014,45390
1774604644959750,45450
1774604645002813,45480
1774604645045780,45380
1774604645088975,45500
1774604645132180,45490
1774604645174979,45340
1774604645217691,45450
1774604645260916,45430
1774604645304100,45400
1774604645350942,45510
1774604645394094,45440
1774604645437142,45470
1774604645480400,45360
1774604645523547,45490
1774604645566650,45510
1774604645609880,45500
1774604645652833,45420
1774604645695997,45460
1774604645739047,45470
1774604645782307,45500
1774604645825326,45570
1774604645870520,45410
1774604645913558,45500
1774604645956663,45430
1774604645999834,45460
1774604646042470,45520
1774604646085590,45520
1774604646128710,45490
1774604646171978,45490
1774604646215176,45440
1774604646258434,45440
1774604646301449,45430
1774604646344388,45420
1774604646390095,45560
1774604646433169,45460
1774604646476350,45390
1774604646519165,45420
1774604646562367,45470
1774604646605403,45460
1774604646648376,45390
1774604646691443,45450
1774604646734433,45520
1774604646777409,45500
1774604646820341,45400
1774604646863540,45410
1774604646909654,45480
1774604646952734,45460
1774604646995821,45440
1774604647038969,45400
1774604647081870,45450
1774604647124891,45450
1774604647167887,45470
1774604647210614,45520
1774604647253806,45430
1774604647297000,45400
1774604647339938,45400
1774604647383075,45460
1774604647429210,45470
1774604647472278,45460
1774604647515088,45470
1774604647557375,45450
1774604647599702,45460
1774604647642505,45510
1774604647685781,45570
1774604647728807,45470
1774604647771924,45420
1774604647814992,45460
1774604647857741,45500
1774604647900912,45440
1774604647944087,45510
1774604647988793,45460
1774604648031918,45410
1774604648075136,45460
1774604648117707,45430
1774604648160664,45470
1774604648203898,45510
1774604648247036,45410
1774604648290221,45480
1774604648333391,45480
1774604648376541,45430
1774604648419501,45410
1774604648462366,45460
1774604648508503,45530
1774604648551606,45450
1774604648594565,45510
1774604648637445,45440
1774604648680577,45470
1774604648723525,45460
1774604648766702,45420
1774604648809864,45440
1774604648852999,45490
1774604648895866,45470
1774604648939066,45510
1774604648982167,45480
1774604649027969,45480
1774604649071202,45410
1774604649114238,45470
1774604649157519,45450
1774604649200706,45530
1774604649243808,45450
1774604649286398,45440
1774604649329541,45400
1774604649372727,45460
1774604649415865,45490
1774604649458624,45420
1774604649501791,45450
1774604649547556,45510
1774604649590169,45420
1774604649633234,45490
1774604649676405,45450
1774604649719566,45440
1774604649762358,45450
1774604649805435,45450
1774604649848368,45460
1774604649891266,45450
1774604649934313,45450
1774604649977581,45470
1774604650020767,45380
1774604650067216,45490
1774604650110286,45420
1774604650153415,45470
1774604650196373,45360
1774604650239012,45440
1774604650281760,45420
1774604650324921,45470
1774604650367675,45540
1774604650410589,45470
1774604650453647,45520
1774604650496748,45510
1774604650538979,45460
1774604650581558,45460
1774604650626932,45530
1774604650670056,45460
1774604650713161,45450
1774604650756346,45520
1774604650799415,45440
1774604650842134,45440
1774604650885216,45430
1774604650928388,45500
1774604650971007,45430
1774604651014081,45500
1774604651057324,45460
1774604651100546,45500
1774604651146639,45500
1774604651189731,45450
1774604651232908,45440
1774604651276064,45530
1774604651319188,45490
1774604651362436,45410
1774604651405456,45510
1774604651448454,45500
1774604651491529,45390
1774604651534577,45490
1774604651577696,45520
