unix_timestamp,active_power (mW)
1774605218098842,45390
1774605218141100,43780
1774605218183676,45340
1774605218226877,45440
1774605218270013,45430
1774605218312965,45430
1774605218356094,45400
1774605218398851,45410
1774605218441893,45400
1774605218485019,45450
1774605218528237,45400
1774605218571401,45370
1774605218616865,45310
1774605218659892,45380
1774605218702344,45390
1774605218745361,45380
1774605218788302,45430
1774605218831317,45430
1774605218874355,45430
1774605218917360,45480
1774605218960495,45390
1774605219003267,45440
1774605219046347,45370
1774605219089374,45280
1774605219132715,45310
1774605219176728,45400
1774605219219683,45290
1774605219262582,45360
1774605219305661,45310
1774605219348645,45330
1774605219391776,45380
1774605219434803,45410
1774605219477762,45280
1774605219520776,45360
1774605219563635,45260
1774605219606450,45320
1774605219649551,45320
1774605219696406,45300
1774605219739120,45340
1774605219782361,45340
1774605219825697,45420
1774605219868807,45290
1774605219911496,45370
1774605219954565,45330
1774605219997678,45320
1774605220040852,45300
1774605220084011,45290
1774605220126782,45300
1774605220170007,45340
1774605220216255,45400
1774605220259199,45390
1774605220302178,45370
1774605220345332,45320
1774605220388391,45360
1774605220431512,45400
1774605220474700,45330
1774605220517823,45400
1774605220561048,45380
1774605220603904,45360
1774605220646669,45330
1774605220689664,45390
1774605220736107,45370
1774605220778836,45350
1774605220821861,45360
1774605220865029,45300
1774605220908111,45380
1774605220950824,45350
1774605220993895,45350
1774605221036729,45380
1774605221079284,45320
1774605221122088,45360
1774605221165217,45290
1774605221208157,45320
1774605221251370,45320
1774605221295919,45340
1774605221338696,45270
1774605221381910,45330
1774605221424788,45340
1774605221467681,45390
1774605221510712,45390
1774605221553714,45380
1774605221596890,45360
1774605221639848,45300
1774605221682935,45280
1774605221725767,45350
1774605221768995,45380
1774605221815810,45350
1774605221858926,45420
1774605221902100,45460
1774605221945274,45400
1774605221988441,45370
1774605222031594,45230
1774605222074261,45240
1774605222117332,45350
1774605222160531,45300
1774605222203694,45380
1774605222246833,45450
1774605222289714,45460
1774605222335536,45440
1774605222378221,45370
1774605222421286,45360
1774605222464397,45470
1774605222507492,45450
1774605222549795,45340
1774605222593275,45380
1774605222636332,45420
1774605222679317,45390
1774605222721898,45410
1774605222764913,45340
1774605222807872,45300
1774605222850796,45380
1774605222895549,45290
1774605222938281,45310
1774605222981542,45380
1774605223024818,45330
1774605223068322,45330
1774605223110907,45370
1774605223153842,45330
1774605223196826,45370
1774605223239969,45410
1774605223283067,45320
1774605223326054,45340
1774605223369236,45320
1774605223415302,45440
1774605223458500,45390
1774605223501567,45380
1774605223544906,45410
1774605223587875,45360
1774605223630578,45380
1774605223673682,45300
1774605223716860,45220
1774605223759642,45270
1774605223802986,45270
1774605223846137,45260
1774605223889397,45310
1774605223935232,45400
1774605223978351,45350
1774605224021550,45420
1774605224064758,45390
1774605224107101,45390
1774605224149797,45380
1774605224192938,45370
1774605224235683,45430
1774605224278714,45420
1774605224321865,45370
1774605224364817,45410
1774605224407649,45440
1774605224450655,45450
1774605224495197,45410
1774605224537912,45360
1774605224580979,45340
1774605224623934,45340
1774605224666856,45280
1774605224709183,45340
1774605224752433,45350
1774605224795389,45340
1774605224837597,45320
1774605224880644,45410
1774605224924098,45460
1774605224967390,45450
1774605225010655,45430
1774605225054851,45360
1774605225097904,45390
1774605225140815,45190
1774605225183753,45310
1774605225226473,45290
1774605225269629,45360
1774605225312095,45310
1774605225355005,45390
1774605225397946,45390
1774605225441117,45330
1774605225484269,45390
1774605225526908,45430
1774605225569707,45400
1774605225614710,45420
1774605225657705,45390
1774605225700705,45450
1774605225743592,45450
1774605225786616,45420
1774605225829596,45390
1774605225872626,45320
1774605225915817,45360
1774605225959008,45330
1774605226001899,45290
1774605226045002,45370
1774605226087878,45290
1774605226130711,45280
1774605226174782,45260
1774605226217904,45260
1774605226260881,45370
1774605226303961,45330
1774605226346823,45320
1774605226389702,45360
1774605226432892,45420
1774605226475864,45330
1774605226518183,45330
1774605226561153,45410
1774605226604057,45450
1774605226646855,45350
1774605226689609,45290
1774605226734629,45380
1774605226777793,45440
1774605226820852,45410
1774605226863809,45390
1774605226906856,45420
1774605226949838,45350
1774605226992716,45370
1774605227035970,45350
1774605227078884,45350
1774605227121313,45350
1774605227164338,45410
1774605227207106,45290
1774605227250034,45380
1774605227294774,45360
1774605227337873,45240
1774605227381068,45310
1774605227423864,45340
1774605227467102,45290
1774605227509774,45250
1774605227552859,45320
1774605227595963,45300
1774605227639144,45360
1774605227681576,45360
1774605227724403,45390
1774605227767614,45350
1774605227814543,45290
1774605227857608,45330
1774605227900608,45390
1774605227943671,45410
1774605227986584,45340
1774605228029698,45370
1774605228072686,45330
1774605228115931,45390
1774605228159121,45300
1774605228202274,45420
1774605228245426,45350
1774605228288365,45410
1774605228334457,45350
1774605228377601,45320
1774605228420181,45340
1774605228463382,45350
1774605228506505,45330
1774605228549578,45340
1774605228591983,45370
1774605228634641,45320
1774605228677644,45310
1774605228720825,45340
1774605228763988,45320
1774605228806910,45340
1774605228850124,45340
1774605228894558,45340
1774605228937193,45260
1774605228980190,45290
1774605229023345,45330
1774605229066528,45360
1774605229109768,45330
1774605229152930,45320
1774605229196083,45340
1774605229238548,45440
1774605229281558,45340
1774605229324655,45410
1774605229367491,45300
1774605229414418,45310
1774605229457488,45330
1774605229500445,45350
1774605229543358,45330
1774605229586425,45350
1774605229629548,45260
1774605229672784,45270
1774605229716009,45240
1774605229758918,45330
1774605229801925,45290
1774605229844877,45290
1774605229887827,45260
1774605229934316,45350
1774605229977344,45310
1774605230020349,45390
1774605230063500,45360
1774605230106608,45390
1774605230149670,45330
1774605230192786,45410
1774605230235585,45330
1774605230278462,45360
1774605230321674,45280
1774605230364820,45430
1774605230407989,45350
1774605230454244,45320
1774605230497303,45420
1774605230540487,45300
1774605230583613,45400
1774605230626553,45360
1774605230669606,45400
1774605230712769,45330
1774605230755668,45350
1774605230798883,45360
1774605230841717,45290
1774605230884745,45300
1774605230927776,45320
1774605230973952,45340
1774605231017115,45230
1774605231060267,45370
1774605231103532,45330
1774605231146692,45410
