unix_timestamp,active_power (mW)
1774606071526909,46020
1774606071569055,44760
1774606071611409,45880
1774606071654420,46080
1774606071697556,46100
1774606071740754,46030
1774606071783820,46130
1774606071826929,46070
1774606071870145,46060
1774606071914187,46080
1774606071957302,46040
1774606072000365,46020
1774606072043282,45960
1774606072086212,45950
1774606072129139,46040
1774606072172240,46000
1774606072214976,46020
1774606072257994,46010
1774606072300987,46100
1774606072344020,46150
1774606072387115,45970
1774606072434110,46000
1774606072477198,45990
1774606072520264,46000
1774606072562958,45980
1774606072605897,45960
1774606072648998,45980
1774606072691988,46000
1774606072734509,46020
1774606072777752,45960
1774606072820941,46020
1774606072863808,46080
1774606072907001,46090
1774606072949735,46000
1774606072993805,46050
1774606073036882,45890
1774606073079994,45880
1774606073123202,45890
1774606073166015,45870
1774606073209306,45960
1774606073252418,46010
1774606073295344,45960
1774606073337861,45910
1774606073380985,45950
1774606073424124,45960
1774606073467245,45960
1774606073513649,45950
1774606073556744,46020
1774606073599972,45960
1774606073642987,45950
1774606073686022,45950
1774606073729185,45980
1774606073772130,46030
1774606073815022,46060
1774606073858094,46000
1774606073901219,45950
1774606073944197,45960
1774606073986901,46070
1774606074029178,46100
1774606074073548,45970
1774606074116554,46110
1774606074159467,46070
1774606074202320,46070
1774606074245332,46050
1774606074288389,45990
1774606074331418,45970
1774606074374332,45960
1774606074417312,46000
1774606074460522,45980
1774606074503299,45930
1774606074545652,46050
1774606074588705,46050
1774606074633406,46060
1774606074676418,46030
1774606074719354,45960
1774606074762331,46050
1774606074805087,46020
1774606074848285,45980
1774606074891404,45940
1774606074934400,46020
1774606074977469,46070
1774606075020670,46080
1774606075063479,46050
1774606075106089,46000
1774606075149146,46090
1774606075193188,46000
1774606075236294,46010
1774606075279412,45940
1774606075322464,45960
1774606075365396,46010
1774606075408371,46000
1774606075451400,46030
1774606075494202,46020
1774606075537244,45990
1774606075580388,45870
1774606075623159,45870
1774606075666031,45920
1774606075712878,45960
1774606075755875,45980
1774606075798975,46020
1774606075841629,46010
1774606075884631,46090
1774606075927401,46060
1774606075970429,46040
1774606076013541,46060
1774606076056751,46160
1774606076099965,46000
1774606076142632,45940
1774606076185723,46020
