unix_timestamp,active_power (mW)
1774606479987092,46060
1774606480029344,42920
1774606480071893,46350
1774606480114460,46080
1774606480157248,46000
1774606480200477,46020
1774606480243358,46110
1774606480289884,46100
1774606480332938,46030
1774606480375828,45990
1774606480418205,46130
1774606480461228,46140
1774606480504315,46120
1774606480547160,46080
1774606480589623,45990
1774606480632672,46020
1774606480675816,46030
1774606480718876,46010
1774606480761887,46000
1774606480804850,46060
1774606480849631,46030
1774606480892694,45950
1774606480935682,46020
1774606480978630,45980
1774606481021598,46000
1774606481064596,45970
1774606481107535,45980
1774606481150620,46020
1774606481193560,45980
1774606481236449,46060
1774606481279492,45990
1774606481322528,46030
1774606481369340,45980
1774606481412542,45960
1774606481455418,45960
1774606481498571,46020
1774606481541770,46010
1774606481584869,46020
1774606481627724,46020
1774606481670288,45970
1774606481713510,46070
1774606481756285,45950
1774606481799160,46020
1774606481842248,45900
1774606481889218,46020
1774606481932282,45950
1774606481975461,46000
1774606482018578,46070
1774606482061707,46080
1774606482104688,46000
1774606482147897,46040
1774606482190943,46080
1774606482233891,45950
1774606482276787,45950
1774606482319851,46000
1774606482362420,45950
1774606482408897,45960
1774606482452058,46040
1774606482495054,46000
1774606482538204,46030
1774606482581279,46040
1774606482624470,46000
1774606482667438,46000
1774606482710545,45970
1774606482753672,45940
1774606482796650,46050
1774606482839375,45970
1774606482881499,46040
1774606482924468,46020
1774606482968738,45980
1774606483011616,45840
1774606483054672,45890
1774606483097672,46020
1774606483140862,45950
1774606483183551,45950
1774606483226062,45980
1774606483269209,45980
1774606483312251,46040
1774606483355256,46000
1774606483398516,45960
1774606483441748,45940
1774606483488572,45940
1774606483531706,45940
1774606483574510,45910
1774606483617652,45940
1774606483660862,45940
1774606483703823,46070
1774606483746844,46040
1774606483789860,45950
1774606483832960,45970
1774606483875809,45940
1774606483918693,45990
1774606483961768,45940
1774606484008336,45960
1774606484051343,46090
1774606484094437,46100
1774606484137565,46040
1774606484180671,46020
1774606484223661,45960
1774606484266775,45930
1774606484309498,45960
1774606484352548,45950
1774606484395571,46030
1774606484438521,46030
1774606484481686,45930
1774606484528243,46040
1774606484571262,46050
1774606484613794,45960
1774606484656926,46080
1774606484699860,45920
1774606484743017,45980
1774606484786058,46050
1774606484829106,45950
1774606484872234,45980
1774606484915400,46020
1774606484958526,45980
1774606485001530,46070
1774606485048020,45990
1774606485091012,46020
1774606485133916,46010
1774606485177122,45920
1774606485220348,45970
1774606485263565,46010
1774606485306740,46070
1774606485349841,46050
1774606485392343,46020
1774606485435658,46030
1774606485478799,45990
1774606485521798,46020
1774606485567769,45990
1774606485610821,45950
1774606485653739,45990
1774606485696869,45990
1774606485740027,46060
1774606485782520,45990
1774606485825739,46070
1774606485868965,46010
1774606485911894,45960
1774606485955016,45990
1774606485997478,45980
1774606486040486,45960
1774606486087522,46020
1774606486130563,46040
1774606486173483,46070
1774606486216507,46140
1774606486259456,46040
1774606486302487,46040
1774606486345630,46040
1774606486388824,46010
1774606486431756,46030
1774606486474475,46010
1774606486517671,46030
1774606486560549,45970
1774606486603358,46030
1774606486647357,46110
1774606486690470,46070
1774606486733603,45950
1774606486776572,46030
1774606486819751,45940
1774606486862855,45930
1774606486905850,45960
1774606486948912,45960
1774606486991757,46000
1774606487034534,45990
1774606487077460,46040
1774606487120333,46030
1774606487167098,45970
1774606487209898,45960
1774606487252825,46060
1774606487295893,46030
1774606487338810,46080
1774606487381684,45980
1774606487424812,45990
1774606487467954,46030
1774606487510913,46040
1774606487554089,45980
1774606487597285,46000
1774606487640465,46030
1774606487686878,45930
1774606487730057,45860
1774606487773124,45940
1774606487816187,46030
1774606487859356,46030
1774606487902453,46080
1774606487945621,45990
1774606487988743,46000
1774606488031817,45980
1774606488074758,45950
1774606488117808,46030
1774606488160821,46040
1774606488206589,45910
1774606488249703,45980
1774606488292843,45920
1774606488335761,45940
1774606488378923,45850
1774606488421740,45880
1774606488464992,45870
1774606488507891,45990
1774606488550978,46020
1774606488593948,46110
1774606488637109,46110
1774606488680251,46050
1774606488726512,45970
1774606488769559,45980
1774606488812763,46040
1774606488855696,45950
1774606488898814,45990
1774606488941958,46000
1774606488985172,45970
1774606489028501,46040
1774606489071685,46040
1774606489114507,46050
1774606489157629,46020
1774606489200579,45990
1774606489246401,45960
1774606489289482,45930
1774606489332686,46020
1774606489375783,45910
1774606489419056,45980
1774606489462142,45910
1774606489505386,46080
1774606489548383,45970
1774606489591382,45970
1774606489634195,45940
1774606489677392,46050
1774606489720304,45960
1774606489766153,46040
1774606489820834,46050
1774606489863475,46060
1774606489906225,46060
1774606489949157,45990
1774606489992145,45990
1774606490035105,45910
1774606490078551,46050
1774606490122108,46100
1774606490165823,46000
1774606490208805,45910
1774606490251782,45910
1774606490294815,45920
1774606490337680,45970
1774606490380660,45980
1774606490423456,46010
1774606490465953,46090
1774606490509222,46020
1774606490551570,46040
1774606490594178,46060
1774606490637333,46070
1774606490680606,46010
1774606490725663,45940
1774606490768814,45970
1774606490811558,46010
1774606490854778,46050
1774606490897899,46070
1774606490940847,46070
1774606490983907,45990
1774606491026911,45960
1774606491069821,46050
1774606491112963,45960
1774606491156123,45960
1774606491199403,45970
1774606491245427,46010
1774606491288492,46040
1774606491331573,46090
1774606491374512,46120
1774606491417388,46010
1774606491460483,45950
1774606491503509,45920
1774606491546559,45970
1774606491589502,46060
1774606491632518,46000
1774606491675623,46100
1774606491718707,45960
1774606491765123,45910
1774606491808135,45960
1774606491851243,45910
1774606491893852,46020
1774606491936737,45950
1774606491979781,45880
1774606492022365,45950
1774606492065489,45970
1774606492108426,45850
1774606492151374,45940
1774606492194421,45950
1774606492237430,45940
1774606492280532,46000
1774606492324939,45960
1774606492367906,46050
1774606492410426,46010
1774606492453397,45930
1774606492496460,45890
1774606492539186,45930
1774606492582234,45950
1774606492625151,46040
1774606492668244,46030
1774606492711036,45930
1774606492754235,46020
1774606492797365,46030
1774606492840381,45960
1774606492884663,45960
1774606492927671,45910
1774606492970769,46080
1774606493013811,46050
1774606493056937,46010
1774606493099983,45920
1774606493143031,45960
1774606493186056,46010
1774606493229124,45960
1774606493272197,46000
1774606493315372,46010
1774606493358535,46000
1774606493404283,45810
1774606493447462,45880
1774606493490476,46040
1774606493533522,46020
1774606493576651,46060
1774606493619923,45980
1774606493663020,46040
1774606493705929,46010
1774606493749115,45960
