unix_timestamp,active_power (mW)
1774608114201089,46550
1774608114243478,41600
1774608114285741,46770
1774608114328736,46510
1774608114371866,46510
1774608114414691,46500
1774608114457707,46550
1774608114500686,46490
1774608114543396,46560
1774608114586546,46470
1774608114631613,46560
1774608114674629,46530
1774608114717247,46510
1774608114760366,46500
1774608114803227,46540
1774608114845725,46500
1774608114888698,46450
1774608114931748,46450
1774608114974801,46480
1774608115017809,46430
1774608115060754,46420
1774608115103832,46460
1774608115146596,46440
1774608115191508,46400
1774608115234573,46560
1774608115277723,46480
1774608115320626,46390
1774608115363687,46530
1774608115405958,46390
1774608115449075,46500
1774608115492318,46440
1774608115535511,46450
1774608115578202,46510
1774608115621390,46530
1774608115664412,46480
1774608115711107,46500
1774608115754233,46560
1774608115797488,46450
1774608115840596,46480
1774608115883597,46490
1774608115926446,46610
1774608115969601,46490
1774608116012753,46510
1774608116055920,46540
1774608116099037,46520
1774608116142071,46590
1774608116185116,46620
1774608116230979,46470
1774608116273743,46490
1774608116316904,46400
1774608116360134,46500
1774608116403310,46470
1774608116446434,46520
1774608116489408,46470
1774608116532631,46490
1774608116575584,46440
1774608116618342,46480
1774608116661476,46470
1774608116704356,46440
1774608116750847,46540
1774608116793684,46490
1774608116836634,46490
1774608116879540,46520
1774608116922648,46570
1774608116965666,46570
1774608117008825,46520
1774608117051959,46450
1774608117094575,46500
1774608117137594,46470
1774608117180732,46580
1774608117223687,46510
1774608117270562,46480
1774608117313637,46510
1774608117356648,46430
1774608117399591,46370
1774608117442568,46490
1774608117485633,46450
1774608117528652,46550
1774608117571466,46590
1774608117614257,46600
1774608117657382,46600
1774608117700361,46560
1774608117743512,46550
1774608117790418,46530
1774608117833622,46530
1774608117876666,46510
1774608117919562,46430
1774608117962697,46500
1774608118005691,46390
1774608118048797,46470
1774608118091846,46480
1774608118134477,46440
1774608118177547,46540
1774608118220469,46480
1774608118263600,46510
1774608118310103,46460
1774608118353262,46420
1774608118396366,46490
1774608118439249,46480
1774608118482402,46450
1774608118525039,46460
1774608118568149,46510
1774608118611335,46420
1774608118654400,46430
1774608118697674,46400
1774608118740803,46440
1774608118783712,46500
1774608118829949,46540
1774608118873020,46590
1774608118916246,46570
1774608118959424,46570
1774608119001929,46580
1774608119045140,46430
1774608119088333,46490
1774608119131184,46520
1774608119174234,46500
1774608119217270,46480
1774608119260303,46520
1774608119303464,46550
1774608119349759,46570
1774608119393050,46470
1774608119436114,46470
1774608119479323,46500
1774608119522502,46500
1774608119565675,46550
1774608119608625,46520
1774608119651683,46480
1774608119694591,46510
1774608119737687,46470
1774608119780743,46450
1774608119823631,46510
1774608119869670,46450
1774608119912668,46420
1774608119955151,46500
1774608119998314,46420
1774608120041295,46490
1774608120084342,46550
1774608120127699,46530
1774608120170439,46450
1774608120213290,46480
1774608120256507,46510
1774608120299657,46520
1774608120342314,46530
1774608120389360,46510
1774608120432582,46480
1774608120475388,46490
1774608120518561,46530
1774608120561720,46500
1774608120604688,46460
1774608120647705,46550
1774608120690574,46480
1774608120733593,46460
1774608120776560,46480
1774608120819164,46480
1774608120862340,46560
1774608120909105,46590
1774608120952241,46550
1774608120995421,46490
1774608121037918,46600
1774608121080457,46420
1774608121123446,46470
1774608121166443,46560
1774608121209571,46550
1774608121252653,46570
1774608121295585,46520
1774608121338676,46440
1774608121381520,46490
1774608121424504,46480
1774608121468840,46490
1774608121511713,46480
1774608121554400,46450
1774608121596833,46540
1774608121639998,46520
1774608121683201,46500
1774608121726407,46490
1774608121769385,46520
1774608121812398,46550
1774608121855351,46600
1774608121898505,46640
1774608121941671,46530
1774608121988564,46540
1774608122031461,46440
1774608122074119,46520
1774608122116995,46470
1774608122159903,46540
1774608122203187,46440
1774608122246302,46480
1774608122289404,46510
1774608122332285,46480
1774608122375406,46430
1774608122418237,46520
1774608122461290,46380
1774608122508266,46570
1774608122551032,46470
1774608122594574,46550
1774608122637749,46470
1774608122680998,46450
1774608122724090,46530
1774608122767108,46510
1774608122810193,46540
1774608122853375,46510
1774608122896543,46530
1774608122939708,46470
1774608122982950,46490
1774608123027881,46600
1774608123071048,46520
1774608123114219,46450
1774608123157402,46430
1774608123200556,46490
1774608123243365,46540
1774608123285561,46590
1774608123328669,46600
1774608123371624,46550
1774608123414449,46600
1774608123457230,46550
1774608123500322,46550
1774608123542976,46570
1774608123587636,46490
1774608123630656,46530
1774608123673696,46530
1774608123716804,46510
1774608123759766,46440
1774608123802775,46540
1774608123845006,46450
1774608123888052,46490
1774608123931010,46470
1774608123974103,46460
1774608124017315,46540
1774608124060243,46440
1774608124103486,46590
1774608124147356,46490
1774608124190501,46550
1774608124233640,46580
1774608124276735,46550
1774608124319712,46510
1774608124362428,46580
1774608124405614,46650
1774608124448747,46460
1774608124491209,46550
1774608124533798,46450
1774608124576799,46490
1774608124619756,46580
1774608124662559,46520
1774608124706958,46430
1774608124750095,46490
1774608124793158,46530
1774608124836188,46520
1774608124879244,46530
1774608124922277,46410
1774608124965238,46470
1774608125008228,46480
1774608125051058,46480
1774608125093815,46520
1774608125136805,46460
1774608125179759,46390
1774608125226460,46480
1774608125269583,46490
1774608125312676,46520
1774608125355636,46470
1774608125398407,46460
1774608125441358,46460
1774608125483733,46490
1774608125526569,46460
1774608125569458,46530
1774608125612591,46520
1774608125655425,46450
1774608125698575,46470
1774608125741736,46440
1774608125786165,46580
1774608125829266,46480
1774608125872377,46470
1774608125915585,46430
1774608125958512,46490
1774608126001492,46480
1774608126044645,46540
1774608126087693,46470
1774608126130894,46510
1774608126173678,46470
1774608126216775,46510
1774608126259725,46440
1774608126305871,46570
1774608126348925,46410
1774608126392108,46420
1774608126435341,46400
1774608126478486,46410
1774608126521687,46520
1774608126564769,46500
1774608126607613,46400
1774608126650837,46500
1774608126693797,46430
1774608126736855,46490
1774608126780000,46520
1774608126825496,46520
1774608126868620,46530
1774608126911709,46410
1774608126954580,46390
1774608126997820,46530
1774608127040793,46550
1774608127083714,46540
1774608127126278,46540
1774608127169095,46460
1774608127212333,46460
1774608127255459,46500
1774608127298457,46540
1774608127345154,46560
1774608127388191,46610
1774608127430805,46560
1774608127474087,46590
1774608127517289,46560
1774608127560820,46590
1774608127603719,46550
1774608127646641,46510
1774608127689749,46600
1774608127732945,46450
1774608127776049,46480
1774608127819261,46490
1774608127864953,46450
1774608127908152,46470
1774608127951159,46530
1774608127994369,46590
1774608128037646,46480
1774608128080726,46510
1774608128123873,46530
1774608128166567,46470
1774608128209589,46490
1774608128252078,46560
1774608128295183,46440
1774608128338237,46390
1774608128384582,46410
1774608128427337,46490
1774608128470561,46630
1774608128513723,46550
1774608128556952,46580
1774608128599989,46570
1774608128642958,46570
1774608128685784,46520
1774608128728707,46540
1774608128771670,46530
1774608128814638,46560
1774608128857591,46530
1774608128904365,46530
1774608128947408,46570
1774608128990511,46490
1774608129033637,46510
1774608129076678,46450
1774608129119678,46480
1774608129162632,46450
1774608129205617,46570
1774608129248731,46470
1774608129291581,46450
1774608129334707,46510
1774608129377291,46480
1774608129424127,46480
1774608129467241,46510
1774608129510377,46540
1774608129553529,46440
1774608129596652,46460
1774608129639625,46530
