unix_timestamp,active_power (mW)
1769683057823080,25780
1769683057865953,21960
1769683057909083,32340
1769683057952117,39950
1769683057995146,48670
1769683058037687,48370
1769683058080788,48260
1769683058127745,48240
1769683058170461,48300
1769683058213666,48370
1769683058256719,48280
1769683058299982,48300
1769683058343154,48300
1769683058385649,48190
1769683058428739,48200
1769683058471613,48180
1769683058514435,48640
1769683058557463,48220
1769683058599948,48220
1769683058643094,48220
1769683058687391,48280
1769683058730519,48200
1769683058773648,48200
1769683058816669,48090
1769683058859715,48260
1769683058902919,48250
1769683058945764,48180
1769683058988274,48220
1769683059031513,48220
1769683059074604,48270
1769683059117766,48210
1769683059160573,48150
1769683059207109,48360
1769683059249846,48240
1769683059292819,48180
1769683059335946,48240
1769683059379148,48240
1769683059422266,48160
1769683059465088,48190
1769683059508000,48210
1769683059551129,48190
1769683059593721,48210
1769683059636829,48200
1769683059679760,48230
1769683059723051,48290
1769683059766933,48250
1769683059809712,48220
1769683059852054,48220
1769683059894617,48220
1769683059937877,48220
1769683059981002,48230
1769683060023961,48240
1769683060066687,48240
1769683060109718,48340
1769683060152804,48280
1769683060195572,48230
1769683060238043,48240
1769683060281186,48260
1769683060326696,48270
1769683060369807,48300
1769683060412968,48290
1769683060455878,48300
1769683060498698,48120
1769683060541656,48290
1769683060584696,48270
1769683060627636,48240
1769683060670662,48310
1769683060713625,48230
1769683060756629,48300
1769683060799774,48270
1769683060846476,48340
1769683060889638,48270
1769683060932803,48250
1769683060975967,48270
1769683061019085,48290
1769683061062025,48290
1769683061105092,48300
1769683061147266,48340
1769683061189786,48460
1769683061232994,48280
1769683061276120,48290
1769683061319106,48260
1769683061361893,48260
1769683061406252,48270
1769683061449371,48310
1769683061492171,48300
1769683061535173,48290
1769683061578188,48340
1769683061621359,48320
1769683061664371,48260
1769683061707466,48310
1769683061750562,48280
1769683061793609,48320
1769683061836770,48380
1769683061879673,48430
1769683061926125,48330
1769683061969112,48380
1769683062012034,48370
1769683062055005,48400
1769683062097751,48410
1769683062140878,48370
1769683062183380,48420
1769683062225880,48420
1769683062268988,48390
1769683062311983,48390
1769683062354650,48420
1769683062397684,48390
1769683062440749,48430
1769683062485919,48390
1769683062528282,48430
1769683062571401,48310
1769683062613976,48390
1769683062656583,48380
1769683062699505,48370
1769683062741830,48330
1769683062784943,48360
1769683062828016,48400
1769683062870253,48450
1769683062913443,48410
1769683062956362,48330
1769683062999102,48430
1769683063045927,48320
1769683063089095,48390
1769683063132259,48380
1769683063175445,48440
1769683063218032,48370
1769683063261114,48420
1769683063304181,48330
1769683063346889,48310
1769683063389928,48360
1769683063432929,48320
1769683063475728,48420
1769683063518944,48310
1769683063565487,48320
1769683063608583,48320
1769683063651687,48290
1769683063694395,48340
1769683063737371,48360
1769683063779915,48360
1769683063822764,48320
1769683063865984,48310
1769683063909089,48320
1769683063952070,48300
1769683063995115,48310
1769683064038137,48340
1769683064081201,48290
1769683064125195,48270
1769683064167965,48280
1769683064210478,48270
1769683064253680,48260
1769683064296766,48280
1769683064339662,48290
1769683064382083,48200
1769683064425077,48250
1769683064468106,48330
1769683064510752,48270
1769683064553788,48350
1769683064596781,48110
1769683064639812,48340
1769683064685015,48260
1769683064728059,48180
1769683064771215,48270
1769683064814391,48260
1769683064857389,48170
1769683064900466,48200
1769683064943399,48260
1769683064985953,48180
1769683065029010,48240
1769683065072005,48250
1769683065115159,48200
1769683065158299,48160
1769683065204745,48300
1769683065247638,48200
1769683065290329,48190
1769683065333499,48190
1769683065376738,48170
1769683065419706,48240
1769683065462147,48220
1769683065505314,48240
1769683065548194,48130
1769683065590941,48200
1769683065633976,48230
1769683065677105,48230
1769683065720028,48190
1769683065764675,48130
1769683065807540,48140
1769683065849842,48130
1769683065892655,48170
1769683065935551,48210
1769683065978694,48290
1769683066021768,48200
1769683066064939,48300
1769683066107678,48200
1769683066150978,48260
1769683066193750,48380
1769683066237062,48320
1769683066280009,48310
1769683066324575,48510
1769683066367813,48400
1769683066411012,48430
1769683066454157,48460
1769683066497165,48450
1769683066540140,48440
1769683066583144,48500
1769683066625567,48270
1769683066668766,48410
1769683066712012,48440
1769683066754616,48330
1769683066797010,48300
1769683066840037,48400
1769683066884856,48390
1769683066927829,48250
1769683066970864,48300
1769683067014020,48260
1769683067057188,48250
1769683067100263,48290
1769683067142810,48160
1769683067186033,48180
1769683067229068,48370
1769683067271971,48230
1769683067314820,48190
1769683067357739,48250
1769683067404522,48240
1769683067447146,48160
1769683067490129,48260
1769683067533038,48210
1769683067576022,48170
1769683067618783,48170
1769683067661701,48210
1769683067704824,48180
1769683067747647,48180
1769683067790187,48210
1769683067833105,48280
1769683067876307,48240
1769683067919508,48140
1769683067964022,48110
1769683068006580,48180
1769683068049555,48280
1769683068092580,48180
