unix_timestamp,active_power (mW)
1769683250635459,27440
1769683250677717,21500
1769683250720916,27660
1769683250763738,36880
1769683250808309,49660
1769683250851108,49750
1769683250894365,49740
1769683250937521,49600
1769683250980519,49850
1769683251023600,49700
1769683251066752,49710
1769683251109616,49700
1769683251152862,49690
1769683251195516,49740
1769683251238565,49730
1769683251281664,49800
1769683251328075,49800
1769683251371372,49740
1769683251414529,49680
1769683251457299,49710
1769683251499616,49720
1769683251542304,49790
1769683251585371,49630
1769683251628238,49610
1769683251671352,49780
1769683251714292,49620
1769683251757384,49690
1769683251800514,49510
1769683251843450,49610
1769683251887599,49590
1769683251930371,49650
1769683251973325,49440
1769683252016210,49540
1769683252059344,49490
1769683252102445,49510
1769683252145521,49590
1769683252188503,49510
1769683252231673,49570
1769683252274545,49430
1769683252317314,49440
1769683252359830,49400
1769683252402513,49510
1769683252447413,49500
1769683252490575,49530
1769683252533633,49560
1769683252576713,49560
1769683252619606,49540
1769683252662524,49600
1769683252705451,49520
1769683252748505,49480
1769683252791415,49620
1769683252833863,49560
1769683252877099,49540
1769683252919919,49500
1769683252962813,49520
1769683253007177,49560
1769683253050310,49790
1769683253093402,49630
1769683253136216,49660
1769683253179236,49880
1769683253221618,49590
1769683253264835,49620
1769683253307776,49730
1769683253350814,49670
1769683253393343,49580
1769683253436552,49520
1769683253479545,49620
1769683253523604,49600
1769683253566746,49540
1769683253609971,49680
1769683253653129,49470
1769683253696275,49570
1769683253738681,49590
1769683253781908,49610
1769683253825059,49540
1769683253868176,49580
1769683253911012,49680
1769683253953997,49530
1769683253997106,49630
1769683254040189,49530
1769683254086393,49560
1769683254129326,49600
1769683254171629,49630
1769683254214436,49410
1769683254257619,49500
1769683254300715,49400
1769683254343739,49600
1769683254386478,49630
1769683254429487,49530
1769683254471910,49310
1769683254514637,49520
1769683254557729,49520
1769683254600635,49600
1769683254646018,49480
1769683254689108,49440
1769683254731975,49390
1769683254775109,49570
1769683254817939,49620
1769683254861013,49610
1769683254903315,49560
1769683254945824,49460
1769683254988954,49520
1769683255031779,49500
1769683255074691,49500
1769683255117929,49600
1769683255161046,49660
1769683255205814,49530
1769683255248874,49700
1769683255291819,49580
1769683255334799,49630
1769683255377748,49580
1769683255421009,49560
1769683255464233,49680
1769683255507078,49700
1769683255549943,49620
1769683255593101,49620
1769683255636148,49660
1769683255679135,49430
1769683255725463,49600
1769683255768605,49580
1769683255811685,49620
1769683255854233,49520
1769683255897136,49540
1769683255939666,49550
1769683255982493,49540
1769683256025575,49460
1769683256068754,49490
1769683256111700,49450
1769683256155027,49440
1769683256197901,49430
1769683256240978,49640
1769683256285017,49510
1769683256327621,49420
1769683256369971,49490
1769683256413284,49590
1769683256456330,49400
1769683256499184,49530
1769683256542069,49480
1769683256585279,49630
1769683256628331,49580
1769683256670990,49550
1769683256713693,49700
1769683256756745,49570
1769683256799937,49580
1769683256844877,49740
1769683256887636,49580
1769683256930604,49580
1769683256973786,49710
1769683257016916,49640
1769683257059971,49500
1769683257103115,49500
1769683257146212,49770
1769683257188410,49610
1769683257231350,49670
1769683257274413,49590
1769683257317432,49700
1769683257360216,49650
1769683257404610,49560
1769683257447550,49540
1769683257490315,49590
1769683257533153,49680
1769683257576064,49540
1769683257618693,49430
1769683257661816,49450
1769683257704904,49570
1769683257747798,49650
1769683257790233,49470
1769683257833411,49460
1769683257876382,49520
1769683257918891,49460
1769683257964187,49500
1769683258006782,49530
1769683258049791,49510
1769683258092899,49510
1769683258135849,49480
1769683258179006,49490
1769683258222095,49540
1769683258265136,49480
1769683258307509,49460
1769683258350673,49710
1769683258393267,49730
1769683258436334,49700
1769683258479253,49580
1769683258523976,49630
1769683258566705,49540
1769683258609921,49490
1769683258652864,49680
1769683258696014,49620
1769683258738439,49540
1769683258780933,49610
1769683258823866,49720
1769683258866673,49720
1769683258909821,49590
1769683258952279,49540
1769683258995071,49500
1769683259037926,49650
1769683259083765,49540
1769683259126445,49540
1769683259169287,49540
1769683259212661,49970
1769683259255721,49630
1769683259298492,49600
1769683259341628,49460
1769683259384811,49500
1769683259428044,49620
1769683259470721,49370
1769683259513721,49340
1769683259556867,49460
1769683259603364,49420
1769683259645832,49580
1769683259688930,49460
1769683259732124,49500
1769683259774952,49480
1769683259817904,49570
1769683259861061,49590
1769683259904208,49500
1769683259947068,49610
1769683259990247,49580
1769683260033315,49570
1769683260076349,49650
1769683260123197,49640
1769683260165918,49610
1769683260208913,49440
1769683260251876,49800
1769683260295085,49660
1769683260338252,49530
1769683260381187,49510
1769683260424197,49460
1769683260467227,49520
1769683260509924,49550
1769683260552103,49450
1769683260594739,49440
1769683260637775,49400
1769683260682773,49450
1769683260725939,49460
1769683260769058,49500
1769683260811597,49370
1769683260854016,49650
1769683260896419,49500
1769683260939415,49730
1769683260982593,49740
1769683261025876,49610
1769683261068799,49600
1769683261111949,49540
1769683261155097,49540
1769683261198277,49540
1769683261242617,49730
1769683261285766,49650
1769683261328824,49720
1769683261371897,49600
1769683261414652,49630
1769683261457805,49540
1769683261500903,49620
1769683261543798,49600
1769683261586614,49620
1769683261629862,49510
1769683261672724,49540
1769683261715806,49670
1769683261762274,49630
1769683261805065,49600
1769683261848195,49600
1769683261891121,49610
1769683261934270,49560
1769683261977332,49510
1769683262020496,49410
1769683262063427,49640
1769683262105833,49610
1769683262149038,49680
1769683262192176,49550
1769683262235112,49550
1769683262277921,49600
1769683262321900,49600
1769683262364956,49600
1769683262407883,49560
1769683262450628,49530
1769683262493854,49660
1769683262536986,49590
1769683262579491,49460
1769683262621961,49430
1769683262665121,49520
1769683262708185,49620
1769683262751156,49640
1769683262793686,49500
1769683262836770,49550
1769683262881683,49480
1769683262924783,49570
1769683262967630,49610
1769683263010090,49600
1769683263053215,49580
1769683263096050,49620
1769683263139091,49580
1769683263182137,49770
1769683263225392,49680
1769683263268441,49540
1769683263311218,49670
1769683263354226,49700
1769683263397141,49710
1769683263441279,49740
1769683263484344,49520
1769683263527431,49490
1769683263569719,49650
1769683263612799,49500
1769683263655615,49530
1769683263698465,49590
1769683263741352,49590
1769683263784475,49500
1769683263827231,49620
1769683263870314,49420
1769683263912523,49730
1769683263955467,49590
1769683264000832,49660
1769683264044001,49520
1769683264087135,49600
1769683264130295,49480
1769683264173447,49580
1769683264216642,49670
1769683264259779,49420
1769683264302582,49590
1769683264345260,49530
1769683264388379,49520
1769683264431473,49650
1769683264474450,49420
1769683264520493,49520
1769683264563628,49500
1769683264606368,49480
1769683264649568,49520
1769683264692752,49610
1769683264735652,49570
1769683264778772,49550
1769683264821961,49710
1769683264865170,49470
1769683264908351,49580
1769683264951093,49520
1769683264994268,49650
1769683265040065,49500
1769683265082779,49420
1769683265125638,49550
1769683265168031,49530
1769683265211052,49790
1769683265254066,49440
1769683265296836,49500
1769683265339837,49490
1769683265382631,49520
1769683265425794,49630
1769683265468926,49520
1769683265512070,49660
1769683265554843,49420
1769683265601021,49490
