unix_timestamp,active_power (mW)
1770033510636501,42570
1770033510679088,42610
1770033510722035,42460
1770033510765235,42490
1770033510808017,42440
1770033510850937,42500
1770033510893485,42550
1770033510935884,42440
1770033510981055,42460
1770033511024016,42480
1770033511067009,42410
1770033511109629,42480
1770033511152789,42520
1770033511195853,42460
1770033511238906,42450
1770033511281410,42440
1770033511324635,42460
1770033511367816,42410
1770033511410381,42510
1770033511453252,42620
1770033511496445,42550
1770033511541323,42480
1770033511584391,42560
1770033511627597,42480
1770033511670456,42510
1770033511713435,42500
1770033511756558,42550
1770033511799562,42540
1770033511842163,42450
1770033511885216,42520
1770033511927898,42400
1770033511970789,42490
1770033512013148,42420
1770033512055899,42400
1770033512101315,42500
1770033512144441,42450
1770033512187343,42420
1770033512230630,42370
1770033512273103,42510
1770033512315927,42430
1770033512358902,42500
1770033512401659,42420
1770033512444569,42590
1770033512487402,42430
1770033512530116,42470
1770033512573426,42470
1770033512616270,42380
1770033512661548,42480
1770033512704811,42580
1770033512747905,42620
1770033512790712,42470
1770033512833454,42550
1770033512876080,42540
1770033512918403,42500
1770033512960815,42570
1770033513003771,42520
1770033513046533,42510
1770033513088696,42510
1770033513131499,42480
1770033513174453,42570
1770033513217608,42540
1770033513261633,42470
1770033513304263,42480
1770033513346607,42450
1770033513389260,42520
1770033513431601,42480
1770033513474178,42540
1770033513517326,42500
1770033513560368,42460
1770033513603325,42400
1770033513645803,42470
1770033513688357,42500
1770033513730935,42450
1770033513773915,42520
1770033513816945,42560
1770033513862018,42520
1770033513904792,42530
1770033513947711,42540
1770033513990737,42520
1770033514033673,42530
1770033514076642,42500
1770033514119404,42530
1770033514162414,42560
1770033514205538,42530
1770033514248076,42480
1770033514290944,42530
1770033514333365,42490
1770033514376341,42490
1770033514422140,42490
1770033514465092,42550
1770033514508228,42530
1770033514551074,42430
1770033514594211,42510
1770033514637183,42440
1770033514680068,42440
1770033514723332,42520
1770033514766075,42420
1770033514809269,42510
1770033514851937,42410
1770033514894776,42410
1770033514937682,42460
1770033514982383,42490
1770033515025148,42440
1770033515067985,42480
1770033515110613,42440
1770033515153176,42490
1770033515196278,42400
1770033515239386,42380
1770033515282153,42520
1770033515325217,42400
1770033515368251,42410
1770033515411126,42430
1770033515453491,42480
1770033515496492,42560
1770033515542766,42490
1770033515585882,42560
1770033515628856,42510
1770033515671953,42540
1770033515715037,42570
1770033515758133,42550
1770033515801026,42650
1770033515844070,42560
1770033515886853,42580
1770033515929384,42470
1770033515972277,42550
1770033516014785,42420
1770033516057548,42500
1770033516103030,42520
1770033516145790,42460
1770033516188734,42500
1770033516231863,42530
1770033516274521,42550
1770033516317282,42580
1770033516360293,42580
1770033516403354,42610
1770033516445785,42590
1770033516488976,42490
1770033516532034,42570
1770033516575015,42670
1770033516618097,42530
1770033516663204,42530
1770033516706176,42490
1770033516749236,42510
1770033516791818,42460
1770033516834607,42490
1770033516877701,42490
1770033516920691,42460
1770033516963634,42450
1770033517006783,42430
1770033517049343,42480
1770033517092255,42460
1770033517135064,42420
1770033517178093,42520
1770033517223422,42480
1770033517266156,42470
1770033517309114,42390
1770033517352229,42350
1770033517395276,42440
1770033517437820,42490
1770033517480940,42440
1770033517523869,42440
1770033517566767,42600
1770033517609331,42470
1770033517652063,42480
1770033517694721,42480
1770033517737591,42440
1770033517783703,42480
1770033517826742,42460
1770033517869319,42410
1770033517912243,42460
1770033517955171,42470
1770033517997811,42460
1770033518040837,42480
1770033518083819,42480
1770033518126802,42580
1770033518169287,42530
1770033518212463,42530
1770033518255741,42590
1770033518298541,42520
1770033518343987,42530
1770033518386718,42540
1770033518429877,42510
1770033518473120,42480
1770033518515776,42510
1770033518558681,42440
1770033518601477,42570
1770033518644760,42520
1770033518687567,42440
1770033518730033,42440
1770033518772732,42480
1770033518815891,42450
1770033518858712,42490
1770033518904287,42480
1770033518947342,42460
1770033518989840,42480
1770033519032813,42490
1770033519076074,42450
1770033519118986,42490
1770033519161382,42460
1770033519204363,42540
1770033519247396,42380
1770033519290121,42410
1770033519333115,42540
1770033519376265,42500
1770033519419283,42450
1770033519464568,42380
1770033519507551,42400
1770033519550135,42460
1770033519593175,42520
1770033519636141,42480
1770033519679199,42420
1770033519721702,42460
1770033519764055,42500
1770033519807312,42440
1770033519849791,42510
1770033519892811,42450
1770033519935909,42480
1770033519979097,42460
1770033520024723,42440
1770033520067890,42360
1770033520110771,42420
1770033520153645,42460
1770033520196438,42460
1770033520239063,42490
1770033520282144,42410
1770033520324804,42490
1770033520367526,42390
1770033520410557,42450
1770033520453738,42440
1770033520496812,42490
1770033520539958,42540
1770033520585046,42430
1770033520628139,42610
1770033520671155,42510
1770033520714176,42520
1770033520756676,42470
1770033520799664,42430
1770033520842836,42520
1770033520885972,42450
1770033520928548,42480
1770033520971534,42450
1770033521014475,42530
1770033521057533,42470
1770033521100084,42420
1770033521145225,42420
1770033521188409,42440
1770033521231135,42410
1770033521273829,42480
1770033521316976,42450
1770033521359989,42460
1770033521403027,42500
1770033521445785,42460
1770033521488903,42500
1770033521532061,42500
1770033521575013,42520
1770033521618143,42470
1770033521661185,42460
1770033521705510,42480
1770033521748585,42530
1770033521791592,42480
1770033521834409,42480
1770033521877186,42540
1770033521920247,42430
1770033521963291,42440
1770033522005803,42410
1770033522048958,42520
1770033522091969,42440
1770033522134833,42460
1770033522177746,42450
1770033522220656,42460
1770033522265690,42480
1770033522308621,42470
1770033522351424,42460
1770033522394265,42440
1770033522436750,42540
1770033522478944,42530
1770033522521558,42450
1770033522564495,42560
1770033522607484,42470
1770033522650539,42550
1770033522693740,42700
1770033522736963,42490
1770033522779833,42500
1770033522825968,42500
1770033522869076,42540
1770033522912035,42470
1770033522954837,42460
1770033522997253,42480
1770033523040323,42470
1770033523083436,42470
1770033523126614,42490
1770033523169601,42490
1770033523212557,42400
1770033523255579,42440
1770033523298629,42460
1770033523341758,42430
1770033523386170,42500
1770033523429358,42430
1770033523472202,42430
1770033523514685,42480
1770033523557204,42480
1770033523599685,42530
1770033523642221,42510
1770033523685557,42480
1770033523728704,42600
1770033523771690,42500
1770033523814070,42540
1770033523857215,42560
1770033523900361,42480
1770033523946346,42510
1770033523989227,42440
1770033524032375,42440
1770033524075424,42500
1770033524118408,42510
1770033524161473,42420
1770033524204437,42410
1770033524247503,42470
1770033524290273,42470
1770033524333151,42490
1770033524376006,42450
1770033524418705,42510
1770033524461184,42490
1770033524506662,42430
1770033524549104,42410
1770033524591871,42560
1770033524634787,42430
1770033524677681,42460
1770033524720567,42620
1770033524763436,42480
1770033524805943,42470
1770033524848932,42490
1770033524891977,42400
1770033524934979,42450
1770033524977829,42490
1770033525020838,42450
1770033525066795,42500
1770033525109911,42530
1770033525152906,42520
1770033525195800,42490
1770033525238596,42470
1770033525281464,42480
1770033525324352,42490
1770033525367254,42570
1770033525409729,42440
1770033525452699,42440
1770033525494987,42460
1770033525537322,42430
1770033525580129,42430
1770033525626997,42440
1770033525669462,42390
1770033525712637,42430
1770033525755527,42560
1770033525798153,42450
1770033525840836,42470
1770033525883413,42540
1770033525925676,42490
1770033525968827,42480
1770033526011770,42500
1770033526054898,42520
1770033526097629,42460
1770033526140715,42520
1770033526187334,42570
1770033526230385,42610
1770033526272990,42610
1770033526316103,42570
1770033526359218,42610
1770033526402327,42570
1770033526445461,42590
1770033526488792,42520
1770033526531751,42540
1770033526574514,42490
1770033526617300,42480
1770033526660297,42470
