unix_timestamp,active_power (mW)
1770034302917854,43890
1770034302960769,44030
1770034303003774,43920
1770034303046782,43910
1770034303089668,43970
1770034303132594,44010
1770034303175637,43910
1770034303218652,43880
1770034303261490,43870
1770034303304852,43840
1770034303347916,43870
1770034303391052,43990
1770034303436255,43900
1770034303478676,43960
1770034303521150,43840
1770034303563872,43870
1770034303606942,43870
1770034303650099,43860
1770034303693116,43850
1770034303736278,43810
1770034303779015,43820
1770034303821984,43800
1770034303864914,43790
1770034303907728,43780
1770034303949986,43710
1770034303995998,43820
1770034304038988,43750
1770034304081322,43740
1770034304124188,43710
1770034304167088,43710
1770034304210091,43700
1770034304253013,43710
1770034304296035,43770
1770034304338993,43770
1770034304381877,43790
1770034304424994,43800
1770034304468398,43870
1770034304511438,43900
1770034304556098,43940
1770034304599232,43890
1770034304642482,43970
1770034304685708,43970
1770034304728276,43960
1770034304771190,44020
1770034304814358,43920
1770034304857208,43920
1770034304900450,43980
1770034304943302,43940
1770034304986119,43900
1770034305029291,44000
1770034305076125,43950
1770034305119308,44030
1770034305161801,43970
1770034305204293,43920
1770034305247198,43920
1770034305289903,43960
1770034305332564,43920
1770034305374937,43950
1770034305417801,43860
1770034305460749,43810
1770034305503885,43740
1770034305546744,43800
1770034305589683,43750
1770034305636109,43670
1770034305679102,43710
1770034305722102,43660
1770034305764940,43680
1770034305808081,43810
1770034305850866,43660
1770034305893442,43720
1770034305936254,43770
1770034305979235,43770
1770034306022089,43810
1770034306065220,43940
1770034306108283,43770
1770034306150921,43800
1770034306196222,43860
1770034306239310,43810
1770034306282528,43960
1770034306324971,43970
1770034306367980,43900
1770034306410803,43920
1770034306453912,43910
1770034306496915,43920
1770034306539949,43920
1770034306582836,43890
1770034306625887,43990
1770034306668893,43890
1770034306711965,43910
1770034306756211,43950
1770034306798952,43870
1770034306841330,43870
1770034306883881,43890
1770034306926480,43990
1770034306969254,43950
1770034307012081,43860
1770034307054968,43870
1770034307098109,43950
1770034307140572,43850
1770034307183047,43830
1770034307225345,43800
1770034307267702,43810
1770034307310900,43800
1770034307356101,43790
1770034307399072,43750
1770034307442000,43750
1770034307484941,43700
1770034307527795,43830
1770034307570834,43790
1770034307613697,43800
1770034307656178,43810
1770034307699163,43780
1770034307742038,43790
1770034307784982,43770
1770034307828049,43790
1770034307870944,43740
1770034307916091,43770
1770034307958939,43840
1770034308001701,43820
1770034308044881,43860
1770034308087878,43980
1770034308130507,43820
1770034308173245,43780
1770034308216282,43840
1770034308259267,43810
1770034308301808,43890
1770034308344999,43930
1770034308388190,43820
1770034308431044,43840
1770034308476073,43860
1770034308518616,43850
1770034308561748,43900
1770034308604609,43870
1770034308647632,43890
1770034308690600,43880
1770034308733582,43900
1770034308776609,43880
1770034308819428,43890
1770034308862138,43910
1770034308905366,43910
1770034308948186,43890
1770034308990672,43830
1770034309036070,43840
1770034309079150,43820
1770034309122159,43970
1770034309165244,43840
1770034309208340,43830
1770034309251220,43750
1770034309294047,43810
1770034309337269,43740
1770034309380419,43780
1770034309423433,43750
1770034309466161,43780
1770034309509131,43800
1770034309552048,43700
1770034309595981,43850
1770034309638808,43840
1770034309681968,43900
1770034309725022,43890
1770034309768162,43930
1770034309810964,43920
1770034309853620,43930
1770034309896141,43850
1770034309938934,43980
1770034309981760,43970
1770034310024538,43950
1770034310067330,43910
1770034310110381,43940
1770034310156105,43880
1770034310198991,43980
1770034310241342,43960
1770034310284354,43890
1770034310327497,43930
1770034310370080,43980
1770034310413227,43870
1770034310456364,43930
1770034310499318,43990
1770034310542147,43920
1770034310585366,43880
1770034310628554,43970
1770034310671300,43950
1770034310716035,43860
1770034310758781,43980
1770034310801318,43830
1770034310844439,43900
1770034310887352,43960
1770034310929896,43830
1770034310973045,43880
1770034311016176,43870
1770034311059051,43830
1770034311102238,43780
1770034311145271,43730
1770034311188273,43870
1770034311231235,43790
1770034311275881,43750
1770034311319057,43790
1770034311361853,43780
1770034311404847,43820
1770034311447951,43810
1770034311490748,43800
1770034311533201,43810
1770034311576257,43780
1770034311619089,43830
1770034311661887,43820
1770034311704318,43800
1770034311747281,43760
1770034311790156,43880
1770034311835945,43880
1770034311878703,43910
1770034311921216,43930
1770034311964349,44000
1770034312007002,43810
1770034312049840,44000
1770034312093104,43970
1770034312136314,43970
1770034312179132,43970
1770034312221627,44060
1770034312264548,43920
1770034312307062,43940
1770034312349580,43970
1770034312396008,43930
1770034312438442,43840
1770034312481246,43950
1770034312524208,43970
1770034312566992,43970
1770034312610174,43990
1770034312653349,43880
1770034312696295,43860
1770034312739484,43880
1770034312782566,43860
1770034312825446,43790
1770034312868627,43820
1770034312911480,43780
1770034312955737,43750
1770034312998620,43720
1770034313041745,43820
1770034313084751,43710
1770034313127739,43770
1770034313170608,43790
1770034313213587,43900
1770034313256769,43730
1770034313299931,43800
1770034313342935,43820
1770034313386137,43800
1770034313428967,43850
1770034313475815,43840
1770034313519078,43880
1770034313561857,43840
1770034313604979,43870
1770034313648268,43950
1770034313691252,43920
1770034313733625,43890
1770034313776700,43920
1770034313819744,43910
1770034313862610,43870
1770034313905187,43910
1770034313948369,43860
1770034313991236,43880
1770034314035865,43870
1770034314079034,43930
1770034314122069,44050
1770034314164615,43920
1770034314207587,43840
1770034314250435,44060
