unix_timestamp,active_power (mW)
1770034940052622,45980
1770034940095357,42050
1770034940138304,45620
1770034940181171,46060
1770034940224229,46030
1770034940266513,46050
1770034940309074,46090
1770034940352106,46150
1770034940394591,46060
1770034940437233,46050
1770034940479648,46080
1770034940522241,46070
1770034940565238,46170
1770034940610364,46120
1770034940652810,46110
1770034940695731,46050
1770034940738467,46110
1770034940781450,46120
1770034940823982,46080
1770034940867059,46120
1770034940909432,46140
1770034940952546,46290
1770034940995582,46140
1770034941038147,46120
1770034941081291,46070
1770034941124226,46030
1770034941170295,46010
1770034941213468,46030
1770034941256414,46110
1770034941299424,46130
1770034941342405,46040
1770034941385346,46050
1770034941428172,46090
1770034941470795,46100
1770034941513800,46060
1770034941557040,46140
1770034941600058,46070
1770034941643038,46120
1770034941685558,46100
1770034941730315,46140
1770034941773073,46090
1770034941816157,46060
1770034941859116,46140
1770034941902219,46120
1770034941944461,46280
1770034941987462,46000
1770034942030132,46080
1770034942072611,46080
1770034942115547,46050
1770034942158223,46050
1770034942201264,46110
1770034942244127,46000
1770034942290200,46060
1770034942333272,46050
1770034942376236,46050
1770034942419172,46090
1770034942461861,46070
1770034942505028,46040
1770034942547991,46110
1770034942590861,46010
1770034942633331,46070
1770034942676386,46090
1770034942719297,46030
1770034942761951,46160
1770034942805133,46170
1770034942850073,46040
1770034942893187,46110
1770034942936359,46040
1770034942978881,46110
1770034943021820,46220
1770034943064714,46140
1770034943107453,46150
1770034943150333,46060
1770034943193138,46070
1770034943236124,46080
1770034943278838,46130
1770034943321436,46060
1770034943364264,46080
1770034943410052,46170
1770034943453263,46010
1770034943496376,46100
1770034943539431,46030
1770034943582130,46070
1770034943625055,46100
1770034943668035,46000
1770034943711016,45960
1770034943754501,45980
1770034943797565,45960
1770034943840599,46050
1770034943883486,45860
1770034943930018,45930
1770034943972342,45980
1770034944015012,45980
1770034944058047,45860
1770034944101288,45880
1770034944144117,45920
1770034944186709,45870
1770034944229491,45930
1770034944272009,45920
1770034944314755,45910
1770034944357605,45890
1770034944400066,45850
1770034944442488,45920
1770034944484818,45960
1770034944529965,45910
1770034944572761,45900
1770034944615514,45900
1770034944658415,45990
1770034944701234,45940
1770034944744133,45940
1770034944786826,45880
1770034944829564,45920
1770034944872350,45890
1770034944914968,45950
1770034944957998,45920
1770034945000983,45880
1770034945043723,46110
1770034945089930,45970
1770034945132970,45910
1770034945175922,45900
1770034945219083,45960
1770034945262110,45960
1770034945305129,45950
1770034945348338,45950
1770034945391168,45910
1770034945433866,45900
1770034945477012,45940
1770034945520095,46000
1770034945562960,45940
1770034945609870,45960
1770034945653020,45910
1770034945695790,45890
1770034945738366,45930
1770034945780881,45940
1770034945823343,45960
1770034945865930,45880
1770034945909070,45950
1770034945951952,45980
1770034945994786,45940
1770034946037336,45850
1770034946080253,46060
1770034946123314,45970
1770034946169870,45930
1770034946212967,45940
1770034946255942,45940
1770034946298787,45980
1770034946341905,45950
1770034946385008,45860
1770034946428023,46000
1770034946470756,45900
1770034946513674,45920
1770034946556717,45970
1770034946599367,45950
1770034946642514,45890
1770034946685240,46000
1770034946730020,45930
1770034946773108,45910
1770034946816067,45960
1770034946859004,45870
1770034946901673,45900
1770034946944864,45950
1770034946987943,45960
1770034947030871,45900
1770034947073461,46070
1770034947116563,45870
1770034947159257,45940
1770034947202214,45900
1770034947245296,45920
1770034947289985,45910
1770034947333199,45870
1770034947376373,45870
1770034947419314,45940
1770034947462313,45950
1770034947504725,45910
1770034947547707,45900
1770034947590782,45960
1770034947633759,45940
1770034947676938,45940
1770034947719930,45890
1770034947762824,45880
1770034947805568,45870
1770034947850008,45880
1770034947892828,45830
1770034947935532,45880
1770034947978059,45860
1770034948020796,45890
1770034948063124,45820
1770034948105644,45890
1770034948148873,45910
1770034948191346,45810
1770034948234587,45820
1770034948277850,45860
1770034948320697,45860
1770034948363890,45880
1770034948411347,45840
1770034948454083,45880
1770034948497139,45890
1770034948540328,45900
1770034948583255,45900
1770034948626680,45880
1770034948669700,45910
1770034948712679,45820
1770034948755587,45840
1770034948798675,45880
1770034948841255,45980
1770034948884340,45880
1770034948930137,45850
1770034948973185,45970
1770034949016154,46000
1770034949058774,46020
1770034949101155,46080
1770034949144098,45990
1770034949187082,46020
1770034949229873,46000
1770034949273190,46010
1770034949316024,46050
1770034949359162,46100
1770034949402093,46060
1770034949445207,46120
1770034949490475,46070
1770034949533480,46070
1770034949576537,46080
1770034949619433,46120
1770034949661929,46110
1770034949704975,46070
1770034949748149,46070
1770034949791291,46090
1770034949833977,45990
1770034949877093,46040
1770034949919550,45990
1770034949962394,46010
1770034950005355,45950
1770034950050338,45890
1770034950093549,45940
1770034950136710,46040
1770034950179951,45990
1770034950222769,45920
1770034950265113,45880
1770034950308190,45910
1770034950350975,45910
1770034950393562,45880
1770034950436187,45930
1770034950478955,45950
1770034950521396,45890
1770034950564373,45980
1770034950610588,45950
1770034950653172,45960
1770034950695961,46000
1770034950739079,46010
1770034950781610,46090
1770034950824076,46060
1770034950866613,46100
1770034950909696,46050
1770034950952656,46060
1770034950995737,46070
1770034951038786,46010
1770034951081687,46050
1770034951124604,46080
1770034951170576,46160
1770034951213298,45960
1770034951256329,45950
1770034951299497,46000
1770034951342684,46030
1770034951385909,45840
1770034951430303,45940
1770034951473367,45880
1770034951516237,45890
1770034951559404,45830
1770034951602381,45810
1770034951645386,45850
1770034951690578,45810
1770034951733691,45860
1770034951776976,45870
1770034951819535,45870
1770034951862432,45870
1770034951905369,45820
1770034951948409,45910
1770034951991679,45970
1770034952034189,45920
1770034952077026,45990
1770034952119472,46050
1770034952162437,46040
1770034952205316,46150
1770034952250717,46030
1770034952293874,46060
1770034952336767,46120
1770034952379801,46150
1770034952422562,46030
1770034952465406,46030
1770034952508447,46070
1770034952551412,46040
1770034952594110,46030
1770034952637249,46060
1770034952680371,46020
1770034952723280,45930
1770034952766200,46000
1770034952810779,45970
1770034952853266,45950
1770034952896179,46010
1770034952938585,45940
1770034952981222,45910
1770034953024240,45990
1770034953066859,45900
1770034953109270,45880
1770034953151943,45930
1770034953195103,45830
1770034953238276,45980
1770034953280781,45900
1770034953323832,45960
1770034953366688,45880
1770034953411033,45950
1770034953453867,45980
1770034953496887,45990
1770034953540017,46060
1770034953582957,46050
1770034953625331,46050
1770034953668534,46070
1770034953711363,45980
1770034953753944,46020
1770034953796976,46040
1770034953840063,46060
1770034953883105,46090
1770034953925764,46030
1770034953971314,46080
1770034954014107,46160
1770034954057271,46150
1770034954100320,46130
1770034954143173,46120
1770034954185900,46100
1770034954229007,46160
1770034954271989,46190
1770034954315028,46040
1770034954357938,46030
1770034954401079,45990
1770034954443924,45960
1770034954486494,45930
1770034954531273,45890
1770034954574054,45880
1770034954616663,45910
1770034954659646,45870
1770034954702710,45880
1770034954745779,45900
1770034954788572,45820
1770034954831510,45870
1770034954874101,45830
1770034954917273,45860
1770034954959895,45890
1770034955002757,45880
1770034955045671,45940
1770034955091392,46040
1770034955134196,45980
1770034955177095,46020
1770034955220065,45890
1770034955262914,46070
1770034955305608,45990
1770034955348611,46010
1770034955391414,46020
1770034955434031,46040
1770034955476404,46000
1770034955518687,46040
1770034955561334,46100
1770034955604087,46140
1770034955647005,46080
1770034955691673,46140
1770034955734416,46080
1770034955776973,46100
1770034955819709,46150
1770034955862379,46110
1770034955904863,46100
1770034955947768,46090
1770034955990891,46070
1770034956033903,46070
1770034956076964,46160
