unix_timestamp,active_power (mW)
1770036345964458,44840
1770036346007194,37280
1770036346049857,44820
1770036346092315,44980
1770036346135292,45000
1770036346178089,44910
1770036346221155,44890
1770036346264139,44900
1770036346307255,44900
1770036346353201,44930
1770036346396375,44900
1770036346439439,44930
1770036346482398,44910
1770036346525598,44880
1770036346568549,44910
1770036346611688,44940
1770036346654634,44850
1770036346697794,44900
1770036346740873,44860
1770036346783854,44900
1770036346827002,44880
1770036346873193,45000
1770036346916332,44870
1770036346959452,44840
1770036347001959,44880
1770036347044905,44860
1770036347087524,44830
1770036347130509,44920
1770036347173192,44850
1770036347216393,44850
1770036347259593,44880
1770036347303138,44850
1770036347346481,44840
1770036347393359,44890
1770036347435964,44830
1770036347479098,44800
1770036347521745,44850
1770036347564695,44840
1770036347607521,44840
1770036347650708,44790
1770036347693750,44830
1770036347736819,44860
1770036347779500,44770
1770036347822576,44840
1770036347865385,44870
1770036347908490,44850
1770036347953366,44800
1770036347996217,44870
1770036348039128,44940
1770036348081590,44910
1770036348124711,44850
1770036348167164,44890
1770036348210037,44790
1770036348252510,44880
1770036348294991,44890
1770036348338201,44890
1770036348380630,44840
1770036348423521,44850
1770036348466447,44830
1770036348509233,44840
1770036348553356,44730
1770036348596104,44790
1770036348638556,44720
1770036348681692,44720
1770036348724692,44780
1770036348767650,44720
1770036348810570,44640
1770036348853171,44710
1770036348896049,44650
1770036348938975,44820
1770036348981674,44680
1770036349024669,44720
1770036349067771,44750
1770036349113432,44770
1770036349155991,44800
1770036349198973,44800
1770036349241584,44850
1770036349284642,44770
1770036349327866,44810
1770036349370711,44840
1770036349413277,44810
1770036349456280,44930
1770036349499314,44910
1770036349542007,44890
1770036349585157,44870
1770036349628295,44900
1770036349673449,44860
1770036349716590,44980
1770036349759429,44860
1770036349802227,44910
1770036349845074,44820
1770036349888198,44900
1770036349931133,44840
1770036349973954,45020
1770036350016477,44850
1770036350059354,44860
1770036350101964,44840
1770036350144981,44820
1770036350187939,44870
1770036350233318,44750
1770036350276405,44780
1770036350319683,44800
1770036350362041,44690
1770036350405052,44700
1770036350448202,44780
1770036350490755,44730
1770036350533611,44740
1770036350576736,44770
1770036350619689,44830
1770036350662491,44760
1770036350705470,44780
1770036350748644,44800
1770036350793388,44810
1770036350836528,44820
1770036350879661,44860
1770036350922229,44840
1770036350965212,45050
1770036351008410,44780
1770036351051404,44840
1770036351094085,44840
1770036351137108,44910
1770036351179397,44830
1770036351221992,44830
1770036351265164,44850
1770036351308182,44840
1770036351353492,44840
1770036351396562,44770
1770036351439510,44810
1770036351482207,44790
1770036351525412,44820
1770036351568604,44740
1770036351611599,44780
1770036351654739,44730
1770036351697822,44690
1770036351740829,44830
1770036351783960,44740
1770036351827172,44790
1770036351873320,44740
1770036351916484,44820
1770036351959263,44740
1770036352002014,44790
1770036352045105,44810
1770036352088252,44730
1770036352131231,44720
1770036352174668,44780
1770036352217320,44780
1770036352260372,44800
1770036352303354,44880
1770036352346079,44880
1770036352388775,44830
1770036352433549,44920
1770036352476284,44860
1770036352519224,44890
1770036352562066,44860
1770036352605251,44910
1770036352648462,44920
1770036352691403,44800
1770036352734587,44930
1770036352777305,44890
1770036352820361,44880
1770036352863370,44880
1770036352906264,44920
1770036352948648,44840
1770036352993600,44890
1770036353036661,44900
1770036353079441,44870
1770036353122474,44780
1770036353165616,44730
1770036353208688,44620
1770036353251662,44680
1770036353294674,44610
1770036353337667,44550
1770036353380531,44700
1770036353423467,44620
1770036353466545,44650
1770036353509607,44730
1770036353553477,44760
1770036353596363,44720
1770036353639342,44820
1770036353681992,44790
1770036353725177,44820
1770036353768135,44820
1770036353810895,44810
1770036353853540,44820
1770036353896005,44880
1770036353938821,44840
1770036353981762,44870
1770036354024938,44910
1770036354067829,45050
1770036354113624,44850
1770036354156583,44940
1770036354199467,44930
