unix_timestamp,active_power (mW)
1770039266716614,46050
1770039266759514,43660
1770039266805010,45620
1770039266848130,46070
1770039266891302,46030
1770039266933913,46090
1770039266976936,46020
1770039267019469,45960
1770039267061949,46020
1770039267104913,45990
1770039267148089,45980
1770039267190980,46060
1770039267234055,46050
1770039267276827,46000
1770039267319720,45970
1770039267364848,46080
1770039267407876,46030
1770039267450555,46010
1770039267493548,45960
1770039267536371,46030
1770039267579377,46000
1770039267622131,45960
1770039267664767,45860
1770039267707094,45990
1770039267749820,45970
1770039267792215,45970
1770039267834959,45980
1770039267877562,46080
1770039267921031,46000
1770039267964779,45990
1770039268007783,45990
1770039268050701,46010
1770039268093215,45970
1770039268136093,45930
1770039268179123,46020
1770039268222023,45970
1770039268265034,45980
1770039268308068,45940
1770039268350983,46090
1770039268394103,46100
1770039268437350,46030
1770039268480540,46040
1770039268524649,46060
1770039268567668,45960
1770039268610914,45970
1770039268654095,46020
1770039268697223,45970
1770039268740098,46040
1770039268782897,46040
1770039268826201,45970
1770039268868760,45980
1770039268911746,45890
1770039268954750,46030
1770039268997870,45990
1770039269044427,45990
1770039269087437,45930
1770039269130029,45980
1770039269173208,45930
1770039269216201,45910
1770039269259210,45950
1770039269302025,46010
1770039269345268,45940
1770039269388325,46120
1770039269431361,45960
1770039269474141,46060
1770039269517408,46070
1770039269564281,45960
1770039269607183,45960
1770039269649806,45990
1770039269692483,46000
1770039269735392,45980
1770039269778051,45930
1770039269821134,46000
1770039269864267,46030
1770039269907202,46020
1770039269949816,46010
1770039269992971,46000
1770039270036184,45930
1770039270079018,46050
1770039270124019,45980
1770039270166833,45900
1770039270209949,45950
1770039270253131,45910
1770039270295990,45910
1770039270338847,45900
1770039270381226,45900
1770039270423826,46010
1770039270466608,45820
1770039270509739,45860
1770039270552353,45870
1770039270595131,45850
1770039270638053,45830
1770039270683785,45850
1770039270726673,45900
1770039270769115,45960
1770039270812298,45930
1770039270855426,45990
1770039270898435,45960
1770039270941111,45910
1770039270984373,46020
1770039271027139,46010
1770039271070188,45960
1770039271113271,45970
1770039271156190,45980
1770039271199343,46020
1770039271243638,46000
1770039271286008,45970
