unix_timestamp,active_power (mW)
1769526585341236,43300
1769526585383700,43580
1769526585426694,43760
1769526585469830,43730
1769526585512912,43760
1769526585555774,43790
1769526585598714,43860
1769526585641631,43800
1769526585683932,43810
1769526585726882,43890
1769526585771940,43930
1769526585815157,43870
1769526585858293,43810
1769526585900872,43900
1769526585943893,43790
1769526585986631,43790
1769526586029773,43810
1769526586072968,43670
1769526586115457,43700
1769526586157983,43640
1769526586201084,43590
1769526586243974,43630
1769526586287211,43640
1769526586331889,43750
1769526586375002,43750
1769526586418177,43870
1769526586461128,43840
1769526586504242,43840
1769526586547060,43810
1769526586590115,43890
1769526586633151,43850
1769526586676031,43780
1769526586718735,43840
1769526586761851,43800
1769526586804935,43860
1769526586851816,43690
1769526586894534,43770
1769526586936911,43650
1769526586980162,43640
1769526587023147,43690
1769526587066022,43680
1769526587108340,43620
1769526587151064,43670
1769526587193753,43690
1769526587236946,43690
1769526587279995,43770
1769526587323118,43770
1769526587366229,43900
1769526587411743,43910
1769526587454781,43840
1769526587497673,43800
1769526587540783,43740
1769526587583817,43740
1769526587626884,43740
1769526587669833,43700
1769526587713006,43600
1769526587756053,43670
1769526587798416,43660
1769526587841216,43780
1769526587884399,43670
1769526587927546,43670
1769526587971612,43750
1769526588014708,43650
1769526588057947,43840
1769526588100973,43790
1769526588143575,43810
1769526588186116,43870
1769526588229288,43840
1769526588272305,43820
1769526588315257,43840
1769526588357815,43800
1769526588400779,43730
1769526588443895,43730
1769526588486719,43660
1769526588531513,43650
1769526588574623,43710
1769526588617819,43760
1769526588660957,43700
1769526588704008,43770
1769526588746759,43790
1769526588789852,43740
1769526588832736,43760
1769526588875611,43910
1769526588917857,43900
1769526588960961,43840
1769526589004256,43880
1769526589046994,43810
1769526589091504,43870
1769526589133863,43850
1769526589177009,43870
1769526589219881,43850
1769526589263000,43900
1769526589305951,43860
1769526589348807,43770
1769526589391745,43800
1769526589434893,43800
1769526589477675,43740
1769526589520815,43830
1769526589563919,43810
1769526589606770,43910
1769526589651198,43890
1769526589693790,43840
1769526589736896,43730
1769526589779920,43770
1769526589822990,43760
1769526589866060,43950
1769526589909341,43780
1769526589952459,43760
1769526589995255,43860
1769526590037880,43830
1769526590080916,43810
1769526590123283,43760
1769526590165932,43750
1769526590211019,43720
1769526590254050,43690
1769526590297044,43660
1769526590340028,43800
1769526590383037,43740
1769526590425869,43860
1769526590469088,43870
1769526590512285,43870
1769526590555119,43810
1769526590598310,43790
1769526590641330,43890
1769526590684523,43850
1769526590730896,43800
1769526590773898,43720
1769526590816926,43850
1769526590860083,43880
1769526590902671,43940
1769526590945644,43970
1769526590988431,43950
1769526591031595,43860
1769526591074669,43880
1769526591117798,43970
1769526591161001,43830
1769526591203842,43870
1769526591250759,43770
1769526591293835,43860
1769526591336657,43960
1769526591379791,43960
1769526591422421,43930
1769526591465497,43870
1769526591508725,43880
1769526591551651,43860
1769526591594678,43800
1769526591637835,43840
1769526591680926,43830
1769526591723966,43790
1769526591770491,43880
1769526591813669,43830
1769526591856864,43890
1769526591900000,43900
1769526591942649,43900
1769526591985723,43830
1769526592028792,43830
1769526592071831,43840
1769526592114498,43920
1769526592157591,43820
1769526592200670,43910
1769526592243797,43880
1769526592290255,43820
1769526592333374,43790
1769526592376481,43840
1769526592419528,43880
1769526592461825,43900
1769526592504750,43950
1769526592547149,43900
1769526592590285,43910
1769526592633191,43860
1769526592676087,43800
1769526592719330,43820
1769526592762451,43870
1769526592805589,43890
1769526592849981,43910
1769526592893239,43910
1769526592936324,44090
1769526592979391,43780
1769526593022395,43770
1769526593065218,43750
1769526593107546,43840
1769526593150468,43860
1769526593193706,43810
1769526593236834,43920
1769526593279597,43910
1769526593322751,43800
1769526593369660,43860
1769526593412759,43910
1769526593455730,43890
1769526593498835,43870
1769526593541947,43790
1769526593584865,43730
1769526593628020,43810
1769526593671098,43780
1769526593714123,43730
1769526593757244,43740
1769526593800300,43760
1769526593843141,43660
1769526593889316,43740
1769526593932547,43820
1769526593975645,43920
1769526594018785,43760
1769526594061753,43810
1769526594104945,43730
1769526594147535,43730
1769526594189797,43720
1769526594232749,43800
1769526594275847,43750
1769526594318811,43800
1769526594361988,43820
1769526594409155,43860
1769526594452206,43830
1769526594495094,43850
1769526594537511,43790
1769526594580695,43810
1769526594623786,43870
1769526594666733,43900
1769526594709775,43920
1769526594752589,43970
1769526594795307,43870
1769526594838319,43880
1769526594881490,43820
1769526594924643,43840
1769526594968880,43980
1769526595012003,43890
1769526595054740,43860
1769526595097694,43810
1769526595140777,43840
1769526595183617,43810
1769526595226310,43770
1769526595269239,43880
1769526595312514,43830
1769526595355017,43710
1769526595398182,43690
1769526595441142,43730
1769526595484179,43720
1769526595528351,43780
1769526595571206,43670
1769526595614173,43670
1769526595657223,43620
1769526595700151,43710
1769526595743171,43730
1769526595786125,43720
1769526595829421,43840
1769526595872384,43790
1769526595914959,43890
1769526595957867,43770
1769526596001005,43800
1769526596043675,43860
1769526596088237,43820
1769526596130689,43880
1769526596173834,43920
1769526596216990,43950
1769526596260144,43920
1769526596303189,43870
1769526596346236,43810
1769526596389305,43890
1769526596432325,43810
1769526596475426,43910
1769526596518444,43890
1769526596561457,43910
1769526596608073,43810
1769526596650737,43850
1769526596693966,43830
1769526596736847,43860
1769526596779921,43850
1769526596823062,43850
1769526596865898,43920
1769526596908439,43880
1769526596951022,43850
1769526596994171,43820
1769526597037198,43880
1769526597080203,43950
1769526597122833,43880
1769526597167578,43800
1769526597210071,43760
1769526597252846,43660
1769526597295946,43830
1769526597339009,43730
1769526597382021,43740
1769526597425255,43700
1769526597468003,43700
1769526597511166,43700
1769526597553838,43710
1769526597596974,43800
1769526597640184,43840
1769526597683027,43840
1769526597727328,43760
1769526597769962,43760
1769526597812819,43680
1769526597855902,43760
1769526597898924,43810
1769526597941752,43770
1769526597984754,43930
1769526598027859,43860
1769526598070780,44040
1769526598113903,43830
1769526598157106,43750
1769526598199936,43850
1769526598242742,43860
1769526598287119,43860
1769526598329873,43860
1769526598372814,43860
1769526598415896,43870
1769526598459019,43850
1769526598501950,43890
1769526598545060,43870
1769526598588336,43880
1769526598631259,43810
1769526598673755,43860
1769526598716829,43890
1769526598759781,43820
1769526598802618,43880
1769526598846816,43780
1769526598889864,43800
1769526598932998,43880
1769526598976134,43860
1769526599019192,43720
1769526599061861,43680
1769526599104179,43860
1769526599146765,43730
1769526599189787,43830
1769526599232933,43820
1769526599275768,43810
1769526599318581,43760
1769526599361814,43680
1769526599406452,43730
1769526599449619,43810
1769526599492161,43770
1769526599534946,43810
1769526599578094,43850
1769526599621069,43830
1769526599664184,43930
1769526599707096,43900
1769526599750264,43820
1769526599793282,43910
1769526599836240,43860
1769526599879202,43900
1769526599921896,43850
1769526599966401,43820
1769526600009364,43860
1769526600052411,43940
1769526600095463,43980
1769526600138659,43910
1769526600181517,43870
1769526600224678,43850
1769526600267194,43700
