unix_timestamp,active_power (mW)
1769527435989088,43930
1769527436032075,44290
1769527436074755,45970
1769527436118097,45960
1769527436161136,45980
1769527436205730,46000
1769527436248821,45980
1769527436291233,46010
1769527436334218,45950
1769527436377322,45910
1769527436420359,45990
1769527436463267,45890
1769527436506032,45940
1769527436549058,45920
1769527436592252,45860
1769527436635415,45910
1769527436678327,45840
1769527436721474,45890
1769527436765891,45790
1769527436808987,45840
1769527436851934,45870
1769527436894716,45870
1769527436937937,45890
1769527436980929,45880
1769527437023808,45950
1769527437066998,45970
1769527437109974,45880
1769527437153090,45970
1769527437195970,45970
1769527437238713,45930
1769527437281730,45900
1769527437326036,45830
1769527437369179,45860
1769527437411956,45770
1769527437454766,45780
1769527437497735,45750
1769527437540987,45810
1769527437584167,45790
1769527437627363,45820
1769527437670350,45860
1769527437713408,45840
1769527437756434,46040
1769527437799650,45840
1769527437846069,45960
1769527437889399,46010
1769527437931813,45890
1769527437974314,46030
1769527438017251,45950
1769527438060308,45950
1769527438102846,45860
1769527438145323,45850
1769527438188295,45860
1769527438231102,45850
1769527438274086,45840
1769527438317085,45810
1769527438360049,45850
1769527438406205,45850
1769527438449367,45950
1769527438492238,45960
1769527438534835,45920
1769527438577995,45920
1769527438620917,46000
1769527438663904,46040
1769527438706988,45990
1769527438749795,45870
1769527438792599,45980
1769527438835674,45980
1769527438878785,45860
1769527438921230,45850
1769527438966422,45850
1769527439009446,45860
1769527439052373,45830
1769527439095612,45830
1769527439138045,45810
1769527439181099,45780
1769527439223914,45860
1769527439266228,45810
1769527439308905,45820
1769527439351989,45830
1769527439395059,45930
1769527439438174,45910
1769527439481181,45920
1769527439526449,45990
1769527439569641,45940
1769527439612873,45890
1769527439656090,45840
1769527439699253,45920
1769527439741780,45840
1769527439784895,45920
1769527439827801,45870
1769527439870824,45770
1769527439913928,45870
1769527439957153,45810
1769527440000204,45830
1769527440046722,45870
1769527440089289,45890
1769527440131765,45930
1769527440174423,45820
1769527440217530,45950
1769527440260434,45860
1769527440303277,45860
1769527440346191,45910
1769527440389369,45910
1769527440432059,46010
1769527440475188,45960
1769527440517691,45950
1769527440560634,45850
1769527440606736,45970
1769527440650361,45900
1769527440693437,45870
1769527440736310,45860
1769527440779304,45820
1769527440822331,45980
1769527440865285,45860
1769527440908439,45810
1769527440951609,45800
1769527440994668,45830
1769527441037710,45830
1769527441080876,45810
1769527441126689,45830
1769527441169877,45840
1769527441212802,45880
1769527441255904,45920
1769527441298676,45860
1769527441341782,45900
1769527441384950,45960
1769527441427840,45890
1769527441470420,45950
1769527441513421,46020
1769527441556370,45950
1769527441599622,45960
1769527441642475,45960
1769527441686861,45900
1769527441729707,45960
1769527441772849,45900
1769527441815914,45970
1769527441858993,46000
1769527441901972,45850
1769527441945057,45930
1769527441988240,45850
1769527442031316,45900
1769527442074368,45910
1769527442117532,45910
1769527442160417,45880
1769527442206962,45870
1769527442249585,45930
1769527442292228,45870
1769527442335097,45900
1769527442377488,45820
1769527442420513,45850
1769527442462866,45880
1769527442505190,45850
1769527442548002,45870
1769527442591253,45930
1769527442633846,45890
1769527442676918,45940
1769527442719978,45910
1769527442767126,45840
1769527442809827,45960
1769527442853004,46180
1769527442895608,45870
1769527442938253,45910
1769527442981402,45930
1769527443024378,45920
1769527443066999,45940
1769527443110154,45930
1769527443152574,45960
1769527443195463,45910
1769527443237801,45890
1769527443280982,45950
1769527443327097,45910
1769527443370191,45930
1769527443413143,45880
1769527443456296,45840
1769527443499448,45880
1769527443542333,45870
1769527443585546,45840
1769527443628577,45780
1769527443671708,45840
1769527443714403,45850
1769527443757453,45790
1769527443800472,45800
1769527443847142,45830
1769527443890288,45980
1769527443933474,45900
1769527443976493,45900
1769527444019533,45850
1769527444062046,45830
1769527444105044,45810
1769527444148014,45890
1769527444190657,45820
1769527444233910,45890
1769527444277112,45800
1769527444319944,45930
1769527444363160,45780
1769527444407256,45840
1769527444450343,45900
1769527444493420,45930
1769527444536312,45920
1769527444579329,45860
1769527444622447,45860
1769527444665622,45930
1769527444708681,45950
1769527444751787,45890
1769527444794847,45930
1769527444837813,45960
1769527444880828,45950
1769527444927306,45970
1769527444970331,45940
1769527445013312,45950
1769527445056394,45910
1769527445099383,45900
1769527445141884,45870
1769527445184975,45900
1769527445227970,45860
1769527445270359,45790
1769527445313324,45840
1769527445356310,45870
1769527445399000,45870
1769527445442092,45890
1769527445487375,45840
1769527445529862,45820
1769527445573005,45780
1769527445615929,45850
1769527445658722,45850
1769527445701899,45820
1769527445744932,45810
1769527445788008,45830
1769527445831248,45840
1769527445873765,45900
1769527445916961,45870
1769527445960118,46040
1769527446002739,45930
1769527446047308,45930
1769527446090340,45890
1769527446133418,45910
1769527446176545,45950
1769527446219194,45930
1769527446261988,45940
1769527446305122,45890
1769527446348022,45970
1769527446390785,45860
1769527446433856,45880
1769527446476990,45980
1769527446520203,45950
1769527446563257,45960
1769527446607651,45880
1769527446650325,45880
1769527446693501,45850
1769527446736053,45930
1769527446778736,45840
1769527446821800,45900
1769527446864917,45890
1769527446908141,45840
1769527446951020,45870
1769527446993845,46010
1769527447036985,45870
1769527447079876,45810
1769527447122855,45900
1769527447167598,45800
1769527447209875,45850
1769527447252930,45860
1769527447295919,45840
1769527447338930,45930
1769527447382221,45830
1769527447425376,45880
1769527447468284,45890
1769527447511158,45850
1769527447554318,45870
1769527447597088,45880
1769527447640242,45890
1769527447682833,45920
1769527447727603,45860
1769527447770744,45900
1769527447813728,45900
1769527447856810,45920
1769527447899797,45900
1769527447942927,45860
1769527447986118,46040
1769527448029330,45910
1769527448072251,45870
1769527448115197,45900
1769527448158337,45880
1769527448201566,45850
1769527448247679,45870
1769527448290023,45770
1769527448333133,45780
1769527448376216,45830
1769527448419320,45800
1769527448462449,45870
1769527448505534,45820
1769527448548768,45800
1769527448591863,45850
1769527448634463,45880
1769527448677114,45820
1769527448720090,45810
1769527448763053,45830
1769527448807746,45840
1769527448850270,45890
1769527448893381,45880
1769527448936247,45960
1769527448979193,45930
1769527449022382,46030
1769527449065471,45990
1769527449108496,45980
1769527449151496,45910
1769527449194618,45970
1769527449237815,45990
1769527449280868,46000
1769527449323908,45960
1769527449367935,45970
1769527449411050,45940
1769527449453886,45980
1769527449497062,45990
1769527449539956,45990
1769527449583014,45970
1769527449626007,45950
1769527449668934,45980
1769527449711705,45940
1769527449754381,45960
1769527449797486,45960
1769527449840686,45980
1769527449883970,46010
1769527449927940,45940
1769527449971260,45960
1769527450014379,46100
1769527450057444,46070
1769527450100413,46070
1769527450143452,46110
1769527450186423,46130
1769527450229428,46060
1769527450272554,46150
1769527450315483,46090
1769527450358357,46150
1769527450401349,46120
1769527450448071,46090
1769527450490724,46050
1769527450533701,46000
1769527450576902,46040
1769527450620110,45960
1769527450663399,46040
1769527450705856,45980
1769527450748996,46040
1769527450791897,46110
1769527450835035,46120
1769527450877749,46050
1769527450920824,46140
1769527450964078,46170
1769527451008221,46130
1769527451051277,46240
1769527451094281,46110
1769527451137382,46120
1769527451180182,46110
1769527451222740,46080
1769527451266829,46130
1769527451309484,46070
1769527451352339,46140
1769527451394779,46120
1769527451437891,46070
1769527451480991,46110
1769527451523924,46070
1769527451568267,46120
