unix_timestamp,active_power (mW)
1769528518392856,43150
1769528518435236,44480
1769528518477902,44700
1769528518520829,44690
1769528518563643,44700
1769528518605987,44740
1769528518649140,44790
1769528518692219,44720
1769528518735003,44760
1769528518778081,44800
1769528518821247,44790
1769528518864353,44750
1769528518906905,44760
1769528518950992,44760
1769528518993743,44730
1769528519036915,44750
1769528519079982,44900
1769528519122758,44770
1769528519165820,44820
1769528519208637,44790
1769528519251507,44830
1769528519294748,44880
1769528519337773,44840
1769528519380892,44830
1769528519423982,44860
1769528519470889,44840
1769528519513350,44770
1769528519556161,44870
1769528519599275,44860
1769528519641805,44820
1769528519684900,44790
1769528519727895,44850
1769528519770817,44860
1769528519813348,44810
1769528519856281,44830
1769528519899408,44800
1769528519941872,44850
1769528519984865,44790
1769528520030879,44790
1769528520074086,44820
1769528520116638,44940
1769528520159500,44900
1769528520202565,44900
1769528520245611,44840
1769528520288704,44820
1769528520331944,44780
1769528520374791,44810
1769528520417764,44880
1769528520460871,44840
1769528520503870,44900
1769528520546279,44890
1769528520590891,44800
1769528520633803,44800
1769528520676869,44750
1769528520719719,44860
1769528520762353,44820
1769528520805183,44840
1769528520847677,44840
1769528520890533,44850
1769528520933483,44850
1769528520976549,44780
1769528521019551,44790
1769528521062681,44860
1769528521105848,44730
1769528521150888,44960
1769528521193918,44880
1769528521236992,44820
1769528521280028,44870
1769528521323138,44830
1769528521366031,44780
1769528521409162,44820
1769528521452342,44830
1769528521495112,44750
1769528521538153,44900
1769528521580949,44880
1769528521624047,44810
1769528521666653,44850
1769528521711093,44870
1769528521753715,44760
1769528521796594,44820
1769528521839417,44820
1769528521881856,44900
1769528521924456,44880
1769528521967509,44900
1769528522010589,44880
1769528522053689,44890
1769528522096581,44890
1769528522139847,44890
1769528522182886,45050
1769528522225812,44850
1769528522271001,44850
1769528522314021,44910
1769528522357118,44940
1769528522400008,44970
1769528522443137,44930
1769528522485437,44920
1769528522528318,44880
1769528522570943,44860
1769528522613872,44900
1769528522656968,44920
1769528522699801,44920
1769528522742545,44910
1769528522784806,44870
1769528522830900,44980
1769528522873803,44920
1769528522916876,44930
1769528522959510,44920
1769528523002557,44920
1769528523045536,44940
1769528523088753,44910
1769528523131582,44870
1769528523174384,44910
1769528523217309,45050
1769528523260722,44930
1769528523303828,44960
1769528523346938,44890
1769528523390895,44880
1769528523433715,44920
1769528523476801,44860
1769528523519788,44800
1769528523562864,44910
1769528523605773,44850
1769528523648351,44770
1769528523691096,44800
1769528523733870,44830
1769528523777151,44810
1769528523820237,44790
1769528523863275,44770
1769528523905795,44770
1769528523950790,44800
1769528523993781,44700
1769528524036951,44670
1769528524080007,44750
1769528524122887,44720
1769528524165379,44790
1769528524208641,44880
1769528524251460,44700
1769528524294697,44710
1769528524337837,44650
1769528524380792,44670
1769528524424019,44690
1769528524466865,44700
1769528524510798,44700
1769528524553719,44680
1769528524596930,44690
1769528524639937,44720
1769528524682578,44690
1769528524725553,44760
1769528524768544,44760
1769528524811567,44780
1769528524854296,44720
1769528524897580,44770
1769528524940770,44700
1769528524983894,44780
1769528525026934,44800
1769528525070753,44820
1769528525113770,44820
1769528525156724,44900
1769528525199735,44870
1769528525242765,44980
1769528525285714,44880
1769528525328675,44860
1769528525371611,44890
1769528525414739,44930
1769528525457898,44970
1769528525500284,44900
1769528525543250,44940
1769528525585769,44880
1769528525630734,44800
1769528525673492,44740
1769528525716488,44830
1769528525759298,44740
1769528525802477,44780
1769528525845671,44720
1769528525888804,44670
1769528525931738,44730
1769528525974382,44700
1769528526017455,44670
1769528526060570,44690
1769528526103576,44700
1769528526150705,44760
1769528526193322,44770
1769528526236432,44760
1769528526279624,44970
1769528526322296,44820
1769528526365355,44820
1769528526408441,44850
1769528526451382,44860
1769528526494001,44800
1769528526537123,44840
1769528526580051,44930
1769528526623093,44940
1769528526665889,44910
1769528526710703,44910
1769528526754002,45000
1769528526797137,44980
1769528526840289,45000
1769528526883389,44970
1769528526925491,44960
1769528526968602,44930
1769528527011370,45010
1769528527054454,45000
1769528527097588,44910
1769528527140617,44930
1769528527183833,44890
1769528527230708,44890
1769528527273880,45040
1769528527316896,44830
1769528527359194,44840
1769528527402343,44890
1769528527445596,44880
1769528527488523,44780
1769528527531390,44880
1769528527573869,44840
1769528527617028,44850
1769528527659848,44860
1769528527702706,44860
1769528527745930,44860
1769528527790712,44990
1769528527833814,44850
1769528527876917,44980
1769528527919738,45000
1769528527962721,45010
1769528528005962,45000
1769528528049137,45010
1769528528092321,44970
1769528528135137,45050
1769528528177950,44990
1769528528221153,44940
1769528528264414,44920
1769528528310623,45100
1769528528353773,44950
1769528528396877,44960
1769528528439534,44820
1769528528481871,44880
1769528528524834,44880
1769528528567621,44880
1769528528610680,44870
1769528528653745,44930
1769528528696741,44870
1769528528739017,44910
1769528528781738,44900
1769528528824610,44850
1769528528870483,44950
1769528528913573,44920
1769528528956020,44920
1769528528999114,45000
1769528529041723,44930
1769528529084661,44960
1769528529127545,45000
1769528529169997,45020
1769528529212810,44980
1769528529255961,44960
1769528529298956,45020
1769528529341788,45080
1769528529384944,45030
1769528529430456,44920
1769528529473224,44930
1769528529516333,44900
1769528529559474,44870
1769528529602411,44820
1769528529645566,44890
1769528529688805,44870
1769528529731634,44900
1769528529774166,44940
1769528529817292,44960
1769528529860536,44920
1769528529903319,44980
1769528529950226,44950
1769528529993406,44920
1769528530036592,44860
1769528530079771,44840
1769528530122788,44880
1769528530165912,44870
1769528530209103,44900
1769528530251588,44870
1769528530294698,44860
1769528530337590,44940
1769528530380413,44940
1769528530423236,44880
1769528530470156,44900
1769528530513138,44820
1769528530556058,44990
1769528530598921,44930
1769528530641897,44940
1769528530684132,44910
1769528530726634,44790
1769528530769778,44910
1769528530812880,44830
1769528530855726,44870
1769528530898574,44850
1769528530941892,44850
1769528530984977,44770
1769528531030082,44870
1769528531073148,44890
1769528531116394,44810
1769528531159567,44910
1769528531202264,44860
1769528531245315,44940
1769528531287944,44900
1769528531330617,44910
1769528531373774,45030
1769528531416680,45110
1769528531459781,44860
1769528531502204,44870
1769528531545268,44810
1769528531589959,44690
1769528531632957,44800
1769528531675835,44800
1769528531718554,44840
1769528531761753,44910
1769528531804727,44930
1769528531847905,44880
1769528531890716,44820
1769528531933905,44820
1769528531976427,44700
1769528532019544,44660
1769528532062716,44720
1769528532109677,44930
1769528532152816,44840
1769528532195686,44820
1769528532238723,44920
1769528532281831,44810
1769528532324890,44940
1769528532367884,44860
1769528532410906,45130
1769528532453842,44820
1769528532496992,44930
1769528532539887,44980
1769528532583085,44940
1769528532629569,44850
1769528532672747,44860
1769528532715620,44850
1769528532758112,44810
1769528532800946,44810
1769528532843795,44840
1769528532886914,44850
1769528532929841,44860
1769528532972773,44870
1769528533015808,45000
1769528533058526,44930
1769528533101634,44990
1769528533144781,44910
1769528533189471,44950
1769528533232638,44980
1769528533275518,44970
1769528533318656,44890
1769528533361513,44900
1769528533404502,44780
1769528533447566,44920
1769528533490017,44900
1769528533533162,44990
1769528533576413,44910
1769528533619231,44950
1769528533662439,44920
1769528533704799,44930
1769528533749145,43420
