unix_timestamp,active_power (mW)
1769529082557023,44070
1769529082599982,43390
1769529082645511,44560
1769529082688488,44620
1769529082731398,44680
1769529082774590,44630
1769529082817585,44670
1769529082860723,44630
1769529082903644,44670
1769529082946309,44700
1769529082989350,44760
1769529083032578,44670
1769529083075510,44690
1769529083118191,44800
1769529083161217,44690
1769529083205546,44650
1769529083248538,44630
1769529083291571,44690
1769529083334748,44800
1769529083377751,44610
1769529083420907,44650
1769529083463780,44590
1769529083506821,44590
1769529083549793,44660
1769529083592302,44650
1769529083634927,44660
1769529083678026,44770
1769529083720687,44750
1769529083765689,44750
1769529083808924,44800
1769529083852114,44730
1769529083894910,44700
1769529083937778,44630
1769529083980876,44620
1769529084023942,44580
1769529084067110,44610
1769529084109986,44600
1769529084153069,44560
1769529084195411,44670
1769529084237960,44650
1769529084281132,44680
1769529084325864,44810
1769529084368953,44720
1769529084411976,44690
1769529084455017,44810
1769529084497805,44770
1769529084540908,44710
1769529084583621,44720
1769529084626603,44720
1769529084669623,44710
1769529084712586,44680
1769529084755271,44610
1769529084798286,44570
1769529084841225,44650
1769529084885854,44620
1769529084928748,44610
1769529084971616,44610
1769529085014452,44600
1769529085057668,44640
1769529085100945,44680
1769529085144000,44670
1769529085186691,44710
1769529085229861,44790
1769529085272996,44720
1769529085315913,44800
1769529085359102,44670
1769529085401696,44850
1769529085446181,44680
1769529085489263,44660
1769529085531937,44640
1769529085574676,44660
1769529085617872,44640
1769529085660967,44650
1769529085704079,44580
1769529085746794,44640
1769529085790006,44620
1769529085833013,44630
1769529085876040,44610
1769529085919115,44580
1769529085961324,44630
1769529086006249,44700
1769529086049362,44700
1769529086092490,44720
1769529086135125,44730
1769529086178170,44720
1769529086221083,44780
1769529086264004,44800
1769529086306572,44760
1769529086349668,44820
1769529086392739,44870
1769529086435594,44760
1769529086478594,44810
1769529086521648,44810
1769529086566411,44760
1769529086610845,44780
1769529086653791,44720
1769529086696887,44740
1769529086739913,44750
1769529086783036,44700
1769529086825985,44790
1769529086869156,44760
1769529086912334,44740
1769529086955281,44740
1769529086998485,44760
1769529087041579,44750
1769529087086476,44750
1769529087129568,44790
1769529087172738,44780
1769529087215712,44820
1769529087258192,44820
1769529087301319,44830
1769529087344297,44870
1769529087387358,44870
1769529087430398,45060
1769529087473468,44860
1769529087516590,44850
1769529087559473,44930
1769529087602113,44880
1769529087646450,44800
1769529087689525,44860
1769529087732537,44870
1769529087775730,44860
1769529087818751,44920
1769529087861764,44810
1769529087904826,44890
1769529087947907,44890
1769529087990677,44970
1769529088033929,44840
1769529088077016,44830
1769529088120127,44850
1769529088166475,44830
1769529088209563,44870
1769529088252477,44860
1769529088295682,44900
1769529088338323,44760
1769529088381359,44810
1769529088424342,44810
1769529088467117,44980
1769529088509694,44840
1769529088552044,44810
1769529088594690,44820
1769529088637558,44880
1769529088679912,44880
1769529088726531,44740
1769529088769698,44860
1769529088812882,44820
1769529088856061,44840
1769529088899190,44800
1769529088942195,44810
1769529088985312,44750
1769529089028350,44840
1769529089071486,44810
1769529089114488,44720
1769529089157499,44720
1769529089200554,44760
1769529089246505,44770
1769529089289516,44800
1769529089332506,44820
1769529089375328,44830
1769529089418326,44790
1769529089461458,44950
1769529089504595,44740
1769529089547863,44660
1769529089590033,44750
1769529089633169,44790
1769529089676025,44700
1769529089718536,44710
1769529089761537,44760
1769529089806594,44710
1769529089849709,44700
1769529089892871,44700
1769529089936160,44700
1769529089979240,44730
1769529090022207,44800
1769529090065513,44720
1769529090108665,44740
1769529090151958,44740
1769529090194771,44760
1769529090237151,44760
1769529090280272,44740
1769529090326602,44770
1769529090369555,44840
1769529090412664,44840
1769529090455837,44860
1769529090498378,44960
1769529090541614,44820
1769529090584545,44800
1769529090627565,44780
1769529090669938,44810
1769529090712885,44830
1769529090755840,44800
1769529090798467,44890
1769529090841598,44850
1769529090886712,44890
1769529090929846,44870
1769529090972933,44910
1769529091016005,44900
1769529091058743,44930
1769529091101928,44810
1769529091144741,44890
1769529091187824,44860
1769529091230613,44870
1769529091273730,44910
1769529091316745,44850
1769529091359840,44840
1769529091406714,44850
1769529091449948,44900
1769529091493110,45000
1769529091536021,44910
1769529091578486,44920
1769529091621592,44890
1769529091664681,44890
1769529091707733,44790
1769529091750548,44820
1769529091793629,44860
1769529091836714,44810
1769529091879576,44830
1769529091922549,44840
1769529091966731,44790
1769529092009962,44820
1769529092052693,44760
1769529092095726,44780
1769529092138840,44810
1769529092181966,44730
1769529092224921,44830
1769529092267975,44790
1769529092311024,44730
1769529092354106,44760
1769529092397150,44820
1769529092440199,44760
1769529092486884,44760
1769529092529503,44880
1769529092572422,44750
1769529092614826,44750
1769529092657933,44790
1769529092701071,44760
1769529092744245,44790
1769529092787018,44780
1769529092830038,44710
1769529092873112,44790
1769529092916181,44750
1769529092959240,44840
1769529093002408,44770
1769529093046833,44800
1769529093089615,44770
1769529093132424,44790
1769529093175583,44730
1769529093218566,44770
1769529093261653,44790
1769529093304668,44730
1769529093347737,44750
1769529093390458,44710
1769529093433487,44760
1769529093476525,44780
1769529093519662,44770
1769529093562286,44790
1769529093606859,44750
1769529093649793,44800
1769529093692904,44750
1769529093735583,44790
1769529093777950,44780
1769529093821001,44820
1769529093863966,44760
1769529093907079,44810
1769529093950052,44800
1769529093993188,44840
1769529094036154,44810
1769529094079300,44820
1769529094122535,44780
1769529094166909,44850
1769529094210008,44850
1769529094253005,44850
1769529094296083,44900
1769529094339303,44910
1769529094382317,44790
1769529094425391,44820
1769529094468501,44800
1769529094511555,44860
1769529094554034,44920
1769529094597208,45030
1769529094640328,44850
1769529094682936,44820
1769529094726916,44850
1769529094769398,44860
1769529094812548,44880
1769529094855496,44850
1769529094898603,44880
1769529094941706,44820
1769529094984731,44870
1769529095027694,44840
1769529095070758,44790
1769529095113830,44890
1769529095156911,44910
1769529095200007,44820
1769529095242311,44850
1769529095286998,44820
1769529095329806,44770
1769529095373007,44800
1769529095416093,44800
1769529095459164,44800
1769529095502273,44750
1769529095545314,44830
1769529095587545,44740
1769529095630188,44850
1769529095673301,44770
1769529095716473,44850
1769529095759556,44820
1769529095801895,44780
1769529095846926,43760
