unix_timestamp,active_power (mW)
1769532504479639,43550
1769532504522155,44450
1769532504565230,45230
1769532504608415,45290
1769532504650805,45290
1769532504693869,45230
1769532504737016,45320
1769532504780099,45230
1769532504824442,45240
1769532504866821,45290
1769532504909769,45230
1769532504952944,45150
1769532504995530,45170
1769532505038560,45210
1769532505081403,45250
1769532505124594,45230
1769532505167817,45230
1769532505210939,45240
1769532505254089,45220
1769532505296979,45170
1769532505339894,45220
1769532505384187,45210
1769532505426975,45200
1769532505469972,45160
1769532505513269,45140
1769532505556277,45320
1769532505599326,45160
1769532505642374,45160
1769532505685056,45200
1769532505728089,45180
1769532505771182,45170
1769532505813900,45150
1769532505857067,45200
1769532505899585,45180
1769532505943803,45250
1769532505986983,45180
1769532506029488,45200
1769532506072698,45170
1769532506115707,45180
1769532506159094,45180
1769532506202109,45230
1769532506244386,45200
1769532506286962,45170
1769532506330157,45200
1769532506373229,45190
1769532506416069,45160
1769532506458796,45210
1769532506503636,45150
1769532506546773,45370
1769532506589895,45190
1769532506633119,45250
1769532506676252,45250
1769532506719236,45270
1769532506761583,45230
1769532506804564,45210
1769532506847715,45240
1769532506890758,45140
1769532506933786,45310
1769532506976938,45330
1769532507023431,45350
1769532507066593,45310
1769532507109731,45330
1769532507152974,45270
1769532507195962,45300
1769532507238660,45250
1769532507280943,45290
1769532507323709,45280
1769532507366678,45240
1769532507409890,45290
1769532507453126,45290
1769532507495934,45260
1769532507538657,45250
1769532507583138,45370
1769532507625973,45340
1769532507668976,45240
1769532507712237,45150
1769532507755468,45230
1769532507798220,45170
1769532507841331,45200
1769532507884178,45220
1769532507927154,45230
1769532507970247,45200
1769532508013503,45160
1769532508056651,45220
1769532508102760,45210
1769532508145902,45160
1769532508188458,45190
1769532508231567,45300
1769532508274706,45210
1769532508317859,45350
1769532508360888,45280
1769532508403625,45290
1769532508446179,45250
1769532508489337,45350
1769532508531769,45290
1769532508574622,45280
1769532508617565,45380
1769532508662538,45320
1769532508705626,45280
1769532508748559,45350
1769532508791649,45310
1769532508834581,45370
1769532508877838,45370
1769532508920919,45340
1769532508963502,45340
1769532509006639,45400
1769532509049853,45390
1769532509092998,45270
1769532509136060,45290
1769532509182299,45300
1769532509225082,45240
1769532509268086,45260
1769532509311055,45250
1769532509354217,45200
1769532509398219,45190
1769532509441281,45250
1769532509484117,45260
1769532509526776,45250
1769532509569780,45160
1769532509612965,45210
1769532509655973,45340
1769532509701778,45240
1769532509744660,45110
1769532509787560,45200
1769532509830633,45230
1769532509873802,45260
1769532509916965,45230
1769532509960036,45130
1769532510002570,45140
1769532510045535,45140
1769532510088305,45210
1769532510131119,45180
1769532510173960,45280
1769532510217098,45200
1769532510261577,45110
1769532510303830,45160
1769532510346482,45200
1769532510389637,45210
1769532510432761,45270
1769532510475590,45140
1769532510518406,45240
1769532510561661,45110
1769532510604241,45170
1769532510647063,45270
1769532510690136,45310
1769532510733177,45220
1769532510776118,45240
1769532510821117,45120
1769532510864300,45240
1769532510907193,45260
1769532510950224,45250
1769532510993173,45150
1769532511036356,45250
1769532511079477,45210
1769532511122459,45210
1769532511165469,45240
1769532511208087,45200
1769532511251232,45310
1769532511294119,45210
1769532511340930,45200
1769532511383913,45200
1769532511426521,45230
1769532511469643,45230
1769532511512798,45230
1769532511555793,45150
1769532511598930,45150
1769532511641945,45190
1769532511685022,45320
1769532511727827,45180
1769532511770948,45230
1769532511813461,45260
1769532511860547,45160
1769532511903715,45200
1769532511946436,45250
1769532511989717,45200
1769532512032899,45240
1769532512075999,45220
1769532512118457,45200
1769532512161644,45170
1769532512204749,45230
1769532512247814,45240
1769532512290747,45270
1769532512333891,45160
1769532512380122,45120
1769532512422475,45170
1769532512465428,45290
1769532512508595,45210
1769532512551206,45220
1769532512594236,45160
1769532512637355,45240
1769532512680387,45120
1769532512723420,45360
1769532512765991,45300
1769532512809180,45180
1769532512852121,45240
1769532512895258,45210
1769532512939813,45180
1769532512982586,45150
1769532513025638,45160
1769532513068671,45170
1769532513111696,45200
1769532513154690,45190
1769532513197779,45270
1769532513240988,45180
1769532513283382,45220
1769532513325942,45140
1769532513369116,45130
1769532513412151,45190
1769532513454786,45150
1769532513499407,45210
1769532513542544,45120
1769532513585656,45200
1769532513628562,45170
1769532513671692,45220
1769532513714544,45290
1769532513757832,45350
1769532513801070,45210
1769532513844155,45140
1769532513887206,45180
1769532513930251,45160
1769532513973209,45240
1769532514019094,45230
1769532514062218,45160
1769532514105316,45200
1769532514148264,45200
1769532514191103,45230
1769532514234211,45260
