unix_timestamp,active_power (mW)
1769783461994057,41040
1769783462036995,40620
1769783462080159,40550
1769783462123088,40480
1769783462166172,40510
1769783462209260,40500
1769783462252416,40550
1769783462295619,40510
1769783462341783,40500
1769783462384908,40500
1769783462427835,40430
1769783462470597,40490
1769783462513743,40550
1769783462556346,40510
1769783462599176,40530
1769783462642023,40440
1769783462685094,40480
1769783462728084,40520
1769783462770876,40550
1769783462813217,40520
1769783462856344,40510
1769783462902028,40460
1769783462944960,40480
1769783462987875,40500
1769783463030863,40500
1769783463073780,40620
1769783463116956,40540
1769783463159442,40530
1769783463202343,40570
1769783463245336,40650
1769783463288477,40530
1769783463331662,40530
1769783463374727,40430
1769783463417836,40420
1769783463462226,40390
1769783463505390,40540
1769783463548583,40340
1769783463591748,40460
1769783463635077,40420
1769783463677780,40470
1769783463720720,40500
1769783463763917,40490
1769783463806685,25150
1769783463849678,28150
1769783463892463,41020
1769783463935621,40510
1769783463982160,40550
1769783464025337,40530
1769783464068361,40540
1769783464111370,40640
1769783464153735,40580
1769783464196693,40500
1769783464239650,40550
1769783464282612,40460
1769783464325519,40430
1769783464368482,40470
1769783464411204,40570
1769783464453808,40540
1769783464496903,40500
1769783464542502,40440
1769783464585315,40460
1769783464628451,40480
1769783464671555,40460
1769783464714597,40400
1769783464757733,40480
1769783464800777,36260
1769783464843843,27290
1769783464886683,41120
1769783464929797,40500
1769783464972837,40450
1769783465015719,40500
1769783465062656,40480
1769783465105670,40580
1769783465148560,40490
1769783465191449,40520
1769783465234692,40580
1769783465277718,40480
1769783465320827,40440
1769783465363546,40510
1769783465406014,40450
1769783465449140,40410
1769783465492261,40420
1769783465535499,40470
1769783465577984,40620
1769783465622689,40520
1769783465665866,40480
1769783465708646,40530
1769783465751687,40520
1769783465794704,40470
1769783465837752,32020
1769783465880946,43150
1769783465924070,40080
1769783465967000,40430
1769783466010156,40430
1769783466053088,40430
1769783466096130,40440
1769783466142833,40440
1769783466185813,40610
1769783466228982,40500
1769783466272232,40510
1769783466315445,40460
1769783466357983,40420
1769783466401161,40490
1769783466443970,40400
1769783466486527,40470
1769783466529473,40530
1769783466572651,40500
1769783466615318,40440
1769783466658439,40470
1769783466703307,40370
1769783466745619,40390
1769783466788070,40410
1769783466831024,40410
1769783466873845,40380
1769783466916754,40380
1769783466959672,40440
1769783467002782,40450
1769783467045761,40430
1769783467088916,40410
1769783467132094,40500
1769783467175048,40450
1769783467217674,40410
1769783467263350,40410
1769783467306418,40280
1769783467348689,40380
1769783467391963,40380
1769783467434683,40470
1769783467477530,40450
1769783467520440,40420
1769783467563419,40400
1769783467605974,40460
1769783467649145,40570
1769783467692320,40980
1769783467735454,40280
1769783467778487,40450
1769783467823543,40380
1769783467866000,28690
1769783467909138,23690
1769783467951536,24500
1769783467994484,24410
1769783468037739,23970
1769783468080965,22430
1769783468123991,21260
1769783468166994,23300
1769783468210173,23000
1769783468253157,25210
1769783468296290,24420
1769783468339554,24040
1769783468383565,21070
1769783468426257,23620
1769783468469262,25870
1769783468512378,24750
1769783468554967,21260
1769783468598218,21420
1769783468641267,23800
1769783468684398,23570
1769783468727166,24340
1769783468769801,24330
1769783468813023,24500
1769783468856141,29370
1769783468899229,40740
1769783468943928,40580
1769783468986976,40460
1769783469030218,40440
1769783469073253,40540
1769783469116418,40410
1769783469159076,40360
1769783469201783,40360
1769783469244649,40400
1769783469287609,40400
1769783469330489,40360
1769783469373622,40320
1769783469416183,40350
1769783469458848,40220
1769783469504129,40410
1769783469546698,40390
1769783469589628,40340
1769783469632556,40370
1769783469675772,40560
1769783469718450,40780
1769783469761522,40480
1769783469804619,40420
1769783469847610,40410
1769783469890721,40420
1769783469933691,32710
1769783469976735,22900
1769783470019400,25510
1769783470064151,20280
1769783470107330,21290
1769783470150497,24850
1769783470193667,23980
1769783470236305,25440
1769783470278958,24440
1769783470321920,23740
1769783470364817,20120
1769783470407629,21280
1769783470450254,25270
1769783470493270,24420
1769783470536350,25140
1769783470579037,23660
1769783470624453,23330
1769783470666788,23300
1769783470709321,25260
1769783470752297,24420
1769783470795000,23700
1769783470837984,29340
1769783470881225,40730
1769783470924372,40580
1769783470967344,40510
1769783471010546,40560
1769783471053489,40490
1769783471096661,40490
1769783471139429,40410
1769783471184660,40360
1769783471227779,40430
1769783471270367,40260
1769783471313479,40350
1769783471356636,40400
1769783471399605,40450
1769783471441986,40450
1769783471484902,40470
1769783471527847,40600
1769783471570218,40480
1769783471613281,40510
1769783471655686,40420
1769783471698597,40440
1769783471744757,40450
1769783471787746,40470
1769783471830685,40480
1769783471873616,40410
1769783471916750,40450
1769783471959707,38770
1769783472002586,19980
1769783472045470,22700
1769783472088237,23650
1769783472131344,24780
1769783472173678,24610
1769783472216729,23890
1769783472259297,22330
1769783472305044,22830
1769783472348020,24830
1769783472391052,25660
1769783472433881,21040
1769783472476803,23550
1769783472519729,25730
1769783472562592,21010
1769783472605774,23410
1769783472649319,25720
1769783472692204,20930
1769783472735098,23560
1769783472777440,25680
1769783472820913,20900
1769783472865266,41350
1769783472908547,40550
1769783472951686,40420
1769783472994218,40460
1769783473037264,40470
1769783473080378,40490
1769783473123464,40500
1769783473166475,40410
1769783473209682,40320
1769783473252641,40410
1769783473295392,40320
1769783473337814,40360
1769783473380841,40300
1769783473425595,40350
1769783473467886,40320
1769783473510506,40460
1769783473553724,40400
1769783473596609,40410
1769783473639724,40420
1769783473682901,40480
1769783473725971,40520
1769783473769018,40640
1769783473812202,40480
1769783473855395,40570
1769783473898663,40550
1769783473945573,40480
1769783473988608,40060
1769783474031497,24430
1769783474074462,22710
1769783474117576,20880
1769783474160635,22930
1769783474203652,23330
1769783474246643,24780
1769783474289710,24780
1769783474332805,24010
1769783474375777,22540
1769783474418563,21150
1769783474461412,23300
1769783474505780,24930
1769783474548733,24520
1769783474591333,23620
1769783474633641,21610
1769783474676612,21480
1769783474719634,24510
1769783474762344,24220
1769783474805486,24930
1769783474848466,30630
1769783474891233,40290
1769783474933689,40590
1769783474976650,40450
1769783475019602,40460
1769783475066139,40390
1769783475109175,40510
1769783475152111,40320
1769783475195247,40430
1769783475238458,40500
1769783475281650,40330
1769783475324559,40440
1769783475367469,40430
1769783475409858,40440
1769783475452753,40490
1769783475495132,40470
1769783475537659,40520
1769783475580628,40540
1769783475626085,40420
1769783475669064,40480
1769783475712061,40560
1769783475755313,40540
1769783475798080,40630
1769783475841099,40610
1769783475884197,40540
1769783475927231,40510
1769783475970289,40480
1769783476013502,40450
1769783476056523,40390
1769783476099615,25010
1769783476146162,23320
1769783476189104,22370
1769783476232199,20840
1769783476275117,22790
1769783476318282,23080
1769783476361177,24530
1769783476404415,24290
1769783476447573,24070
1769783476490113,21690
1769783476533313,20990
1769783476576180,22700
1769783476619106,23210
1769783476661471,24670
1769783476706281,23980
1769783476749425,22010
1769783476792657,20810
1769783476835603,32430
1769783476878368,41180
1769783476921304,40530
1769783476964468,40460
1769783477007503,40500
1769783477050725,40450
1769783477093851,40570
1769783477136816,40600
1769783477179295,40430
1769783477222480,40430
1769783477266557,40370
1769783477309616,40420
1769783477352661,40430
1769783477395369,40330
1769783477438571,40330
1769783477482431,40370
1769783477525702,40380
1769783477568855,40360
1769783477611875,40320
1769783477654502,40290
1769783477697578,40320
1769783477740699,40330
1769783477786583,40360
1769783477829648,40420
1769783477872756,40590
1769783477915653,40390
1769783477958650,40380
1769783478001818,40390
1769783478044937,40490
1769783478088146,40440
1769783478130718,27600
1769783478173799,24790
1769783478216792,24380
1769783478259672,19130
1769783478302268,20670
1769783478346561,23830
1769783478389604,24540
1769783478432704,23550
1769783478475731,22250
1769783478518343,20520
1769783478561562,23020
1769783478604514,23020
1769783478647628,24490
1769783478690406,24280
1769783478733485,23450
1769783478776573,21490
1769783478819167,20410
1769783478862315,33420
1769783478906824,40440
1769783478949894,40380
1769783478992632,40460
1769783479035511,40420
1769783479078588,40460
1769783479121671,40360
1769783479164809,40360
1769783479207708,40350
1769783479250762,40490
1769783479293781,40250
1769783479336983,40350
1769783479380147,40370
1769783479426702,40340
1769783479469794,40410
1769783479512625,40390
1769783479555583,40460
1769783479598403,40410
1769783479641468,40430
1769783479684480,40400
1769783479727705,40440
1769783479770814,40450
1769783479813804,40500
1769783479856948,40530
1769783479899766,40560
1769783479946578,40510
1769783479989729,40490
1769783480032383,40530
1769783480075494,40540
1769783480118432,44340
1769783480161607,30530
1769783480204433,22650
1769783480247664,24720
1769783480290455,24170
1769783480333530,22910
1769783480376876,19680
1769783480419683,20610
1769783480462240,25150
1769783480506636,24690
1769783480549850,24400
1769783480593008,19480
1769783480636224,20330
1769783480679025,25110
1769783480721753,24010
1769783480764034,24360
1769783480806524,24040
1769783480849584,29520
1769783480892627,40680
1769783480935596,40700
1769783480978295,40570
1769783481021329,40570
1769783481066684,40440
1769783481109631,40600
1769783481152590,40420
1769783481195632,40520
1769783481238403,40430
1769783481281567,40460
1769783481324549,40440
1769783481367541,40460
1769783481410307,40470
1769783481453378,40600
1769783481496534,40510
1769783481539444,40520
1769783481581798,40480
1769783481626578,40540
1769783481669734,40460
1769783481712620,40480
1769783481755519,40450
1769783481798245,40520
1769783481841447,40540
1769783481884623,40490
1769783481927747,40540
1769783481970838,40720
1769783482013436,40650
1769783482056612,40880
1769783482099526,40500
1769783482142769,40500
1769783482186593,38210
1769783482229586,19360
1769783482272660,21980
1769783482315305,23040
1769783482358268,24690
1769783482401317,23870
1769783482444410,23970
1769783482487376,19520
1769783482529838,22110
1769783482572988,23200
1769783482616127,24650
1769783482659201,24010
1769783482702278,24070
1769783482746588,20870
1769783482789779,23970
1769783482832722,31460
1769783482875802,42430
1769783482918450,40580
1769783482961632,40560
1769783483004917,40570
1769783483048062,40550
1769783483091263,40440
1769783483133746,40640
1769783483176866,40440
1769783483219802,40470
1769783483266669,40390
1769783483309702,40400
1769783483352679,40370
1769783483395708,40440
1769783483438379,40320
1769783483481114,40450
1769783483523510,40380
1769783483565955,40370
1769783483609006,40350
1769783483651930,40380
1769783483695014,40380
1769783483737802,40420
1769783483780762,40380
1769783483826585,40450
1769783483869677,40440
1769783483912604,40460
1769783483955396,40490
1769783483998579,40670
1769783484041757,40480
1769783484084791,40970
1769783484127608,40530
1769783484170646,40510
1769783484213636,40500
1769783484256835,39460
1769783484299781,24080
1769783484346571,19920
1769783484389667,23950
1769783484432636,24070
1769783484475774,24140
1769783484518442,23280
1769783484561581,21700
1769783484604670,19920
1769783484647858,24000
1769783484690725,23660
1769783484733664,24520
1769783484776772,23610
1769783484819116,22720
1769783484862026,29850
1769783484906474,40580
1769783484949595,40490
1769783484992567,40370
1769783485035599,40440
1769783485078634,40620
1769783485121764,40380
1769783485164845,40460
1769783485207861,40440
1769783485250950,40440
1769783485294077,40460
1769783485336618,40450
1769783485379078,40500
1769783485422110,40510
1769783485466453,40530
1769783485509455,40490
1769783485552388,40590
1769783485595484,40510
1769783485638037,40480
1769783485680705,40440
1769783485723675,40530
1769783485766565,40410
1769783485809751,40510
1769783485852241,40410
1769783485894824,40430
1769783485937633,40350
1769783485980583,40340
1769783486026238,40530
1769783486069368,40390
1769783486112295,40440
1769783486155377,40410
1769783486197706,40460
1769783486241180,40440
1769783486284297,40430
1769783486327212,25010
1769783486370193,24070
1769783486413234,23560
1769783486456102,21510
1769783486498677,20640
1769783486541620,22950
1769783486586221,25020
1769783486629330,24060
1769783486672295,22580
1769783486715005,20580
1769783486757204,22720
1769783486800177,23020
1769783486842982,31920
1769783486886097,41390
1769783486929132,40550
1769783486972137,40540
1769783487014680,40490
1769783487057583,40340
1769783487100500,40520
1769783487146254,40420
1769783487189371,40380
1769783487232573,40500
1769783487275661,40350
1769783487318207,40380
1769783487361190,40320
1769783487404381,40340
1769783487447520,40360
1769783487490703,40410
1769783487533619,40320
1769783487576717,40430
1769783487619553,40420
1769783487666150,40400
1769783487709307,40350
1769783487752145,40400
1769783487794731,40390
1769783487837773,40430
1769783487881035,40490
1769783487924113,40410
1769783487967120,40410
1769783488010308,40390
