unix_timestamp,active_power (mW)
1769784909889137,42400
1769784909932205,42330
1769784909975108,42300
1769784910017913,42310
1769784910061132,42230
1769784910104374,42260
1769784910147368,42310
1769784910190583,42220
1769784910233640,42200
1769784910276623,42290
1769784910322675,42250
1769784910365871,42280
1769784910409056,42410
1769784910451620,42270
1769784910494162,42290
1769784910537258,42350
1769784910580220,42260
1769784910622722,42320
1769784910666008,42270
1769784910709178,36260
1769784910752126,17940
1769784910794817,19490
1769784910837815,21220
1769784910882920,42010
1769784910925294,42340
1769784910968376,42320
1769784911011382,42350
1769784911053951,42390
1769784911097325,42490
1769784911139915,42300
1769784911182918,42260
1769784911226163,42250
1769784911269298,42390
1769784911312317,42180
1769784911355404,42240
1769784911398534,42150
1769784911443117,42330
1769784911485953,42380
1769784911528787,42320
1769784911571835,42260
1769784911614536,42250
1769784911657616,42240
1769784911700556,42280
1769784911743534,42170
1769784911785983,42160
1769784911828954,42190
1769784911872083,42170
1769784911915233,42210
1769784911958204,42110
1769784912003194,42170
1769784912046325,42210
1769784912089276,42190
1769784912131898,42150
1769784912174972,42200
1769784912217953,42280
1769784912261003,42140
1769784912304029,42270
1769784912347096,42200
1769784912390187,42130
1769784912434850,42230
1769784912478270,42190
1769784912523340,42230
1769784912565789,42110
1769784912608834,43070
1769784912651677,42730
1769784912694791,42300
1769784912737293,40710
1769784912780384,20450
1769784912822978,17800
1769784912866114,34600
1769784912909250,42490
1769784912952302,42330
1769784912995354,42330
1769784913038088,42380
1769784913083402,42250
1769784913126335,42350
1769784913169547,42210
1769784913212568,42250
1769784913255299,42250
1769784913297719,42280
1769784913340735,42270
1769784913383625,42190
1769784913426706,42260
1769784913469737,42210
1769784913512680,42270
1769784913555403,42560
1769784913598404,42260
1769784913643716,42230
1769784913686957,42190
1769784913729718,42280
1769784913772631,27820
1769784913815787,20800
1769784913858926,34890
1769784913902376,42970
1769784913945522,42340
1769784913988424,42420
1769784914031652,42330
1769784914074262,42380
1769784914117360,42300
1769784914163905,42200
1769784914207008,42180
1769784914249645,42230
1769784914292699,42270
1769784914335626,42190
1769784914378601,42230
1769784914421713,42350
1769784914464686,42250
1769784914507504,42250
1769784914549928,42300
1769784914593036,42240
1769784914636061,42240
1769784914678750,42270
1769784914724033,42110
1769784914766668,42150
1769784914809674,22320
1769784914852265,32430
1769784914895290,42140
1769784914937936,42430
1769784914980928,42240
1769784915023843,42200
1769784915066929,42220
1769784915109976,42210
1769784915153027,42300
1769784915195938,42210
1769784915239139,42260
1769784915284301,42210
1769784915327425,42270
1769784915370409,42150
1769784915413579,42250
1769784915455941,42220
1769784915498629,42190
1769784915541792,42270
1769784915584961,42400
1769784915627941,42260
1769784915670595,42110
1769784915713685,42220
1769784915756837,42170
1769784915800052,42200
1769784915844435,34440
1769784915886995,42190
1769784915929820,42250
1769784915972778,42310
1769784916015559,42230
1769784916058474,42260
1769784916101682,42190
1769784916144833,42200
1769784916188150,42230
1769784916231289,42220
1769784916273834,42180
1769784916316862,42210
1769784916360027,42250
1769784916404891,42320
1769784916447543,42280
1769784916490068,42210
1769784916533271,42270
1769784916576342,42250
1769784916619409,42190
1769784916662330,42240
1769784916705413,42190
1769784916748415,42200
1769784916791609,42290
1769784916834139,42260
1769784916877265,38950
1769784916920233,42050
1769784916964894,42190
1769784917008080,42170
1769784917050570,42210
1769784917093601,42330
1769784917136708,42180
1769784917179631,42180
