unix_timestamp,active_power (mW)
1769786467215260,39790
1769786467257882,44280
1769786467301107,44140
1769786467344304,44120
1769786467386794,44170
1769786467433646,44150
1769786467476628,44170
1769786467519767,44170
1769786467562340,44170
1769786467605523,44120
1769786467648701,44160
1769786467691556,44140
1769786467733978,44130
1769786467776553,44070
1769786467819499,44090
1769786467862616,44110
1769786467905776,44140
1769786467948739,44090
1769786467993910,44080
1769786468036958,44200
1769786468080027,44110
1769786468123159,44140
1769786468165872,44120
1769786468208591,42310
1769786468251708,20410
1769786468294899,22960
1769786468337795,23080
1769786468381077,25880
1769786468424081,23800
1769786468467117,20520
1769786468513874,25620
1769786468556884,20820
1769786468599920,23640
1769786468643118,25530
1769786468686209,20930
1769786468728807,23510
1769786468771617,25620
1769786468814575,20890
1769786468857742,23820
1769786468900388,44940
1769786468943128,44410
1769786468985738,44250
1769786469028424,44240
1769786469073931,44150
1769786469117185,44300
1769786469160286,44060
1769786469203012,44100
1769786469245999,44060
1769786469288994,44050
1769786469332096,44050
1769786469375131,44030
1769786469418263,44030
1769786469461464,44080
1769786469504712,44030
1769786469547523,43980
1769786469589911,44040
1769786469633992,44010
1769786469677091,43950
1769786469720026,44010
1769786469762788,44090
1769786469805744,44060
1769786469848759,44010
1769786469891838,44050
1769786469934954,44020
1769786469978025,44020
1769786470021135,44330
1769786470064017,43980
1769786470107240,44060
1769786470149759,43950
1769786470194178,44030
1769786470237224,44020
1769786470280759,25920
1769786470323203,20640
1769786470365707,23370
1769786470408591,25590
1769786470451351,20980
1769786470494033,23200
1769786470537156,23910
1769786470580037,25100
1769786470623180,24350
1769786470666209,23290
1769786470709345,20280
1769786470754141,25030
1769786470797326,25050
1769786470840468,24450
1769786470883382,42630
1769786470926363,44410
1769786470969610,44220
1769786471012776,44140
1769786471055808,44060
1769786471098698,44140
1769786471141614,44000
1769786471184718,44010
1769786471227578,44040
1769786471274192,44030
1769786471317319,43960
1769786471360295,43930
1769786471402796,44020
1769786471445183,44040
1769786471487648,44010
1769786471530742,44090
1769786471573418,44050
1769786471616425,44070
1769786471659660,44030
1769786471702085,44020
1769786471745214,44050
1769786471788190,44080
1769786471834320,44130
1769786471877588,44050
1769786471920585,44080
1769786471963570,44120
1769786472006430,44070
1769786472049605,44250
1769786472092673,44200
1769786472135807,44100
1769786472178577,44080
1769786472221794,44060
1769786472264736,44050
1769786472307689,44050
1769786472354448,25310
1769786472397549,23500
