unix_timestamp,active_power (mW)
1769787199216624,40540
1769787199259547,43220
1769787199302033,42910
1769787199345046,42960
1769787199388026,42890
1769787199431036,42980
1769787199473910,42840
1769787199517043,42820
1769787199559980,42880
1769787199602873,42820
1769787199645743,42920
1769787199688848,42790
1769787199734037,42840
1769787199777006,42800
1769787199819997,42880
1769787199863063,42890
1769787199906076,42940
1769787199949214,42920
1769787199992267,42850
1769787200035306,42940
1769787200078270,43010
1769787200121211,42930
1769787200164262,42930
1769787200206948,42980
1769787200253999,42950
1769787200297146,42960
1769787200340390,42940
1769787200382863,32030
1769787200425813,24000
1769787200469019,24970
1769787200512250,25270
1769787200555436,24530
1769787200598402,22670
1769787200641614,21850
1769787200684699,24180
1769787200727445,26220
1769787200770880,21370
1769787200814276,26240
1769787200857113,28170
1769787200900168,47710
1769787200943144,42410
1769787200985590,43040
1769787201028153,42870
1769787201071319,42810
1769787201114364,42810
1769787201157548,43260
1769787201200739,42820
1769787201243903,42880
1769787201287054,42750
1769787201330136,42800
1769787201374442,42750
1769787201417447,42790
1769787201460426,42870
1769787201503499,42830
1769787201546378,42770
1769787201589320,42800
1769787201632256,42800
1769787201675017,42890
1769787201717849,42870
1769787201760857,42860
1769787201803917,42970
1769787201846629,42860
1769787201889719,42850
1769787201934565,42850
1769787201977643,42830
1769787202020191,42780
1769787202063303,42740
1769787202105569,42810
1769787202148813,42760
1769787202191621,42830
1769787202234574,42890
1769787202277668,42890
1769787202320624,42890
1769787202363610,42970
1769787202406341,43000
1769787202449357,26770
1769787202494697,23840
1769787202537784,24220
1769787202580820,25370
1769787202623962,24520
1769787202666401,23540
1769787202709225,20660
1769787202752231,22610
1769787202795047,24990
1769787202838266,25200
1769787202881486,28890
1769787202924632,44330
1769787202967629,43060
1769787203010157,43100
1769787203054858,42860
1769787203097893,42910
1769787203141048,43020
1769787203183982,42980
1769787203227033,42980
1769787203270158,42960
1769787203313409,42890
1769787203355812,42860
1769787203398424,42720
1769787203441565,42810
1769787203484466,42840
1769787203527405,42830
1769787203569716,42870
1769787203615001,42850
1769787203658153,42930
1769787203701270,42940
1769787203744223,42890
1769787203787094,42850
1769787203829787,42910
1769787203872780,42990
1769787203915945,42950
1769787203959141,42960
1769787204001777,42960
1769787204044902,42960
1769787204088139,42980
1769787204134979,42870
1769787204177621,42740
1769787204220651,42830
1769787204263898,42870
1769787204307084,42910
1769787204350184,42950
1769787204393227,42910
1769787204436430,26250
1769787204479233,20890
1769787204522307,23420
1769787204565498,25630
1769787204608667,20940
1769787204655265,23300
1769787204698002,25210
1769787204741285,24540
1769787204784251,24220
1769787204827056,22320
1769787204870095,28990
1769787204913171,44050
1769787204956388,43040
1769787204999486,43000
1769787205042488,42970
1769787205084905,42890
1769787205128037,42940
1769787205170710,42910
1769787205215564,42870
1769787205258583,43050
1769787205301224,42900
1769787205343681,42900
1769787205386780,42860
1769787205429461,42850
1769787205472590,42870
1769787205515562,42800
1769787205557951,42860
1769787205601177,42740
1769787205644388,42800
1769787205686718,42750
1769787205729753,42780
1769787205775529,42770
1769787205818897,42710
1769787205861658,42880
1769787205904871,42790
1769787205947649,42910
1769787205990905,42880
