unix_timestamp,active_power (mW)
1769789220649096,44000
1769789220692031,44090
1769789220734823,43640
1769789220777936,23390
1769789220821098,20820
1769789220864052,19080
1769789220907092,37550
1769789220949705,44180
1769789220992798,44060
1769789221035794,44000
1769789221078682,43980
1769789221121350,44050
1769789221165456,43970
1769789221208002,44040
1769789221250719,43980
1769789221293136,44020
1769789221336234,43610
1769789221379417,43400
1769789221422012,43330
1769789221464456,43320
1769789221507516,43290
1769789221550054,43380
1769789221593074,43290
1769789221636286,43420
1769789221679134,43450
1769789221725744,43360
1769789221768726,33080
1769789221811339,20450
1769789221854444,21880
1769789221897515,37850
1769789221940439,44190
1769789221983619,44100
1769789222026770,44060
1769789222069729,43960
1769789222112918,44090
1769789222156072,43970
1769789222199087,44010
1769789222245975,43990
1769789222288981,43970
1769789222331944,43900
1769789222375154,43940
1769789222417998,43960
1769789222460951,43970
1769789222504186,43920
1769789222547002,44030
1769789222589910,44030
1769789222632267,44560
1769789222675063,44100
1769789222718255,44080
1769789222761355,43960
1769789222806173,43940
1769789222849341,43980
1769789222892422,43990
1769789222935418,43990
1769789222978695,43980
1769789223021787,43920
1769789223064730,43980
1769789223107604,44010
1769789223150907,44140
1769789223194010,44010
1769789223238004,43990
1769789223281124,44050
1769789223326267,43920
1769789223369432,43920
1769789223412351,43970
1769789223455386,43910
1769789223498175,43970
1769789223541214,43870
1769789223584212,43900
1769789223626967,43930
1769789223669910,43970
1769789223712820,44130
1769789223755919,44030
1769789223798568,44000
1769789223841463,41330
1769789223886521,37670
1769789223929629,43680
1769789223972867,43480
1769789224016113,43450
1769789224059127,43400
1769789224102189,43450
1769789224145120,43390
1769789224188322,43440
1769789224230779,43450
1769789224273865,43400
1769789224316933,43370
1769789224360165,43340
1769789224406688,43350
1769789224449884,43400
1769789224492824,43370
1769789224535851,43410
1769789224578789,43350
1769789224622024,43550
1769789224665272,43480
1769789224707783,43400
1769789224750622,43400
1769789224793845,43370
1769789224837000,43400
1769789224879923,26650
1769789224926698,43130
1769789224969858,43390
1769789225012818,43400
1769789225055951,43310
1769789225099003,43360
1769789225141743,43360
1769789225184805,43410
1769789225227848,43410
1769789225270421,43300
1769789225313540,43280
1769789225356514,43330
1769789225399016,43370
1769789225442570,43430
1769789225487025,43390
1769789225529740,43310
1769789225572958,43370
1769789225616117,43330
1769789225659130,43410
1769789225702147,43350
1769789225744400,43350
1769789225786795,43390
1769789225829861,43350
1769789225872893,42290
1769789225915937,37370
1769789225958627,43300
1769789226000990,44080
1769789226047142,43990
1769789226090352,43890
1769789226133176,43890
1769789226176132,43980
1769789226219375,43990
1769789226261740,44000
1769789226304749,44020
1769789226347756,44100
1769789226390516,44040
1769789226433622,43910
1769789226476386,43360
1769789226519490,43390
1769789226562000,43300
1769789226607333,43390
1769789226650395,43510
1769789226693318,43500
1769789226736344,43460
1769789226778781,43370
1769789226822029,43430
1769789226865220,43450
1769789226908261,43480
1769789226951337,43340
1769789226993890,43400
1769789227037038,43430
1769789227080121,43350
1769789227123164,43360
1769789227167471,43410
1769789227209924,43320
1769789227253093,43350
1769789227295746,43370
1769789227338395,43360
1769789227381473,43310
1769789227424647,43410
1769789227467482,43410
1769789227510040,43420
1769789227553281,43440
1769789227596495,43480
1769789227639620,43460
1769789227682915,44850
1769789227727641,43220
1769789227770466,43330
1769789227813103,43380
1769789227856064,43390
1769789227899281,43500
1769789227942426,25100
1769789227985525,20830
1769789228028541,18480
1769789228071034,21090
1769789228113908,22460
1769789228157078,22650
1769789228200140,21720
1769789228242933,18310
1769789228288075,23420
1769789228330721,19170
1769789228373626,21050
1769789228416456,23340
1769789228459460,22500
1769789228502698,17840
1769789228545833,20350
1769789228588984,21820
1769789228631818,23330
1769789228674739,22610
1769789228717969,20900
1769789228760992,18320
1769789228803756,21780
1769789228848096,22510
1769789228891137,36670
1769789228934151,43220
1769789228977023,43520
1769789229019627,43460
1769789229062546,43400
1769789229105434,43390
1769789229148388,43610
1769789229191312,43340
1769789229233801,43270
1769789229277933,43220
1769789229321023,43260
1769789229363897,43260
1769789229408290,43370
1769789229451494,43260
1769789229494447,43270
1769789229537490,43270
1769789229580475,43200
1769789229623015,43270
1769789229665835,43230
1769789229708893,43280
1769789229751875,43340
1769789229794857,43320
1769789229837937,43400
1769789229880653,43370
1769789229923752,43320
1769789229968614,25880
1769789230011712,23470
1769789230054733,22440
1769789230097834,17800
1769789230140927,18810
1769789230183706,22800
1769789230226391,23560
1769789230269318,20820
1769789230312280,17630
1769789230355070,23010
1769789230397896,23520
1769789230441020,23040
1769789230483535,21160
1769789230528622,20600
1769789230571760,21850
1769789230614431,23040
1769789230657409,22300
1769789230699717,20900
1769789230742078,19660
1769789230785308,21000
1769789230828303,22810
1769789230871346,22700
1769789230914502,37420
1769789230957545,43480
1769789231000705,43990
1769789231043755,43850
1769789231089064,43820
1769789231132114,43980
1769789231175008,43820
1769789231217878,43770
1769789231261001,43900
1769789231303893,43810
1769789231346567,43720
1769789231389393,43780
1769789231432321,43780
1769789231475226,43840
1769789231517758,43870
1769789231560906,43840
1769789231603872,43800
1769789231649390,43810
1769789231692158,43910
1769789231734946,43820
1769789231778225,43860
1769789231821440,43880
1769789231864322,43810
1769789231907153,43790
1769789231950175,43440
1769789231993331,43290
1769789232036511,29620
1769789232079646,21220
1769789232122330,22490
1769789232169414,21520
1769789232211970,19070
1769789232255174,21250
1769789232298270,22980
1769789232341187,22350
1769789232384027,19160
1769789232427069,20040
1769789232469729,23510
1769789232512795,19400
1769789232556008,18800
1769789232598836,22980
1769789232641921,23260
1769789232685003,22570
1769789232729727,17830
1769789232772866,19620
1769789232815753,23000
1769789232858714,22710
1769789232901635,39350
1769789232944732,43810
1769789232987986,44110
1769789233030353,43910
1769789233073349,43910
1769789233116354,43840
1769789233159354,43860
1769789233201727,44040
1769789233245033,43930
1769789233290079,43890
1769789233333220,43790
1769789233376295,43830
1769789233419084,43860
1769789233461997,43870
1769789233504821,43860
1769789233547837,43880
1769789233590966,43860
1769789233633385,43840
1769789233676321,43830
1769789233719296,43780
1769789233761821,43760
1769789233804920,43820
1769789233850369,43890
1769789233893509,43850
1769789233936668,44390
1769789233979652,44520
1769789234022902,43920
1769789234065838,37660
1769789234108662,17750
1769789234151666,20920
1769789234194851,22140
1769789234237933,22610
1769789234280888,22730
1769789234323436,17940
1769789234365901,19110
1769789234410637,22620
1769789234453819,22990
1769789234496827,22130
1769789234539238,17880
1769789234581832,20060
1769789234624928,22060
1769789234667867,23510
1769789234710324,22920
1769789234753370,17950
1769789234796341,19090
1769789234839021,22770
1769789234881585,22670
1769789234924716,40740
1769789234970986,44240
1769789235013815,43970
1769789235057038,43920
1769789235100066,43940
1769789235143133,44240
1769789235185933,44180
1769789235228960,43960
1769789235272070,44070
1769789235315560,43960
1769789235357972,43900
1769789235400926,43850
1769789235443761,43870
1769789235486790,43950
1769789235531297,43970
1769789235574455,43970
1769789235616868,44040
1769789235659779,43990
1769789235702401,44000
1769789235745608,43880
