unix_timestamp,active_power (mW)
1769790583390144,43300
1769790583432848,43660
1769790583475699,43600
1769790583518759,43450
1769790583561904,43490
1769790583605014,43550
1769790583647887,43510
1769790583690939,43490
1769790583733749,43590
1769790583776805,43640
1769790583819807,43490
1769790583862492,43560
1769790583908218,43470
1769790583950719,43550
1769790583993825,43620
1769790584036977,43570
1769790584080076,43500
1769790584122591,43460
1769790584165568,43460
1769790584208633,43530
1769790584251582,43580
1769790584294711,43570
1769790584337765,43460
1769790584380699,43420
1769790584423521,43460
1769790584467809,44080
1769790584510811,43860
1769790584553706,43850
1769790584596960,43820
1769790584640008,43970
1769790584682934,43930
1769790584725792,42580
1769790584768823,23360
1769790584811848,19360
1769790584854627,17250
1769790584897679,22370
1769790584940790,43080
1769790584987582,43630
1769790585030363,43650
1769790585073496,43720
1769790585116794,43550
1769790585159450,43640
1769790585202483,43570
1769790585245648,43450
1769790585288745,43500
1769790585331555,43580
1769790585374731,43470
1769790585417790,43520
1769790585460834,43450
1769790585507203,43460
1769790585549792,43520
1769790585592818,43490
1769790585635816,43510
1769790585678872,43370
1769790585721801,43470
1769790585764124,43520
1769790585806659,43540
1769790585849527,43400
1769790585892531,43370
1769790585935805,43520
1769790585979015,43540
1769790586022228,43590
1769790586066831,43460
1769790586109848,43460
1769790586152824,43380
1769790586195270,43470
1769790586238270,43500
1769790586281227,43500
1769790586324163,43550
1769790586366819,43680
1769790586409935,43530
1769790586453169,43450
1769790586496403,43550
1769790586539454,43660
1769790586581866,43630
1769790586626520,43540
1769790586669287,43560
1769790586712558,43460
1769790586755204,43450
1769790586798736,24600
1769790586841850,22380
1769790586884928,21680
1769790586927263,39040
1769790586969843,43370
1769790587013027,43650
1769790587055763,43570
1769790587098891,43520
1769790587141820,43460
1769790587186138,43420
1769790587229305,43470
1769790587272287,43710
1769790587315290,43520
1769790587358497,43490
1769790587401282,43400
1769790587444371,43480
1769790587487344,43410
1769790587530544,43500
1769790587573683,43570
1769790587616916,43540
1769790587660131,43430
1769790587705823,43400
1769790587748895,43470
1769790587791746,41420
1769790587834542,17420
1769790587877620,19400
1769790587920678,42360
1769790587963871,43620
1769790588006644,43610
1769790588049859,43590
1769790588093018,43550
1769790588136089,43490
1769790588178691,43360
1769790588221135,43440
1769790588265595,43470
1769790588308640,43500
1769790588351784,43470
1769790588394987,43470
1769790588438122,43470
1769790588481264,43460
1769790588524143,43360
1769790588566715,43410
1769790588609431,43730
1769790588652474,43540
1769790588695161,43460
1769790588737790,43410
1769790588780945,43440
1769790588825153,28630
1769790588868177,22850
1769790588911083,39740
1769790588954340,46440
1769790588997450,43470
1769790589040544,43520
1769790589083458,43500
1769790589126368,43550
1769790589169465,43680
1769790589212409,43540
1769790589255463,43540
1769790589298387,43430
1769790589340853,43430
1769790589384805,43460
1769790589427667,43570
1769790589470715,43560
1769790589513901,43480
1769790589557009,43410
1769790589600211,43380
1769790589642747,43420
1769790589685695,43550
1769790589728786,43520
1769790589771861,43600
1769790589815774,43560
1769790589858480,43330
1769790589904492,38110
1769790589946989,43030
1769790589989811,43550
1769790590032923,43560
1769790590076111,43450
1769790590119159,43390
1769790590162189,43450
1769790590205277,43380
1769790590247857,43470
1769790590290295,43410
1769790590333336,43460
1769790590376422,43540
1769790590418814,43540
1769790590464232,43600
1769790590507108,43570
1769790590549524,43530
1769790590592520,43480
1769790590635231,43590
1769790590677713,43570
1769790590720654,43460
1769790590762967,43630
1769790590805662,43600
1769790590848874,43560
1769790590891859,34380
1769790590934463,39420
1769790590977615,43890
1769790591024043,43550
1769790591067106,43570
1769790591110329,43510
1769790591153289,43590
1769790591196418,43400
1769790591239507,43400
1769790591281969,43700
1769790591324451,43590
1769790591367645,43470
1769790591410708,43480
1769790591453781,43520
1769790591496851,43420
1769790591543767,43470
1769790591586775,43510
1769790591629906,43570
1769790591673195,43520
1769790591716319,43460
1769790591758912,43440
1769790591801670,43350
1769790591844802,43460
1769790591887697,43600
1769790591930185,24990
1769790591973137,21910
1769790592016209,22110
1769790592059531,21200
1769790592103445,19280
1769790592145860,21670
1769790592188971,23140
1769790592231818,19090
1769790592274688,20730
1769790592317656,22370
1769790592359950,22410
1769790592402581,18850
1769790592445683,18630
1769790592488848,22210
1769790592531730,22220
1769790592574788,20840
1769790592617729,17480
1769790592663144,22280
1769790592706283,22600
1769790592749285,22560
1769790592792285,18700
1769790592835944,19130
1769790592878586,23270
1769790592921578,37800
1769790592964001,43510
1769790593006850,43690
1769790593050001,43660
1769790593092987,43520
1769790593136121,43450
1769790593182918,43450
1769790593226101,43490
1769790593269220,43530
1769790593312207,43480
1769790593355215,43410
1769790593397668,43430
1769790593440505,43340
1769790593483533,43370
1769790593526575,43540
1769790593569820,43530
1769790593612999,43550
1769790593656038,43580
1769790593702660,43440
1769790593745377,43380
1769790593788341,43450
1769790593831352,43330
1769790593873858,43460
1769790593916913,43490
1769790593959776,28770
1769790594002697,21080
1769790594045910,23070
1769790594089239,18920
1769790594132382,19280
1769790594175272,21490
1769790594222487,22350
1769790594265644,20300
1769790594308813,17950
1769790594351831,22010
1769790594394785,22240
1769790594438149,22260
1769790594481267,19200
1769790594523695,20250
1769790594566593,23190
1769790594609704,19250
1769790594652657,19130
1769790594695917,22540
1769790594742301,18890
1769790594785367,20260
1769790594828595,23880
1769790594871466,19500
1769790594913866,38260
1769790594956971,43370
1769790594999835,43690
1769790595042727,43660
1769790595085976,43500
1769790595129169,43520
1769790595172220,43590
1769790595215149,43470
1769790595261842,43560
1769790595305132,43560
1769790595348221,43500
1769790595391010,43490
1769790595434049,43500
1769790595477153,43380
1769790595520227,43370
1769790595563188,43430
1769790595605658,43400
1769790595648662,43460
1769790595691716,43540
1769790595734122,43460
1769790595777112,43540
1769790595821877,43490
1769790595864898,43430
1769790595908345,43400
1769790595950842,43480
1769790595993795,39240
