unix_timestamp,active_power (mW)
1769791533773168,42090
1769791533816132,44370
1769791533858982,44040
1769791533901797,44180
1769791533944992,44070
1769791533987916,44160
1769791534031039,44170
1769791534073909,44150
1769791534116490,44130
1769791534159528,44090
1769791534203969,44050
1769791534247146,44140
1769791534289669,44160
1769791534332301,44160
1769791534375375,44180
1769791534418247,44090
1769791534461459,44100
1769791534504488,44150
1769791534546791,44130
1769791534589804,44120
1769791534632936,44190
1769791534675847,44130
1769791534720139,44180
1769791534764251,44430
1769791534806820,44610
1769791534849811,44140
1769791534892994,44220
1769791534935568,44170
1769791534978705,44150
1769791535021174,44190
1769791535064120,44190
1769791535106674,44200
1769791535149598,44400
1769791535192626,44190
1769791535235656,44230
1769791535278598,44170
1769791535324495,44270
1769791535367531,44220
1769791535410968,44210
1769791535453896,44120
1769791535497169,44160
1769791535540321,44150
1769791535583316,44100
1769791535626294,44070
1769791535669557,44130
1769791535712664,44070
1769791535755130,44050
1769791535797766,44100
1769791535844113,44130
1769791535887016,44060
1769791535929862,44060
1769791535972982,44120
1769791536016043,44160
1769791536059134,26060
1769791536102085,25280
1769791536145304,23930
1769791536188471,24540
1769791536231063,22530
1769791536274063,21980
1769791536317289,24450
1769791536360389,26120
1769791536404520,21890
1769791536447590,22130
1769791536490459,23700
1769791536533526,24400
1769791536576529,23900
1769791536619763,25190
1769791536662909,25220
1769791536706201,24290
1769791536749296,22610
1769791536791732,22020
1769791536834405,22090
1769791536877557,26350
1769791536924387,46760
1769791536967169,44440
1769791537009732,44210
1769791537052951,44090
1769791537095833,44060
1769791537138647,44040
1769791537181637,44120
1769791537224651,44100
1769791537267542,43960
1769791537310436,44170
1769791537353616,44060
1769791537396919,44000
1769791537439748,43980
1769791537484394,44060
1769791537527548,44030
1769791537570714,44030
1769791537613666,44120
1769791537656655,44050
1769791537699738,44020
1769791537742163,44040
1769791537785199,44060
1769791537828228,44040
1769791537871150,44030
1769791537914189,44110
1769791537957273,44090
1769791538000460,44040
1769791538044478,44070
1769791538087333,29330
1769791538129810,25990
1769791538172566,24690
1769791538215586,21630
1769791538258705,21870
1769791538301743,23780
1769791538344922,24740
1769791538387738,26280
1769791538430847,21210
1769791538473860,24390
1769791538516947,25310
1769791538559854,24060
1769791538604510,24670
1769791538647825,23910
1769791538690819,20660
1769791538733464,22160
1769791538776503,25910
1769791538819510,25110
1769791538862751,25770
1769791538905938,24670
1769791538949129,44460
1769791538992290,44600
1769791539035411,44190
1769791539078320,44290
1769791539124477,44070
1769791539167192,44170
1769791539209785,44060
1769791539252909,44080
1769791539296052,44260
1769791539339061,44070
1769791539382304,44100
1769791539425484,44050
1769791539467974,44060
1769791539510618,44110
1769791539553619,44080
1769791539596643,44120
1769791539639727,44110
1769791539684643,44090
1769791539727405,44100
1769791539770078,44150
1769791539813006,44210
1769791539856026,44150
1769791539899171,44120
1769791539942432,44140
1769791539985647,44180
1769791540028813,44160
1769791540071965,44200
1769791540114603,44080
1769791540157594,32860
1769791540200585,24080
1769791540244695,24850
1769791540287730,24390
1769791540330352,22730
1769791540373500,23690
1769791540416532,21790
1769791540459654,23790
1769791540502399,24350
1769791540545628,25250
1769791540588500,25130
1769791540630826,24210
1769791540674125,22520
1769791540717289,21980
1769791540759802,23960
1769791540804561,25630
1769791540847291,24910
1769791540890416,24440
1769791540933270,44800
1769791540976301,44370
1769791541019135,44140
1769791541061825,44120
1769791541104869,44010
1769791541147548,44010
1769791541190548,44120
1769791541233677,44040
1769791541276679,44010
1769791541319677,43990
1769791541364391,44010
1769791541407555,43910
1769791541449883,44100
1769791541492913,43910
1769791541535727,44040
1769791541578446,43980
1769791541621487,44150
1769791541664500,44030
1769791541707534,43980
1769791541750191,43990
1769791541793420,44070
1769791541836269,44100
1769791541879153,44010
1769791541924523,43990
1769791541967480,44030
1769791542010397,44010
1769791542053378,44070
1769791542096408,44110
1769791542139418,44030
1769791542182586,41140
1769791542225815,19990
1769791542268226,22820
1769791542311206,24470
1769791542354390,23960
1769791542397351,25280
1769791542440459,25310
1769791542484530,22750
1769791542527681,21990
1769791542570505,23770
1769791542613625,24020
1769791542656706,24860
1769791542699521,23950
1769791542741874,24270
1769791542784385,25310
1769791542827102,24190
1769791542869857,21100
1769791542913102,25500
1769791542956305,46380
1769791542999427,44390
1769791543044595,44030
1769791543087734,44110
1769791543130875,44330
1769791543173848,44000
1769791543216939,44240
1769791543259269,44060
1769791543301915,44200
1769791543344799,44090
1769791543387864,44090
1769791543430822,44070
1769791543473943,44080
1769791543516930,44090
1769791543560105,44040
1769791543604415,44060
1769791543647657,44830
1769791543690723,43820
1769791543733894,44000
1769791543777128,44000
1769791543819975,44070
1769791543862729,43980
1769791543905795,44000
1769791543948068,44040
1769791543990738,44040
1769791544033663,44020
1769791544076727,44030
1769791544119685,44040
1769791544164313,44080
1769791544207409,43030
1769791544250521,24960
1769791544293452,23490
1769791544336500,21060
1769791544379493,23690
1769791544422282,23640
1769791544465320,25330
1769791544508249,25290
1769791544550932,24650
1769791544593825,22800
1769791544637087,21960
1769791544680437,24220
1769791544724304,21510
1769791544767445,24220
1769791544809946,26230
1769791544853090,21490
1769791544896335,25060
1769791544939232,46360
1769791544982299,44180
1769791545025247,44320
1769791545068535,44150
1769791545111594,44090
1769791545154370,44090
1769791545197460,44170
1769791545244366,44040
1769791545287393,43990
1769791545329916,43970
1769791545372844,43990
1769791545415961,44050
1769791545458822,44020
1769791545501820,43960
1769791545544816,44020
1769791545587886,43940
1769791545630917,43940
1769791545674071,43950
1769791545717113,44000
1769791545760071,43940
1769791545804204,44030
1769791545847034,43990
1769791545890249,44080
1769791545933363,44120
1769791545976297,44050
1769791546019280,44020
1769791546061598,44030
1769791546104769,44030
1769791546147833,44100
1769791546190787,44100
1769791546233725,44020
1769791546276982,44090
1769791546319745,25970
1769791546364087,24160
1769791546407140,23210
1769791546450184,21640
1769791546493278,24130
1769791546536267,26380
1769791546579118,21340
1769791546622245,24070
1769791546665382,26150
1769791546708507,21440
1769791546751302,23940
1769791546793829,26260
1769791546836974,23010
1769791546879714,21550
1769791546924116,46280
1769791546967362,44430
1769791547010019,44140
1769791547052995,44320
1769791547095996,44170
1769791547138629,44040
1769791547181549,44150
1769791547224734,44040
1769791547268024,44010
1769791547310789,44190
1769791547353629,43910
1769791547396605,44040
1769791547439808,44020
1769791547484012,43990
1769791547527321,43960
1769791547570481,44000
1769791547613329,44060
1769791547656565,43990
1769791547698990,43970
1769791547741906,44050
1769791547785012,44020
1769791547827946,44000
1769791547870755,43970
1769791547913884,44050
1769791547956960,44000
1769791548004108,43980
1769791548047319,44120
1769791548090434,44110
1769791548133430,44050
1769791548176416,44050
1769791548219118,44070
1769791548261847,44100
1769791548304934,44140
1769791548347921,29350
1769791548391056,25470
1769791548434047,24500
1769791548477262,20080
1769791548520012,22790
1769791548564144,25020
1769791548607151,24690
1769791548650154,24420
1769791548693169,22060
1769791548736009,21710
1769791548778972,23500
1769791548821910,23450
1769791548865054,25370
1769791548907869,24770
1769791548950938,44680
1769791548993985,44510
1769791549037063,44180
1769791549084018,44260
1769791549127063,44070
1769791549170045,44180
1769791549213138,44090
1769791549256256,44030
1769791549298889,44000
1769791549341927,44110
1769791549384317,44230
1769791549427121,43960
1769791549470391,43990
1769791549513469,43960
1769791549556542,43970
1769791549599494,43980
1769791549643867,44040
1769791549686715,44020
1769791549729850,44000
1769791549772899,44080
1769791549815678,44030
1769791549858208,44020
1769791549901430,43980
1769791549944476,44090
1769791549987417,44120
1769791550030201,44070
1769791550073164,44070
1769791550116246,44050
1769791550158720,44100
1769791550203946,44200
1769791550247054,44140
1769791550290237,44200
1769791550333515,44070
1769791550376661,33510
1769791550419739,23330
1769791550462719,25860
1769791550505674,21080
1769791550548875,23320
1769791550591888,25680
1769791550634793,21140
1769791550677864,23470
1769791550723907,21150
1769791550766170,23480
1769791550809202,25840
1769791550851985,21030
1769791550894720,24460
1769791550937718,46080
1769791550980892,44080
1769791551023725,44140
1769791551066983,44040
1769791551110103,44060
1769791551153081,44360
1769791551196028,44040
1769791551238927,44110
1769791551283788,44200
1769791551326946,44060
1769791551370198,44080
1769791551413322,44030
1769791551456494,44040
1769791551499156,44080
1769791551541780,44030
1769791551584858,44100
1769791551627895,44150
1769791551670483,44150
1769791551713654,44090
1769791551756845,44060
1769791551803770,44070
1769791551846539,44080
1769791551889726,44010
1769791551932956,44120
1769791551976101,44090
1769791552018515,44080
1769791552061500,44050
1769791552104292,43970
1769791552147379,44070
1769791552190265,43950
1769791552233303,44090
1769791552276448,44040
1769791552319664,44060
1769791552363776,44020
1769791552406913,41460
1769791552450026,19500
1769791552493134,22560
1769791552536143,23680
1769791552579354,24770
1769791552621768,24470
1769791552664857,24140
1769791552707897,21740
1769791552750583,21290
1769791552793635,23790
1769791552836842,23390
1769791552883671,24520
1769791552926531,44600
1769791552969566,44520
1769791553012639,44120
1769791553055560,44120
1769791553098688,44170
1769791553141825,44050
1769791553184915,44150
1769791553227976,44300
1769791553271123,44040
1769791553314133,44050
1769791553357245,44110
1769791553403722,44030
1769791553446528,44130
1769791553489542,44090
1769791553532181,44080
1769791553575790,44110
1769791553618834,44060
1769791553661850,44100
1769791553705010,44100
1769791553747814,44060
1769791553790630,44090
1769791553834562,44080
1769791553877758,43950
1769791553923600,44060
1769791553966705,44000
1769791554009785,44010
1769791554052851,44040
1769791554095983,43980
1769791554139139,44090
1769791554182393,44060
1769791554225687,43990
1769791554268783,44100
1769791554311833,44050
1769791554354896,44110
1769791554398030,44070
1769791554443463,29890
1769791554485861,25440
1769791554528989,20970
1769791554571996,23330
1769791554615079,25740
1769791554658271,21000
1769791554701262,23420
1769791554744379,25860
1769791554787148,21030
1769791554829784,23430
1769791554872955,25740
1769791554915835,21110
1769791554958925,46510
1769791555003400,44080
1769791555045778,44060
1769791555089024,44080
1769791555132174,44000
1769791555175389,44230
1769791555217839,43950
1769791555260894,44240
1769791555303939,44230
1769791555346515,44010
1769791555389563,44060
1769791555432664,44030
1769791555475443,44100
1769791555518516,44030
1769791555563476,44080
1769791555606567,44060
1769791555649716,44000
1769791555692861,44020
1769791555735365,44060
1769791555778623,44050
1769791555821645,44050
1769791555864538,44010
1769791555907419,43990
1769791555949908,44020
1769791555992853,44090
1769791556035197,43900
1769791556077842,43960
1769791556123314,44040
1769791556166405,44020
1769791556209500,44080
1769791556252578,44010
1769791556295548,44020
1769791556338604,44030
1769791556381602,44040
1769791556424596,44030
1769791556467391,29570
1769791556509951,24160
1769791556553189,24870
1769791556596130,24390
1769791556643188,22790
1769791556686272,23880
1769791556729269,25150
1769791556772450,24420
1769791556815500,24260
1769791556858081,21760
1769791556901241,21480
1769791556944172,49010
1769791556986891,46220
1769791557029915,43970
1769791557073135,44200
1769791557116278,44100
1769791557163218,44290
1769791557206283,44030
1769791557249417,44070
1769791557292433,44230
1769791557335462,44080
1769791557378419,44070
1769791557420914,44030
1769791557463866,44040
1769791557506591,44040
1769791557549750,44040
1769791557592748,44060
1769791557635571,44060
1769791557678632,44100
1769791557723225,44100
1769791557766260,44060
1769791557809297,44030
1769791557852232,44090
1769791557894851,44180
1769791557937754,44060
1769791557980844,44030
1769791558023857,44060
1769791558066955,44090
1769791558110127,44170
1769791558153307,44100
1769791558196465,44080
1769791558243071,44150
1769791558286170,44100
1769791558329304,44090
1769791558372254,44080
1769791558415440,44190
1769791558458538,44130
1769791558501589,44230
1769791558543988,44140
1769791558587073,29330
1769791558630035,23610
1769791558673201,25290
1769791558716472,24250
1769791558762906,19910
1769791558805679,22520
1769791558848791,23420
1769791558891729,24130
