unix_timestamp,active_power (mW)
1769792396025487,40420
1769792396068357,43270
1769792396111543,43270
1769792396153862,43330
1769792396196908,41740
1769792396239632,18930
1769792396282253,19980
1769792396325461,22360
1769792396368542,22470
1769792396411472,17210
1769792396453881,18170
1769792396497059,22330
1769792396541000,22010
1769792396583962,21650
1769792396626624,17430
1769792396669807,18050
1769792396712819,22290
1769792396755844,22700
1769792396798781,22290
1769792396841845,19220
1769792396884902,19240
1769792396927931,27610
1769792396971195,45680
1769792397013639,43510
1769792397056789,43300
1769792397100829,43250
1769792397143562,43260
1769792397186127,43250
1769792397229261,43250
1769792397272378,43230
1769792397315471,43140
1769792397358534,43470
1769792397401584,43120
1769792397444570,43240
1769792397487742,43180
1769792397530573,43160
1769792397573679,43260
1769792397620530,43150
1769792397663685,43150
1769792397706815,43210
1769792397750013,43140
1769792397792947,43240
1769792397835927,43220
1769792397879077,43240
1769792397921706,43150
1769792397964916,43190
1769792398007824,43190
1769792398050584,43210
1769792398093704,43250
1769792398140236,43240
1769792398183037,43190
1769792398225900,43210
1769792398269092,24670
1769792398312265,20170
1769792398355212,18090
1769792398397881,22680
1769792398440786,22460
1769792398483252,20710
1769792398526361,17480
1769792398569538,18240
1769792398612552,22330
1769792398655647,23100
1769792398700034,17820
1769792398742699,19600
1769792398785573,21470
1769792398828570,23210
1769792398871241,19910
1769792398914178,24150
1769792398957402,46840
1769792399000504,43340
1769792399043260,43550
1769792399086152,43380
1769792399129258,43530
1769792399172255,43320
1769792399214898,43190
1769792399259746,43200
1769792399302719,43370
1769792399345997,43200
1769792399389177,43270
1769792399432382,43160
1769792399475609,43250
1769792399518757,43190
1769792399561671,43270
1769792399604449,43200
1769792399647579,43240
1769792399690471,43230
1769792399733721,43220
1769792399779532,43180
1769792399822546,43280
1769792399865543,43310
1769792399908568,43180
1769792399951425,43280
1769792399994595,43250
1769792400037124,43190
1769792400080139,43290
1769792400122870,43260
1769792400165264,43190
1769792400208030,43310
1769792400250905,43250
1769792400294072,43320
1769792400339196,22110
1769792400382287,21940
1769792400425521,20420
1769792400468714,16690
1769792400511546,21880
1769792400554571,22300
1769792400597290,21960
1769792400640264,18800
1769792400683429,20100
1769792400725830,22810
1769792400769009,18950
1769792400811945,20060
1769792400858828,21130
1769792400901815,23970
1769792400944841,44660
1769792400987904,43480
1769792401031062,43360
1769792401073623,43560
1769792401116790,43280
1769792401160636,43180
