unix_timestamp,active_power (mW)
1769766277991125,40900
1769766278033768,42290
1769766278076853,42160
1769766278119973,42230
1769766278162524,42230
1769766278205637,42120
1769766278248151,42160
1769766278290909,42150
1769766278333936,42140
1769766278377030,42180
1769766278420083,42170
1769766278462720,42150
1769766278507433,42130
1769766278549855,42140
1769766278593051,42170
1769766278636538,42160
1769766278679568,42110
1769766278722529,42190
1769766278765345,42060
1769766278808334,42150
1769766278851376,42100
1769766278894523,42110
1769766278937716,42110
1769766278980676,42090
1769766279027156,41980
1769766279070196,42100
1769766279113241,42240
1769766279155879,42110
1769766279199034,42120
1769766279241559,42120
1769766279284605,42060
1769766279327146,42050
1769766279370308,42150
1769766279413449,42150
1769766279456540,42090
1769766279499577,42120
1769766279542371,42160
1769766279586663,42210
1769766279629697,42210
1769766279672645,42200
1769766279715534,42330
1769766279758301,42180
1769766279801509,42130
1769766279844628,42130
1769766279887566,42190
1769766279930684,42170
1769766279973701,42160
1769766280016683,42100
1769766280059687,42190
1769766280106294,42190
1769766280149218,42130
1769766280192006,42070
1769766280235278,42170
1769766280277656,42160
1769766280320664,42010
1769766280363710,42090
1769766280406297,42120
1769766280449373,42100
1769766280492911,42080
1769766280535512,42190
1769766280578232,42090
1769766280621482,42090
1769766280666114,42160
1769766280709277,42080
1769766280752376,42150
1769766280795674,42160
1769766280838577,42150
1769766280881531,42170
1769766280924470,42150
1769766280967228,42150
1769766281010112,42200
1769766281053202,42220
1769766281096257,42250
1769766281139406,42290
1769766281185850,42190
1769766281228089,42310
1769766281270679,42150
1769766281313929,42150
1769766281356258,42150
1769766281399248,42160
1769766281442316,42080
1769766281485566,42070
1769766281528644,42120
1769766281571696,42100
1769766281614334,42150
1769766281657577,42260
1769766281700651,42280
1769766281745438,42220
1769766281788571,42150
1769766281831616,42160
1769766281873945,42110
1769766281917077,42200
1769766281960062,42140
1769766282003122,42120
1769766282045856,42150
1769766282089087,42100
1769766282131919,42130
1769766282174822,42100
1769766282217978,42080
1769766282261129,42080
1769766282305176,42100
1769766282348208,42080
1769766282390774,42080
1769766282433948,42080
1769766282477084,42120
1769766282520284,42070
1769766282563024,42090
1769766282605777,42150
1769766282648738,42170
1769766282691485,42190
1769766282734433,42130
1769766282776783,42180
1769766282819916,42130
1769766282864629,42210
1769766282907618,42180
1769766282950178,42200
1769766282993324,42110
1769766283036178,42180
1769766283079391,42310
1769766283122629,42180
1769766283165381,42120
1769766283208475,42160
1769766283251030,42140
1769766283294060,42240
1769766283337180,42200
1769766283380431,42170
1769766283424455,42100
1769766283467503,42140
1769766283510713,42090
1769766283553887,42130
1769766283596295,42170
1769766283639096,42130
1769766283681775,42200
1769766283724847,42150
1769766283767956,42130
1769766283811191,42130
1769766283854360,42130
1769766283897628,42140
1769766283944046,42120
1769766283986737,42110
1769766284029804,42110
1769766284072703,42110
1769766284115641,42060
1769766284158695,42100
1769766284201755,42120
1769766284244833,42010
1769766284287601,42080
1769766284330099,42080
1769766284372648,42130
1769766284415469,42150
1769766284458615,42130
1769766284503785,42090
1769766284546659,42130
1769766284589579,42130
1769766284632589,42120
1769766284675511,42100
1769766284718545,42080
1769766284761626,42130
1769766284804457,42130
1769766284847524,42060
1769766284890601,42160
1769766284933702,42090
1769766284976871,42140
1769766285023302,42100
1769766285065630,42210
1769766285108585,42160
1769766285151274,42050
1769766285193910,42060
1769766285237082,42240
1769766285280255,42060
1769766285323088,42060
1769766285365934,42160
1769766285408914,42040
1769766285451866,42100
1769766285495066,42130
1769766285538164,42070
1769766285583010,42060
1769766285625753,42040
1769766285668922,42130
1769766285711954,42270
1769766285754518,42100
1769766285797549,42340
1769766285840768,42140
1769766285883696,45160
1769766285926753,42480
1769766285972152,42080
1769766286015049,42120
1769766286057883,42060
1769766286102565,42100
1769766286145609,42050
1769766286188562,42170
1769766286231574,42060
1769766286274532,42180
1769766286317557,42100
1769766286360065,42110
1769766286402721,42080
1769766286445363,42100
1769766286488285,42120
1769766286531464,42190
1769766286574638,42190
1769766286617611,42050
1769766286662202,42050
1769766286705262,42130
1769766286748048,42090
1769766286791304,42080
1769766286833804,42110
1769766286876954,42150
1769766286920040,42070
1769766286962678,42120
1769766287005744,42110
1769766287048676,42090
1769766287091749,42110
1769766287134796,42310
1769766287177913,42100
1769766287221805,42110
1769766287264888,42080
1769766287308083,42100
1769766287350892,42070
1769766287393357,42100
1769766287436337,42070
1769766287479161,42050
1769766287522228,42090
1769766287565235,42150
1769766287608130,42120
1769766287650691,42120
1769766287693916,42160
1769766287736997,42140
1769766287781333,42210
1769766287824367,42200
1769766287867603,42230
1769766287910685,42210
1769766287953662,42180
1769766287996700,42150
1769766288039855,42170
1769766288082287,42150
1769766288125288,42130
1769766288167892,42210
1769766288210677,42170
1769766288253768,42120
1769766288300736,42110
1769766288343975,42110
1769766288386695,42240
1769766288429600,42200
1769766288472488,42160
1769766288515600,42140
1769766288558818,42250
1769766288602034,42150
1769766288645097,42200
1769766288687991,42120
1769766288731117,42170
1769766288773748,42150
1769766288820581,42120
1769766288863679,42190
1769766288906747,42170
1769766288949920,42120
1769766288993191,42110
1769766289036434,42050
1769766289079587,42070
1769766289121995,42170
1769766289165135,42080
1769766289208123,42110
1769766289251219,42220
1769766289294450,42070
1769766289340186,42090
1769766289383149,42140
1769766289425515,42080
1769766289468519,42080
1769766289511712,42130
1769766289554897,42100
1769766289597741,42130
1769766289640856,42060
1769766289683760,42100
1769766289726939,42110
1769766289770086,42080
1769766289813207,42180
1769766289859710,42150
1769766289902752,42040
1769766289945728,42090
1769766289988739,42160
1769766290031903,42100
1769766290074495,42150
1769766290117602,42100
1769766290160769,42030
1769766290203900,42190
1769766290246682,42240
1769766290289615,42150
1769766290332341,42120
1769766290379248,42180
1769766290421929,42170
1769766290464708,42080
1769766290507627,42170
1769766290550457,42270
1769766290593524,42180
1769766290635852,42080
1769766290678453,42180
1769766290721595,42190
1769766290764646,42210
1769766290807498,42250
1769766290850561,42130
1769766290893597,42250
1769766290938646,42210
1769766290981656,42170
1769766291024566,42200
1769766291067714,42200
1769766291110591,42280
1769766291153073,42170
1769766291196136,42170
1769766291239069,42110
1769766291281872,42190
1769766291324905,42160
1769766291367867,42230
1769766291410823,42150
1769766291453893,42110
1769766291498248,42820
1769766291540711,42360
1769766291583776,42140
1769766291626674,42120
1769766291669837,42140
1769766291712915,42140
1769766291755386,42150
1769766291797834,42120
1769766291840661,42180
1769766291883533,42240
1769766291926594,42220
1769766291969455,42260
1769766292012754,42150
1769766292057658,42240
1769766292100630,42200
1769766292143629,42170
1769766292186392,42140
1769766292229443,42180
1769766292272573,42250
1769766292315562,42240
1769766292358682,42160
1769766292401623,42270
1769766292444569,42280
1769766292487162,42170
1769766292529899,42180
1769766292573237,42180
1769766292617198,42160
1769766292660228,42120
1769766292703061,42190
1769766292745532,42250
1769766292788709,42220
