unix_timestamp,active_power (mW)
1769766861081453,36370
1769766861124489,43680
1769766861167574,44140
1769766861210299,44200
1769766861253303,44120
1769766861296216,44100
1769766861338648,43980
1769766861381889,44120
1769766861425182,44110
1769766861468400,44100
1769766861511511,44110
1769766861553988,44100
1769766861599649,44070
1769766861642025,44020
1769766861685202,44010
1769766861728151,44060
1769766861770837,44010
1769766861813943,44030
1769766861857099,44010
1769766861899999,44030
1769766861942756,44150
1769766861985758,44070
1769766862029030,44090
1769766862072149,44120
1769766862115053,44080
1769766862159828,44120
1769766862202517,44110
1769766862245406,44070
1769766862288345,47830
1769766862331301,56940
1769766862374033,44060
1769766862417183,44290
1769766862460422,44100
1769766862503585,44120
1769766862546564,44140
1769766862589664,44160
1769766862632804,44200
1769766862679789,44110
1769766862722832,44130
1769766862765938,44210
1769766862808937,44160
1769766862851759,44180
1769766862894905,44140
1769766862937844,44210
1769766862980960,44110
1769766863023909,44100
1769766863066743,44120
1769766863109787,44080
1769766863152763,44140
1769766863195840,44110
1769766863239752,44170
1769766863282314,43990
1769766863325396,44140
1769766863368677,44070
1769766863411707,44100
1769766863454527,44140
1769766863497679,44180
1769766863540680,44130
1769766863583754,44200
1769766863626954,44180
1769766863669983,44160
1769766863713081,44180
1769766863760060,44110
1769766863803169,44130
1769766863845854,44120
1769766863888552,44130
1769766863931031,44150
1769766863974265,44050
1769766864017447,44140
1769766864060628,44110
1769766864103726,44080
1769766864147026,44060
1769766864190177,44110
1769766864233233,44110
1769766864275526,44090
1769766864320016,44040
1769766864363202,44010
1769766864405821,44010
1769766864448903,43970
1769766864491681,43980
1769766864534892,44080
1769766864578097,44090
1769766864620639,44080
1769766864663735,44030
1769766864706708,44080
1769766864749869,44050
1769766864792835,43980
1769766864835970,43900
1769766864880012,43920
1769766864922872,43910
1769766864965781,43990
1769766865008888,44020
1769766865051843,44050
1769766865094654,44080
1769766865137735,44220
1769766865180833,44140
1769766865223710,44240
1769766865266491,44200
1769766865309480,44350
1769766865352954,44200
1769766865395896,44180
1769766865440233,44050
1769766865483053,44050
1769766865525809,44060
1769766865568893,44140
1769766865611925,44160
1769766865655074,44090
1769766865698230,44090
1769766865741493,44000
1769766865784612,43990
1769766865827833,44030
1769766865870650,43980
1769766865913238,44000
1769766865960015,44050
1769766866002940,44060
1769766866046163,44100
1769766866089357,44120
1769766866131806,44080
1769766866174352,44100
1769766866217769,44160
1769766866260847,44100
1769766866303815,44060
1769766866346794,44090
1769766866389743,44060
1769766866432922,44040
1769766866475843,44050
1769766866520162,43980
1769766866563248,44010
1769766866606343,44020
1769766866649481,44090
1769766866692735,44050
1769766866735404,43970
1769766866777696,43980
1769766866820713,44050
1769766866863791,44000
1769766866906925,44010
1769766866949920,44010
1769766866993035,44510
1769766867035556,44690
1769766867080306,44230
1769766867122715,44010
1769766867165812,44120
1769766867208803,44110
1769766867251675,44080
1769766867294093,44120
1769766867337083,44200
1769766867380284,44240
1769766867423242,44150
1769766867465973,44060
1769766867509080,44140
1769766867552105,44140
1769766867595228,44080
1769766867640282,44060
1769766867683471,44040
1769766867726666,44100
1769766867769711,44040
1769766867812784,43970
1769766867855831,44060
1769766867898745,44070
1769766867941901,43960
1769766867984897,43970
1769766868027592,44010
1769766868070667,43960
1769766868113775,44030
1769766868160305,44150
1769766868203191,44090
1769766868245906,44090
1769766868289090,44250
1769766868331753,44150
1769766868374375,44160
1769766868417416,44180
1769766868460416,44140
1769766868503627,44250
1769766868546575,44210
1769766868589828,44090
1769766868632835,44100
1769766868675768,44000
1769766868720392,44020
1769766868763303,44030
1769766868806204,44110
1769766868849239,44040
1769766868892141,44090
1769766868934631,44140
1769766868977749,44030
1769766869020637,44020
1769766869063760,43940
1769766869106371,44030
1769766869149463,43960
1769766869191995,44070
1769766869234958,44050
1769766869280303,43850
1769766869322817,43920
1769766869365675,43950
1769766869409026,44040
1769766869451730,43890
1769766869494285,43890
1769766869536707,43910
1769766869579808,43970
1769766869622580,43980
1769766869665808,43980
1769766869708327,44090
1769766869751120,44070
1769766869794091,44100
1769766869840545,44050
1769766869883739,44110
1769766869926954,44110
1769766869969743,44040
1769766870012751,44080
1769766870055441,44070
1769766870098577,44080
1769766870141679,44090
1769766870184803,44030
1769766870227857,44040
1769766870270578,44020
1769766870313780,44050
1769766870360621,43970
1769766870403827,44030
1769766870446675,43990
1769766870489860,44000
1769766870533046,44000
1769766870576047,44010
1769766870619148,43990
1769766870662036,43960
1769766870705226,43980
1769766870748144,43950
1769766870791311,43910
1769766870834441,43970
1769766870880578,44050
1769766870923606,43980
1769766870966622,44000
1769766871009821,44060
1769766871052753,44000
1769766871095412,44030
1769766871138357,44120
1769766871181359,44050
1769766871224352,44050
1769766871266797,44020
1769766871309762,44010
1769766871352949,43990
1769766871396158,44030
1769766871440613,44120
1769766871483745,44000
1769766871526249,44000
1769766871569075,44080
1769766871612237,43990
1769766871655193,43980
1769766871698411,43970
1769766871740679,43960
1769766871782984,43960
1769766871825893,44020
1769766871869114,44040
1769766871912214,44030
1769766871955138,44000
1769766872000531,44080
1769766872043455,44050
1769766872086580,44020
1769766872129472,44060
