unix_timestamp,active_power (mW)
1769768589144005,35870
1769768589186841,42550
1769768589229544,42990
1769768589272657,42890
1769768589315609,42780
1769768589357889,42770
1769768589401000,42720
1769768589443965,42760
1769768589487083,42750
1769768589530072,42820
1769768589576140,42730
1769768589619232,42830
1769768589662164,42810
1769768589705200,42760
1769768589748213,42850
1769768589790950,42810
1769768589833938,42740
1769768589877110,42770
1769768589919990,42770
1769768589962686,42730
1769768590005618,42800
1769768590048584,42760
1769768590091646,42820
1769768590136066,42750
1769768590179116,42760
1769768590222297,42690
1769768590265328,42740
1769768590307943,42690
1769768590350966,42720
1769768590393424,43420
1769768590436568,43330
1769768590479658,42750
1769768590522620,42800
1769768590565612,42780
1769768590608497,42800
1769768590651694,42770
1769768590696041,42860
1769768590738681,42810
1769768590781344,42850
1769768590824336,42810
1769768590867060,42880
1769768590909639,42850
1769768590952532,42810
1769768590994998,42910
1769768591038135,42840
1769768591081176,42880
1769768591124375,42840
1769768591166920,42990
1769768591210093,42820
1769768591256121,42800
1769768591298618,42790
1769768591341530,42900
1769768591384708,42870
1769768591427796,42800
1769768591470757,42850
1769768591513733,42780
1769768591556717,42840
1769768591599751,42840
1769768591642819,42750
1769768591685793,42790
1769768591728286,42750
1769768591771440,42820
1769768591816117,42830
1769768591858916,42960
1769768591901393,42760
1769768591944199,42810
1769768591986868,43100
1769768592029980,42740
1769768592072895,42800
1769768592115827,42820
1769768592158790,42750
1769768592201786,42800
1769768592244956,42730
1769768592288134,42730
1769768592331116,42800
1769768592376142,42780
1769768592418987,42820
1769768592462154,42740
1769768592505356,42800
1769768592548586,42800
1769768592591674,42750
1769768592634744,42710
1769768592677605,42840
1769768592720827,42790
1769768592763798,42840
1769768592806662,42830
1769768592849731,42890
1769768592896287,42800
1769768592939138,42820
1769768592981601,42770
1769768593024628,42820
1769768593067484,42740
1769768593109887,42810
1769768593153135,42810
1769768593195888,42750
1769768593238466,42950
1769768593281650,42850
1769768593324560,42860
1769768593367777,42710
1769768593410848,42770
1769768593456332,42840
1769768593499488,42740
1769768593542453,42790
1769768593585680,42820
1769768593628666,42830
1769768593671679,42800
1769768593714442,42720
1769768593757557,42690
1769768593800615,42810
1769768593843521,42900
1769768593886478,42790
1769768593929665,42880
1769768593976405,42790
1769768594019613,42820
1769768594062615,42800
1769768594105012,42740
1769768594147910,42810
1769768594191010,42810
1769768594234083,42820
1769768594277243,42750
1769768594320465,42750
1769768594363063,42780
1769768594406166,42830
1769768594448647,42780
1769768594491844,42800
1769768594536640,42760
1769768594579604,42750
1769768594622768,42710
1769768594665746,42770
1769768594708217,42760
1769768594751003,42770
1769768594793772,42800
1769768594836791,42680
1769768594879801,42790
1769768594922509,42810
1769768594965508,42820
1769768595008733,42820
1769768595051550,42750
1769768595096604,42990
1769768595139447,42770
1769768595182545,42780
1769768595225691,42790
1769768595268694,42820
1769768595311715,42880
1769768595354776,42820
1769768595397744,42800
1769768595440652,42810
1769768595483374,42750
1769768595526412,42840
1769768595569538,42730
1769768595612481,42780
1769768595656782,42890
1769768595699954,42840
1769768595743186,42810
1769768595786192,42770
1769768595829258,42840
1769768595872463,42890
1769768595915572,42830
1769768595957945,42890
1769768596001097,42790
1769768596044373,42810
1769768596087365,42820
1769768596130468,42810
1769768596176876,42770
1769768596219651,42770
1769768596262685,42810
1769768596305290,42720
1769768596348299,42770
1769768596391452,42830
1769768596434016,42870
1769768596477150,42760
1769768596519994,42800
1769768596563011,42810
1769768596606122,42850
1769768596649063,42800
1769768596692057,42840
1769768596736909,42780
1769768596780116,42780
1769768596822863,42850
1769768596865838,42760
1769768596908515,42790
1769768596951175,42770
1769768596993792,42810
1769768597036833,42750
1769768597079983,42730
1769768597122710,42920
1769768597165728,42750
1769768597208746,42860
1769768597251307,42890
1769768597297188,42800
1769768597340229,42810
1769768597383328,42830
1769768597426110,42830
1769768597469240,42830
1769768597512098,42770
1769768597555171,42790
1769768597598134,42810
1769768597641228,42880
1769768597684275,42770
1769768597726859,42830
1769768597769714,42740
1769768597812723,42820
1769768597857338,42760
1769768597900399,42830
1769768597943093,42860
1769768597985811,42850
1769768598028652,42730
1769768598071623,42830
1769768598114656,42810
1769768598157737,42800
1769768598200759,42870
1769768598243399,42800
1769768598285805,42810
1769768598328714,42770
1769768598371191,42770
1769768598417363,42760
1769768598460491,42780
1769768598503398,42820
1769768598545781,42800
1769768598588719,42800
1769768598631604,42750
1769768598674183,42810
1769768598716657,42780
1769768598759717,42810
1769768598802399,42740
1769768598845622,42820
1769768598888797,42860
1769768598931713,42910
1769768598977452,42760
1769768599020842,42870
1769768599063785,42780
1769768599106718,42820
1769768599149677,42900
1769768599192682,42800
1769768599235444,42780
1769768599277856,42740
1769768599320786,42810
1769768599363767,42760
1769768599406420,42740
1769768599449364,42820
1769768599492376,42820
1769768599537716,42800
1769768599580779,42820
1769768599623704,42780
1769768599666911,42800
1769768599709915,42840
1769768599753038,42820
1769768599796165,42810
1769768599839254,42780
1769768599882327,42820
1769768599924978,42890
1769768599967950,42830
1769768600010550,42850
1769768600053610,42810
1769768600097876,42860
1769768600141013,42750
1769768600184172,42770
1769768600227164,42770
1769768600270215,42800
1769768600313459,42770
1769768600356374,42820
1769768600399308,42780
1769768600442501,42750
1769768600485660,42840
1769768600528735,42770
1769768600571515,42830
1769768600617942,42850
1769768600661106,42810
1769768600703944,42740
1769768600746362,42800
1769768600789355,42720
1769768600832667,42810
1769768600875781,42770
1769768600918336,42870
1769768600961516,42860
1769768601004493,42800
1769768601047077,42750
1769768601090214,42820
1769768601133382,42790
1769768601178187,42800
1769768601221290,42900
1769768601264505,42810
1769768601307237,42810
1769768601350181,42790
1769768601393210,42760
1769768601436352,42780
1769768601479597,42710
1769768601522349,42750
1769768601565550,42790
1769768601608641,42820
1769768601651736,42690
1769768601698309,42800
1769768601740581,42780
1769768601783044,42790
1769768601825679,42780
1769768601868641,42790
1769768601911833,42850
1769768601954254,42770
1769768601997312,42840
1769768602040420,42840
1769768602083094,42750
1769768602125471,42830
1769768602168367,42830
1769768602211311,42800
1769768602258427,42800
1769768602301604,42790
1769768602344785,42700
1769768602387627,42820
1769768602430614,42780
