unix_timestamp,active_power (mW)
1769769105946906,42400
1769769105989841,43770
1769769106032800,43380
1769769106075791,43420
1769769106118019,43720
1769769106161096,43490
1769769106204187,43420
1769769106246816,43450
1769769106289874,43700
1769769106332911,43510
1769769106376105,43650
1769769106418775,43630
1769769106465350,43640
1769769106507887,43580
1769769106550763,43340
1769769106593860,43400
1769769106636838,43410
1769769106680003,43450
1769769106723288,43400
1769769106765864,43450
1769769106809011,43490
1769769106851988,43420
1769769106895239,43470
1769769106938421,43510
1769769106981439,43530
1769769107025681,43430
1769769107068789,43500
1769769107111715,43540
1769769107154665,43490
1769769107197641,43620
1769769107240626,43390
1769769107283454,43420
1769769107326415,43430
1769769107369552,43570
1769769107412454,43420
1769769107455618,43490
1769769107498737,43490
1769769107545662,43650
1769769107588827,43380
1769769107631863,43510
1769769107674914,43760
1769769107717503,43700
1769769107760566,43670
1769769107803437,43720
1769769107846423,43510
1769769107889411,43560
1769769107932436,43720
1769769107975544,43670
1769769108018534,43500
1769769108060774,43470
1769769108105849,43460
1769769108148832,43500
1769769108191164,43460
1769769108234357,43560
1769769108277296,43430
1769769108320480,43540
1769769108363628,43390
1769769108406476,43430
1769769108449445,43450
1769769108492536,43440
1769769108535435,43440
1769769108578585,43400
1769769108621499,43430
1769769108665895,43460
1769769108709043,43440
1769769108752087,43380
1769769108795009,43470
1769769108837997,43380
1769769108881089,43440
1769769108924017,43420
1769769108966826,43380
1769769109009769,43630
1769769109052815,43530
1769769109095783,43470
1769769109138679,43720
1769769109182010,43420
1769769109226070,43940
1769769109269135,43840
1769769109312434,43720
1769769109355494,43830
1769769109398293,43750
1769769109441319,43390
1769769109484164,43400
1769769109527028,43530
1769769109569937,43380
1769769109612799,43420
1769769109655986,43700
1769769109699251,43490
1769769109741845,43380
1769769109786058,43470
1769769109829174,43410
1769769109872050,43410
1769769109914870,43690
1769769109957726,43680
1769769110000902,43560
1769769110043871,43470
1769769110086341,43420
1769769110129449,43350
1769769110172418,43470
1769769110215404,43450
1769769110258374,43520
1769769110301349,43630
1769769110346083,43550
1769769110389129,43370
1769769110431706,43620
1769769110474540,43390
1769769110517488,43270
1769769110560565,43380
1769769110603667,43410
1769769110646574,43400
1769769110689772,43280
1769769110732812,43340
1769769110775597,43290
1769769110818508,43340
1769769110861487,43730
1769769110906090,43440
1769769110949196,43400
1769769110992232,43690
1769769111035356,43650
1769769111078126,43710
1769769111121364,43390
1769769111164251,43560
1769769111207175,43450
1769769111250337,43530
1769769111293266,43590
1769769111336192,43810
1769769111379347,43690
1769769111426264,43390
1769769111469060,43470
1769769111512288,43420
1769769111555407,43400
1769769111598467,43870
1769769111641555,43400
1769769111684745,43570
1769769111727900,43630
1769769111770277,43400
1769769111813346,43560
1769769111856379,43600
1769769111899024,43520
1769769111941825,43650
1769769111986113,43550
1769769112029280,43410
1769769112072420,43520
1769769112115111,43540
1769769112157822,43390
1769769112201003,43410
1769769112243940,43490
1769769112287120,43660
1769769112330257,43390
1769769112373378,43590
1769769112416431,43420
1769769112459594,43440
1769769112506445,43390
1769769112549409,43440
1769769112592424,43590
1769769112635469,43490
1769769112677936,43440
1769769112721094,43340
1769769112764004,43260
1769769112807198,43330
1769769112850166,43360
1769769112893402,43410
1769769112936422,43430
1769769112979451,43440
1769769113022392,43460
1769769113066388,43480
1769769113109334,43820
1769769113152383,43520
1769769113195217,43370
1769769113237779,43620
1769769113280943,43420
1769769113323879,43410
1769769113366649,43630
1769769113409665,43430
1769769113452769,43450
1769769113495870,43630
1769769113538565,43480
1769769113581720,43410
1769769113626430,43410
1769769113669540,43510
1769769113712373,43530
1769769113755300,43720
1769769113797795,43460
1769769113840947,43390
1769769113884144,43410
1769769113926906,43410
1769769113969952,43450
1769769114013084,43450
1769769114056309,43780
1769769114099014,43590
1769769114141579,43600
1769769114186391,43550
1769769114229398,43610
1769769114272447,43590
1769769114314724,43410
1769769114357641,43620
1769769114400713,43550
1769769114443776,43410
1769769114486844,43460
1769769114529956,43330
1769769114573161,43320
1769769114616384,43450
1769769114659251,43620
1769769114702515,43760
1769769114746530,43540
1769769114789701,43410
1769769114832857,43540
1769769114876069,43510
1769769114919026,43470
1769769114961908,43500
1769769115005053,43470
1769769115047988,43490
1769769115091179,43490
1769769115134019,43490
1769769115177280,43510
1769769115220355,43420
1769769115266601,43430
1769769115309790,43460
1769769115352919,43690
1769769115396019,43560
1769769115439176,43450
1769769115482298,43360
1769769115525120,43370
1769769115567984,43420
1769769115611151,43340
1769769115654104,43450
1769769115697377,43440
1769769115740279,43400
1769769115786723,43390
1769769115829863,43390
1769769115873019,43390
1769769115916155,43390
1769769115958749,43490
1769769116001359,43440
1769769116044423,43410
1769769116087402,43780
1769769116129716,43460
1769769116172856,43540
1769769116215137,43740
1769769116258103,43670
1769769116301179,43480
1769769116346702,43400
1769769116389836,43440
1769769116432859,43420
1769769116475891,43330
1769769116518923,43390
1769769116561399,43430
1769769116604139,43410
1769769116647078,43550
1769769116690247,43410
1769769116732874,43380
1769769116776057,43720
1769769116818819,43450
1769769116861847,43400
1769769116906823,43430
1769769116950025,43390
1769769116993251,43360
1769769117036430,43400
1769769117079378,43400
1769769117121715,43630
1769769117164776,43600
1769769117207241,43440
1769769117250420,43560
1769769117293360,43420
1769769117336423,43510
1769769117379515,43670
1769769117421923,43480
1769769117466935,43410
1769769117509405,43470
1769769117552537,43440
1769769117595438,43380
1769769117637747,43630
1769769117680856,43730
1769769117723990,43370
1769769117767034,43550
1769769117809777,43450
1769769117852833,43830
1769769117895811,43660
1769769117938834,43660
1769769117982024,43800
1769769118027085,43620
1769769118069541,43480
1769769118113469,43830
1769769118156461,43550
1769769118199307,43450
1769769118241697,43510
1769769118284743,43390
1769769118327697,43500
1769769118370557,43680
1769769118413721,43620
1769769118456825,43680
1769769118499352,43450
1769769118541864,43550
1769769118587310,43730
1769769118630369,43680
1769769118673542,43580
1769769118716502,43740
1769769118759384,43490
1769769118801928,43430
1769769118845042,43420
1769769118888142,43380
1769769118930874,43590
1769769118973841,43470
1769769119017072,43730
1769769119060222,43820
1769769119103260,43560
1769769119147513,43580
1769769119189885,43500
1769769119233093,43490
1769769119276204,43500
1769769119318738,43710
1769769119361788,43620
1769769119404900,43370
1769769119447798,43400
1769769119490994,43510
1769769119534215,43640
1769769119577223,43620
1769769119620363,43460
1769769119663342,43310
1769769119707585,43420
1769769119750079,43420
1769769119793206,43550
1769769119836230,43660
1769769119879368,43640
1769769119922328,43810
1769769119965404,43630
1769769120008133,43500
1769769120051212,43540
1769769120094378,43610
1769769120137424,43710
1769769120180399,43770
1769769120223019,43400
1769769120267808,43350
1769769120310430,43780
1769769120353378,43390
1769769120396492,43460
1769769120439369,43740
1769769120482239,43630
1769769120525303,43610
