unix_timestamp,active_power (mW)
1769771400265092,29700
1769771400307984,44300
1769771400351252,44150
1769771400394428,44130
1769771400437193,44160
1769771400480310,44150
1769771400523358,44150
1769771400566297,44040
1769771400612125,44080
1769771400654715,44160
1769771400697958,44070
1769771400740494,44040
1769771400783560,44090
1769771400826291,44150
1769771400869403,44110
1769771400912319,44040
1769771400955179,44120
1769771400997955,44050
1769771401040819,44110
1769771401083990,44070
1769771401127007,44140
1769771401171518,44030
1769771401214459,44090
1769771401256971,44340
1769771401299937,44110
1769771401342819,44060
1769771401385799,44120
1769771401428795,44140
1769771401472089,44070
1769771401515168,44060
1769771401558346,44070
1769771401601599,44110
1769771401644826,44100
1769771401690901,44120
1769771401733143,44220
1769771401775601,44050
1769771401818597,44090
1769771401861701,44030
1769771401904845,44120
1769771401947912,44140
1769771401991061,44070
1769771402033913,44040
1769771402077030,44000
1769771402120139,44180
1769771402163405,44080
1769771402210096,44030
1769771402253535,43930
1769771402296447,43950
1769771402339211,44050
1769771402381912,44060
1769771402424478,44000
1769771402467252,43960
1769771402509742,44040
1769771402552155,44160
1769771402595071,44100
1769771402637870,44070
1769771402681001,44080
1769771402723843,44090
1769771402769505,44090
1769771402812606,44090
1769771402855489,44100
1769771402897938,44020
1769771402941174,44130
1769771402984274,44000
1769771403027469,44060
1769771403070517,44050
1769771403113515,44080
1769771403156667,44250
1769771403199005,44140
1769771403241849,44100
1769771403285076,44100
1769771403329076,44160
1769771403372154,43980
1769771403414928,44110
1769771403457794,44160
1769771403500825,44060
1769771403543399,44070
1769771403586453,44130
1769771403629327,44040
1769771403672542,44130
1769771403715621,44180
1769771403758761,44150
1769771403801914,44150
1769771403848426,44050
1769771403891512,44080
1769771403933916,44140
1769771403977115,44120
1769771404020009,44200
1769771404062396,44090
1769771404105236,44060
1769771404148127,44040
1769771404191223,44130
1769771404234164,44100
1769771404277278,44060
1769771404320485,44120
1769771404363354,44070
1769771404407845,44130
1769771404451014,44060
1769771404494179,44110
1769771404537389,44100
1769771404580534,44110
1769771404623645,44100
1769771404666391,44070
1769771404709169,44100
1769771404752151,44150
1769771404795155,44140
1769771404837482,44100
1769771404880469,44200
1769771404927412,44130
1769771404970188,44010
1769771405012486,44160
1769771405055365,44090
1769771405098473,44070
1769771405141539,44190
1769771405184542,44140
1769771405227514,44110
1769771405270755,44210
1769771405313886,44050
1769771405357076,44160
1769771405400130,44150
1769771405446883,43960
1769771405489964,44120
1769771405533097,44120
1769771405576293,44090
1769771405619094,44080
1769771405661598,44120
1769771405704715,44120
1769771405747612,44130
1769771405790995,44190
1769771405834256,44130
1769771405876968,44160
1769771405920200,44170
1769771405966368,44110
1769771406009424,44130
1769771406052595,44150
1769771406095705,44200
1769771406138712,44080
1769771406182069,44150
1769771406224503,44160
1769771406267446,44150
1769771406309735,44090
1769771406352437,44100
1769771406395110,44090
1769771406437773,44110
1769771406480735,44050
1769771406525783,44160
1769771406568768,44030
1769771406611906,44130
1769771406655045,44070
1769771406697439,44160
1769771406740439,44120
1769771406783280,44110
1769771406826014,44090
1769771406868400,44190
1769771406910962,44200
1769771406953472,44120
1769771406996520,44070
1769771407039518,44140
1769771407085244,44090
1769771407128296,44060
1769771407171402,44240
1769771407213852,44150
1769771407257011,44080
1769771407300180,44040
1769771407342710,44060
1769771407385938,44070
1769771407428976,44070
1769771407472000,44060
1769771407514769,44080
1769771407557795,44090
