unix_timestamp,active_power (mW)
1769771729167145,29790
1769771729209897,46840
1769771729252954,43270
1769771729295717,43440
1769771729341219,43240
1769771729384285,43280
1769771729427415,43280
1769771729469920,43330
1769771729513148,43210
1769771729555903,43330
1769771729598542,43200
1769771729641595,43160
1769771729684646,43170
1769771729727210,43250
1769771729769682,43280
1769771729812821,43280
1769771729856130,43220
1769771729900827,43300
1769771729944015,43220
1769771729987189,43220
1769771730030243,43260
1769771730073183,43330
1769771730116284,43350
1769771730159455,43330
1769771730202508,43250
1769771730245529,43200
1769771730288527,43230
1769771730331073,43270
1769771730373668,43200
1769771730420850,43280
1769771730463995,43300
1769771730506997,43300
1769771730549956,43280
1769771730592758,43290
1769771730635885,43240
1769771730678999,43220
1769771730722129,43260
1769771730765145,43320
1769771730808238,43270
1769771730851351,43270
1769771730893879,43290
1769771730940279,42530
1769771730983436,43260
1769771731025918,43340
1769771731068990,43290
1769771731111993,43240
1769771731155149,43390
1769771731197652,43310
1769771731240768,43270
1769771731283191,43190
1769771731325807,43230
1769771731368942,43300
1769771731411828,43420
1769771731454983,43310
1769771731499945,43250
1769771731542617,43210
1769771731585639,43230
1769771731628686,43290
1769771731671626,43250
1769771731714564,43280
1769771731756912,43320
1769771731799236,43340
1769771731842338,43250
1769771731885534,43190
1769771731928734,43200
1769771731971829,43290
1769771732014320,43300
1769771732059819,43280
1769771732102523,43240
1769771732145475,43220
1769771732188579,43190
1769771732231474,43240
1769771732274580,43230
1769771732317404,43220
1769771732359879,43250
1769771732402423,43270
1769771732445610,43230
1769771732488684,43300
1769771732531679,43280
1769771732574815,43200
1769771732619525,43250
1769771732661953,43250
1769771732705021,43210
1769771732748127,43230
1769771732791088,43260
1769771732833292,43220
1769771732876413,43200
1769771732919291,43220
1769771732962408,43190
1769771733005682,43260
1769771733048473,43230
1769771733091690,43270
1769771733134588,43410
1769771733179253,43250
1769771733222365,43240
1769771733265552,43440
1769771733309507,43230
1769771733352732,43260
1769771733395463,43350
1769771733438606,43730
1769771733481767,43580
1769771733524856,43240
1769771733567973,43190
1769771733611223,43270
1769771733653566,43170
1769771733698988,43360
1769771733741791,43310
1769771733784979,43270
1769771733828107,43360
1769771733870474,43260
1769771733913472,43280
1769771733956501,43250
1769771733999645,43160
1769771734042720,43220
1769771734085977,43250
1769771734129023,43280
1769771734172094,43240
1769771734218856,43240
1769771734261904,43260
1769771734304870,43210
1769771734347323,43240
1769771734389799,43220
1769771734432886,43330
1769771734475826,43240
1769771734518509,43260
1769771734561713,43290
1769771734604675,43260
1769771734647763,43240
1769771734690564,43230
1769771734733633,43190
1769771734778531,43260
1769771734821257,43280
1769771734864460,43270
1769771734907630,43260
1769771734950762,43230
1769771734993834,43180
1769771735036856,43170
1769771735080005,43160
1769771735122323,43210
1769771735165386,43220
1769771735208503,43440
1769771735251816,43290
1769771735298264,43240
1769771735341403,43220
1769771735384528,43230
1769771735427815,43230
1769771735470904,43260
1769771735514061,43400
1769771735557203,43520
1769771735600280,43230
1769771735643325,43220
1769771735686263,43180
1769771735728941,43180
1769771735771985,43240
1769771735818068,43240
1769771735861043,43210
1769771735903889,43320
1769771735946873,43300
1769771735989964,43250
1769771736032955,43140
1769771736076012,43180
1769771736118995,43190
1769771736162035,43990
1769771736205040,43720
1769771736248022,43330
1769771736291056,43350
1769771736333281,43300
1769771736377713,43210
1769771736420893,43190
1769771736463911,43260
1769771736507253,43310
1769771736550344,43350
1769771736593338,43310
1769771736636492,43250
1769771736679598,43230
1769771736722317,43230
1769771736765377,43230
1769771736808673,43250
1769771736851751,43280
1769771736897478,43310
1769771736940161,43270
1769771736983405,43250
1769771737026548,43200
1769771737069690,43160
1769771737112621,43200
1769771737155724,43510
1769771737198647,43240
1769771737241820,43370
1769771737284917,43480
1769771737327777,43230
1769771737370901,43290
1769771737417284,43270
1769771737460359,43260
1769771737503443,43280
1769771737545952,43440
1769771737588933,43340
1769771737632065,43290
1769771737675252,43290
1769771737718328,43210
1769771737761391,43190
1769771737804522,43250
1769771737847554,43280
1769771737890575,43250
1769771737937012,43340
1769771737980160,43420
1769771738023292,43270
1769771738066167,43210
1769771738109209,43260
1769771738152052,43220
1769771738195067,43760
1769771738238116,43850
1769771738281063,43350
1769771738323988,43290
1769771738366624,43320
1769771738409582,43250
1769771738452699,43250
1769771738496646,43240
1769771738539716,43270
1769771738582368,43300
1769771738625427,43440
1769771738668635,43350
1769771738711630,43280
1769771738754417,43210
1769771738797578,43250
1769771738840704,43230
1769771738883524,43230
1769771738926502,43220
1769771738969779,43290
1769771739016456,43290
1769771739059556,43370
1769771739102595,43370
1769771739145681,43380
1769771739188840,43240
1769771739231257,43290
1769771739274399,43290
1769771739317499,43330
1769771739360209,43320
1769771739402976,43340
1769771739445826,43360
1769771739488829,43350
1769771739531791,43260
1769771739576290,43500
1769771739619351,43250
1769771739662477,43340
1769771739705489,43390
1769771739748588,43300
1769771739791375,43350
1769771739834245,43280
1769771739877522,43290
1769771739920720,43310
1769771739963993,43270
1769771740006944,43280
1769771740049869,43260
1769771740096132,43330
1769771740139219,43360
1769771740182354,43330
1769771740225546,43300
1769771740268786,43160
1769771740311783,43290
1769771740354753,43270
1769771740397759,43270
1769771740440153,43300
1769771740483048,43270
1769771740525780,43370
1769771740568919,43270
1769771740615923,43210
1769771740658679,43260
1769771740701888,43280
1769771740745073,43310
1769771740787768,43190
1769771740830601,43260
1769771740873781,43220
1769771740916996,43240
1769771740959991,43260
1769771741003051,43260
1769771741045831,43230
1769771741088665,43300
1769771741131333,43330
1769771741175598,43200
1769771741218635,43130
1769771741261673,43410
1769771741304761,43160
1769771741347056,43270
1769771741389540,43330
1769771741432606,43240
1769771741475383,43200
1769771741518475,43180
1769771741561563,43250
1769771741604564,43220
1769771741647714,43920
1769771741690443,43230
1769771741735232,43350
1769771741778384,43180
1769771741821538,43230
1769771741864764,43220
1769771741907807,43240
1769771741950410,43330
1769771741993479,43290
1769771742036391,43300
1769771742079609,43200
1769771742122712,43220
1769771742165901,43130
1769771742208937,43250
1769771742254849,43270
1769771742297950,43350
1769771742340504,43250
1769771742383209,43220
1769771742425843,43210
1769771742468877,43270
1769771742511854,43270
1769771742554680,43250
1769771742597849,43320
1769771742640925,43230
1769771742684201,43200
1769771742727336,43200
1769771742769888,43190
1769771742814618,43290
1769771742857687,43280
1769771742900866,43240
1769771742943384,43320
1769771742985850,43220
1769771743028760,43280
1769771743071950,43230
1769771743114984,43290
1769771743157894,43240
1769771743200838,43400
1769771743243882,43310
1769771743286849,43240
1769771743329906,43740
1769771743374355,43300
1769771743417050,43350
1769771743459857,43400
1769771743502500,43310
1769771743545543,43320
1769771743588696,43260
1769771743631714,43250
1769771743674813,43310
1769771743717942,43480
1769771743760966,43290
1769771743803968,43260
1769771743847079,43290
1769771743894009,43330
1769771743937116,43360
1769771743979565,43350
1769771744022633,43340
1769771744065677,43370
1769771744108827,43320
1769771744151892,43220
1769771744194820,43270
1769771744237996,43330
1769771744281181,43330
1769771744324367,43340
1769771744367339,44210
1769771744409679,43620
1769771744453689,43320
